2 Yield Curve and Inflation Rates - 30Jun17 - SAM CPR RiskFree rates;;;
!2;TIME;RFR_PC;RY_PC
*;0;7.65145026464156;2.171310766
*;1;6.91749887005104;2.167584988
*;2;6.20801340124013;2.163977521
*;3;6.74390951004409;2.215894134
*;4;6.75720339301096;2.24375138
*;5;6.70422047516637;2.26914271
*;6;4.19927573315948;2.295368249
*;7;8.28678257951141;2.319930223
*;8;8.73531427558738;2.344909923
*;9;6.88244744068767;2.370723958
*;10;6.69951305806356;2.395290423
*;11;6.66315073755832;2.420691146
*;12;6.19296595852787;2.446926384
*;13;6.05673637394639;2.472746814
*;14;5.94973873548272;2.498152382
*;15;5.84452147913672;2.523142987
*;16;5.73757738972607;2.548551647
*;17;5.62890827640454;2.574378465
*;18;5.52377189276336;2.59937373
*;19;5.42391659835453;2.623120626
*;20;5.31707903121932;2.648535412
*;21;7.38876628089347;2.674785224
*;22;7.48004231291319;2.700203251
*;23;7.57133785971347;2.725622872
*;24;7.66115531202236;2.750627296
*;25;7.75398583305031;2.776466767
*;26;7.84683678112628;2.80230791
*;27;7.9352131386911;2.826900165
*;28;8.02660346911435;2.852327545
*;29;8.12101090836319;2.878590308
*;30;8.21393952584168;2.904437818
*;31;8.30239034700138;3.003050056
*;32;8.39085806554611;3.032124519
*;33;8.48084427897626;3.061693951
*;34;8.57234832908518;3.09175828
*;35;8.66537272307903;3.122317794
*;36;8.75391399435024;3.151400696
*;37;8.84697567854504;3.181964495
*;38;8.94155955948073;3.213023695
*;39;9.03315938854674;3.24309903
*;40;9.12477845379811;3.273176579
*;41;9.21491385176529;3.30276316
*;42;9.3080726372399;3.333338136
*;43;9.39824579713706;3.362929069
*;44;8.49745024614821;3.39202875
*;45;8.54359602297023;3.42113057
*;46;8.59131082380387;3.451220886
*;47;8.64059584665795;3.4823002
*;48;8.68832136398445;3.512395006
*;49;8.73683462228387;3.542985413
*;50;8.78378811776357;3.572591205
*;51;8.83152909248257;3.602692489
*;52;8.88005822964266;3.633289552
*;53;8.92624410468121;3.49986311
*;54;8.97478340887594;3.471629111
*;55;9.02332840381403;3.494157338
*;56;9.0679630689239;3.514869821
*;57;9.11573472878202;3.537036893
*;58;9.16586168070035;3.560295489
*;59;9.21207753840982;3.581738166
*;60;9.25986476486107;3.603908795
*;61;9.30922455348306;3.626807647
*;62;9.35702243079062;3.64898071
*;63;9.40560920233147;3.671518483
*;64;9.45263380794112;3.693330408
*;65;9.50044704661761;3.715506985
*;66;9.54983351039396;3.738411938
*;67;9.59608938245355;3.313926479
*;68;9.6423498135642;3.322680631
*;69;9.69018362033554;3.331731735
*;70;9.73723823401045;3.340634651
*;71;9.7850821394879;3.349686144
*;72;9.83371567281306;3.358886225
*;73;9.88078551161145;3.367789728
*;74;9.92864471746016;3.37684181
*;75;9.97807863392632;3.386190895
*;76;10.024378926031;3.394946582
*;77;10.0722534119087;3.403999253
*;78;10.1217032794713;3.413348954
*;79;10.1672333372412;3.4219568
*;80;10.214338007999;3.430861646
*;81;10.2630182905201;3.440063531
*;82;10.3093479344394;3.448820351
*;83;10.3572529257195;3.4578742
*;84;10.4067341072864;3.467225111
*;85;10.4554351424716;3.476427798
*;86;10.5033558610939;3.485482255
*;87;10.5504959244414;3.49438847
*;88;10.5984266657575;3.503443316
*;89;10.6589157673567;3.512646805
*;90;10.7313106142915;3.521553605
*;91;10.7768708387666;3.53001524
*;92;10.8256330899936;3.539070855
*;93;10.8759999842141;3.548423596
*;94;10.9247730896971;3.557479619
*;95;10.9735515325796;3.566535842
*;96;11.0215354035638;3.575443792
*;97;11.0711239771423;3.584648872
*;98;11.1207181456739;3.593854162
*;99;11.1679175797148;3.602614222
*;100;11.2167219689611;3.611671421
*;101;11.2671321798483;3.621025791
*;102;11.3167476326647;3.630231882
*;103;11.3647678182289;3.639141199
*;104;11.4127928876013;3.648050701
*;105;11.4600226826448;3.564863904
*;106;11.5088582716925;3.572184137
*;107;11.5593008729377;3.579744522
*;108;11.6081472489916;3.587065022
*;109;11.657799775176;3.594505662
*;110;11.7058558220242;3.601706411
*;111;11.7547177508496;3.609027295
*;112;11.804386257041;3.616468331
*;113;11.8516564003919;3.623549439
*;114;11.9013351324038;3.630990728
*;115;11.9502182363251;3.638312135
*;116;11.9959003428988;3.645153561
*;117;12.0447931501858;3.652475209
*;118;12.0952946359992;3.66003705
*;119;12.1433964820655;3.667238933
*;120;12.1923049530464;3.67456097
*;121;12.2428226086759;3.682123212
*;122;12.2901378951349;3.689205439
*;123;12.339061835579;3.69652786
*;124;12.3895956425065;3.704090503
*;125;12.4385302890908;3.71141319
*;126;12.4882724922368;3.718856053
*;127;12.5356129058829;3.725938904
*;128;12.5813529902387;3.732781769
*;129;12.6303078172288;3.740104958
*;130;12.6808733267196;3.74766839
*;131;12.728233408537;3.754751731
*;132;12.7772036429299;3.762075303
*;133;12.827785239413;3.769639136
*;134;12.876766137633;3.776962974
*;135;12.9265553293866;3.784407008
*;136;12.9747435737119;3.79161104
*;137;13.0237398445305;3.798935261
*;138;13.0743481369979;3.806499761
*;139;13.1217482674034;3.813584101
*;140;11.0993843987712;3.820668555
*;141;11.119001263177;3.827993291
*;142;11.1382973666552;3.835198073
*;143;11.1579159124948;3.842523062
*;144;11.1778569568296;3.849968265
*;145;11.1971555961541;3.857173429
*;146;11.2167766911474;3.864498801
*;147;11.2370420267956;3.872064488
*;148;11.2560215142498;3.879149941
*;149;11.2756451570336;3.886475696
*;150;11.295913152944;3.894041784
*;151;11.3145733758939;3.901007509
*;152;11.3341995653506;3.908333648
*;153;11.3544701909452;3.915900131
*;154;11.374098143202;3.923226535
*;155;11.3937269626493;3.93055307
*;156;11.4130348230954;3.937759621
*;157;11.4329871310285;3.94520652
*;158;11.4529403485693;3.952653555
*;159;11.4719288985898;3.959740372
*;160;11.4915619379992;3.967067542
*;161;11.5118396074138;3.974635087
*;162;11.5317962889605;3.982082644
*;163;11.5507881623137;3.989169962
*;164;11.5697807910115;3.996257393
*;165;11.5890961805419;4.003465079
*;166;11.6087343019406;4.010793015
*;167;11.6286952680831;4.018241218
*;168;11.6476911904698;4.025329146
*;169;11.6676538287275;4.032777602
*;170;11.687939396617;4.040346337
*;171;11.7075818142252;4.04767492
*;172;11.7272250964147;4.055003635
*;173;11.7465471799958;3.623069113
*;174;11.7665141825674;3.491288014
*;175;11.7858379662266;3.492015201
*;176;11.8048404403496;3.49273027
*;177;11.8238437505504;3.49344534
*;178;11.8434920194028;3.49418465
*;179;11.8637854440728;3.494948202
*;180;11.8834354676741;3.495687515
*;181;11.9034085000233;3.49643895
*;182;11.9227380899244;3.497166146
*;183;11.9423906458423;3.497905463
*;184;11.9623662804711;3.498656901
*;185;11.9813761591035;3.499371981
*;186;12.0013534606909;3.500123422
*;187;12.0210094667488;3.500862745
*;188;12.0396995230972;3.501565708
*;189;12.0593571405448;3.502305034
*;190;12.0793378898485;3.50305648
*;191;12.0986749464274;3.503783688
*;192;12.1183350921435;3.504523017
*;193;12.1386407514744;3.505286587
*;194;12.1576579955996;3.506001679
*;195;12.1773206682339;3.506741012
*;196;12.1976289661878;3.507504587
*;197;12.2172933883243;3.508243922
*;198;12.2372810526109;3.50899538
*;199;12.256624799906;3.509722598
*;200;12.2759693378804;3.510449817
*;201;11.9843555131003;3.511189158
*;202;12.0006654867566;3.51191638
*;203;12.0172478877758;3.512655723
*;204;12.0341027558897;3.513407188
*;205;12.0504145229066;3.514134414
*;206;12.0669987266832;3.514873762
*;207;12.0841273298568;3.515637352
*;208;12.1001689966727;3.516352461
*;209;12.1167550023809;3.517091812
*;210;12.1338854871779;3.517855406
*;211;12.1496569742222;3.518558399
*;212;12.1659728501184;3.519285633
*;213;12.1828332328169;3.520037111
*;214;12.1988783645708;3.520752227
*;215;12.2154679723695;3.521491587
*;216;12.2326021559004;3.522255189
*;217;12.2494649912959;3.523006671
*;218;12.2660564585759;3.523746035
*;219;12.2823765179;3.524473279
*;220;12.2989691711431;3.525212645
*;221;12.3158344579727;3.525964133
*;222;12.3321563060939;3.526691381
*;223;12.3476625971524;3.494787473
*;224;12.3642576015035;3.491305596
*;225;12.3813973785101;3.491731889
*;226;12.3979936276882;3.492144649
*;227;12.4145904892606;3.492557409
*;228;12.4309158536492;3.492963404
*;229;12.4477859985691;3.493382932
*;230;12.4646567859601;3.49380246
*;231;12.4807118174674;3.494201689
*;232;12.4973116591152;3.494614451
*;233;12.5144564103955;3.495040748
*;234;12.5313296442119;3.495460278
*;235;12.5473870229571;3.495859508
*;236;12.5634449350873;3.496258739
*;237;12.5797756170536;3.496664737
*;238;12.5963790481858;3.497077502
*;239;12.6132553084462;3.497497034
*;240;12.6293155472497;3.497896267
*;241;12.6461929885946;3.498315799
*;242;12.6633433191378;3.498742099
*;243;12.6799497852609;3.499154867
*;244;12.6965568622384;3.499567634
*;245;12.7128922730838;3.499973635
*;246;12.7297727977934;3.50039317
*;247;12.7463816866164;3.500805939
*;248;12.7624465733978;3.501205175
*;249;12.7790566230828;3.501617944
*;250;12.7959395888603;3.502037481
*;251;12.812278543055;3.502443484
*;252;12.8288903830706;3.502856255
*;253;12.8460475241972;3.50328256
*;254;12.8621159129865;3.503681798
*;255;12.8787295425137;3.50409457
*;256;12.8958885523747;3.504520876
