!2;TIME;RFR_PC;RY_PC
*;0;8.960227985;3.324884995
*;1;9.645786928;3.31629812
*;2;10.31026498;3.307988414
*;3;10.03496661;4.304380907
*;4;10.02431502;5.035981261
*;5;10.13793245;4.327441719
*;6;8.859709434;4.011739135
*;7;8.22669545;4.034551894
*;8;7.884748663;4.055525989
*;9;8.689349741;4.077973061
*;10;8.900356769;4.10152546
*;11;8.834400468;4.123239016
*;12;9.195322258;4.145689734
*;13;9.295790247;4.168877891
*;14;9.308225529;4.191331105
*;15;9.320865032;4.214153653
*;16;9.333097163;4.236241196
*;17;9.345533498;4.258698013
*;18;9.358377965;4.281892427
*;19;9.370407258;4.151746203
*;20;9.382436864;4.158756164
*;21;9.394874612;4.166003878
*;22;9.407108805;4.173132899
*;23;9.419547247;4.180380861
*;24;9.432189964;4.187747773
*;25;9.444425204;4.194877168
*;26;9.4568647;4.202125506
*;27;9.469712431;4.209611631
*;28;9.48174478;4.21662257
*;29;9.494185329;4.223871284
*;30;9.507034159;4.231357801
*;31;9.51886357;4.238250268
*;32;9.531101211;4.24538052
*;33;9.543747149;4.252748581
*;34;9.555781522;4.259760243
*;35;9.568224176;4.267009708
*;36;9.581075167;4.274496996
*;37;9.593722539;4.281865569
*;38;9.606166279;4.289115422
*;39;9.618406364;4.296246546
*;40;9.630850797;4.303496647
*;41;10.15904474;4.310865731
*;42;11.31083596;4.317997229
*;43;11.3940061;4.324772263
*;44;11.48302877;4.332022855
*;45;11.57498975;4.339511311
*;46;11.66404847;4.346762162
*;47;11.75312491;4.35401314
*;48;11.84075793;4.361145372
*;49;11.93132943;4.368515471
*;50;12.02191949;4.375885704
*;51;12.10814268;4.382899432
*;52;12.19730518;4.390151033
*;53;12.28940985;4.397640528
*;54;12.38007043;4.405011272
*;55;12.4678238;4.412144376
*;56;12.55559334;4.419277597
*;57;12.64191706;5.754859537
*;58;12.73118283;5.80805853
*;59;12.82339467;5.863009123
*;60;12.9126961;5.916221725
*;61;13.00347929;5.970313466
*;62;13.0913512;6.02266689
*;63;13.18070399;6.075899118
*;64;13.27153993;6.130011019
*;65;13.35799691;6.18151085
