"Time","PREM_INC","DEATH_OUTGO","DISAB_OUTGO","INIT_EXP","REN_EXP","INIT_COMM","REN_COMM","PHIBEN_OUTGO","PHIBEN_OUTGO_BLL","CR_BEN_OUTGO","RETR_OUTGO","DTH_OUTGO","DREADDIS_OUTGO","TEMPDIS_OUTGO","RIDERC_OUTGO","RISK_ADJ","COVERAGE_UNITS"
"m0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55848904.36
"m1",26615.4096666508,4436.69826202665,211.185804826702,0,5133.92674053836,-398.716131174007,280.084605948733,2587.16413019129,0,4.39577152644894,0,0,0,0,0,-1.66977542903624e-13,55310765.9301791
"m2",26315.1390336533,4399.6351627461,208.773021979317,0,5111.6610445445,-378.978785577718,277.846319140048,4075.94054349551,0,4.34178728079303,0,0,0,0,0,-1.06581410364015e-13,54777980.3452674
"m3",26042.3461251428,4363.15431135491,206.388254542493,0,5089.51236896704,-359.609257109239,275.735650649904,4498.08805620913,0,4.28846601290143,0,0,0,0,0,6.07514039074886e-13,54250492.6335067
"m4",25786.0812813371,4327.00551401981,204.031172222788,0,5067.48000340634,-328.000141731483,273.786292434854,4701.23664120748,0,4.23579958077807,0,0,0,0,0,1.66977542903624e-13,53728248.4062312
"m5",25534.9220792022,4291.17117117826,201.701448677548,0,5045.5632422811,-281.128886828391,271.876781739616,4807.03563624621,0,4.18377994241833,0,0,0,0,0,-1.06581410364015e-13,53211193.8514782
"m6",25287.3363802876,4254.4831741272,199.398761467001,0,5023.7613847927,-226.44599335454,269.991183091269,4877.5143316672,0,4.13239915458101,0,0,0,0,0,-1.77635683940025e-13,52699275.7276703
"m7",25042.5934129875,4218.23688140153,197.122792006929,0,5002.07373489001,-199.406860998371,268.122167471938,4930.6449611605,0,4.08164937157548,0,0,0,0,0,2.27373675443232e-13,52192441.3573696
"m8",24800.4735485731,4181.77662996922,194.873225521937,0,4980.49960123427,-172.904150316457,266.267724164805,4972.49756472366,0,4.03152284406361,0,0,0,0,0,1.77635683940025e-14,51690638.6211022
"m9",24560.887615366,4147.74390010191,192.649750999281,0,4959.03829716438,-146.929383111762,264.427156194591,5006.19892481654,0,3.98201191787651,0,0,0,0,0,-3.19744231092045e-14,51193815.9512528
"m10",24752.1262072503,4184.23426153192,191.508123802927,0,4937.68923313156,5385.99313797098,262.60005078312,5054.88065552248,0,3.93310903284575,0,0,0,0,0,9.05941988094128e-14,51069656.5921634
"m11",25582.2898803563,4357.28100159176,202.043474787943,0,4916.43030598946,12783.8721975529,283.478777073978,5145.25420500457,0,4.07904705773138,0,0,0,0,0,9.41469124882133e-14,51606098.6323986
"m12",26480.2945008727,4463.51977327299,207.438731984608,0,4895.24118204977,14105.8737436968,285.851320232766,5324.04512154634,0,4.02960721425295,0,0,0,0,0,9.05941988094128e-14,52329067.6582905
"m13",26223.5405043926,4428.90252594302,205.059012425057,0,4874.14309879944,-388.862292559502,283.865722518205,5413.0696723742,0,3.9807666034111,0,0,0,0,0,-2.30926389122033e-14,51826197.1201496
"m14",25969.6888563661,4391.64620545476,202.707028147308,0,4853.15431833574,-369.516401497662,281.899596939814,5449.46295555547,0,3.93251796224286,0,0,0,0,0,-1.84741111297626e-13,51328313.7000834
"m15",25718.7174240533,4354.74538783707,200.382451136173,0,4832.2750894634,-350.530496436141,279.949023816765,5467.18799757957,0,3.88485411581556,0,0,0,0,0,1.77635683940025e-15,50835366.366042
"m16",25470.3959463591,4318.2007065687,198.084957309145,0,4811.5047551653,-319.811094800055,278.013087651413,5474.730293792,0,3.83776797615987,0,0,0,0,0,-1.77635683940025e-15,50347304.6147067
"m17",25224.6410768033,4282.01295129284,195.814226468648,0,4790.84265997666,-274.211930862714,276.091183721184,5476.2385249067,0,3.79125254121575,0,0,0,0,0,-7.63833440942108e-14,49864078.4722399
"m18",24981.3969062388,4246.17843252184,193.569942254858,0,4770.28815172925,-220.731099367807,274.18303815128,5473.34308120634,0,3.74530089379122,0,0,0,0,0,3.01980662698043e-14,49385638.492099
"m19",24740.6248884262,4211.45445469588,191.351792099116,0,4749.84058250876,-194.303391199792,272.288474581905,5466.91193723854,0,3.6999062005337,0,0,0,0,0,7.99360577730113e-14,48911935.7505756
"m20",24502.292254424,4177.06666099578,189.159467177907,0,4729.49930898383,-168.399104995046,270.407327469677,5457.57577551919,0,3.65506171091386,0,0,0,0,0,1.77635683940025e-15,48442921.8399343
"m21",24266.3682792697,4143.01501925518,186.992662367406,0,4709.26369204906,-143.009987311594,268.53945871052,5445.7774713345,0,3.61076075622173,0,0,0,0,0,-1.36779476633819e-13,47978548.8638247
"m22",24454.4892171185,4184.70776066491,186.351345561451,0,4689.13320496727,5160.11537787919,266.684742307491,5453.56449192649,0,3.56699674857506,0,0,0,0,0,-4.44089209850063e-14,47860585.7111917
"m23",25285.8854467408,4360.21502284919,198.408570531095,0,4669.08198071062,12519.6277932866,287.902334116692,5496.85405105657,0,3.6999513389366,0,0,0,0,0,1.11910480882216e-13,48371189.7906015
"m24",26170.9649426622,4467.21864673927,203.791520389157,0,4649.09137911002,13814.7526629761,290.183999310863,5687.70868819169,0,3.65573465580246,0,0,0,0,0,-1.29674049276218e-13,49053795.7797201
"m25",25916.6127500713,4432.81222834402,201.440018471008,0,4629.18338713501,-378.390984591626,288.167672622173,5758.6291067298,0,3.61204638909554,0,0,0,0,0,1.08357767203415e-13,48583282.4715196
"m26",25665.898084352,4395.91689791801,199.116084062238,0,4609.33942616354,-359.593030690423,286.171679490303,5765.75311131181,0,3.56888022391611,0,0,0,0,0,8.70414851306123e-14,48117428.9962424
"m27",25418.3231578713,4359.38470029445,196.819389323781,0,4589.59904238361,-341.144849913898,284.191417931751,5756.36810132672,0,3.52622992083133,0,0,0,0,0,-1.75859327100625e-13,47656187.6961238
"m28",25173.38182441,4323.21281061652,194.549610366438,0,4569.96160884512,-311.554408589864,282.225693553727,5739.52423579824,0,3.48408931497344,0,0,0,0,0,-4.08562073062058e-14,47199511.4170433
"m29",24930.9570450465,4287.39648676826,192.306427202716,0,4550.42650286393,-266.993290390253,280.27390070073,5719.5469990345,0,3.4424523151486,0,0,0,0,0,1.82964754458226e-13,46747353.5029726
"m30",24690.9826337322,4251.93654005544,190.089523699264,0,4530.9931059763,-214.915654299289,278.335804553024,5697.76703066593,0,3.40131290295649,0,0,0,0,0,-4.61852778244065e-14,46299667.7906541
"m31",24453.4212379837,4217.62017240231,187.898587529887,0,4511.66080394065,-189.216763178893,276.411274150908,5674.71323523237,0,3.36066513192032,0,0,0,0,0,-1.74082970261225e-13,45856408.6039805
"m32",24218.243405419,4183.6231369394,185.733310129148,0,4492.42898663818,-164.026581311473,274.500182310517,5650.71004427978,0,3.32050312662736,0,0,0,0,0,-5.6843418860808e-14,45417530.7486915
"m33",23985.4218839427,4149.96004330731,183.593386646534,0,4473.29704804514,-139.337086756679,272.602422485973,5625.93981126495,0,3.28082108187967,0,0,0,0,0,1.27897692436818e-13,44982989.507282
"m34",24168.6621370526,4188.25004477028,183.118482411952,0,4454.26448756356,4927.87771397275,270.717894184215,5617.71156969576,0,3.24161326185494,0,0,0,0,0,-7.105427357601e-15,44870762.2378825
"m35",25002.1853235934,4369.42646260573,195.913659156405,0,4435.3060750654,12300.7404444169,292.555061107773,5650.21690319589,0,3.36301769924137,0,0,0,0,0,-4.19220214098459e-13,45356746.775834
"m36",25876.2977914952,4485.50392453692,201.088865300377,0,4416.39689919036,13505.4498493007,294.741046718523,5809.65848322269,0,3.3234318045777,0,0,0,0,0,1.13686837721616e-13,46001008.5483804
"m37",25625.4406613931,4451.21621835211,198.747872880425,0,4397.56184636941,-368.317710428303,292.689179680933,5873.87668690033,0,3.28431187328278,0,0,0,0,0,1.27897692436818e-13,45560813.4681719
"m38",25377.9572736627,4414.57984840251,196.434587491582,0,4378.82464441142,-350.022104888615,290.658571488016,5880.77966500026,0,3.24565242052768,0,0,0,0,0,3.90798504668055e-14,45124965.6333991
"m39",25133.4194817573,4378.3055476805,194.148676423208,0,4360.18457456935,-332.066194786771,288.643439081985,5872.09248041699,0,3.20744802604504,0,0,0,0,0,-1.88293824976427e-13,44693420.7453181
"m40",24891.4526857062,4342.39213418114,191.889811011321,0,4341.64105449981,-303.545505251437,286.642949957498,5856.28254881053,0,3.16969333336922,0,0,0,0,0,-2.23820961764432e-13,44266134.9711073
"m41",24651.9610985754,4306.83137568205,189.657666588823,0,4323.19350577284,-259.987781304928,284.656606781418,5837.45066799796,0,3.13238304908519,0,0,0,0,0,9.2370555648813e-14,43843064.9387616
"m42",24414.8845108611,4271.62571826469,187.451922436334,0,4304.84135383015,-209.272142513727,282.684204979782,5816.89094466795,0,3.09551194208646,0,0,0,0,0,-4.61852778244065e-14,43424167.7322008
"m43",24180.187218887,4237.59096658488,185.272261733637,0,4286.58402798805,-184.257080399803,280.725621301553,5795.12466248925,0,3.05907484284158,0,0,0,0,0,1.4210854715202e-14,43009400.8860944
"m44",23947.8404351046,4203.89117257334,183.118371511738,0,4268.42096134435,-159.73611822975,278.78072916517,5772.46995983085,0,3.02306664266935,0,0,0,0,0,2.62900812231237e-13,42598722.3809868
"m45",23717.8173615445,4170.53068271167,180.989942605505,0,4250.35159075391,-135.701488488249,276.849421763737,5749.10886453328,0,2.98748229302262,0,0,0,0,0,8.17124146124115e-14,42192090.6386144
"m46",23894.3949873565,4208.99030273552,180.920048235112,0,4232.37546334717,4683.28863443721,274.931597510434,5746.86806394947,0,2.95231680478036,0,0,0,0,0,-1.59872115546023e-13,42085612.7362902
"m47",24722.788201532,4393.74831113814,194.925206754476,0,4214.46556851296,11980.6839927079,297.407333922487,5791.42855808519,0,3.06344350992565,0,0,0,0,0,4.72510919280467e-13,42548660.745966
"m48",25596.5993474852,4500.32425416602,200.162653660332,0,4196.59639442194,13314.0621602427,299.499463541599,5941.6310067331,0,3.0279661136596,0,0,0,0,0,-5.18696197104873e-13,43157025.7392652
"m49",25348.7139069348,4465.86442994403,197.803228004988,0,4178.79455804923,-358.140008979962,297.412299652949,6007.92463739836,0,2.99289957714721,0,0,0,0,0,1.66977542903624e-13,42744929.4573645
"m50",25103.9910138633,4429.63571927457,195.472119836742,0,4161.08467300195,-340.34826238061,295.345588733214,6018.19168396588,0,2.95823914226767,0,0,0,0,0,9.59232693276135e-14,42336892.8836221
"m51",24862.199366728,4393.771896418,193.168984028222,0,4143.46612530399,-322.886272132594,293.294278233388,6012.30354607568,0,2.92398010600344,0,0,0,0,0,3.5171865420125e-13,41932874.7713933
"m52",24622.9711938693,4358.26637264306,190.893479714074,0,4125.93837038322,-295.449553613053,291.25772243089,5999.0367441332,0,2.89011781980211,0,0,0,0,0,1.98951966012828e-13,41532834.3062381
"m53",24386.1988328958,4323.11822477202,188.645270237739,0,4108.50086727758,-253.201876504435,289.235529635467,5982.63554091744,0,2.85664768894562,0,0,0,0,0,7.105427357601e-14,41136731.1012004
"m54",24151.8159456867,4288.33220062126,186.424023098891,0,4091.15307859508,-203.606020329091,287.227524111902,5964.44978610909,0,2.82356517192683,0,0,0,0,0,-7.46069872548105e-14,40744525.1921164
"m55",23919.7849288937,4254.7528313716,184.229409901543,0,4073.8944704669,-179.279566755358,285.233591069877,5945.02274406426,0,2.7908657798333,0,0,0,0,0,4.2632564145606e-14,40356177.0332348
"m56",23690.0764297263,4221.52649754076,182.061106302809,0,4056.7245125753,-155.432553181512,283.253607728455,5924.68460445689,0,2.75854507573815,0,0,0,0,0,2.06057393370429e-13,39971647.4930586
"m57",23462.6635738964,4188.65427338316,179.918791962306,0,4039.64267823325,-132.057464509752,281.287468302513,5903.62600109233,0,2.7265986740981,0,0,0,0,0,-1.27897692436818e-13,39590897.8493761
"m58",23634.2604455756,4230.71702710332,179.637162607398,0,4022.82145921841,4450.31931570721,279.335070979563,5896.28442106608,0,2.6950222401583,0,0,0,0,0,1.24344978758018e-13,39489926.7711398
"m59",24357.9735225577,4432.88658611522,118.181792567443,0,3967.2237331582,11677.0064584606,302.506156530236,5938.72186897571,0,2.79700206383248,0,0,0,0,0,5.15143483426073e-13,39859253.7656761
"m60",25220.575935532,4544.34232075025,124.825451560208,0,3951.50171398458,12975.1397516055,304.494462346275,6089.41377273349,0,2.76517255584071,0,0,0,0,0,-1.63424829224823e-13,40434685.5403319
"m61",24976.7294796726,4507.5930205392,123.433905316495,0,3936.17558195483,-347.155604613438,302.361432210471,6157.05763859246,0,2.73370526337681,0,0,0,0,0,1.95399252334028e-13,40049587.5129692
"m62",24736.0533280178,4471.42496508462,122.058253844439,0,3921.25669292117,-329.880565544847,300.250048699292,6169.73336851072,0,2.7025960644767,0,0,0,0,0,-7.8159700933611e-14,39668271.8218681
"m63",24498.2659126776,4435.64342170382,120.698311398904,0,3906.74593076329,-312.924991370765,298.156532709356,6166.44421233919,0,2.67184088408369,0,0,0,0,0,8.5265128291212e-14,39290700.1740961
"m64",24262.9976500246,4400.23848093766,119.353894452162,0,3892.64975198468,-286.537482942644,296.079284355823,6155.80685233397,0,2.64143569351471,0,0,0,0,0,-3.5527136788005e-15,38916834.6763452
"m65",24030.1406988633,4365.2109451292,118.02482166689,0,3878.94174423412,-245.446781416722,294.017169527562,6142.01950095705,0,2.61137650993253,0,0,0,0,0,5.32907051820075e-14,38546637.8305793
"m66",23799.6272740428,4330.57857040957,116.710913869505,0,3865.62864953959,-197.386605639559,291.969780711159,6126.39022305444,0,2.5816593958241,0,0,0,0,0,1.13686837721616e-13,38180072.4807413
"m67",23571.42005547,4297.24170317772,115.411994023831,0,3852.71714890297,-173.791483405585,289.936913569813,6109.46074488458,0,2.55228045848474,0,0,0,0,0,1.4210854715202e-13,37817101.9082577
"m68",23345.4903583204,4264.32164956558,114.127887205095,0,3840.17611745925,-150.66045715882,287.918395542992,6091.57058479634,0,2.52323584950821,0,0,0,0,0,-7.46069872548105e-14,37457689.7776295
