"Time","PREM_INC","DEATH_OUTGO","DISAB_OUTGO","INIT_EXP","REN_EXP","INIT_COMM","REN_COMM","PHIBEN_OUTGO","PHIBEN_OUTGO_BLL","CR_BEN_OUTGO","RETR_OUTGO","DTH_OUTGO","DREADDIS_OUTGO","TEMPDIS_OUTGO","RIDERC_OUTGO","RISK_ADJ","COVERAGE_UNITS"
"m0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7382000
"m1",26182.0699081366,3024.49729803997,2.94345964755852,0,357.913161512665,-1406.64702768678,0,0,0,0,0,0,0,0,0,0,7288017.66642684
"m2",25802.2766269802,2977.49892845211,2.91159320297842,0,355.56990813366,-1155.72346167797,0,624.364294720269,0,0,0,0,0,0,0,1.4210854715202e-14,7213817.97444576
"m3",25420.8392495489,2927.11796877481,2.88007175048647,0,353.243980083889,-1116.78306601348,0,958.414748335454,0,0,0,0,0,0,0,3.5527136788005e-15,7120912.2903631
"m4",25058.8039778362,2877.59400615192,2.8488915551338,0,350.934954216442,-976.766556858427,0,1185.6743749078,0,0,0,0,0,0,0,0,7029231.77859692
"m5",24706.9137215067,2828.91241702745,2.81804892240681,0,348.642692798705,-839.537689073278,0,1352.61797750188,0,0,0,0,0,0,0,7.105427357601e-15,6938759.88207806
"m6",24362.7541527349,2781.05882784034,2.78754019778938,0,346.367059351507,-678.29321966079,0,1491.52282381904,0,0,0,0,0,0,0,-3.5527136788005e-15,6849480.2732164
"m7",24024.6338102982,2734.01911074595,2.75736176632988,0,344.107918636593,-544.98845395272,0,1614.57695879213,0,0,0,0,0,0,0,0,6761376.85063729
"m8",23691.8734357133,2687.77937941097,2.72751005221281,0,341.865136644226,-414.911892675482,0,1725.2820690899,0,0,0,0,0,0,0,3.5527136788005e-15,6674433.73596573
"m9",23364.2331808404,2642.32598488021,2.69798151833514,0,339.638580580931,-288.370814446851,0,1827.56303946284,0,0,0,0,0,0,0,-7.105427357601e-15,6588635.2706574
"m10",23041.4511311487,2597.64551151422,2.66877266588715,0,337.428118857364,-165.123902055108,0,1923.05260422604,0,0,0,0,0,0,0,1.4210854715202e-14,6503966.01287584
"m11",22744.7841397847,2558.5729446395,2.93180358893699,0,335.07299071445,274.599903559838,0,2012.86870664701,0,0,0,0,0,0,0,0,6449319.30908401
"m12",23776.8211243737,2798.30945294725,2.89587613426406,0,332.554245704405,10778.7356993368,0,2098.88531329604,0,0,0,0,0,0,0,0,6356101.18675122
"m13",23400.471871501,2742.88305659306,2.86038894851096,0,330.024746233832,-175.986772510008,0,2236.27368932153,0,0,0,0,0,0,0,-4.61852778244065e-13,6264275.84413134
"m14",23037.0781017305,2697.50528651107,2.82533663645214,0,327.813202020708,-69.2080502143693,0,2349.34728136679,0,0,0,0,0,0,0,-4.61852778244065e-13,6193627.98759084
"m15",22674.7696285043,2644.31067285182,2.79071386897722,0,325.6213406441,-157.146853917756,0,2445.43291034973,0,0,0,0,0,0,0,-4.68958205601666e-13,6105958.47349811
"m16",22318.9558000032,2592.17629187029,2.75651538228079,0,323.449313027466,-147.84204927834,0,2529.61337233937,0,0,0,0,0,0,0,-4.40536496171262e-13,6019593.75835474
"m17",21969.2794007872,2541.08091835244,2.72273597706216,0,321.29691108781,-137.97688612958,0,2605.59466477017,0,0,0,0,0,0,0,-3.5527136788005e-15,5934513.65483893
"m18",21625.4571952222,2491.00375283456,2.68937051773488,0,319.163929156317,-101.744432101589,0,2675.02163027529,0,0,0,0,0,0,0,-4.47641923528863e-13,5850698.29876696
"m19",21287.3146582824,2441.92441305516,2.65641393164594,0,317.050163947948,-89.669092314573,0,2738.6387597346,0,0,0,0,0,0,0,-9.13047415451729e-13,5768128.14375099
"m20",20954.7278717144,2393.82292557862,2.62386120830462,0,314.955414531448,-77.8104008777304,0,2797.25955738109,0,0,0,0,0,0,0,-4.58300064565265e-13,5686783.95594803
"m21",20627.5706300855,2346.67971758711,2.59170739862066,0,312.879482299747,-66.414716348595,0,2851.30185257809,0,0,0,0,0,0,0,-4.54747350886464e-13,5606646.80889838
"m22",20305.7384432882,2300.47560883732,2.55994761415188,0,310.822170940773,-55.3560772787293,0,2901.1188363118,0,0,0,0,0,0,0,-4.65405491922866e-13,5527698.07845206
"m23",20010.4855164768,2261.5777485302,2.85008432630313,0,309.041187246812,261.301839862902,0,2947.02083942178,0,0,0,0,0,0,0,-4.9737991503207e-13,5478298.11573718
"m24",20978.9665058261,2172.92322392736,2.82220209220484,0,307.587155641781,9049.43360996247,0,2990.19032710639,0,0,0,0,0,0,0,-1.59872115546023e-12,5414768.43248469
"m25",20709.6163752484,2142.45719945273,2.79459262862465,0,306.121981269278,-110.529061671784,0,3062.59500320471,0,0,0,0,0,0,0,7.105427357601e-15,5351383.77808491
"m26",20448.7021016488,2117.37517410794,2.76725326706207,0,304.653107149781,-11.5548486388953,0,3110.75081236754,0,0,0,0,0,0,0,-4.65405491922866e-13,5306055.33581853
"m27",20187.0078996928,2087.7301433011,2.74018136512239,0,303.193067369843,-99.5195678110876,0,3149.492888367,0,0,0,0,0,0,0,7.105427357601e-15,5244072.7927453
"m28",19929.3340296485,2058.50376733873,2.71337430626136,0,301.74198284103,-93.898692179332,0,3182.63872517792,0,0,0,0,0,0,0,-4.47641923528863e-13,5182838.41238982
"m29",19675.2841086125,2029.69010612904,2.68682949953223,0,300.299790719783,-87.7846884177169,0,3212.87078407829,0,0,0,0,0,0,0,-6.99884594723699e-13,5122342.96542445
"m30",19424.6301405146,2001.28330407955,2.66054437933534,0,298.866428638567,-65.0337136492596,0,3241.18233555053,0,0,0,0,0,0,0,-2.41584530158434e-13,5062577.33811367
"m31",19177.2639648232,1973.27758889339,2.63451640517019,0,297.441834702075,-57.4893425999643,0,3267.88941191701,0,0,0,0,0,0,0,-4.47641923528863e-13,5003532.53085003
"m32",18933.1247615972,1945.66727038258,2.60874306138987,0,296.025947483481,-49.9952193936362,0,3293.33393638415,0,0,0,0,0,0,0,-4.65405491922866e-13,4945199.65670874
"m33",18692.1524302364,1918.44673929839,2.58322185695789,0,294.618706020711,-42.7926599628207,0,3317.66923775949,0,0,0,0,0,0,0,-4.58300064565265e-13,4887569.94002077
"m34",18454.2984853829,1891.61046617829,2.55795032520748,0,293.220049812748,-35.7650215792515,0,3341.00677761631,0,0,0,0,0,0,0,-4.72510919280467e-13,4830634.71496421
"m35",18240.23802381,1870.4769717004,2.87241904283743,0,291.829925981617,269.231710575232,0,3363.37160935708,0,0,0,0,0,0,0,-4.54747350886464e-13,4799602.79774983
"m36",19124.8912187645,2046.32365284285,2.84426610280861,0,290.446482860814,7785.13671692296,0,3383.98105787112,0,0,0,0,0,0,0,-3.5527136788005e-15,4742587.75439358
"m37",18872.1272552926,2016.45873830024,2.81638909328312,0,289.041357466181,-95.6225431851247,0,3456.060003528,0,0,0,0,0,0,0,-4.58300064565265e-13,4686276.49941657
"m38",18628.7321323129,1992.20010685972,2.78878530983142,0,287.645132039526,-1.02353688071556,0,3504.42967874446,0,0,0,0,0,0,0,-4.47641923528863e-13,4647066.45576167
"m39",18384.001719283,1963.1730506536,2.76145207453043,0,286.257367813612,-86.0829381240864,0,3543.54644073915,0,0,0,0,0,0,0,-4.36983782492462e-13,4592020.75040545
"m40",18143.0017272019,1934.57330326492,2.73438673570371,0,284.878377430622,-81.1877719362244,0,3577.17946467296,0,0,0,0,0,0,0,-4.47641923528863e-13,4537653.46033669
"m41",17905.4653048353,1906.39454022988,2.70758666766425,0,283.508096285116,-75.8009651141603,0,3607.94142272426,0,0,0,0,0,0,0,0,4483955.99316268
"m42",17671.1967417506,1878.63053096112,2.68104927045974,0,282.146460291186,-56.198200230405,0,3640.04324854491,0,0,0,0,0,0,0,1.4210854715202e-14,4430920.57206535
"m43",17439.9228718916,1851.27513735206,2.6547719696203,0,280.793421218703,-49.6594533458,0,3673.38721694807,0,0,0,0,0,0,0,-6.78568312650896e-13,4378539.26677078
"m44",17211.6076252334,1824.32231240204,2.62875221590878,0,279.448925893036,-43.1553813406871,0,3708.09044618613,0,0,0,0,0,0,0,-2.34479102800833e-13,4326803.77416784
"m45",16986.2024524278,1797.7660988619,2.60298748507341,0,278.112911262744,-36.9180624480337,0,3744.10889803489,0,0,0,0,0,0,0,-4.54747350886464e-13,4275705.8987179
"m46",16763.669519041,1771.60062789969,2.57747527760293,0,276.785314784857,-30.8355497932103,0,3781.36787447361,0,0,0,0,0,0,0,3.5527136788005e-15,4225237.5510395
"m47",16564.5133243032,1750.58150795918,2.9138528227454,0,275.466081880628,265.753130956771,0,3819.77327622833,0,0,0,0,0,0,0,-4.76063632959267e-13,4198919.28283138
"m48",11732.7918977022,1907.17204967525,2.88523081591581,0,274.153244272578,-30239.4759705453,0,3840.33633219013,0,0,0,0,0,0,0,6.92779167366098e-13,4148354.07394467
"m49",11572.7582979926,1878.16965762818,2.85688995550121,0,272.819400534163,267.287605667905,0,3869.64662176592,0,0,0,0,0,0,0,-4.61852778244065e-13,4098426.18380652
"m50",11420.6161555679,1854.68233286739,2.82882747987463,0,271.49426322887,353.120551521555,0,3902.48691184181,0,0,0,0,0,0,0,-4.36983782492462e-13,4064691.54920214
"m51",11264.8258480479,1826.53000305721,2.80104065453578,0,270.177202816877,266.362647888326,0,3938.53708492169,0,0,0,0,0,0,0,-6.67910171614494e-13,4015898.66517856
"m52",11111.0925738043,1798.81026484178,2.7735267718447,0,268.86867101601,266.124814297193,0,3977.40088506446,0,0,0,0,0,0,0,-4.68958205601666e-13,3967717.4862404
"m53",10959.3933178387,1771.51642965202,2.74628315075783,0,267.568602656322,266.43594496037,0,4018.78077769226,0,0,0,0,0,0,0,-4.54747350886464e-13,3920140.10953007
"m54",10809.7067789177,1744.64191266535,2.71930713656678,0,266.276933114765,183.449216392982,0,4059.61102272235,0,0,0,0,0,0,0,-4.58300064565265e-13,3873157.7402453
"m55",10662.0824414093,1718.18023119374,2.6925961006397,0,264.993575317907,172.585052067811,0,4099.89908960116,0,0,0,0,0,0,0,-4.58300064565265e-13,3826762.71695184
"m56",10516.4913896201,1692.12500309688,2.66614744016507,0,263.718466179862,162.094142831686,0,4139.65668461159,0,0,0,0,0,0,0,0,3780947.47895737
"m57",10372.9052162385,1666.46994522,2.63995857789809,0,262.451543141194,151.745715973024,0,4178.89762381381,0,0,0,0,0,0,0,-4.33431068813661e-13,3735704.56496529
"m58",10231.2959614761,1641.20887185595,2.61402696190959,0,261.203970933267,141.639744677524,0,4217.62890882573,0,0,0,0,0,0,0,-2.30926389122033e-13,3691026.61174686
"m59",10111.9908251131,1621.61763655156,2.98095138356682,0,259.986518625887,415.0337849153,0,4255.81877391659,0,0,0,0,0,0,0,-6.99884594723699e-13,3668853.41324679
"m60",11415.976825387,1760.42284548646,2.95159958042572,0,258.797128953335,-1168.04200769108,0,4265.32946624459,0,0,0,0,0,0,0,0,3624108.69744091
"m61",11256.2352346706,1732.5024106605,2.92253678848836,0,257.610691490292,103.018106183165,0,4279.37407303581,0,0,0,0,0,0,0,-4.68958205601666e-13,3579935.89022455
"m62",11104.51685404,1709.95384367093,2.89376016201897,0,256.453705475258,167.906209827459,0,4293.0702842781,0,0,0,0,0,0,0,-4.61852778244065e-13,3551095.2723192
"m63",10949.4533801439,1682.88956982736,2.8652668833022,0,255.325508437634,65.0913558154207,0,4306.54186570944,0,0,0,0,0,0,0,-4.54747350886464e-13,3507937.60486499
"m64",10796.6033367954,1656.25997433996,2.83705416236719,0,254.227090571029,47.131117987567,0,4319.85010786916,0,0,0,0,0,0,0,-6.64357457935694e-13,3465330.26817998
"m65",10645.9257426218,1630.05802575188,2.80911923671444,0,253.156650988992,30.2142619887083,0,4332.96733644034,0,0,0,0,0,0,0,-4.58300064565265e-13,3423266.0064071
"m66",10497.386781517,1604.27680675277,2.78145937104523,0,252.114556825302,33.1819813313946,0,4345.77806615679,0,0,0,0,0,0,0,-4.51194637207664e-13,3381737.66169603
"m67",10350.9549791234,1578.90951232237,2.75407185699386,0,251.101171798647,19.2109882021499,0,4358.2945190629,0,0,0,0,0,0,0,-4.61852778244065e-13,3340738.17254556
"m68",10206.5998109089,1553.94944790442,2.72695401286244,0,250.11439616134,5.72587212886941,0,4370.52607538299,0,0,0,0,0,0,0,-4.58300064565265e-13,3300260.57259424
"m69",10064.291337784,1529.39002761018,2.70010318335828,0,249.154619601023,-7.50201397016397,0,4382.48114062305,0,0,0,0,0,0,0,-4.61852778244065e-13,3260297.98952304
"m70",9924.00011509423,1505.2247724513,2.67351673933391,0,248.222228344695,-20.3774290904321,0,4394.16694495206,0,0,0,0,0,0,0,-4.58300064565265e-13,3220843.64376141
"m71",9805.86307332016,1486.79492643305,3.05822881299991,0,247.315882399049,243.037297690875,0,4405.48832420106,0,0,0,0,0,0,0,-4.76063632959267e-13,3202357.15966067
"m72",10734.3194299956,1608.9894603536,3.02803293862199,0,246.433781347017,5644.50846983425,0,4418.03460282484,0,0,0,0,0,0,0,-4.58300064565265e-13,3162817.09827643
"m73",10579.9597092018,1582.35249020113,2.99813520767453,0,245.552039545831,-78.7836093142244,0,4435.78263205448,0,0,0,0,0,0,0,-4.68958205601666e-13,3123792.21591096
"m74",10433.2563844044,1561.32198282884,2.96853267639429,0,244.69696261815,7.65177328771074,0,4453.01264424934,0,0,0,0,0,0,0,-4.65405491922866e-13,3099283.81854439
"m75",10283.3797479058,1535.53776071178,2.9392224300837,0,243.867096585424,-68.477721151372,0,4469.83822150575,0,0,0,0,0,0,0,-2.41584530158434e-13,3061166.6252172
"m76",10135.6996780828,1510.18692557625,2.91020158282391,0,243.062654252938,-63.2563362697183,0,4486.32679082614,0,0,0,0,0,0,0,-6.85673740008497e-13,3023544.72571406
"m77",9990.18162291451,1485.26213221991,2.88146727719058,0,242.283709981172,-57.6068742158229,0,4502.53624787421,0,0,0,0,0,0,0,-2.1316282072803e-13,2986411.42689751
"m78",9846.79273736096,1460.75616042355,2.85301668397261,0,241.438964562375,-43.7718714849911,0,4518.43439797421,0,0,0,0,0,0,0,-2.27373675443232e-13,2949760.12874411
"m79",9705.50112106531,1436.66191282031,2.82484700189351,0,240.423907343897,-37.7485102342077,0,4534.03213131906,0,0,0,0,0,0,0,-9.05941988094128e-13,2913584.32345538
"m80",9566.27548709874,1412.97241280122,2.79695545733562,0,239.427847326437,-31.7690672722874,0,4549.33796000015,0,0,0,0,0,0,0,-6.82121026329696e-13,2877877.59369204
"m81",9429.08506664224,1389.68080245659,2.76933930406699,0,238.451438247727,-26.0431042563735,0,4564.3598447426,0,0,0,0,0,0,0,-2.38031816479634e-13,2842633.61128743
"m82",9293.89958933531,1366.78034055237,2.74199582297101,0,237.494889213279,-20.4689515967591,0,4579.10455374799,0,0,0,0,0,0,0,-6.85673740008497e-13,2807846.13597953
"m83",9180.66255530469,1349.76140961504,3.23874089110149,0,236.557552752002,253.654852617718,0,4593.5029123019,0,0,0,0,0,0,0,-1.17239551400417e-12,2792588.47125273
"m84",10053.8272267701,1455.5706092355,3.20665841218438,0,235.636823411808,3779.45504556285,0,4609.17750963463,0,0,0,0,0,0,0,-6.78568312650896e-13,2757707.09103758
"m85",9904.98310866207,1430.40847433637,3.17489373746589,0,234.709002356757,-48.5860855103424,0,4630.41178115528,0,0,0,0,0,0,0,-6.78568312650896e-13,2723289.20825153
"m86",9763.55969492914,1410.58462549503,3.14344371882556,0,233.800465660283,31.9405170313169,0,4651.10815119659,0,0,0,0,0,0,0,-2.23820961764432e-13,2702614.66834479
"m87",9619.15628439581,1386.26744642827,3.11230523932772,0,232.910088606471,-43.7632443315224,0,4671.40102164307,0,0,0,0,0,0,0,-4.68958205601666e-13,2669007.36181449
"m88",9476.93709807393,1362.37849623483,3.08147521291261,0,232.037939091773,-41.1899267789863,0,4691.33912780308,0,0,0,0,0,0,0,-2.1316282072803e-13,2635845.2379829
"m89",9336.86773564237,1338.91016052189,3.05095058409049,0,231.184238645306,-38.1359136694452,0,4710.97174268014,0,0,0,0,0,0,0,-6.71462885293295e-13,2603122.12689374
"m90",9198.91468434716,1315.85496089011,3.02072832763886,0,230.349206251387,-28.4598106831957,0,4730.26361938715,0,0,0,0,0,0,0,-9.13047415451729e-13,2570831.94702805
"m91",9063.04519682007,1293.20555249983,2.99080544830261,0,229.532435152394,-25.0989597451896,0,4749.22388022222,0,0,0,0,0,0,0,-4.47641923528863e-13,2538968.70400201
"m92",8929.22711053562,1270.95472168067,2.96117898049717,0,228.73332003891,-21.717315342411,0,4767.86020966925,0,0,0,0,0,0,0,0,2507526.48928315
"m93",8797.42879457411,1249.09538358409,2.93184598801462,0,227.951678413799,-18.5176006744605,0,4786.18037887444,0,0,0,0,0,0,0,-4.58300064565265e-13,2476499.4789264
"m94",8667.61914283302,1227.62057987799,2.90280356373266,0,227.318840769225,-15.4033086366301,0,4804.19095350498,0,0,0,0,0,0,0,1.4210854715202e-14,2445881.93233004
