Time,PREM_INC,DEATH_OUTGO,DISAB_OUTGO,INIT_EXP,REN_EXP,INIT_COMM_V,REN_COMM_V,PHIBEN_OUTGO,PHIBEN_OUTGO_BLL,CR_BEN_OUTGO,RETR_OUTGO,DTH_OUTGO,DREADDIS_OUTGO,TEMPDIS_OUTGO,RIDERC_OUTGO,RISK_ADJ,COVERAGE_UNITS
2023-06-30,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,338416875.74
2023-07-30,299918.508770353,14541.4081723413,2004.83225280823,0,21266.393239459,0,0,34002.6169923762,0,88.8621420961043,904.444386244505,0,0,0,0,-235.526593807154,337350991.509001
2023-08-29,298195.121285927,14480.2330312795,1997.93340501201,0,21197.4797255598,0,0,58931.7057364787,0,87.9314999602106,879.153395945182,0,0,0,0,-464.364058250111,335679914.754608
2023-09-28,296351.814239963,14448.0882227536,1984.35237679393,0,21139.5655063454,0,0,67284.7688727017,0,87.0109813270937,854.570363645257,0,0,0,0,-532.673416209121,333933003.876531
2023-10-28,295900.242351428,14399.5659648983,1987.8428541412,0,21068.957325454,0,0,72285.7913258905,0,86.1004711539975,830.675450610792,0,0,0,0,-572.088889486612,332557025.525309
2023-11-27,295407.81845958,14574.8465219235,1987.64741167984,0,20998.5532626952,0,0,75419.8298341926,0,85.1998557673218,807.449374641494,0,0,0,0,-601.508932223568,331691466.412885
2023-12-27,295318.943410432,14849.8872065583,1975.55425660541,0,20846.8687567795,0,0,77976.467899446,0,85.2800381485674,805.905067724319,0,0,0,0,-625.139956309232,331056454.623631
2024-01-26,293525.791570827,14861.1182498479,1963.78838060863,0,20696.1223231243,0,0,79722.1814341853,0,84.9589533585282,783.181109922481,0,0,0,0,-633.164289919626,329556376.76676
2024-02-25,292018.208535863,14763.9895276524,1947.45077919732,0,20627.1135423613,0,0,81593.8665880887,0,84.0791432245282,761.099020369877,0,0,0,0,-646.122589413316,327488567.153532
2024-03-26,292194.68393877,14725.3040086476,1992.87210147749,0,20558.3351644453,0,0,83343.1896752991,0,84.0236739903028,774.019277263178,0,0,0,0,-656.256287181742,326960028.463992
2024-04-25,292274.470291585,14883.838766987,1993.22672307858,0,20489.6693904471,0,0,85055.4309656426,0,83.1541236258383,751.989546938184,0,0,0,0,-665.055352654716,325893953.777469
2024-05-25,291353.532314484,14867.9149822612,1976.28538114041,0,20421.1722998382,0,0,86481.6499514822,0,83.5417858900402,730.587496577742,0,0,0,0,-672.910550241007,324737095.441565
2024-06-24,291005.75940253,14831.4224272254,1974.079591027,0,20352.888728308,0,0,87871.9536171562,0,83.6540241810593,709.795222319815,0,0,0,0,-682.207927964895,323430106.164439
2024-07-24,290926.253409959,14796.8432333736,1996.8035739579,0,20284.769876089,0,0,89149.1827321146,0,82.7980189209503,689.595331561748,0,0,0,0,-690.878670465877,322420781.466835
2024-08-23,290204.229513096,14733.0950839584,1990.61622830158,0,20216.8143106868,0,0,90325.199685423,0,81.9511143269569,669.970928344298,0,0,0,0,-687.746008868319,320817680.806665
2024-09-22,288848.932354585,14699.3657047786,1978.40691425794,0,20149.0717919553,0,0,91275.6650862395,0,81.1132092345751,650.905599153979,0,0,0,0,-688.592773628268,319143909.057459
2024-10-22,288574.510668569,14655.3051912317,1983.62016156179,0,20081.5420714972,0,0,92265.3971544594,0,80.2842036587071,632.383399131751,0,0,0,0,-690.739063579721,317841605.297153
2024-11-21,288236.405888522,14845.8769475715,1984.93008473099,0,20014.1982349818,0,0,93096.177812335,0,79.4639987792585,614.388838676397,0,0,0,0,-698.526310736476,317019431.118548
2024-12-21,288931.635471994,15128.515750634,1973.19087414886,0,19947.0709297768,0,0,93989.3717348993,0,79.5654334231309,612.472362882125,0,0,0,0,-707.358974143242,316644523.066387
2025-01-20,288362.763162842,15143.6689779134,1962.47491452556,0,19880.0965434761,0,0,94838.7778755932,0,79.2894998402485,594.901554864063,0,0,0,0,-713.209691875197,315501935.479453
2025-02-19,286867.064525843,15046.305668064,1945.87314565291,0,19813.3420672844,0,0,95574.7198153515,0,78.4879991676683,577.835720421101,0,0,0,0,-716.451581972742,313515532.766713
2025-03-21,287074.527888635,15003.9080253397,1993.6486429991,0,19746.8050576286,0,0,96288.1657447163,0,78.4145320767288,587.317762729183,0,0,0,0,-718.132784302201,313015308.172623
2025-04-20,287167.216890497,15171.3408506639,2000.17891668974,0,19680.8263096334,0,0,97037.0605901623,0,77.6225165747137,570.312167179665,0,0,0,0,-719.36034267234,311990995.231624
2025-05-20,286300.792352171,15163.0341090465,1983.19187314567,0,19614.9953841383,0,0,97593.7209802557,0,78.0093425450336,553.799512391122,0,0,0,0,-720.527725786086,310888604.948683
2025-06-19,285107.583364372,15125.6308410137,1984.77882909324,0,19473.1831387103,0,0,97920.9715570537,0,78.1833916996108,537.765493286629,0,0,0,0,-724.181890673033,309121666.89979
2025-07-19,284186.419471487,15090.9835129527,2010.13401891282,0,19333.3164793884,0,0,98173.2212212552,0,77.403164131744,522.196220398948,0,0,0,0,-714.656453841903,307793329.014485
2025-08-18,283523.630822097,15022.5161010656,2006.96330191631,0,19268.1955133918,0,0,98678.4976436325,0,76.6310283784094,507.078207781609,0,0,0,0,-713.654983005563,306258796.972675
2025-09-17,282180.930370556,14990.5361724048,1993.86459766291,0,19203.2715692386,0,0,98961.5147105401,0,75.866896614444,492.398361272037,0,0,0,0,-711.344979183551,304658390.889904
2025-10-17,281941.801250042,14943.0480214734,2000.70849055691,0,19138.543611938,0,0,99361.5623906563,0,75.1106820159171,478.143967096465,0,0,0,0,-710.314929505628,303429827.674876
2025-11-16,281698.129185147,15138.4668345174,2003.26177542604,0,19073.9838062155,0,0,99664.3875461165,0,74.3622987481507,464.302680806658,0,0,0,0,-713.371993621133,302652702.139295
2025-12-16,282463.992320086,15419.7949765126,1992.38120492558,0,19009.623768693,0,0,100112.0194487,0,74.4820906043917,462.203885098272,0,0,0,0,-716.578194681141,302309435.433181
2026-01-15,281953.878728128,15441.1219359858,1983.25161815882,0,18945.3980732952,0,0,100575.097905785,0,74.2461527785795,448.720165799836,0,0,0,0,-717.638195904824,301228351.443103
2026-02-14,280612.09895176,15341.8271632773,1966.98300144012,0,18881.378388154,0,0,100961.992509896,0,73.5146517198122,435.630503139511,0,0,0,0,-716.486590721347,299327499.005525
2026-03-16,280878.390020424,15299.8374821318,2017.14708454482,0,18817.5624631176,0,0,101326.350024464,0,73.4276844191701,442.385917033582,0,0,0,0,-713.665862519806,298861837.249395
2026-04-15,281004.822995836,15505.2911282845,2020.12621980998,0,18753.9339032691,0,0,101785.215950391,0,72.7049415093678,429.364836347426,0,0,0,0,-710.743053475673,297876729.086165
2026-05-15,280160.754204346,15487.387873483,2004.69325050734,0,18690.4393218806,0,0,102086.542929018,0,73.0901290896272,416.727452655255,0,0,0,0,-707.861118907542,296822127.57992
2026-06-14,278984.340205998,15449.0756544239,2010.53735513622,0,18554.495801184,0,0,102363.815014748,0,73.3204183713044,404.462446266868,0,0,0,0,-706.620228062608,295102867.911605
2026-07-14,278937.891656546,15412.9636787618,2044.60973035033,0,18491.6263486291,0,0,102826.441599309,0,72.6079730930548,392.558831836105,0,0,0,0,-706.612347969985,294184887.56729
2026-08-13,278288.276914846,15346.7398105464,2042.58215011234,0,18428.9343925688,0,0,103384.259363422,0,71.9027245306707,381.005948473664,0,0,0,0,-705.437310830831,292711642.221708
2026-09-12,277011.927619735,15306.3474170693,2029.39015858376,0,18366.4247962081,0,0,103711.479101527,0,71.2045965288024,369.793450152654,0,0,0,0,-703.003331233623,291177022.791857
2026-10-12,276794.148349758,15258.0307831258,2039.07976548662,0,18304.0980502559,0,0,104101.624532924,0,70.5135137799784,358.91129639821,0,0,0,0,-701.452337075745,290014668.735036
2026-11-11,276606.438070545,15422.192656341,2043.2934069751,0,18241.9244366753,0,0,104376.683789376,0,69.8294018146787,348.349743252744,0,0,0,0,-703.785550539376,289276714.658523
2026-12-11,277416.960743899,15696.4632404693,2032.57376985434,0,18179.9360408246,0,0,104814.103600896,0,69.965222905205,346.19153757625,0,0,0,0,-707.668276136859,288958502.81861
2027-01-10,276931.555712539,15710.9544539866,2023.23506770372,0,18128.0543569255,0,0,105254.776684285,0,69.7648740586363,335.932224120683,0,0,0,0,-708.757155456774,287932321.364601
2027-02-09,272654.591747233,15591.7100086931,2006.50244508234,0,17936.9639042749,0,0,103532.49725242,0,69.0960653688451,325.97747628847,0,0,0,0,-706.904113158272,284271881.371563
2027-03-11,272953.619901245,15530.0596093063,2059.46996466965,0,17887.9764084652,0,0,103918.210780147,0,68.9993258255783,330.567906597362,0,0,0,0,-704.602555006436,283852824.441039
2027-04-10,273137.702892903,15723.469628586,2063.68146769989,0,17840.2080935539,0,0,104338.064062569,0,68.338593833172,320.690794642577,0,0,0,0,-701.969244245832,282923826.172069
2027-05-10,272331.773799666,15689.7251641753,2046.2677135957,0,17793.5551305678,0,0,104646.585613735,0,68.7217103806248,311.109146773905,0,0,0,0,-699.230811735774,281932942.792791
2027-06-09,271970.360809157,15633.5285111194,2053.25197765207,0,17748.0586283204,0,0,104981.608338301,0,69.0036890277711,301.814113980012,0,0,0,0,-697.938956809331,280786716.555276
2027-07-09,271122.353542656,15563.0515140645,2090.80857173494,0,17639.0060915944,0,0,105019.900321963,0,68.3519977840333,292.797112593384,0,0,0,0,-697.493362453483,279655906.521768
2027-08-08,270506.197888621,15477.8390683116,2089.91364064987,0,17596.0839944166,0,0,105555.020512758,0,67.7067074477276,284.049816324055,0,0,0,0,-697.062111362936,278255290.52271
2027-09-07,265362.011475812,15428.0748525143,2077.29845468542,0,17351.1654641672,0,0,103066.152889777,0,67.0677520839033,275.564148532796,0,0,0,0,-695.268386550506,275559972.031065
2027-10-07,264756.307107706,15347.986768341,2088.65369995643,0,17274.8269752022,0,0,103485.200668751,0,66.4350664735189,267.332274736569,0,0,0,0,-694.155316906112,274456946.704929
2027-11-06,264693.895475468,15548.3015345995,2094.34389473805,0,17236.0152446938,0,0,103806.07257287,0,65.8085861052495,259.346595339241,0,0,0,0,-697.018421111422,273782396.995884
2027-12-06,263768.129116366,15856.1704493297,2083.91892154381,0,17135.3216451569,0,0,102454.705667204,0,65.9585992441649,257.258894794795,0,0,0,0,-657.10782513845,272828860.412002
2028-01-05,263378.984984611,15893.2891209941,2075.44955778312,0,17098.9861258491,0,0,102865.881519454,0,65.7900858236548,249.526505557628,0,0,0,0,-656.802718634981,271888071.15783
2028-02-04,262039.260489575,15791.9580979878,2058.48214894529,0,17063.7147720264,0,0,103185.144493187,0,65.1775422523507,242.026922520363,0,0,0,0,-655.107855152203,270102842.987487
2028-03-05,262421.998364214,15748.1386561316,2118.06283334439,0,17029.5198901958,0,0,103529.696588018,0,65.0741208717552,244.988869699136,0,0,0,0,-652.324912031889,269727335.301891
2028-04-04,262710.212585098,15989.2693211224,2126.52102269698,0,16978.4478963738,0,0,103944.115940584,0,64.4690158936363,237.571933492886,0,0,0,0,-649.602212981607,268851260.834217
2028-05-04,262020.607683074,15973.4744295188,2108.53348541705,0,16927.8325920997,0,0,103926.681406551,0,64.8499428353578,230.379807393434,0,0,0,0,-646.803169541436,267920210.212274
2028-06-03,260053.240538435,15937.1046371447,2122.36332483414,0,16768.9889480048,0,0,102769.908892427,0,65.1799825787345,223.405669100323,0,0,0,0,-615.218413637118,266050955.464121
2028-07-03,260160.418992548,15886.6368304977,2165.75652729706,0,16719.836280743,0,0,103103.338189887,0,64.5804240074004,216.642903603467,0,0,0,0,-614.784997661965,265250253.911151
2028-08-02,259620.488719586,15819.9427694688,2165.83140537472,0,16671.2022837278,0,0,103650.889510499,0,63.986598290766,210.085096876933,0,0,0,0,-614.055925886473,263924493.961472
2028-09-01,258210.384922386,15790.4600277924,2152.99617114671,0,16623.0573881165,0,0,103912.587527574,0,63.3984479373299,203.726029764811,0,0,0,0,-612.366010708736,262476166.064836
2028-10-01,256765.032242738,15728.9927149436,2168.47238216767,0,16510.9892788162,0,0,103523.026721698,0,62.815916063766,197.559672053319,0,0,0,0,-611.033819679946,261134558.366191
2028-10-31,256798.373902635,15929.0852571388,2177.88570646789,0,16464.1149857687,0,0,103830.451792739,0,62.2389463881336,191.580176723459,0,0,0,0,-612.402345335687,260506365.512851
2028-11-30,256710.01307669,16235.1129493075,2167.87378000614,0,16351.3953351719,0,0,103934.63413399,0,62.399499959939,189.651844519968,0,0,0,0,-612.807698445701,259868517.077187
2028-12-30,256376.098751694,16278.9954704219,2159.1412676026,0,16305.6800403613,0,0,104403.056122175,0,62.2574371531884,183.882240033388,0,0,0,0,-612.709554596924,258984100.983096
2029-01-29,255081.822708129,16175.2114247372,2142.18397436076,0,16260.4496822636,0,0,104755.509314028,0,61.6933398195007,178.288443169566,0,0,0,0,-611.219794722549,257281328.864523
2029-02-28,255486.561131066,16131.8458831272,2206.75643116086,0,16215.6957412136,0,0,105146.200484292,0,61.5836729018284,180.06165397606,0,0,0,0,-608.692148511955,256938306.867162
2029-03-30,253863.589381537,16392.0159889607,2217.29324958621,0,16061.2087785142,0,0,104907.649304986,0,61.0264916423616,174.551451509416,0,0,0,0,-606.186298296079,255532869.94585
2029-04-29,253253.774216309,16374.156930106,2206.31004605319,0,16032.8969381326,0,0,105251.241221436,0,61.4033257208525,169.210072192423,0,0,0,0,-603.675205609282,254656086.253598
2029-05-29,252886.122056374,16337.9461068298,2222.49994670665,0,16005.35521475,0,0,105549.951570173,0,61.7692818892714,164.032337264106,0,0,0,0,-602.79805549616,253615754.200764
2029-06-28,253009.059401758,16279.0099187516,2270.65543940962,0,15978.5690368124,0,0,105946.528264928,0,61.211967665223,159.013227022912,0,0,0,0,-602.55230497506,252864193.859914
2029-07-28,252506.953842723,16211.1822972433,2271.50235175418,0,15952.6052208337,0,0,106539.878554903,0,60.6598700627367,154.147875935212,0,0,0,0,-601.962964489374,251595481.835651
2029-08-27,251123.917513206,16155.877024721,2258.20476668899,0,15917.5328989443,0,0,106885.41221784,0,60.1129379843395,149.43156789443,0,0,0,0,-600.249561421322,250209087.811414
2029-09-26,250887.660259472,16099.6295021792,2276.68980537631,0,15893.1579778301,0,0,107323.081315047,0,59.5711208594865,144.859731626136,0,0,0,0,-598.963587515629,249247443.606048
2029-10-26,250924.168753875,16232.9984816658,2285.45159086589,0,15855.4554554164,0,0,107678.684686504,0,59.0343686388322,140.427936234622,0,0,0,0,-599.885237035375,248649971.07866
2029-11-25,251658.487876558,16543.4431272201,2282.05232762126,0,15832.6814842102,0,0,108159.575954912,0,59.2003437931207,138.712104204635,0,0,0,0,-600.334894739397,248359304.256
2029-12-25,251350.262348176,16591.0956863283,2276.26497167561,0,15810.6390787297,0,0,108695.58803741,0,59.0741399162842,134.451910142615,0,0,0,0,-600.469427532598,247520010.812998
2030-01-24,249283.468801683,16483.2984160755,2258.6192724656,0,15719.3238489576,0,0,108702.116264712,0,58.5434645980139,130.322755110613,0,0,0,0,-587.293092958068,245546278.240451
2030-02-23,249723.527362828,16437.5404661836,2331.46235593236,0,15694.7328543385,0,0,109126.210353643,0,58.4197978189283,131.258410088464,0,0,0,0,-585.024006853665,245228453.097838
2030-03-25,249114.948557216,16680.5523608772,2343.59611474388,0,15609.3996183067,0,0,109250.498498657,0,57.8936492294649,127.210191520451,0,0,0,0,-582.223749794212,244056027.425155
2030-04-24,247930.049489639,16663.1720436766,2332.18761880391,0,15525.3797091452,0,0,109421.223891961,0,58.2524846944052,123.286976047882,0,0,0,0,-579.860366470834,242916323.220505
2030-05-24,246799.838565119,16625.7601873005,2348.93771552446,0,15439.2652954426,0,0,109378.654733389,0,58.6425074265702,119.484899026717,0,0,0,0,-578.391708203395,241136294.172957
2030-06-23,246951.04522431,16560.8694268757,2402.29923485947,0,15417.6962745843,0,0,109923.093291358,0,58.1157421537204,115.800215443165,0,0,0,0,-578.200753344778,240435506.992514
2030-07-23,246483.335401266,16489.470733115,2400.7602578309,0,15396.7931649585,0,0,110633.23501164,0,57.5938788902299,112.229296205809,0,0,0,0,-577.426098779523,239225152.266566
2030-08-22,244773.624061794,16459.5416358462,2386.7904819447,0,15313.756731397,0,0,110764.063775528,0,57.0768699583052,108.768624552804,0,0,0,0,-575.32007147459,237669786.014125
2030-09-21,242737.973543331,16396.3287783938,2408.50627657846,0,15172.3400614248,0,0,110174.428820097,0,56.5646681680114,105.414792570568,0,0,0,0,-574.015728985117,236197796.702319
2030-10-21,242866.229986258,16526.0731207201,2418.07215552583,0,15140.348114113,0,0,110547.364175819,0,56.05722681201,102.164497820514,0,0,0,0,-574.835014352527,235648377.402784
2030-11-20,242840.478888636,16818.3728262538,2413.15720748009,0,15061.6852986962,0,0,110564.359834851,0,56.2195145662227,100.683144590748,0,0,0,0,-574.794265678379,235193367.787559
2030-12-20,242577.088138807,16868.7504190605,2410.8157034992,0,15044.5540682228,0,0,111175.932188736,0,56.1032506074012,97.5711451345275,0,0,0,0,-574.844387603467,234416061.007487
2031-01-19,241316.032136126,16757.6333359004,2392.61448028817,0,15028.0113761797,0,0,111643.421827107,0,55.6014058751811,94.5554665853578,0,0,0,0,-573.546299817184,232854479.298711
2031-02-18,241794.310538344,16711.5244271669,2470.99693060948,0,15002.0254624477,0,0,111996.822745343,0,55.4641621275569,94.922413465883,0,0,0,0,-571.269275908745,232573612.20008
2031-03-20,241948.902105731,16978.2501735285,2484.70824934792,0,14976.4499584756,0,0,112442.515515846,0,54.9668135149373,91.9823412173084,0,0,0,0,-568.959657758592,231781812.099144
2031-04-19,241334.382634574,16958.6579093027,2472.79035437666,0,14951.2501694634,0,0,112830.871008839,0,55.3079975120324,89.1334418075424,0,0,0,0,-566.461397986891,230971499.834608
2031-05-19,240967.279879055,16920.5894675173,2503.49202760566,0,14926.4570281541,0,0,113280.983871902,0,55.7199318478871,86.3728844729722,0,0,0,0,-566.283755475088,230011971.194252
2031-06-18,241098.097796948,16856.2923508278,2560.78423419613,0,14902.043920015,0,0,113685.638737184,0,55.221535564203,83.6979264502063,0,0,0,0,-566.564611642621,229351905.358439
2031-07-18,239258.451221652,16782.4861393436,2564.18394888409,0,14822.6496224881,0,0,112404.497855067,0,54.7277511892969,81.1059102369217,0,0,0,0,-566.965268365691,227576197.127408
2031-08-17,237979.84216336,16753.4063720998,2549.27043582552,0,14799.2716751581,0,0,112687.981840302,0,54.2385341768061,78.594260938083,0,0,0,0,-566.145670412747,226310134.843062
2031-09-16,237637.445453964,16694.0423428097,2575.11062249054,0,14776.3539934769,0,0,113089.493545688,0,53.7538404326707,76.1604836948669,0,0,0,0,-566.292129322148,225445042.996967
2031-10-16,237895.037042703,16901.5172336617,2592.63040525757,0,14753.8167074973,0,0,113398.671554253,0,53.2736263102913,73.8021611937139,0,0,0,0,-567.576203661824,224929469.304878
2031-11-15,235535.121494663,15917.2124955125,2587.87605392814,0,14675.0168139314,0,0,108437.217878081,0,53.4316987074182,72.5546392329326,0,0,0,0,-563.958142494546,222417579.995882
2031-12-15,235325.973158455,15991.5006838425,2583.01285865486,0,14653.4324672196,0,0,108959.120030726,0,53.3242172327681,70.3061304699003,0,0,0,0,-564.286609252191,221703078.762578
2032-01-14,233256.945960929,15891.3749468023,2563.13110955806,0,14572.9722114718,0,0,109238.747606219,0,52.8491693980836,68.1273892391671,0,0,0,0,-563.333873275432,219952526.434874
2032-02-13,233766.860878117,15857.781052727,2646.47770568778,0,14552.3534217385,0,0,109607.275643542,0,52.7007486225545,68.1255049218008,0,0,0,0,-561.471021431975,219715520.876841
2032-03-14,233087.432105876,16151.3091833705,2661.72497399402,0,14467.8068267419,0,0,109708.010040237,0,52.2301532603639,66.015298920648,0,0,0,0,-559.619656113215,218561418.450777
2032-04-13,232506.980694278,16143.103875708,2649.02800149246,0,14447.8496843826,0,0,110053.886482797,0,52.5540826791885,63.9705342800785,0,0,0,0,-557.530465473996,217813171.879089
2032-05-13,230975.92946068,16118.3882343038,2673.82239000873,0,14311.0290332462,0,0,109370.950161249,0,52.9859559450956,61.9891790881431,0,0,0,0,-555.252004596319,216121732.371881
2032-06-12,231227.613796443,16060.8675228124,2732.22001936801,0,14292.0827001661,0,0,109939.861177837,0,52.5139291414458,60.0692646004836,0,0,0,0,-555.639777692937,215532273.751732
