Time,PREM_INC,DEATH_OUTGO,DISAB_OUTGO,INIT_EXP,REN_EXP,INIT_COMM,REN_COMM,PHIBEN_OUTGO,PHIBEN_OUTGO_BLL,CR_BEN_OUTGO,RETR_OUTGO,DTH_OUTGO,DREADDIS_OUTGO,TEMPDIS_OUTGO,RIDERC_OUTGO,RISK_ADJ,COVERAGE_UNITS
2023-06-30,0.0,0.0,0.0,144696.242299222,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1052290.32820139,5366047317.39778
2023-07-30,3724663.23669345,841387.099603978,100153.380369459,0.0,135454.249790491,-258235.018499398,81165.2807175084,87406.4854551997,0,123.201215571222,30181.7395852233,0,29313.7419739536,2515.14496542967,0,1.3535839116229898e-12,5235955592.68245
2023-08-29,3660729.32244488,823823.173395936,96627.0667041933,0.0,132265.155784517,216753.655428085,83100.4243564572,144728.018641858,0,121.377246030531,28703.2955620433,0,27193.5298464834,2391.94129683232,0,1.27009514017118e-13,5130544221.76224
2023-09-28,3630239.56621437,813943.341664689,94358.6174870236,0.0,129794.358945491,888795.039899189,94391.5658809174,163870.142339437,0,121.498629611311,27508.14507462,0,25461.3361404862,2292.34542287977,0,-9.37916411203332e-13,5046128671.94996
2023-10-28,3593739.51109475,803484.969731023,92276.348215368,0.0,127297.904401128,658306.869710898,96735.9060924389,174932.958257651,0,120.614609731572,26350.7419645583,0,23923.9485387083,2195.89516370822,0,-2.1938006966593097e-12,4965316529.99025
2023-11-27,3555910.01420897,794742.289029817,90409.7742524837,0.0,124561.2619334,763198.298131276,112533.921040385,182081.292474691,0,119.520642013504,25036.1745606987,0,22547.8380512054,2086.34788005306,0,3.58824081558851e-13,4887073811.14278
2023-12-27,3521959.09408733,788927.904977013,88992.9974442402,0.0,121784.345492311,838749.584553222,108454.893983271,187794.586754058,0,117.774602484785,23766.0740016307,0,21242.5602754554,1980.50616679871,0,-7.20845605428622e-12,4814912459.19757
2024-01-26,3495171.12425838,784018.389596682,87417.3680142021,0.0,119175.449659801,952836.288096883,96510.2433192818,192857.8652225,0,116.822404889166,22537.8222725278,0,20035.1716595314,1878.15185604058,0,1.5955237131492998e-11,4748303121.48683
2024-02-25,3455222.09244227,775703.710379623,85766.8237365553,0.0,116786.502058501,450367.523353419,75379.4328501198,196881.996411211,0,115.154059006423,21328.692709697,0,18887.4239684636,1777.39105913851,0,6.84252654536976e-12,4673423630.43999
2024-03-26,3413913.95126658,767442.179856247,84437.2686734456,0.0,114231.00237341,638866.221456409,73608.44802743,200412.902087742,0,115.120557875966,20167.3959062206,0,17828.6424616659,1680.61632551538,0,1.2470025012589799e-11,4601905404.58085
2024-04-25,3384626.04358967,761547.038379645,83655.742096269,0.0,112095.561568045,748104.57009742,82375.5760358949,203513.798654835,0,113.471641105824,19185.3169005631,0,16841.2394331872,1598.77640837735,0,2.79776202205539e-12,4539099792.89906
2024-05-25,3351340.42787597,754262.099772712,82631.6124641164,0.0,109947.003741707,700445.931272472,79442.8027202809,206525.718598053,0,111.832365135611,18195.1766850451,0,15908.093639393,1516.26472375353,0,-1.17950094136177e-12,4474778798.46007
2024-06-24,3324340.8584358,748702.724649474,81428.1948016625,0.0,107701.744472555,1019590.5534012,81785.1582889163,209865.710442168,0,110.424067030133,17232.8257646202,0,15050.4067086648,1436.06881371812,0,-2.27196039759292e-12,4414086618.84989
2024-07-24,3268068.50238065,736357.747104289,79487.9217097166,0.0,105493.411350959,-99849.9851297944,55809.6093134023,212393.423185215,0,108.828529860516,16319.7157488976,0,14196.9318223057,1359.97631240731,0,3.82804898890754e-12,4341089328.84674
2024-08-23,3227824.58267732,728761.695115729,77828.4262475385,0.0,103645.781422225,46072.1355203139,64092.5973002148,214544.557184905,0,107.520695938475,15597.345553453,0,13388.8847611455,1299.77879612078,0,-3.37507799486048e-13,4276950802.07566
2024-09-22,3203501.436038,729501.332107468,76909.8020353739,0.0,101628.270767652,221428.62599919,69605.3313327467,216845.257680416,0,107.334327673255,14803.5221510249,0,12623.746245945,1233.62684591796,0,-5.696776383956599e-12,4221821646.83551
2024-10-22,3171319.53391822,727614.197779692,75877.6078283239,0.0,99612.3244753143,150265.595756508,59293.7815668183,219144.470261797,0,106.771534407503,13978.0387221247,0,11918.0984852804,1164.83656017423,0,-2.8546054409161997e-12,4165168475.07515
2024-11-21,3142900.10549793,724090.544592295,74892.8578694954,0.0,97786.9696706729,200878.102052591,66510.9996218574,221230.673513863,0,105.54552996479,13250.7374075696,0,11267.8328905599,1104.22811729544,0,8.03446198460733e-12,4109652346.06714
2024-12-21,3118174.09317278,726773.14013756,74230.7612530825,0.0,95839.1674078419,223161.647339158,63037.3976102621,223222.656013826,0,103.903207113748,12553.7597975964,0,10639.516299255,1046.1466497977,0,2.28972396598692e-12,4058600542.00928
2025-01-20,3101433.70438023,732892.033080085,73423.9907729382,0.0,94190.0770086157,255207.153523274,57187.9679855583,225270.256376571,0,102.914514163355,11982.3674061891,0,10046.2092789744,998.530617181307,0,1.56319401867222e-13,4011445833.4953
2025-02-19,3068314.74077543,732229.618272036,72484.7201197221,0.0,92497.186829657,129483.329522846,44346.5758592335,226747.177014277,0,101.297858550425,11425.4146910916,0,9477.69281073065,952.117890921853,0,-1.08180131519475e-12,3955531633.25364
2025-03-21,3040605.64411513,730006.278953356,71829.5504023385,0.0,91035.3162015615,167693.513228829,46233.9558296519,228073.376642969,0,100.841807226972,10866.8645524434,0,8954.65898187256,905.572046034464,0,-1.80122583515185e-12,3903814560.66377
2025-04-20,3020065.42210674,731537.315291,71440.9717852348,0.0,89714.573265225,220669.531785432,50252.5510845476,229139.016509204,0,99.3597610784843,10433.3154243407,0,8460.01926341542,869.442952025166,0,6.64890364987514e-12,3856909831.21765
2025-05-20,2994360.93633345,728852.487025524,70964.8453658708,0.0,88316.1778602366,198910.854723133,46926.351493526,230146.367415012,0,97.9001823815321,9961.95444497314,0,7989.44598515561,830.162870413591,0,-4.43023395746422e-12,3806716135.81332
2025-06-19,2978212.07500851,727956.44736937,70265.0068203233,0.0,87110.1557792194,275279.427141279,47875.4617985721,231525.516327325,0,96.644626632171,9636.28349101891,0,7546.69865536383,803.023624250487,0,8.26005930321116e-12,3758808897.71901
2025-07-19,2932944.26027657,716414.123745739,68769.7713928694,0.0,85852.6938972739,-23213.8225530113,34672.1133175609,231717.293740429,0,95.2215923109098,9288.19435402623,0,7094.76060552937,774.01619616746,0,1.91668902971287e-12,3698813719.37218
2025-08-18,2899699.96322213,709326.560981051,67527.3957708943,0.0,84659.6115812669,99434.0356698348,37074.9640483513,231624.813510202,0,94.0507058413391,8921.84303828768,0,6656.78251323489,743.486919856253,0,5.3388404808174495e-12,3646791595.43147
2025-09-17,2883473.08884603,709322.038255765,67000.8732239136,0.0,83356.645737557,246976.218431396,39610.9464352675,231948.85715918,0,93.8646521859913,8487.81973752552,0,6238.09538830496,707.318311458464,0,1.5276668818842198e-12,3604873278.4377
2025-10-17,2861328.345901,707743.216414899,66425.4245271119,0.0,82098.4208847237,171787.887905028,38243.2477021315,232437.612463358,0,93.6182749835957,8059.73864201634,0,5850.17305432845,671.64488683293,0,-2.87769807982841e-13,3563432142.01897
2025-11-16,2844455.18170166,706410.517820557,65828.99670519,0.0,81066.3686094212,213648.405639373,41360.3446118288,233015.226916086,0,92.8599338610464,7746.99237126169,0,5489.68961635481,645.582697602906,0,7.439382443408249e-12,3524297137.92002
