Time,PREM_INC,DEATH_OUTGO,DISAB_OUTGO,INIT_EXP,REN_EXP,INIT_COMM_V,REN_COMM_V,PHIBEN_OUTGO,PHIBEN_OUTGO_BLL,CR_BEN_OUTGO,RETR_OUTGO,DTH_OUTGO,DREADDIS_OUTGO,TEMPDIS_OUTGO,RIDERC_OUTGO,RISK_ADJ,COVERAGE_UNITS
2023-06-30,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,2296422912.94
2023-07-30,2010010.00469523,92876.230394828,8491.52668185649,0,329583.779400791,0,0,221308.631584901,0,132.568599710033,21175.2928302325,0,0,0,0,-1696.04182935717,2286086930.65112
2023-08-29,2000422.73781384,92788.0319221426,8467.59596913676,0,328375.277676701,0,0,416880.685131561,0,132.292662996625,20658.6749580984,0,0,0,0,-3502.22273482477,2276321973.66609
2023-09-28,1992924.88389582,92547.4409255819,8462.0714292286,0,327369.544430762,0,0,482222.287762834,0,130.98903570686,20184.2589681888,0,0,0,0,-4088.35148186951,2265944973.40971
2023-10-28,1989208.02089651,93157.701312126,8500.00516428246,0,326090.666381628,0,0,521457.972458857,0,130.624167094556,19702.6009834116,0,0,0,0,-4448.43324971265,2258039598.29508
2023-11-27,1986578.9551729,93821.7755632872,8481.16641231433,0,324820.567101745,0,0,546784.302203135,0,130.268016103158,19185.1882599457,0,0,0,0,-4672.24115257638,2250702605.43385
2023-12-27,1980519.20433848,94229.7269103784,8640.1463612137,0,323401.320190978,0,0,566058.294312335,0,129.415349800357,18741.0726073197,0,0,0,0,-4832.57275083744,2240644105.46158
2024-01-26,1975994.27361843,95086.4675233427,8685.13604606046,0,322240.718785302,0,0,582194.179765513,0,128.148257648364,18246.3441024121,0,0,0,0,-4971.72533775242,2231929023.84631
2024-02-25,1966837.14493786,94822.3348987858,8645.88944441684,0,321009.058604007,0,0,595581.714107224,0,126.893821999475,17794.4427650513,0,0,0,0,-5087.50257331052,2219436273.15922
2024-03-26,1959852.83257415,94782.8735819134,8643.66722073208,0,319703.541864896,0,0,608137.762991989,0,126.434138172311,17383.5977550958,0,0,0,0,-5189.6498825075,2208930833.71482
2024-04-25,1954739.9778269,94833.6261059248,8657.95336786434,0,318448.325631399,0,0,619814.256065813,0,125.843714013128,16934.8394005911,0,0,0,0,-5280.98941654761,2199430715.00406
2024-05-25,1948048.18853002,94644.0717376487,8604.39119651119,0,317241.663672141,0,0,630916.879742851,0,125.309716911939,16565.921380287,0,0,0,0,-5360.04388442518,2188413414.19949
2024-06-24,1941552.25270607,94270.0062212474,8537.52050842849,0,316045.095739569,0,0,641215.473356117,0,124.610501142567,16209.4993167319,0,0,0,0,-5427.980663396,2177613296.68747
2024-07-24,1935044.68712744,94853.8900494055,8504.3044422317,0,314778.619504267,0,0,649121.301546571,0,124.672474035501,15805.2517498394,0,0,0,0,-5486.83592033715,2167303956.32318
2024-08-23,1931546.02369609,94730.5483222058,8481.54681488884,0,313678.872999414,0,0,657714.945094254,0,124.507631702545,15428.5211412069,0,0,0,0,-5541.34749843921,2158343306.49416
2024-09-22,1927690.5457751,94472.4288607989,8479.92168957185,0,312509.389834721,0,0,665678.553806424,0,123.340300606251,15087.7303747055,0,0,0,0,-5598.30311761758,2148705724.87889
2024-10-22,1925339.86368718,95071.3020824119,8528.49504274246,0,311269.963425031,0,0,673530.661895233,0,123.091574358197,14737.1810942519,0,0,0,0,-5647.92320994423,2140969544.12448
2024-11-21,1922086.61779803,95725.5268489262,8512.53324029936,0,310042.268729985,0,0,679708.188428127,0,122.831807008443,14365.536604939,0,0,0,0,-5697.78646145298,2133632752.20452
2024-12-21,1916949.91658792,93992.7514996064,8617.34255943245,0,308693.959225439,0,0,686346.18668161,0,122.085593711494,14036.9806036112,0,0,0,0,-5744.7651969244,2125092826.75109
2025-01-20,1913283.94373957,94939.0141851997,8658.15848790525,0,307642.131369466,0,0,692629.386229609,0,120.947635607705,13670.6967356063,0,0,0,0,-5785.33285153954,2117105187.34228
2025-02-19,1905571.76437208,94727.9026536458,8621.7491314629,0,306518.594653563,0,0,697927.335148864,0,119.820305110553,13340.6303009993,0,0,0,0,-5812.17559051829,2105781179.96892
2025-03-21,1899437.65019784,94712.7044202416,8619.81194803136,0,305326.590191089,0,0,701681.95852123,0,119.455119388662,13038.1464401965,0,0,0,0,-5834.87321109661,2095952980.39586
2025-04-20,1895261.03656212,94832.1621185401,8636.85280911164,0,304220.86481522,0,0,706552.046187939,0,118.949960282188,12708.321197881,0,0,0,0,-5857.81859126606,2087241123.17818
2025-05-20,1888541.59674175,94693.0394070661,8585.78611035473,0,302970.473053796,0,0,710633.959343384,0,118.498335804769,12444.1363137417,0,0,0,0,-5876.52094121504,2076430509.08835
2025-06-19,1882578.91925919,94360.4940800902,8519.26509680732,0,301879.356432948,0,0,715000.016284483,0,117.885081855906,12185.8552202034,0,0,0,0,-5900.01545523627,2066191351.53914
2025-07-19,1878520.57455302,94987.2353932102,8488.92816135498,0,300796.531188705,0,0,716405.987060866,0,117.94952282203,11888.0465308297,0,0,0,0,-5886.54709941307,2057102042.48134
2025-08-18,1874492.39857335,94920.9895683446,8467.33587173346,0,299793.856516041,0,0,718147.378395098,0,117.846633932493,11609.5996388526,0,0,0,0,-5873.35860877903,2048821335.85883
2025-09-17,1871433.53889971,94679.4913432612,8470.70486561585,0,298799.169287311,0,0,719916.377999182,0,116.764484094413,11361.538507372,0,0,0,0,-5865.46212370693,2039937923.30765
2025-10-17,1869793.67770619,95328.640241467,8533.77838656743,0,297662.508484169,0,0,721512.482053818,0,116.584225037978,11102.7062907404,0,0,0,0,-5858.25856401091,2033176817.47788
2025-11-16,1868626.83919439,95918.4305828721,8522.4197498903,0,296560.333718889,0,0,723703.892906955,0,116.375929188592,10821.913696669,0,0,0,0,-5848.85423879678,2026668770.68468
2025-12-16,1865059.36654092,96252.1588283812,8183.78770635887,0,295287.297125846,0,0,725338.310043635,0,115.690739183322,10575.550068577,0,0,0,0,-5835.36756637651,2018840904.55777
2026-01-15,1861454.63739251,97229.9576615863,8251.43918433256,0,294238.456243108,0,0,727227.935096545,0,114.635152036258,10301.7132019566,0,0,0,0,-5830.20736603611,2010920660.22829
2026-02-14,1854007.06625961,97004.1478109511,8222.10007981636,0,293194.511921018,0,0,728759.382159952,0,113.589218020189,10058.3910802834,0,0,0,0,-5817.49090276532,2000056373.07616
2026-03-16,1848689.13356069,96645.6728810412,8227.43581980358,0,292083.164115772,0,0,729853.356663264,0,113.276973671862,9833.11390502337,0,0,0,0,-5801.89093555743,1990910977.61122
2026-04-15,1843714.84559977,96780.6888225549,8260.09793080422,0,290909.036833997,0,0,731047.741609212,0,112.817070994334,9588.64388960854,0,0,0,0,-5784.1432769701,1981884729.07853
2026-05-15,1838275.9767757,96619.3416950544,8213.72445179722,0,289948.715215847,0,0,732231.077413458,0,112.408977609999,9397.95498880762,0,0,0,0,-5763.47380917463,1972345379.95928
2026-06-14,1832000.3340437,96283.0652883508,8150.77005597869,0,288845.845024756,0,0,732568.274725119,0,111.843156570726,9208.9824281317,0,0,0,0,-5749.19011109138,1962551418.62689
2026-07-14,1827892.17688191,96857.9197305064,8125.73535456085,0,287819.742934985,0,0,733752.325664348,0,111.910344727897,8988.02818449384,0,0,0,0,-5736.48610886144,1953774151.69717
2026-08-13,1823767.94239864,96669.8277583832,8119.03138952617,0,286546.345121458,0,0,735007.439336539,0,111.864966644268,8780.32402484871,0,0,0,0,-5724.18698429881,1944741239.10893
2026-09-12,1819791.95190245,96408.8509702804,8128.73386957725,0,285459.602301513,0,0,736068.099099304,0,110.860592700709,8598.03072973029,0,0,0,0,-5719.52640442412,1935885929.65373
2026-10-12,1818640.18085134,97059.1033318215,8196.96249351227,0,284370.721253766,0,0,738005.82430975,0,110.743790649263,8404.88992308194,0,0,0,0,-5704.64424625406,1929424029.62119
2026-11-11,1817673.74350097,97687.1948173309,8196.52462020628,0,283289.843892772,0,0,740250.670642617,0,110.58347764835,8195.0701527142,0,0,0,0,-5694.42326942726,1923258516.8136
2026-12-11,1816500.4921716,98021.5199960876,8377.69797663809,0,282214.528555484,0,0,742557.945076159,0,109.95432518628,8007.98799540836,0,0,0,0,-5684.11574742907,1917076752.49313
2027-01-10,1811894.2121376,99019.9071577961,8465.11144671414,0,281369.921900187,0,0,742851.592301191,0,108.972189408829,7801.46219193422,0,0,0,0,-5675.72720959788,1909563597.82252
2027-02-09,1804990.13642194,98817.3740459572,8438.41192557948,0,280475.104032865,0,0,744221.286011167,0,107.998847221167,7620.67716039277,0,0,0,0,-5660.7248204036,1899538679.07487
2027-03-11,1800997.07212561,98786.6869100524,8451.88735560338,0,279734.429967572,0,0,745588.97922962,0,107.733815627213,7451.11309266207,0,0,0,0,-5642.50728948321,1891478244.52794
2027-04-10,1797478.80561201,98946.9420089036,8493.30037541232,0,278944.615572214,0,0,747172.382596219,0,107.311882071798,7268.51147682946,0,0,0,0,-5624.43075842718,1883382219.85788
2027-05-10,1791176.70135112,98734.4159234933,8451.39416132516,0,278069.082689285,0,0,748195.207290093,0,106.940343848119,7129.67217674573,0,0,0,0,-5603.29267081285,1873808279.57846
2027-06-09,1786388.78885755,98429.9462104258,8387.34831115565,0,277385.119407352,0,0,749422.798699413,0,106.411556007037,6990.24960718431,0,0,0,0,-5587.75705046367,1865060083.5199
2027-07-09,1779888.06175726,92754.2782075167,8365.50512536015,0,276586.154637166,0,0,750531.367471641,0,106.475370941039,6825.24820138156,0,0,0,0,-5572.53963421645,1855083922.36362
2027-08-08,1775077.27303968,92744.1931883956,8358.16888090006,0,275660.889738744,0,0,750183.086595992,0,106.477402267708,6669.02075228265,0,0,0,0,-5481.24653283236,1846110580.18106
2027-09-07,1771169.14796834,92590.5608973474,8374.32484378172,0,274904.530923953,0,0,751342.682768619,0,105.537894664736,6533.62426958481,0,0,0,0,-5458.91015543499,1837747701.44223
2027-10-07,1768325.63392475,93357.0952080059,8450.00042149152,0,274024.816176012,0,0,751483.572935001,0,105.474152686217,6388.14971157561,0,0,0,0,-5449.06924188713,1830723617.53946
2027-11-06,1765380.94682211,92623.0840987588,8449.16436962754,0,273262.545636266,0,0,750988.024134898,0,105.352848804926,6230.3859390713,0,0,0,0,-5361.54117424757,1823854717.22243
2027-12-06,1764947.16905276,93002.2436716825,8653.78286824389,0,272673.902207103,0,0,753207.050874797,0,104.76726823291,6086.95577272336,0,0,0,0,-5353.37461111627,1818284454.74628
2028-01-05,1762367.50816963,94169.4771534741,8753.40849159682,0,272116.922055682,0,0,755097.000307322,0,103.846981650266,5930.12244401296,0,0,0,0,-5346.69893824442,1811725084.34369
2028-02-04,1753556.93128449,94053.7084025542,8731.84734511576,0,271243.451719479,0,0,755336.86297287,0,102.934795771055,5794.8579239896,0,0,0,0,-5331.47756009794,1801596140.53459
2028-03-05,1748637.3828434,93826.6116938569,8752.45401657871,0,270513.378589431,0,0,756088.279816402,0,102.706846565251,5666.05303083366,0,0,0,0,-5316.4903430253,1793651741.4459
2028-04-04,1744420.17449935,93971.5524362987,8796.85282283498,0,269491.102808972,0,0,756639.608385929,0,102.316741940858,5528.77229470407,0,0,0,0,-5300.12462632378,1785981330.82304
2028-05-04,1737033.34400756,93912.8798274399,8756.4822786048,0,268315.398886331,0,0,756661.387384421,0,101.974307788002,5426.92735934077,0,0,0,0,-5280.62227704997,1776301634.55562
2028-06-03,1730791.36332125,93588.85450587,8691.29036849709,0,267167.713008075,0,0,757270.783076029,0,101.479013888826,5323.26211459362,0,0,0,0,-5262.87419137733,1767621995.25
2028-07-03,1724940.38369135,93414.3687122698,8670.04098437674,0,266140.226180276,0,0,757839.758651511,0,101.538996816253,5199.4683774921,0,0,0,0,-5249.53914224759,1758686501.93356
2028-08-02,1721589.77605598,93137.2350353348,8664.88180347877,0,265155.96469667,0,0,759125.396960176,0,101.58449136924,5081.1891444323,0,0,0,0,-5232.47118267169,1751007646.27567
2028-09-01,1717594.13066336,92942.9406345481,8683.55815414072,0,264135.075769988,0,0,759422.022545983,0,100.703026385335,4979.74214886299,0,0,0,0,-5225.94687354191,1742753968.21643
2028-10-01,1714653.75960283,93419.4160475886,8782.36396790151,0,263065.604402601,0,0,760040.847170937,0,100.687972280218,4869.26251766809,0,0,0,0,-5218.092914402,1736085131.73658
2028-10-31,1713709.21912894,94120.6739251795,8786.79094181888,0,262211.129966273,0,0,761516.682530734,0,100.601229117866,4750.05238154626,0,0,0,0,-5211.09229454489,1730554690.51474
2028-11-30,1711225.06210422,94484.7703260058,8876.48889917587,0,261117.96364222,0,0,762080.506233727,0,100.053876217175,4639.28589005501,0,0,0,0,-5186.23930423079,1723894422.46706
2028-12-30,1707492.21991622,95673.678466861,8991.10302439493,0,260217.80448238,0,0,763334.411265427,0,99.1891796839739,4519.55910847557,0,0,0,0,-5179.58633085401,1716988764.53311
2029-01-29,1700241.37700989,95369.8534968508,8968.38883235559,0,259258.72079874,0,0,764395.070726302,0,98.3319703602358,4417.80272248889,0,0,0,0,-5167.86652389845,1707012755.07622
2029-02-28,1696822.62525169,95397.572802547,8991.48984833692,0,258552.263114547,0,0,765867.178873444,0,98.1360796403753,4319.25323939392,0,0,0,0,-5153.53881437744,1699856223.65139
2029-03-30,1693098.3245769,95678.6941638625,9039.76534613814,0,257938.782685621,0,0,766984.201437484,0,97.774201404908,4215.51863172499,0,0,0,0,-5138.50043536722,1692266157.94748
2029-04-29,1686759.67872655,95651.6549305925,9001.14622690786,0,257319.582588278,0,0,767759.406594622,0,97.4560650262329,4140.28592382399,0,0,0,0,-5120.33352533823,1683851616.122
2029-05-29,1680586.17303479,95070.8706605618,8934.64547690864,0,256581.665572197,0,0,768519.209016681,0,96.9900035304392,4062.67895853911,0,0,0,0,-5104.67718709048,1675055014.65052
2029-06-28,1677515.64462645,94759.662756829,8920.53060134621,0,256174.395757078,0,0,770304.402620611,0,97.0464835904195,3969.4816317336,0,0,0,0,-5092.19906100906,1667985889.94756
2029-07-28,1672743.81397005,94502.4414673938,8927.08206293851,0,255426.309649358,0,0,770793.935664353,0,97.1318789527985,3882.48765797952,0,0,0,0,-5081.37862830979,1660244196.07491
2029-08-27,1670426.17167584,94380.2991182254,8950.06710380115,0,254983.199338632,0,0,772733.983959132,0,96.2993476869629,3805.62211489923,0,0,0,0,-5075.37080591513,1653002091.14214
2029-09-26,1668906.07356492,95188.2939700981,8953.0457244671,0,254397.342314729,0,0,774775.133657329,0,96.3264231218028,3721.02406182074,0,0,0,0,-5067.66206729567,1646821537.8885
2029-10-26,1667122.14265541,95745.432580686,8966.28661476122,0,253696.517867895,0,0,775528.945051645,0,96.2647942312938,3630.47514174805,0,0,0,0,-5059.82877748334,1641219350.24396
2029-11-25,1665039.92720558,96084.0204036818,9185.27480498893,0,253048.368301106,0,0,775768.151382791,0,95.7451501402639,3544.36554880684,0,0,0,0,-5052.2247782761,1635038314.19676
2029-12-25,1661499.23358766,97333.7483258515,9321.27278060084,0,252597.440379254,0,0,776901.030318193,0,94.92475079389,3452.46786473076,0,0,0,0,-5044.69139547682,1628722427.59323
2030-01-24,1655782.87534397,97220.87562001,9303.71184655827,0,252215.934719718,0,0,778615.055636287,0,94.1113921721551,3375.44030201185,0,0,0,0,-5033.12860140462,1620314448.51199
2030-02-23,1651663.89969511,97308.3037150189,9334.17825476705,0,251719.324476537,0,0,779618.758022038,0,93.9366273291405,3299.48667579254,0,0,0,0,-5019.06522552949,1613194808.52287
2030-03-25,1647470.97688456,97613.9983109585,9403.18368854296,0,251105.536790045,0,0,779764.68482417,0,93.5945147436575,3220.66597764389,0,0,0,0,-4975.87299838875,1605864444.46458
2030-04-24,1640184.41024981,97602.2818625089,9364.72068868637,0,250506.62691106,0,0,779277.237008154,0,93.2886347380435,3164.61481630855,0,0,0,0,-4958.23190010952,1596889016.86436
2030-05-24,1634951.24996566,97269.3370313983,9295.94769758563,0,249992.20585805,0,0,780065.240415745,0,92.8403492116294,3106.03586140818,0,0,0,0,-4911.02079347866,1588972657.68769
2030-06-23,1630995.30328004,96784.8004136089,9285.14816196124,0,249544.265182152,0,0,780976.268552438,0,92.8850487932473,3035.64597583621,0,0,0,0,-4899.0111930792,1581693226.824
2030-07-23,1627280.61765779,96772.9428142663,9296.21735598324,0,249106.707487928,0,0,781540.826098673,0,92.9985599837536,2967.58512621128,0,0,0,0,-4889.12254414733,1574638274.9603
2030-08-22,1622077.00830554,96485.3590839943,9322.48077181908,0,248527.52022658,0,0,781422.131605107,0,92.2053636452904,2909.03186047177,0,0,0,0,-4880.11350373669,1566498321.23566
2030-09-21,1621235.10982543,97352.2099510417,9423.62757477839,0,248116.321231785,0,0,783672.183038569,0,92.2651559976041,2844.06743820872,0,0,0,0,-4872.34598005657,1561390762.07779
2030-10-21,1619539.56616459,97936.6412086487,9442.81836012668,0,247537.406664621,0,0,785946.399047945,0,92.222164681107,2752.73258315563,0,0,0,0,-4866.91359418111,1556069868.09112
2030-11-20,1618740.29281886,98116.4390519293,9661.90371140172,0,247080.950696961,0,0,788348.073824601,0,91.7249521425897,2690.0784816556,0,0,0,0,-4856.32236306331,1550819294.67728
