"Time","PREM_INC","DEATH_OUTGO","DISAB_OUTGO","INIT_EXP","REN_EXP","INIT_COMM","REN_COMM","PHIBEN_OUTGO","PHIBEN_OUTGO_BLL","CR_BEN_OUTGO","RETR_OUTGO","DTH_OUTGO","DREADDIS_OUTGO","TEMPDIS_OUTGO","RIDERC_OUTGO","RISK_ADJ","COVERAGE_UNITS"
2024-06-30,4986759.66438588,414136.141879623,44296.231798058,0,146728.921485406,211899.560683199,21838.2028997551,1148364.18466465,0,251.990875873794,4624.41499803433,0,0,0,0,103386.64088465,3558356597.10164
2024-07-31,4972641.53627142,412934.262522845,44133.2097925515,0,146048.883664145,244653.943037668,21922.6059735999,1168503.11491201,0,249.677365124796,4526.79893983246,0,0,0,0,106393.655191147,3540371907.08141
2024-08-31,4956260.227558,420088.87215778,44026.2180709531,0,145157.229881715,278713.078960947,21925.5512401982,1182063.60679089,0,248.387636955023,4415.29124625964,0,0,0,0,108965.697796182,3520786048.29785
2024-09-30,4942235.36295094,419681.218631276,43902.2598803739,0,144570.532515703,192256.266758655,21850.533108855,1201057.93365934,0,248.24107793235,4304.37448622946,0,0,0,0,113160.506463939,3504019653.27896
2024-10-31,4926341.17403375,419454.539892287,44127.1550101484,0,143847.231506983,292100.737500224,21773.4557808107,1213711.61957308,0,245.975443891323,4222.99432212328,0,0,0,0,114683.988300815,3486283081.01656
2024-11-30,4931331.38307088,422099.161838474,44182.3942543392,0,143161.961406316,367407.593171436,21745.3236724602,1231844.53291853,0,244.191760674233,4142.501334511,0,0,0,0,116931.42468292,3477476907.97808
2024-12-31,4942901.97809407,426850.012002049,44963.6495525977,0,142446.111701368,462587.51485521,21762.8491890521,1248289.03403258,0,243.428406917648,4116.48457791869,0,0,0,0,118697.488259926,3470119645.94675
2025-01-31,4941922.42322029,430189.420671861,45528.2663622441,0,141868.298983495,332533.253266917,21810.3670459621,1266339.74834562,0,244.987149024195,4001.1445252302,0,0,0,0,123510.375885371,3462071140.52385
2025-02-28,4919221.3278698,430345.837914713,45395.1499768179,0,141247.933400951,143658.330790097,21861.343241637,1281508.88507515,0,245.134663885133,3909.96784075311,0,0,0,0,129105.286899742,3441734823.2374
2025-03-31,4892846.66985974,430528.273343582,45446.9779019682,0,140265.81212237,243362.033269238,21791.2315441565,1290074.85207596,0,242.932005922969,3800.28401094114,0,0,0,0,129878.527500999,3422952289.8405
2025-04-30,4871635.39166189,431181.453226541,43093.4645702674,0,139431.99228394,258056.585128908,21745.5400610999,1297521.15399127,0,240.883901017579,3728.24336506912,0,0,0,0,131858.056069013,3405205744.80801
2025-05-31,4857918.91300006,430170.766940382,43209.6043849662,0,138832.000915021,221810.937348268,21628.7428994784,1310689.16099189,0,238.722540184913,3623.58503294902,0,0,0,0,134924.356822724,3388234621.34422
2025-06-30,4834816.47905139,427906.80826937,43027.5588335956,0,138157.314009591,198555.138587794,21461.8045108915,1318713.55661212,0,236.58085455702,3521.87614512481,0,0,0,0,137658.769818916,3366379721.98512
2025-07-31,4816374.15485608,426653.616991932,42939.2390328589,0,137439.295472558,229224.982600753,21547.9762044632,1324991.18420448,0,234.458661457903,3447.18253906948,0,0,0,0,139251.503633326,3347394395.44264
2025-08-31,4803727.0922341,434392.686044475,42861.5340913553,0,136612.481031517,261199.280751523,21566.72600491,1326191.62489486,0,233.300400935857,3360.65145320999,0,0,0,0,140662.962989317,3329526775.02091
2025-09-30,4782740.22033839,431838.377247346,42782.7546882051,0,135936.226489972,178897.410100437,21494.6132808841,1333524.90352904,0,233.214749237795,3276.15791102733,0,0,0,0,144612.406738396,3311530661.43836
2025-10-31,4766177.28666948,432521.129054342,43036.8738080147,0,135222.284222284,272727.895415857,21418.6807044318,1336621.60398021,0,231.136028651026,3213.75665014171,0,0,0,0,144548.518405603,3292471368.82375
2025-11-30,4761566.84368762,435069.261838787,43148.285966929,0,134345.976465463,345462.537289086,21392.0556077956,1340125.19006056,0,229.510708322269,3153.3885989038,0,0,0,0,145117.181912297,3281581741.26497
2025-12-31,4759126.26968917,439951.100239777,42607.5967009112,0,133282.314581829,435275.660731074,21015.5064256653,1343016.24996817,0,228.845234744117,3132.23670126502,0,0,0,0,145055.134516233,3270631436.87428
2026-01-31,4758741.96978235,442570.128989995,43300.8884931753,0,132715.011301533,313131.028394181,21072.3986400921,1353363.31710284,0,230.392360186936,3043.56220617796,0,0,0,0,150323.774906603,3262779225.72331
2026-02-28,4728337.69266359,442755.726880438,43268.9294954219,0,132037.066653029,133518.137109914,21130.9039351953,1359565.32441822,0,230.581163410592,2973.39515917512,0,0,0,0,156534.501805206,3238961060.59966
2026-03-31,4715106.16094753,442940.048131112,43419.2450996837,0,131413.92918447,230763.686959469,21069.1862365754,1367404.86963365,0,228.560354645557,2889.10727858118,0,0,0,0,156284.424868204,3225665223.82777
2026-04-30,4700920.37280025,443392.313151151,42645.9420810503,0,130762.73101555,241027.202580492,21261.8213521799,1374299.55441635,0,226.684254564204,2846.79255222149,0,0,0,0,158193.746784943,3211366531.96941
2026-05-31,4688236.75855569,442260.698880999,42805.9361843404,0,130161.693881954,203734.243341762,21148.4127949783,1382115.70050486,0,224.700540138445,2765.70610269065,0,0,0,0,161034.613809841,3195818170.96804
2026-06-30,4673248.15372009,439936.240521436,42651.04880508,0,129625.219896749,185560.218595373,20984.866552545,1390805.73556449,0,222.734439581559,2686.9386832994,0,0,0,0,163768.31233978,3178578096.80064
2026-07-31,4653255.0960966,438527.923724735,42610.5138062078,0,128886.445550774,213386.721918754,21080.1874982643,1395142.59426781,0,220.785793346373,2629.08191557847,0,0,0,0,164656.357245908,3159412316.19484
2026-08-31,4646350.76874637,444772.587646507,42556.6146784181,0,128169.343158358,239375.517464872,21109.5015467019,1399356.71077734,0,219.74707274992,2561.50416587928,0,0,0,0,165751.276948327,3145295400.89641
2026-09-30,4618979.2066154,444022.367565845,42531.4316018353,0,127335.489499602,165744.624988487,21039.0680654678,1398567.79134885,0,219.717146050221,2496.63705731623,0,0,0,0,169443.722752534,3126550263.29022
2026-10-31,4607362.9796466,444732.456426877,40699.669863864,0,126667.753153954,254781.699173326,20964.5791303556,1403487.67702478,0,217.808049526118,2448.00695715727,0,0,0,0,168403.729853388,3111352583.49323
2026-11-30,4602823.46986404,447264.713261895,40889.1132111766,0,125956.095390823,324839.635218936,20939.2762622235,1406821.79923415,0,216.326582894011,2402.1087988189,0,0,0,0,168314.935029961,3099897220.19195
2026-12-31,4607231.70011688,452246.884297799,41732.4770948833,0,125033.789186422,407668.404565316,20949.4675622959,1411293.34024942,0,215.75035166077,2383.8017375402,0,0,0,0,167714.213721578,3091509662.28825
2027-01-31,4608676.23472489,455737.620089364,42545.3389732642,0,124582.825050601,294990.733206987,21007.8185159737,1421613.11707374,0,217.289739940771,2315.33683801166,0,0,0,0,173624.927172368,3084888970.05907
2027-02-28,4591432.58713002,455931.529328562,42574.3358187068,0,124201.010275062,124635.71427648,21066.1885318744,1431375.55065288,0,217.516639037758,2260.91877796503,0,0,0,0,181338.976414495,3067749806.19681
2027-03-31,4578991.612844,454529.789554196,42808.3728451463,0,123705.537507437,217115.906752034,21005.6863264047,1439757.49504612,0,215.661014172389,2195.89605028145,0,0,0,0,180083.626495296,3055082277.85231
2027-04-30,4567798.99715508,455181.404347601,43160.5175468107,0,123142.691559645,226069.353662008,21190.9890660483,1444294.0207924,0,213.941212341373,2153.82027179871,0,0,0,0,181691.568431003,3042337214.34315
2027-05-31,4549320.00086984,453922.756853591,43370.1237708808,0,122485.427938285,185974.161653468,21077.1319332885,1449258.13466525,0,212.118889556246,2091.79975928525,0,0,0,0,184400.915063004,3024492359.64051
2027-06-30,4520230.72456702,451556.79760741,43232.3834807449,0,121779.492968949,171551.286393403,20912.4614000929,1450668.00672475,0,210.312319308094,2031.57151414063,0,0,0,0,186156.218795922,3003682283.66442
2027-07-31,4509987.07432721,450006.099079614,43227.6909754008,0,121365.715533598,198225.395042769,21006.0388661024,1459760.3590842,0,208.521362644679,1987.22563590691,0,0,0,0,186987.242508262,2988945729.66701
2027-08-31,4492651.7325834,458761.851118882,43231.3606282882,0,120810.604453794,228246.380638068,20694.2242322616,1457900.0686852,0,207.591696882443,1935.2083939617,0,0,0,0,186780.546225665,2970929089.00058
2027-09-30,4460089.45899117,457997.093239354,42676.2672409339,0,120174.146170302,152343.029212148,20626.8192321369,1461468.18446813,0,207.608937055837,1886.03068541275,0,0,0,0,190926.808902941,2950305619.23933
2027-10-31,4444469.22274261,458872.624186568,42839.6835919025,0,119393.005884697,236596.563409045,20554.3836137451,1466097.41921932,0,205.845642929737,1848.60635063653,0,0,0,0,188721.726068812,2934558211.47854
2027-11-30,4451964.71106811,461367.440396972,43066.9246762009,0,119049.107309033,305416.030046752,20529.8330371627,1476989.96714046,0,204.486903621016,1814.20896635587,0,0,0,0,188396.947293589,2928172010.75862
2027-12-31,4454134.65051332,466312.504542717,44024.1814359012,0,118275.25816738,379407.826022461,20113.4333497496,1479168.12391247,0,203.984321152413,1798.71359597971,0,0,0,0,187038.829834597,2920122264.59353
