"Time","PREM_INC","DEATH_OUTGO","DISAB_OUTGO","INIT_EXP","REN_EXP","INIT_COMM","REN_COMM","PHIBEN_OUTGO","PHIBEN_OUTGO_BLL","CR_BEN_OUTGO","RETR_OUTGO","DTH_OUTGO","DREADDIS_OUTGO","TEMPDIS_OUTGO","RIDERC_OUTGO","RISK_ADJ","COVERAGE_UNITS"
2024-06-30,2011995.24523483,97442.7233151921,8538.06546598627,337738.421542074,291127.629052636,176596.129204348,7930.0481957856,662382.97603581,0,124.831279009361,16209.4993167319,0,0,0,0,53419.3153374557,2242761462.73317
2024-07-31,2005006.47944723,98009.181197388,8504.84386062423,0,289957.153353114,139427.525895223,7929.99490691871,671793.199648275,0,124.891007828291,15805.2517498394,0,0,0,0,47563.8794921408,2231979172.1974
2024-08-31,2001127.16366526,97862.0869253312,8482.08075041839,0,288942.631430391,149364.390577932,7890.32587012119,681185.104231839,0,124.72394423099,15428.5211412069,0,0,0,0,48557.1243436893,2222611484.32308
2024-09-30,1996925.91493913,97584.6898688415,8480.45019796841,0,287866.031860974,150793.901280525,7864.31670968798,689768.189034483,0,123.554414448166,15087.7303747055,0,0,0,0,49512.2826175525,2212583776.86912
2024-10-31,1994293.50135569,98203.8267025375,8529.01817916959,0,286732.847833141,166868.902906791,7949.17731053504,698145.591000208,0,123.303511861905,14737.1810942519,0,0,0,0,50284.4444164049,2204503467.46677
2024-11-30,1990762.16595269,98922.5731095793,8513.05105935988,0,285607.840850261,175725.490458112,7860.65793653927,704797.128411965,0,123.041590295112,14365.536604939,0,0,0,0,51051.2872370279,2196821180.00581
2024-12-31,1985264.15490512,97204.0038858678,8617.85511517419,0,284371.20118868,170572.095203027,7856.14642342395,711860.975150116,0,122.293244677441,14036.9806036112,0,0,0,0,51998.3150677408,2187875084.75544
2025-01-31,1981214.96076345,98173.9118494447,8658.66583382667,0,283395.262863487,140858.045184487,7841.56253922358,718522.891835412,0,121.153175926687,13670.6967356063,0,0,0,0,53217.397322098,2179460281.87088
2025-02-28,1973187.44145482,97960.1879453919,8622.25132051869,0,282354.494758494,108194.811922109,7832.03988736591,724175.331269914,0,120.023756236023,13340.6303009993,0,0,0,0,54476.6948801573,2167756566.59671
2025-03-31,1966731.59029157,97946.7196632951,8620.30903263795,0,281248.488022873,138225.941540023,7831.00504386321,728264.387858427,0,119.656502556015,13038.1464401965,0,0,0,0,54707.1296466702,2157539107.05168
2025-04-30,1962282.93016511,98065.6253324425,8637.34484115268,0,280217.437038315,149216.889221711,7791.67126656811,733451.046575921,0,119.149296510972,12708.321197881,0,0,0,0,55260.1762485902,2148469528.52314
2025-05-31,1955292.36497958,97923.8141060043,8586.27314118651,0,279055.190392664,126471.117191914,7741.05403727793,737833.701015323,0,118.695645900881,12444.1363137417,0,0,0,0,56435.534572709,2137300740.37856
2025-06-30,1949058.65039719,97565.6463797582,8519.72983597271,0,278033.28412994,129462.181144783,7694.33090363574,742479.49887257,0,118.090151641656,12185.8552202034,0,0,0,0,57100.0713921113,2126704461.22915
2025-07-31,1944603.53090124,98174.8050296155,8489.38824384535,0,277017.350025281,123600.955765116,7696.76875170225,744109.008283278,0,118.152537813566,11888.0465308297,0,0,0,0,57803.8541149683,2117165537.85735
2025-08-31,1940188.09248091,98084.3921439289,8467.79134420858,0,276071.590874309,134826.597055144,7659.84597911647,746021.03116397,0,118.047614718803,11609.5996388526,0,0,0,0,58175.5637931004,2108445353.57775
2025-09-30,1936750.73684022,97823.0510367343,8471.15577426797,0,275131.819754018,133502.161990137,7634.06662143148,747924.916537253,0,116.963451058182,11361.538507372,0,0,0,0,58789.0208503403,2099127726.85428
2025-10-31,1934751.7161974,98493.6563203897,8534.22477712593,0,274064.759574703,148595.096887934,7722.37135728301,749625.751085238,0,116.781198357659,11102.7062907404,0,0,0,0,59000.8290906672,2091942716.44881
2025-11-30,1933232.7607246,99149.6221187291,8522.86166762638,0,273029.212111969,157609.27164672,7734.31737704001,751890.662444503,0,116.57092884045,10821.913696669,0,0,0,0,59436.6301700254,2085020278.85663
2025-12-31,1929260.70466097,99497.658919579,8184.22519609008,0,271842.674098541,154585.414370903,7729.2466705657,753566.464793519,0,115.883784943461,10575.550068577,0,0,0,0,60124.7235960054,2076749680.98524
2026-01-31,1925243.52896084,100497.324183001,8251.87229042742,0,270856.595956164,126765.719030147,7716.12953207007,755466.358601451,0,114.826263482624,10301.7132019566,0,0,0,0,61222.3872684696,2068381792.35973
2026-02-28,1917461.65773781,100269.791130559,8222.52884619879,0,269876.134399814,91873.3913167812,7707.26433653883,756989.656562087,0,113.778414534558,10058.3910802834,0,0,0,0,62552.6282421046,2057125710.72344
2026-03-31,1911833.6093369,99913.1848606743,8227.86028995739,0,268836.937776184,120738.503813253,7707.63984301952,758062.102982676,0,113.464274441806,9833.11390502337,0,0,0,0,62301.4326141964,2047606418.777
2026-04-30,1906611.27849177,100047.641452948,8260.51814777753,0,267741.157922758,127774.232787894,7669.21199368302,759218.899358034,0,113.002495015166,9588.64388960854,0,0,0,0,62565.7693478533,2038247509.54769
2026-05-31,1900954.14967012,99883.7647033121,8214.14045820677,0,266839.234547209,105499.472423766,7619.99718737495,760357.009510528,0,112.592543686698,9397.95498880762,0,0,0,0,63752.949055211,2028398591.64529
2026-06-30,1894479.29290735,99521.3884898445,8151.16167549489,0,265811.836417072,107775.811299381,7574.95553387784,760631.860342185,0,112.033969657304,9208.9824281317,0,0,0,0,64123.9176472125,2018312828.24782
2026-07-31,1890065.62501045,100078.672597209,8126.12310991228,0,264854.319300445,120041.839775875,7578.48119041884,761748.035995485,0,112.099275034954,8988.02818449384,0,0,0,0,64184.80197486,2009173034.43025
2026-08-31,1885657.01998333,99865.9330623224,8119.4153188411,0,263678.039103358,129768.751347568,7542.67013260561,762933.822560315,0,112.052032749454,8780.32402484871,0,0,0,0,64349.3139225243,1999798083.44899
2026-09-30,1881412.77848917,99584.6198493024,8129.11401060772,0,262669.701676971,128725.073826803,7516.18920522775,763938.070002251,0,111.045812998367,8598.03072973029,0,0,0,0,64792.4538419694,1990616103.02773
2026-10-31,1880024.75837323,100257.515752866,8197.3388836378,0,261661.081972598,144374.485123001,7607.03587667165,765832.976500284,0,110.927183352235,8404.88992308194,0,0,0,0,64769.1554309619,1983847704.8932
