"Time","PREM_INC","DEATH_OUTGO","DISAB_OUTGO","INIT_EXP","REN_EXP","INIT_COMM","REN_COMM","PHIBEN_OUTGO","PHIBEN_OUTGO_BLL","CR_BEN_OUTGO","RETR_OUTGO","DTH_OUTGO","DREADDIS_OUTGO","TEMPDIS_OUTGO","RIDERC_OUTGO","RISK_ADJ","COVERAGE_UNITS"
2024-06-30,294958.157254522,15866.5051892134,1974.079591027,15760.3235172129,18556.1532413286,21367.4413472746,510.910174963461,87888.2645224626,0,83.6540241810593,709.795222319815,0,0,0,0,6877.03548325216,326528433.221798
2024-07-31,294855.537220523,15827.969289608,1996.8035739579,0,18492.3671079939,28618.6695347776,507.000285103592,89168.3976679185,0,82.7980189209503,689.595331561748,0,0,0,0,6635.39060469714,325494949.606613
2024-08-31,294114.405971516,15757.2758043354,1990.61622830158,0,18429.103740236,18607.8785075387,505.455473657859,90346.6415569823,0,81.9511143269569,669.970928344298,0,0,0,0,6918.63517994208,323870913.65273
2024-09-30,292741.49570042,15720.4050185439,1978.40691425794,0,18366.0744849821,9697.49549786551,501.594587123395,91299.0963161449,0,81.1132092345751,650.905599153979,0,0,0,0,7190.97081416937,322177152.82187
2024-10-31,292452.363593741,15671.1484617763,1983.62016156179,0,18303.5066428491,21194.904882551,497.766166751738,92290.6867867211,0,80.2842036587071,632.383399131751,0,0,0,0,7215.78158247191,320857253.349042
2024-11-30,292100.007478815,15875.4104666495,1984.93008473099,0,18241.1139384683,25240.1544588636,493.969817097528,93123.2525170803,0,79.4639987792585,614.388838676397,0,0,0,0,7321.06652151887,320017855.84439
2024-12-31,292775.680169773,16168.9458667911,1973.19087414886,0,18178.8192800333,30480.8373935085,490.204072636775,94018.1887968887,0,79.5654334231309,612.472362882125,0,0,0,0,7416.51066952346,319622697.711581
2025-01-31,292185.660166995,16192.3277303861,1962.47491452556,0,18116.6937757805,18254.8553878036,486.46828683176,94869.290979504,0,79.2894998402485,594.901554864063,0,0,0,0,7736.39707961518,318459005.744114
2025-02-28,290674.843425829,16088.9641208819,1945.87314565291,0,18054.7518231942,8247.7432850746,482.761954423048,95606.8722279437,0,78.4879991676683,577.835720421101,0,0,0,0,8027.55373560905,316454912.95239
2025-03-31,290867.034559158,16047.6180620239,1993.6486429991,0,17992.9179692536,33057.0382169809,479.084730570944,96321.9201095592,0,78.4145320767288,587.317762729183,0,0,0,0,7753.01617425746,315936787.698868
2025-04-30,290949.506639524,16230.9617199174,2000.17891668974,0,17931.4179802368,23978.0523530157,482.804811751597,97072.3682567557,0,77.6225165747137,570.312167179665,0,0,0,0,8048.62804177299,314895605.747167
2025-05-31,290068.527014306,16216.7607233378,1983.19187314567,0,17870.0326656301,15329.9706265814,488.933384075867,97630.8724975605,0,78.0093425450336,553.799512391122,0,0,0,0,8361.01909049003,313775105.645898
2025-06-30,288861.257240123,16174.7726779476,1984.77882909324,0,17740.9836416864,17915.7954233534,497.500148160688,97959.1603055008,0,78.1833916996108,537.765493286629,0,0,0,0,8420.12439706556,311990444.425276
2025-07-31,287916.978909869,16136.1480952293,2010.13401891282,0,17613.7257109499,27186.7940671186,493.671752564787,98212.7838813982,0,77.403164131744,522.196220398948,0,0,0,0,8344.14309199699,310639481.967227
2025-08-31,287232.027488272,16060.6173267102,2006.96330191631,0,17553.0693026431,17057.8257131714,492.19017005077,98719.8483161454,0,76.6310283784094,507.078207781609,0,0,0,0,8669.18404058107,309083222.992245
2025-09-30,285868.630477315,16025.6301626368,1993.86459766291,0,17492.6477562024,8444.23510784572,488.40747386454,99005.1340973152,0,75.866896614444,492.398361272037,0,0,0,0,8966.82302772439,307461942.358432
2025-10-31,285609.683917084,15972.8403310197,2000.70849055691,0,17432.4606331665,19297.1047099025,484.656969662645,99407.9580938597,0,75.1106820159171,478.143967096465,0,0,0,0,8844.01238435414,306213394.20897
2025-11-30,285346.888840915,16182.2396788729,2003.26177542604,0,17372.4838698245,24343.9567348988,480.937649540812,99714.0820372493,0,74.3622987481507,464.302680806658,0,0,0,0,8852.45611084181,305416948.950046
2025-12-31,286090.169721609,16473.6210703402,1992.38120492558,0,17312.736035711,28798.7528372024,477.248139867856,100165.417184182,0,74.4820906043917,462.203885098272,0,0,0,0,8894.13545053057,305052634.448847
2026-01-31,285556.396196029,16504.0045130722,1983.25161815882,0,17253.1552833958,17225.9127557294,473.587904662096,100632.538694253,0,74.2461527785795,448.720165799836,0,0,0,0,9283.36470349612,303949847.264698
2026-02-28,284197.262727424,16398.6140312209,1966.98300144012,0,17193.8161543439,7270.46669947787,469.956526677458,101023.966290047,0,73.5146517198122,435.630503139511,0,0,0,0,9633.00964709842,302031068.95557
2026-03-31,284447.292783055,16357.6080840451,2017.14708454482,0,17134.7171541147,31503.2796259259,466.353713890253,101393.368853751,0,73.4276844191701,442.385917033582,0,0,0,0,9102.17799590218,301548255.339473
2026-04-30,284566.628506722,16581.2490630087,2020.12621980998,0,17075.8494855716,22135.0233898188,469.878817257623,101857.85500135,0,72.7049415093678,429.364836347426,0,0,0,0,9476.16838437465,300549891.582882
2026-05-31,283711.920707281,16557.2846552191,2004.69325050734,0,17017.1650149867,13721.6242114851,476.003850199882,102165.934423354,0,73.0901290896272,416.727452655255,0,0,0,0,9843.15351930105,299481477.274628
2026-06-30,282525.954823323,16514.2927002065,2010.53735513622,0,16894.0485276934,15951.7798665224,484.546244348246,102450.247866859,0,73.3204183713044,404.462446266868,0,0,0,0,9862.96527932842,297749328.582286
2026-07-31,282462.264698163,16474.1944998641,2044.60973035033,0,16836.0574912817,26548.3428462907,480.788931309938,102919.711686148,0,72.6079730930548,392.558831836105,0,0,0,0,9660.77443918605,296814225.579819
2026-08-31,281796.372007342,16400.8487580533,2042.58215011234,0,16778.2977645081,16119.7581664383,479.361566480258,103484.245763219,0,71.9027245306707,381.005948473664,0,0,0,0,10078.7662412306,295324819.21753
2026-09-30,280505.3677221,16357.5934439018,2029.39015858376,0,16720.7748948302,7900.65946969836,475.652411528783,103818.104998,0,71.2045965288024,369.793450152654,0,0,0,0,10429.5731404667,293774937.532028
2026-10-31,280273.800150407,16303.8544662925,2039.07976548662,0,16663.4904332754,18359.9306729906,471.97314672882,104214.833004461,0,70.5135137799784,358.91129639821,0,0,0,0,10199.8421207367,292598274.814867
2026-11-30,280072.818738935,16481.9370789782,2043.2934069751,0,16606.4193089409,24046.8248036057,468.323806784381,104496.43269796,0,69.8294018146787,348.349743252744,0,0,0,0,10129.3180464844,291846659.3887
2026-12-31,280867.085939522,16767.0917682987,2032.57376985434,0,16549.576469546,27811.9879303164,464.70377155904,104940.339831734,0,69.965222905205,346.19153757625,0,0,0,0,10150.4973429976,291513276.241305
2027-01-31,280364.706367617,16791.1984494654,2023.23506770372,0,16501.803848752,16697.6571016192,461.112645624012,105387.426026995,0,69.7648740586363,335.932224120683,0,0,0,0,10621.6399829012,290471341.754907
2027-02-28,276076.899041859,16665.6796811756,2006.50244508234,0,16330.1904627248,6940.7036399314,457.550091965241,103671.517962704,0,69.0960653688451,325.97747628847,0,0,0,0,10880.7467221818,286798905.884757
2027-03-31,276366.225896292,16605.0327255143,2059.46996466965,0,16285.1788185762,30366.5522166233,454.01583682619,104063.589580185,0,68.9993258255783,330.567906597362,0,0,0,0,10132.7814864486,286368664.542867
2027-04-30,276549.749492255,16819.3557174097,2063.68146769989,0,16241.3576473458,21406.8451218766,457.324499109217,104489.811746803,0,68.338593833172,320.690794642577,0,0,0,0,10578.5679397979,285432233.635984
2027-05-31,275739.99144607,16779.3827666869,2046.2677135957,0,16198.6366344297,13122.0218643514,463.408562498747,104805.547389446,0,68.7217103806248,311.109146773905,0,0,0,0,11009.8987433966,284433622.538349
2027-06-30,275375.891821881,16718.4096416081,2053.25197765207,0,16157.0542012767,14970.6436082352,471.919111153418,105147.379091748,0,69.0036890277711,301.814113980012,0,0,0,0,11034.3857399147,283280682.626251
2027-07-31,274518.318117788,16643.9344956904,2090.80857173494,0,16058.915496005,25817.5785168434,468.226473349975,105192.34954699,0,68.3519977840333,292.797112593384,0,0,0,0,10671.358934678,282138970.561807
2027-08-31,273892.746037525,16551.4848295938,2089.91364064987,0,16019.6797897831,15056.587657031,466.833257384893,105734.048996157,0,67.7067074477276,284.049816324055,0,0,0,0,11188.1225797761,280727877.167988
2027-09-30,268740.0746251,16498.815939866,2077.29845468542,0,15800.6479271022,7293.50231734653,463.189894878825,103251.72304415,0,67.0677520839033,275.564148532796,0,0,0,0,11358.6898594094,278022419.641997
2027-10-31,268125.902762057,16413.1751674185,2088.65369995643,0,15731.7312215746,17440.2016138217,459.578546188854,103677.300477025,0,66.4350664735189,267.332274736569,0,0,0,0,11014.2218345653,276909658.113635
2027-11-30,268054.453081424,16627.2401497987,2094.34389473805,0,15696.261358316,23627.3866337682,455.995979407661,104004.700633037,0,65.8085861052495,259.346595339241,0,0,0,0,10861.1041684479,276225382.728132
2027-12-31,267116.293110942,16946.3329056406,2083.91892154381,0,15605.7410036162,26571.2940904896,452.441787987148,102659.838516615,0,65.9585992441649,257.258894794795,0,0,0,0,10811.8576722195,275260259.403304
2028-01-31,266713.741134587,16993.7948855679,2075.44955778312,0,15572.53812859,16070.9135599778,448.915877599205,103077.477120633,0,65.7900858236548,249.526505557628,0,0,0,0,11353.9791352029,274306903.37509
2028-02-29,265365.963653765,16885.8806954988,2058.48214894529,0,15540.3052851543,6589.85001839563,445.418197594364,103403.19247581,0,65.1775422523507,242.026922520363,0,0,0,0,11818.9242886849,272512338.724526
2028-03-31,265741.02955023,16843.0724503422,2118.06283334439,0,15509.0533218199,29205.8810752969,441.948555391042,103754.207879465,0,65.0741208717552,244.988869699136,0,0,0,0,10876.3439838332,272127755.031433
2028-04-30,266029.916950342,17107.4187842989,2126.52102269698,0,15462.7716423879,20803.3173964299,445.019573864496,104175.071060292,0,64.4690158936363,237.571933492886,0,0,0,0,11383.3043001352,271245580.287417
2028-05-31,265337.01853911,17085.1618454139,2108.53348541705,0,15416.8879213709,12649.5731474074,451.076868145692,104164.852590001,0,64.8499428353578,230.379807393434,0,0,0,0,11877.2187568435,270307707.514342
2028-06-30,263366.608284108,17043.7775695413,2122.36332483414,0,15274.6447030475,13864.8269391996,459.550754539438,103014.909859741,0,65.1799825787345,223.405669100323,0,0,0,0,11839.3743840468,268432040.699164
2028-07-31,263464.166961726,16989.2104513412,2165.75652729706,0,15230.0439396476,25928.7976430905,455.921259626766,103355.050706429,0,64.5804240074004,216.642903603467,0,0,0,0,11350.8331522017,267620892.923092
2028-08-31,262914.659057131,16915.0898036155,2165.83140537472,0,15185.8926779403,14082.3778002288,454.556650552941,103909.23938833,0,63.986598290766,210.085096876933,0,0,0,0,12015.4248680377,266285105.59116
2028-09-30,261495.909824988,16882.5598635432,2152.99617114671,0,15142.1690143256,6986.81567771758,450.975822840455,104177.548128281,0,63.3984479373299,203.726029764811,0,0,0,0,12420.9422915822,264827063.495145
2028-10-31,260041.802588735,16815.2919086707,2168.47238216767,0,15041.5311488329,16392.3788900391,447.426861565383,103794.591394445,0,62.815916063766,197.559672053319,0,0,0,0,11957.3885947709,263476131.684154
2028-11-30,260065.436817707,17029.0677894881,2177.88570646789,0,14998.9181569511,23193.2389106156,443.906378710262,104108.625652795,0,62.2389463881336,191.580176723459,0,0,0,0,11711.3675195432,262838533.51909
2028-12-31,259964.264663396,17346.1033238197,2167.87378000614,0,14897.6689693515,25307.6939021358,440.41409821451,104219.404312216,0,62.399499959939,189.651844519968,0,0,0,0,11704.3122116927,262189511.90468
2029-01-31,259616.780866745,17401.1745241545,2159.1412676026,0,14856.0486966505,15482.3867650058,436.949973720663,104694.392356918,0,62.2574371531884,183.882240033388,0,0,0,0,12304.5983619345,261292944.429905
2029-02-28,258314.164432975,17290.4847422836,2142.18397436076,0,14814.8362976076,6232.14131104588,433.513956590524,105053.415396776,0,61.6933398195007,178.288443169566,0,0,0,0,12825.208564189,259581235.884576
2029-03-31,258710.85658821,17248.0017988341,2206.75643116086,0,14774.0220631988,27948.3181338738,430.105855790898,105450.700107892,0,61.5836729018284,180.06165397606,0,0,0,0,11713.2446096843,259229500.822279
2029-04-30,257088.132487016,17531.9013176631,2217.29324958621,0,14635.5460817592,19754.3897799918,432.918313763285,105218.733744483,0,61.0264916423616,174.551451509416,0,0,0,0,12176.3629946139,257818126.621017
2029-05-31,256474.662917208,17507.3663228947,2206.31004605319,0,14609.4302017534,12209.5335775435,438.936024005198,105569.628595361,0,61.4033257208525,169.210072192423,0,0,0,0,12704.792865189,256934827.52463
2029-06-30,256103.478236465,17465.9966723893,2222.49994670665,0,14584.0348844832,12758.734455113,447.371614786491,105875.293499752,0,61.7692818892714,164.032337264106,0,0,0,0,12741.6668826696,255888366.576364
2029-07-31,256216.919517658,17402.7428093567,2270.65543940962,0,14559.3483451534,25179.8966417608,443.802852997504,106278.735045184,0,61.211967665223,159.013227022912,0,0,0,0,12112.649069282,255126792.207141
2029-08-31,255705.255614823,17327.2591619954,2271.50235175418,0,14535.4314488971,13224.9516561098,442.46279223272,106878.910520094,0,60.6598700627367,154.147875935212,0,0,0,0,12884.6429477023,253848479.252046
2029-09-30,254313.590570705,17268.8028047799,2258.20476668899,0,14503.4400264176,6691.27655365028,438.942209762229,107231.259109352,0,60.1129379843395,149.43156789443,0,0,0,0,13305.2441518586,252452773.188678
2029-10-31,254068.479017192,17206.5808816633,2276.68980537631,0,14481.004160041,15473.829211113,435.450813695562,107675.749193253,0,59.5711208594865,144.859731626136,0,0,0,0,12847.490361313,251482194.667585
2029-11-30,254094.768962291,17353.3709094226,2285.45159086589,0,14446.7408394363,22792.5861259599,431.988857818197,108038.190000926,0,59.0343686388322,140.427936234622,0,0,0,0,12495.6550948882,250875619.347001
2029-12-31,254815.993847094,17674.8201693498,2282.05232762126,0,14425.8064995316,24196.0621563392,428.555805822841,108525.913830872,0,59.2003437931207,138.712104204635,0,0,0,0,12557.4477897561,250574170.349465
2030-01-31,254494.173385638,17734.3727236851,2276.26497167561,0,14405.5664355077,14882.0082644879,425.151254424197,109068.733813875,0,59.0741399162842,134.451910142615,0,0,0,0,13209.0957460061,249723115.691532
2030-02-28,252418.935417652,17619.3729076042,2258.6192724656,0,14323.6950991495,5878.92035661762,421.774913399129,109082.082366408,0,58.5434645980139,130.322755110613,0,0,0,0,13737.4903391989,247740826.440724
