"Time","PREM_INC","DEATH_OUTGO","DISAB_OUTGO","INIT_EXP","REN_EXP","INIT_COMM","REN_COMM","PHIBEN_OUTGO","PHIBEN_OUTGO_BLL","CR_BEN_OUTGO","RETR_OUTGO","DTH_OUTGO","DREADDIS_OUTGO","TEMPDIS_OUTGO","RIDERC_OUTGO","RISK_ADJ","COVERAGE_UNITS"
2024-06-30,71784.5589256299,0,0,574315.067566533,15915.5872998635,68300.579796436,0,20636.3837400073,0,0,0,0,0,0,0,12446.7141143849,66722869.8329825
2024-07-31,71173.4113622272,0,0,0,15796.2135530855,12264.4424456453,0,22089.9997068863,0,0,0,0,0,0,0,1049.62458773133,66122803.1197875
2024-08-31,70668.8919286041,0,0,0,15690.6730546111,13625.1242415849,0,22837.4875213058,0,0,0,0,0,0,0,1180.06013233391,65592541.3797411
2024-09-30,70206.0990738213,0,0,0,15586.8308214418,14537.0648958344,0,23405.2205643028,0,0,0,0,0,0,0,1256.879332175,65083604.3540574
2024-10-31,69806.0960417055,0,0,0,15492.9831584122,15824.7500122537,0,23876.6232920842,0,0,0,0,0,0,0,1357.00251331752,64626726.913235
2024-11-30,69422.7046852616,0,0,0,15399.5642586341,16768.3172055312,0,24298.7846398656,0,0,0,0,0,0,0,1421.15476880209,64181358.7848277
2024-12-31,68957.2156690745,0,0,0,15302.798231124,13233.5619742235,0,24673.246638347,0,0,0,0,0,0,0,1565.55639323544,63679266.6993966
2025-01-31,68468.6656892317,0,0,0,15207.3308716261,11766.2528581087,0,25000.8365455735,0,0,0,0,0,0,0,1666.10159410075,63164664.1909558
2025-02-28,68075.5950671433,0,0,0,15111.4992644604,17088.466090618,0,25305.8467272543,0,0,0,0,0,0,0,1614.55233815502,62712668.4235411
2025-03-31,67681.9181887241,0,0,0,15012.6252542846,17828.6932812409,0,25594.1597717446,0,0,0,0,0,0,0,1650.54150977067,62257771.1825866
2025-04-30,67348.4183977835,0,0,0,14914.1616531306,21124.7129863433,0,25867.1739265382,0,0,0,0,0,0,0,1639.26700928907,61843754.7209099
2025-05-31,67026.4465084893,0,0,0,14815.108521302,22025.5316681554,0,26126.1562998596,0,0,0,0,0,0,0,1674.55796160249,61437776.3032475
2025-06-30,66715.4106374833,0,0,0,14715.2777095521,22949.1671478867,0,26368.3678516954,0,0,0,0,0,0,0,1708.00095489631,61039226.3216269
2025-07-31,66270.5238088667,0,0,0,14617.5847101864,1190.68091439297,0,26555.6125881914,0,0,0,0,0,0,0,2182.89847763158,60549515.5610837
2025-08-31,65848.3547211349,0,0,0,14522.0510291553,1708.2668724437,0,26693.2282381509,0,0,0,0,0,0,0,2240.59805298445,60077696.2623659
2025-09-30,65448.8860002386,0,0,0,14428.6973516481,2186.59740241471,0,26799.201894538,0,0,0,0,0,0,0,2291.55370954358,59623849.9441126
2025-10-31,65072.0564598179,0,0,0,14337.5451518676,2627.02089188224,0,26877.6901038723,0,0,0,0,0,0,0,2336.34870338107,59188065.9931457
2025-11-30,64717.9664858034,0,0,0,14248.616826714,3028.51106664932,0,26931.9897900138,0,0,0,0,0,0,0,2375.28968116581,58770441.8540452
2025-12-31,64308.592489845,0,0,0,14161.5932198569,2508.15506706471,0,26957.9649475307,0,0,0,0,0,0,0,2438.77343988772,58321634.4379504
2026-01-31,63879.2388055161,0,0,0,14076.321861589,2369.5975404115,0,26954.6636103927,0,0,0,0,0,0,0,2481.46933705657,57863528.5882951
2026-02-28,63551.3778881705,0,0,0,13993.184297572,3585.12671811962,0,26936.7078595281,0,0,0,0,0,0,0,2472.12120934833,57472796.2578279
2026-03-31,63245.2838038851,0,0,0,13912.1985920074,3839.58557645611,0,26908.6776098804,0,0,0,0,0,0,0,2490.86507781656,57099568.6399576
2026-04-30,63004.9063357531,0,0,0,13833.5807164759,4551.51497777679,0,26869.5483115297,0,0,0,0,0,0,0,2488.32362304009,56771636.9408582
2026-05-31,62788.3432348376,0,0,0,13757.356271032,4733.90235690581,0,26819.3706999379,0,0,0,0,0,0,0,2498.54858114381,56462711.4619736
2026-06-30,62595.8737993078,0,0,0,13683.5547596987,4873.82158624955,0,26755.2126392868,0,0,0,0,0,0,0,2504.30148943569,56172949.4359128
2026-07-31,62281.16322267,0,0,0,13612.3558429897,3210.99184980403,0,26684.9985034796,0,0,0,0,0,0,0,2529.12803713558,55805115.5453158
2026-08-31,61989.8011476208,0,0,0,13543.8134253507,3331.21653840966,0,26613.6606228153,0,0,0,0,0,0,0,2534.32988101654,55456012.2106067
2026-09-30,61721.5870374716,0,0,0,13477.9710103859,3453.17392139934,0,26554.7533992017,0,0,0,0,0,0,0,2539.17130746035,55125803.6294106
2026-10-31,61476.4800469776,0,0,0,13414.87372856,3577.9893902866,0,26507.4464151428,0,0,0,0,0,0,0,2543.82208583608,54814663.102374
2026-11-30,61254.8638005549,0,0,0,13354.5682017407,3704.87965869682,0,26471.2357444303,0,0,0,0,0,0,0,2548.29358045337,54522773.2293858
2026-12-31,60981.2624928732,0,0,0,13296.5880035799,3001.28312388388,0,26435.4100890021,0,0,0,0,0,0,0,2589.46737627698,54203415.7098334
2027-01-31,60689.1890843909,0,0,0,13241.2521224754,2681.57111269843,0,26394.4060928527,0,0,0,0,0,0,0,2610.06619949304,53876605.4108844
2027-02-28,60496.2375557796,0,0,0,13189.2105413185,3663.31661724136,0,26365.1159529831,0,0,0,0,0,0,0,2571.48732337448,53614728.9301005
2027-03-31,60326.2154862999,0,0,0,13140.5795155212,3783.82328303572,0,26352.2790310582,0,0,0,0,0,0,0,2574.03986082332,53371443.3684762
2027-04-30,60221.8141669218,0,0,0,13095.7728843603,4371.87683664582,0,26357.7370315307,0,0,0,0,0,0,0,2555.92448808325,53173205.6786881
2027-05-31,60142.9492844878,0,0,0,13054.921227471,4505.34698372304,0,26380.9401229772,0,0,0,0,0,0,0,2559.61464557056,52995639.8840455
2027-06-30,60090.0041554513,0,0,0,13018.0367460358,4639.32905363089,0,26418.4423243646,0,0,0,0,0,0,0,2563.27608767547,52838998.3550497
2027-07-31,59915.1371467989,0,0,0,12982.0454367542,3155.7510730463,0,26450.9559711634,0,0,0,0,0,0,0,2609.10531468401,52604221.5252311
2027-08-31,59750.3690032162,0,0,0,12947.1413348754,3258.5185844339,0,26478.2521331695,0,0,0,0,0,0,0,2611.04525220987,52376565.2963757
2027-09-30,59595.8959509703,0,0,0,12913.3986113873,3363.46743901386,0,26507.5362545744,0,0,0,0,0,0,0,2613.00265323365,52156123.2620125
2027-10-31,59451.904285173,0,0,0,12880.9611003323,3471.43292448149,0,26541.1012724835,0,0,0,0,0,0,0,2615.05551054521,51942992.5615181
2027-11-30,59318.5315398787,0,0,0,12849.916223928,3581.85246826376,0,26580.1255512534,0,0,0,0,0,0,0,2617.19683694488,51737273.9831448
2027-12-31,59123.750418676,0,0,0,12820.355654206,2899.93609046848,0,26614.3288162414,0,0,0,0,0,0,0,2661.36525073329,51496162.8780261
2028-01-31,58901.5407277183,0,0,0,12791.6201253461,2587.79498101717,0,26638.1671712047,0,0,0,0,0,0,0,2682.47260736858,51239743.9393689
2028-02-29,58764.8977610831,0,0,0,12763.709730549,3518.93445584496,0,26669.1488126212,0,0,0,0,0,0,0,2636.35395390583,51035120.4718865
2028-03-31,58638.8693977325,0,0,0,12736.6128955029,3628.15338709296,0,26712.4310460517,0,0,0,0,0,0,0,2637.40840817251,50837885.3333488
2028-04-30,58563.9989468405,0,0,0,12709.3201464593,4184.45131778364,0,26769.2856432776,0,0,0,0,0,0,0,2615.10543247203,50672158.0801593
2028-05-31,58500.8118653182,0,0,0,12681.7636669968,4307.33146629725,0,26839.1134658543,0,0,0,0,0,0,0,2617.86259493091,50514519.0962771
2028-06-30,58449.5608578534,0,0,0,12653.8780385424,4431.50525144782,0,26917.998672467,0,0,0,0,0,0,0,2620.72679236635,50365097.6692915
2028-07-31,58277.1693746488,0,0,0,12625.5600939901,2982.8368406101,0,26983.6056033883,0,0,0,0,0,0,0,2679.36175853158,50140788.3770422
2028-08-31,58114.9028626699,0,0,0,12596.783686935,3080.38269659378,0,27034.8812444135,0,0,0,0,0,0,0,2679.40950761953,49923277.2519837
2028-09-30,57962.9352875602,0,0,0,12567.7074434469,3179.98411762443,0,27084.2273076404,0,0,0,0,0,0,0,2679.40142761675,49712653.4607492
2028-10-31,57821.3236566277,0,0,0,12538.3939271374,3282.43745152508,0,27134.7161934543,0,0,0,0,0,0,0,2679.41797370019,49509009.5503486
2028-11-30,57690.1806527092,0,0,0,12508.5464376228,3387.20539151623,0,27188.0125317566,0,0,0,0,0,0,0,2679.48530079106,49312441.5494179
2028-12-31,57499.129305632,0,0,0,12478.1016395146,2742.3522822921,0,27234.7028939386,0,0,0,0,0,0,0,2725.61770670893,49082047.2623037
2029-01-31,57281.3564889831,0,0,0,12446.8608813701,2447.25384558588,0,27269.7618966476,0,0,0,0,0,0,0,2746.406349738,48837021.2976308
2029-02-28,57147.2383129834,0,0,0,12414.7355907721,3328.38467213043,0,27309.76398482,0,0,0,0,0,0,0,2693.46093098774,48641485.3825559
2029-03-31,57023.5523265977,0,0,0,12381.6481044705,3431.8903872531,0,27359.6505622442,0,0,0,0,0,0,0,2692.38068238993,48453002.9272777
2029-04-30,56949.9086950376,0,0,0,12349.6216651025,3958.34988220223,0,27420.8055526979,0,0,0,0,0,0,0,2665.53563229639,48294621.0377441
2029-05-31,56887.7349691732,0,0,0,12318.8260783173,4074.73886097637,0,27492.7584495711,0,0,0,0,0,0,0,2666.0654916283,48143959.1598627
2029-06-30,56837.2750416541,0,0,0,12289.3013814522,4192.33416202477,0,27571.9027889457,0,0,0,0,0,0,0,2666.56292039052,48001140.5044789
2029-07-31,56672.0712750037,0,0,0,12261.1054024067,2854.5292029409,0,27636.2175554887,0,0,0,0,0,0,0,2730.46176502961,47786806.8604681
2029-08-31,56516.9014983154,0,0,0,12234.2763886534,2947.58212475962,0,27685.0911520864,0,0,0,0,0,0,0,2727.52011441348,47578965.9911935
2029-09-30,56371.9128048577,0,0,0,12208.6962853107,3042.58532435405,0,27729.8804680443,0,0,0,0,0,0,0,2724.52045018866,47377702.9205054
2029-10-31,56237.1713073402,0,0,0,12184.2886809552,3140.29075936336,0,27773.9649145758,0,0,0,0,0,0,0,2721.50797035141,47183105.89622
2029-11-30,56112.7721376383,0,0,0,12161.2449839443,3240.19212178693,0,27819.3460433686,0,0,0,0,0,0,0,2718.47281020161,46995266.4882131
2029-12-31,55929.1343435629,0,0,0,12139.6504836061,2623.37905135484,0,27857.6174793951,0,0,0,0,0,0,0,2765.31608566347,46775088.1880201
2030-01-31,55719.0475405249,0,0,0,12119.643994775,2341.06395526699,0,27884.1928569711,0,0,0,0,0,0,0,2784.47307611182,46540920.839809
2030-02-28,55591.6103824408,0,0,0,12101.0504161396,3183.32052345269,0,27914.5471891113,0,0,0,0,0,0,0,2723.50318999312,46354056.3658462
2030-03-31,55474.4538220202,0,0,0,12083.9157876354,3282.10712171538,0,27953.4219311597,0,0,0,0,0,0,0,2718.85648963983,46173928.5065379
2030-04-30,55406.7378782541,0,0,0,12067.2865681497,3785.2731064232,0,28001.961465306,0,0,0,0,0,0,0,2686.30537387098,46022566.5519866
2030-05-31,55350.3353112789,0,0,0,12050.9710132042,3896.38036987978,0,28059.8626373612,0,0,0,0,0,0,0,2683.59850547595,45878576.1981978
2030-06-30,55305.4819550071,0,0,0,12034.9524652787,4008.63769930445,0,28123.8125243076,0,0,0,0,0,0,0,2680.9447560533,45742074.95108
2030-07-31,55093.7239871982,0,0,0,12018.2311594516,2738.10262710756,0,28160.117320018,0,0,0,0,0,0,0,2745.59136791048,45499995.1300204
2030-08-31,54890.7108214563,0,0,0,12001.8377929899,2827.13110328056,0,28185.282197266,0,0,0,0,0,0,0,2734.24043312055,45263390.1942119
2030-09-30,54696.5644860005,0,0,0,11985.703721946,2918.05256698839,0,28209.3802757629,0,0,0,0,0,0,0,2722.79925195582,45032317.2654692
2030-10-31,54511.3299123283,0,0,0,11969.8118206284,3011.58910508954,0,28234.7501919807,0,0,0,0,0,0,0,2711.2930377396,44806835.8880154
2030-11-30,54335.0840476459,0,0,0,11954.1120254136,3107.2547928322,0,28262.6973837357,0,0,0,0,0,0,0,2699.72910681483,44587008.1046072
2030-12-31,54111.3261012725,0,0,0,11938.836079855,2515.71457678552,0,28288.4264030298,0,0,0,0,0,0,0,2742.60405924777,44344005.7632558
2031-01-31,53866.705974589,0,0,0,11923.8550300942,2244.91547813603,0,28305.1981490463,0,0,0,0,0,0,0,2756.28442721517,44091350.4478776
2031-02-28,53689.8162067077,0,0,0,11909.0891189464,3052.43780896039,0,28322.1288729754,0,0,0,0,0,0,0,2683.00017613003,43874221.9825754
2031-03-31,53521.8505919163,0,0,0,11894.1904554709,3147.10289701699,0,28348.072206335,0,0,0,0,0,0,0,2670.21354134357,43662709.8201083
2031-04-30,53394.6028680244,0,0,0,11878.9867514531,3629.53294868385,0,28382.1657428313,0,0,0,0,0,0,0,2626.88951876637,43473049.1616272
2031-05-31,53277.0901315876,0,0,0,11863.5765779021,3736.06030550532,0,28426.3242098664,0,0,0,0,0,0,0,2615.50815061455,43289463.0351917
2031-06-30,53169.5006654612,0,0,0,11847.9274153045,3843.71481294275,0,28477.2898783411,0,0,0,0,0,0,0,2604.08692984071,43112032.9244547
2031-07-31,52996.1976012748,0,0,0,11832.6335454063,2588.74892566695,0,28544.4894438961,0,0,0,0,0,0,0,2679.78666872156,42908977.3930922
2031-08-31,52831.8376433682,0,0,0,11817.1927568537,2673.34647902118,0,28601.6114246756,0,0,0,0,0,0,0,2667.29756947106,42711588.4703947
2031-09-30,52676.7535595321,0,0,0,11801.6464919607,2759.73494307793,0,28654.0533484796,0,0,0,0,0,0,0,2655.06067261705,42519936.2921626
2031-10-31,52531.2832905384,0,0,0,11785.8221837075,2848.60590302532,0,28703.9086522615,0,0,0,0,0,0,0,2643.11122234728,42334093.7290083
2031-11-30,52395.5144107028,0,0,0,11769.6855543669,2939.49281396209,0,28752.8771194326,0,0,0,0,0,0,0,2631.43817198415,42154136.4668272
2031-12-31,52207.621462884,0,0,0,11753.3310565408,2379.87745344542,0,28791.9563192507,0,0,0,0,0,0,0,2676.38680334209,41946966.5203464
2032-01-31,51996.7517437725,0,0,0,11736.6297735134,2123.77125119306,0,28816.6105843832,0,0,0,0,0,0,0,2690.79223401008,41728119.7963342
2032-02-29,51859.7550944806,0,0,0,11719.2226450926,2888.38186827386,0,28843.9996042906,0,0,0,0,0,0,0,2615.23805174842,41549481.7754759
2032-03-31,51732.2072431075,0,0,0,11702.1151044542,2978.18981853376,0,28879.0893166949,0,0,0,0,0,0,0,2603.18744311328,41376705.9902691
2032-04-30,51648.909965901,0,0,0,11685.1790390629,3435.0368637771,0,28922.6688537587,0,0,0,0,0,0,0,2559.75528682462,41228438.9900788
