"Time","PREM_INC","DEATH_OUTGO","DISAB_OUTGO","INIT_EXP","REN_EXP","INIT_COMM","REN_COMM","PHIBEN_OUTGO","PHIBEN_OUTGO_BLL","CR_BEN_OUTGO","RETR_OUTGO","DTH_OUTGO","DREADDIS_OUTGO","TEMPDIS_OUTGO","RIDERC_OUTGO","RISK_ADJ","COVERAGE_UNITS"
2024-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521396282.02
2024-07-31,403563.280526526,97414.8626440001,4802.98255590636,10549394.94168,21628.277476606,3156991.16658268,4669.95024859538,17012.9002063416,0,7.97418871011146,0,0,0,0,0,29974.9056522723,655963489.556948
2024-08-31,394301.138176694,92784.3193345291,4586.13857224495,0,22256.1298325002,-63125.9868836094,4571.82853086217,26050.5518020309,0,7.4927788318981,0,0,0,0,0,2068.53832956973,643089476.675076
2024-09-30,388985.837266493,91164.5575570746,4506.16075442441,0,22108.0059500319,-39317.4652536257,4520.28735973785,28523.428853101,0,7.32521852446844,0,0,0,0,0,4604.69726874111,635478153.033082
2024-10-31,382181.82352175,89790.9155227618,4436.04116246358,0,21903.3766355096,-49191.4846901741,4444.55372097893,29727.7430297637,0,7.24178842013393,0,0,0,0,0,4122.17405478591,625053041.203033
2024-11-30,377718.934023883,88500.5655224368,4369.02454061546,0,21759.9499377716,-33773.3765807887,4398.05257656858,30352.9569824572,0,7.14919448578463,0,0,0,0,0,5690.95592870304,618252617.294
2024-12-31,374314.748648739,87554.9334940297,4322.82554270313,0,21672.9857427891,-25185.2745211759,4365.09065136085,30838.4443171361,0,7.05707126773678,0,0,0,0,0,6600.95204161104,613289186.232171
2025-01-31,369757.419206027,86602.5344081301,4278.17851900874,0,21521.9973821774,-24885.1370931615,4315.18169294253,31245.5449042017,0,7.0140074799733,0,0,0,0,0,6839.42363500166,606300008.124831
2025-02-28,365293.974776281,85543.2525134388,4228.85649231832,0,21382.2242555109,-21417.4198452536,4264.10333770326,31570.1779262188,0,6.92782451174633,0,0,0,0,0,7298.81481742985,599641730.70796
2025-03-31,361704.966447596,84596.0169584309,4184.19190906747,0,21283.5663228197,-16784.9986628448,4222.32094669747,31853.2337196921,0,6.85030272411703,0,0,0,0,0,7847.03734084479,594177663.062339
2025-04-30,356809.497092705,83584.659174517,4141.7725903,0,21094.2906803029,-21697.2232340101,4167.05175615675,32102.883825848,0,6.81806797678831,0,0,0,0,0,7697.92321218045,587076243.447153
2025-05-31,352668.045317519,82507.1735090749,4094.73479555847,0,20967.6012272599,-16563.6361529287,4120.54099444931,32309.5482318305,0,6.74381484303768,0,0,0,0,0,8203.93875522614,580775352.531402
2025-06-30,348864.589338491,81592.8626543573,4049.15289053351,0,20845.7038652538,-14142.0113983848,4077.14370220759,32484.229274253,0,6.68315271883805,0,0,0,0,0,8456.16819191876,574684882.631535
2025-07-31,375959.183663253,89731.8269390901,4594.14443946789,0,20704.098194843,1136614.70701642,4362.49113366232,33729.8111685517,0,6.88768440973257,0,0,0,0,0,-16411.6174989833,590607210.180975
2025-08-31,371392.295851474,88646.1327083822,4536.79240853926,0,20563.2252908894,-24412.2001060163,4312.14990868618,34576.1283959645,0,6.81583919936643,0,0,0,0,0,8787.93792856471,583838086.636227
2025-09-30,366891.289690527,87574.94661158,4480.18628857103,0,20423.4876327879,-21978.9791537605,4262.4983364412,34925.2520709905,0,6.74474340403523,0,0,0,0,0,9176.25250967095,577152301.572171
2025-10-31,362455.061696847,86518.0593070525,4424.31593660822,0,20284.8744813685,-19604.6593320751,4213.49055305944,35118.727171742,0,6.6743892066153,0,0,0,0,0,9539.9202544205,570548746.563449
2025-11-30,358079.53985546,85475.2659666125,4369.17135438165,0,20147.3752401125,-17288.0276153259,4165.09861847998,35225.4486133393,0,6.60476887152312,0,0,0,0,0,9882.21120317932,564026329.082906
2025-12-31,353762.798452306,84446.3540587943,4314.74268613925,0,20010.9794234338,-15027.8952585359,4117.3114641391,35284.3012481663,0,6.5358747438648,0,0,0,0,0,10205.1786631149,557583972.230426
2026-01-31,349503.268427705,83431.0987834285,4261.0202165113,0,19875.6766537894,-12015.6473757515,4070.11991501804,35309.1901459504,0,6.46769924859441,0,0,0,0,0,10570.765274649,551220613.516915
2026-02-28,345299.833752336,82429.3080966155,4207.99436840943,0,19741.4563951765,-9761.93043270634,4023.51534799248,35306.8330849415,0,6.40023488968104,0,0,0,0,0,10864.5447839721,544935208.049734
2026-03-31,341151.582804768,81440.8054079357,4155.65570095846,0,19608.3087894386,-7564.15176034656,3977.48945363797,35282.4124741982,0,6.33347424928467,0,0,0,0,0,11141.1715474767,538726724.672
2026-04-30,337057.607117427,80465.3995521483,4103.99490746085,0,19476.2237978223,-5421.15313735385,3932.03410171972,35239.0617898986,0,6.26740998694051,0,0,0,0,0,11401.3119217232,532594146.964189
2026-05-31,333017.073884121,79502.9032188804,4053.00281339299,0,19345.191488109,-3331.79954186973,3887.14132822767,35179.266403719,0,6.20203483875191,0,0,0,0,0,11645.5839938437,526536473.045011
2026-06-30,329029.172156682,78553.1320532923,4002.67037443297,0,19215.2020364141,-1294.97868532486,3842.80332039786,35104.9895217723,0,6.1373416165917,0,0,0,0,0,11874.5668137491,520552715.344725
