"Time","PREM_INC","DEATH_OUTGO","DISAB_OUTGO","INIT_EXP","REN_EXP","INIT_COMM","REN_COMM","PHIBEN_OUTGO","PHIBEN_OUTGO_BLL","CR_BEN_OUTGO","RETR_OUTGO","DTH_OUTGO","DREADDIS_OUTGO","TEMPDIS_OUTGO","RIDERC_OUTGO","RISK_ADJ","COVERAGE_UNITS"
45838,3565546.23158352,874286.109300643,71884.4267905219,2032915.80592704,130708.90550736,1770741.9343809,32882.0822257636,255487.133104058,0,126.788047577615,0,0,0,0,0,67418.6565777861,5110700334.69299
45869,3549846.68004028,871922.894296583,71838.2519540073,0,130137.061152573,477040.755303837,32127.9814082118,262717.216008009,0,125.07149928129,0,0,0,0,0,66223.5055056106,5067170531.36598
45900,3534166.41567988,870832.085455697,71793.4389149398,0,129268.528733822,427460.164713248,31987.8008880606,266998.301962462,0,123.69117721817,0,0,0,0,0,72267.151310162,5025387898.5853
45930,3518990.25566285,870066.783048001,71763.9852045262,0,128403.58139469,450897.855618492,31852.8130726374,270360.537205168,0,122.390783172332,0,0,0,0,0,75540.1833634487,4984433503.03993
45961,3505745.22232133,869828.555506721,71773.8697961612,0,127546.745567389,495065.529238875,31734.9666640681,273249.618300736,0,121.140916938845,0,0,0,0,0,78758.9977907945,4945655568.39977
45991,3493713.1961577,870073.166912148,71820.2693645227,0,126700.25828069,530057.041302034,31627.1856137832,275881.094223597,0,119.954844590795,0,0,0,0,0,81445.4552292155,4908016474.90206
46022,3483954.81587049,871099.168608748,71940.3107447849,0,125846.875404702,614454.150929291,31467.6406288519,278351.231080836,0,118.838391239676,0,0,0,0,0,82707.142059536,4871801465.11997
46053,3470082.28537014,870630.685676672,71919.6715603792,0,124993.196525099,503990.940631324,31308.6622118377,280574.243641229,0,117.663718237857,0,0,0,0,0,88044.540661639,4833568635.65146
46081,3450499.66856055,868160.613434796,71707.8199156204,0,124146.464104223,340827.450708697,31213.4711801239,282440.723757696,0,116.416417939295,0,0,0,0,0,94425.0813516918,4792310635.1531
46112,3434443.75345533,867045.530030519,71613.3035266145,0,123289.821667052,436825.627051759,31076.0640714724,284108.125406477,0,115.246712612105,0,0,0,0,0,94795.2290539485,4753163666.79788
46142,3424743.171658,867949.557089414,71708.7450046422,0,122446.02869918,623006.829033648,31026.6918830222,285775.973149819,0,114.185170525452,0,0,0,0,0,93397.2373767261,4718014087.30646
46173,3414003.52988554,868717.748573124,71770.0463908209,0,121601.475017788,559955.380075077,30933.5442734855,287385.630614255,0,113.11806729975,0,0,0,0,0,97048.1221457848,4682534163.95817
46203,3405134.80972207,870190.539357878,71886.3425776704,0,120761.159705017,596458.237575567,30856.1626590838,288923.834965888,0,112.097450706098,0,0,0,0,0,98622.1468926784,4648589840.83971
46234,3393839.54891806,872957.841282406,71991.196739493,0,119942.726793264,188158.226289515,30489.0845180778,290339.17400553,0,111.037467256563,0,0,0,0,0,106809.806617368,4613229083.9124
46265,3381043.16447214,875141.7826599,71998.1051824817,0,119145.764804442,179347.070177227,30378.0511181572,291592.259180363,0,109.959480917296,0,0,0,0,0,110043.972998875,4577699035.59803
46295,3368848.14944897,877452.335245117,72013.4937620947,0,118370.743564972,187770.126881139,30271.9961140426,292708.763433712,0,108.912876018794,0,0,0,0,0,112552.500258609,4543190441.64846
46326,3358168.14962459,880324.759154316,72070.1786515067,0,117617.826137242,204074.705225401,30177.8734495363,293763.812989812,0,107.911134522613,0,0,0,0,0,114552.451769611,4510205201.32555
46356,3348942.05220126,883727.790643219,72166.4172510239,0,116887.236872513,218749.545820498,30095.2375073457,294796.146038659,0,106.953213731537,0,0,0,0,0,116447.980280202,4478708613.87507
46387,3342652.45733921,888399.923666165,72349.7187871568,0,116179.279063067,247007.860454305,29987.2528840917,295854.648668292,0,106.061483080854,0,0,0,0,0,117751.254338751,4449558226.23072
46418,3332787.21988803,891137.966377677,72403.8519430831,0,115494.1526046,210876.90632758,29874.5561261692,296846.832285313,0,105.137563675668,0,0,0,0,0,121233.028422739,4419036017.29708
46446,3317615.6474868,891109.302559643,72272.8794468693,0,114829.951533103,157810.316408162,29796.8355948623,297654.630930252,0,104.15305966877,0,0,0,0,0,125048.971842075,4386082712.80166
