"Time","PREM_INC","DEATH_OUTGO","DISAB_OUTGO","INIT_EXP","REN_EXP","INIT_COMM","REN_COMM","PHIBEN_OUTGO","PHIBEN_OUTGO_BLL","CR_BEN_OUTGO","RETR_OUTGO","DTH_OUTGO","DREADDIS_OUTGO","TEMPDIS_OUTGO","RIDERC_OUTGO","RISK_ADJ","COVERAGE_UNITS"
2025-06-30,8632657.23588875,2346584.37438498,151385.619860827,16754146.2361582,1031685.74248354,5191332.59698905,86188.9209104662,709556.301810501,0,1808.46848678453,0,0,0,0,0,211803.367765491,22618205072.1224
2025-07-31,8579037.31995015,2308950.17708152,150399.557932792,0,1028280.27638019,1336587.49841381,77682.7581918578,725183.786033753,0,1783.90348779568,0,0,0,0,0,133314.232302967,22399930242.8033
2025-08-31,8527184.09485902,2278164.29165112,149564.86524978,0,1020860.33092292,1177468.6733929,77483.5460664172,731880.41708873,0,1764.46770025991,0,0,0,0,0,149537.603757502,22193203920.374
2025-09-30,8478165.59683452,2252963.00215418,148792.73013558,0,1013606.58043912,1257854.64075861,77303.0230545775,736342.514510168,0,1746.29741027111,0,0,0,0,0,157508.088055776,21992714692.0466
2025-10-31,8435200.38340229,2231264.15394111,148106.693713189,0,1006671.11675679,1399423.04033783,77170.2813534744,739833.548324363,0,1728.94097755604,0,0,0,0,0,165398.724949732,21805203143.0149
2025-11-30,8396085.56143295,2212351.90388499,147499.470018968,0,999882.872624011,1509232.32085823,77068.6081630283,742907.128721227,0,1712.577088779,0,0,0,0,0,171419.543181042,21624132275.6326
2025-12-31,8362751.40923614,2195869.23045386,147001.829000582,0,993063.753410322,1761595.24673235,76124.1082149947,745800.598239735,0,1697.27532915752,0,0,0,0,0,172937.884884961,21449870514.2331
2026-01-31,8320589.57205482,2177672.56853786,146328.170496562,0,986312.283831373,1443242.61075893,75512.2049984719,748155.706220573,0,1681.1415675216,0,0,0,0,0,187991.661506496,21267928743.9903
2026-02-28,8265421.78337191,2156951.73710717,145415.24653739,0,979653.208065547,967289.317697293,76177.4084986509,749591.033424103,0,1664.10947527832,0,0,0,0,0,206270.41225214,21073317757.4168
2026-03-31,8219620.89177967,2139400.89302628,144671.908642245,0,973028.297440802,1255639.39810868,76006.7920983358,750671.830952203,0,1648.16249554379,0,0,0,0,0,205344.515330158,20890154702.2086
2026-04-30,8189154.20010326,2126540.41368458,144196.445069635,0,966545.196295184,1802992.887424,76466.4450314187,752023.553485691,0,1633.7929962281,0,0,0,0,0,198147.625884599,20725130373.3793
2026-05-31,8156934.50457659,2113881.99655322,143692.550928328,0,960146.116091195,1622216.25787378,76429.5629985839,753393.735122744,0,1619.39672609935,0,0,0,0,0,207769.759698848,20559970710.4846
2026-06-30,8128772.49507351,2103001.67690535,143269.43266968,0,953782.238454559,1727448.74902651,76433.3178059912,754726.975377175,0,1605.70429191448,0,0,0,0,0,210287.718112931,20400588118.0898
2026-07-31,8095109.91909921,2093032.18595035,142822.475798203,0,947607.391116914,547407.83202975,72719.1857541053,755850.20072812,0,1591.56228565388,0,0,0,0,0,235380.154651438,20235312723.3362
2026-08-31,8058290.89797923,2082883.63447597,142262.770658457,0,941597.644496036,517044.218704649,72577.7466225489,756549.677568763,0,1577.1572872624,0,0,0,0,0,244180.697027395,20070168431.1773
2026-09-30,8023216.75971526,2073404.52087053,141729.683538186,0,935763.978122399,543721.742685538,72450.1505647919,757003.437300005,0,1563.17093533726,0,0,0,0,0,250402.333895123,19910045486.4516
2026-10-31,7991985.94679959,2065329.25132511,141265.307611528,0,930108.305190482,593712.866739465,72354.6546599494,757444.927115069,0,1549.79796236674,0,0,0,0,0,255035.784706829,19757092869.4622
2026-11-30,7964455.12950843,2058606.74900088,140867.302987919,0,924632.482432843,638653.242128361,72290.1769659241,757975.052375733,0,1537.02493293074,0,0,0,0,0,259393.826753716,19611154987.3572
2026-12-31,7944045.03845922,2054156.70846658,140598.290677259,0,919343.180367103,722698.397357733,71668.7823792153,758743.724168329,0,1525.16788102807,0,0,0,0,0,261980.828406994,19475970118.6006
