"Time","REINS_PREM_TREATY_OUT(1)...2","REINS_PREM_TREATY_OUT(2)","REINS_PREM_TREATY_OUT(3)","REINS_PREM_TREATY_OUT(4)","REINS_PREM_TREATY_OUT(5)","REINS_PREM_TREATY_OUT(6)","REINS_PREM_TREATY_OUT(1)...8","RPR_PREM_OUT_TREATY_OUT(1)","RPR_PREM_OUT_TREATY_OUT(2)","RPR_PREM_OUT_TREATY_OUT(3)","RPR_PREM_OUT_TREATY_OUT(4)","RPR_PREM_OUT_TREATY_OUT(5)","RPR_PREM_OUT_TREATY_OUT(6)","FR_REPAYMENT","FR_CLAWBACK","REINS_REC_TREATY_OUT(1)","REINS_REC_TREATY_OUT(2)","REINS_REC_TREATY_OUT(3)","REINS_REC_TREATY_OUT(4)","REINS_REC_TREATY_OUT(5)","REINS_REC_TREATY_OUT(6)","RPR_DTH_REC_TREATY_OUT(1)","RPR_DTH_REC_TREATY_OUT(2)","RPR_DTH_REC_TREATY_OUT(3)","RPR_DTH_REC_TREATY_OUT(4)","RPR_DTH_REC_TREATY_OUT(5)","RPR_DTH_REC_TREATY_OUT(6)","RPR_PHIBEN_REC_TREATY_OUT(1)","RPR_PHIBEN_REC_TREATY_OUT(2)","RPR_PHIBEN_REC_TREATY_OUT(3)","RPR_PHIBEN_REC_TREATY_OUT(4)","RPR_PHIBEN_REC_TREATY_OUT(5)","RPR_PHIBEN_REC_TREATY_OUT(6)","FR_NEW_FINAN","RISK_ADJ_RI_TREATY_OUT_FR(1)","RISK_ADJ_RI_TREATY_OUT_FR(2)","RISK_ADJ_RI_TREATY_OUT_FR(3)","RISK_ADJ_RI_TREATY_OUT_FR(4)","RISK_ADJ_RI_TREATY_OUT_FR(5)","RISK_ADJ_RI_TREATY_OUT_FR(6)","COVERAGE_UNITS_RI_TREATY_OUT(1)","COVERAGE_UNITS_RI_TREATY_OUT(2)","COVERAGE_UNITS_RI_TREATY_OUT(3)","COVERAGE_UNITS_RI_TREATY_OUT(4)","COVERAGE_UNITS_RI_TREATY_OUT(5)","COVERAGE_UNITS_RI_TREATY_OUT(6)"
"m0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3408037338.723,0,0,0,0
"m1",0,47934.5321859733,0,0,0,0,0,0,1079033.24768672,0,0,0,0,663752.245100252,0,0,47911.20523281,0,0,0,0,0,446509.791650449,0,0,0,0,0,111576.353498415,0,0,0,0,0,0,0,0,0,0,0,0,3377020263.61706,0,0,0,0
"m2",0,47642.0632332554,0,0,0,0,0,0,1073838.57616422,0,0,0,0,659067.119432033,0,0,47508.6347825142,0,0,0,0,0,446672.223631634,0,0,0,0,0,193315.675182673,0,0,0,0,0,0,0,0,0,0,0,0,3343797037.95125,0,0,0,0
"m3",0,48254.6772710873,0,0,0,0,0,0,1072416.53018295,0,0,0,0,657423.602574578,0,0,47918.8647174012,0,0,0,0,0,447702.485081458,0,0,0,0,0,222051.202363878,0,0,0,0,0,0,0,0,0,0,0,0,3319735449.9393,0,0,0,0
"m4",0,47885.6018505513,0,0,0,0,0,0,1068158.62271579,0,0,0,0,653842.686842884,0,0,47465.6060256586,0,0,0,0,0,447248.403372783,0,0,0,0,0,238788.4610967,0,0,0,0,0,0,0,0,0,0,0,0,3289941571.5396,0,0,0,0
"m5",0,47800.9659655554,0,0,0,0,0,0,1064818.44111796,0,0,0,0,651227.582099674,0,0,47267.2766634074,0,0,0,0,0,446596.149844406,0,0,0,0,0,249567.558636305,0,0,0,0,0,0,0,0,0,0,0,0,3263561733.39287,0,0,0,0
"m6",0,47674.9472306553,0,0,0,0,0,0,1066973.32798192,0,0,0,0,650658.601868826,0,0,47068.5032775687,0,0,0,0,0,450216.007980051,0,0,0,0,0,258240.691180083,0,0,0,0,0,0,0,0,0,0,0,0,3239172716.50925,0,0,0,0
"m7",0,47885.4670837515,0,0,0,0,0,0,1069441.46009152,0,0,0,0,650648.709143124,0,0,47159.4194157493,0,0,0,0,0,454420.6299931,0,0,0,0,0,265472.991879819,0,0,0,0,0,0,0,0,0,0,0,0,3216685715.19486,0,0,0,0
"m8",0,47924.9210116261,0,0,0,0,0,0,1067764.9247676,0,0,0,0,648970.557032039,0,0,47085.8761750181,0,0,0,0,0,454946.37927261,0,0,0,0,0,272024.889794237,0,0,0,0,0,0,0,0,0,0,0,0,3191770817.60145,0,0,0,0
"m9",0,47582.7251475566,0,0,0,0,0,0,1066065.06597805,0,0,0,0,646640.153137733,0,0,46657.6826944143,0,0,0,0,0,456430.155798379,0,0,0,0,0,277727.307825885,0,0,0,0,0,0,0,0,0,0,0,0,3166802198.30459,0,0,0,0
"m10",0,47355.3238538916,0,0,0,0,0,0,1064937.77474906,0,0,0,0,644941.393859092,0,0,46348.1728295925,0,0,0,0,0,457389.766699246,0,0,0,0,0,283177.971632642,0,0,0,0,0,0,0,0,0,0,0,0,3146317670.99091,0,0,0,0
"m11",0,47248.2173047829,0,0,0,0,0,0,1065969.7144287,0,0,0,0,644545.329411207,0,0,46133.6970253428,0,0,0,0,0,459158.573075661,0,0,0,0,0,288351.171527052,0,0,0,0,0,0,0,0,0,0,0,0,3127819530.65245,0,0,0,0
"m12",0,47180.0247985378,0,0,0,0,0,0,1065562.43482182,0,0,0,0,642901.976255994,0,0,45980.8485049549,0,0,0,0,0,460482.877936533,0,0,0,0,0,293152.759130187,0,0,0,0,0,0,0,0,0,0,0,0,3108026465.25704,0,0,0,0
