"Time","REINS_PREM_TREATY_OUT(1)...2","REINS_PREM_TREATY_OUT(2)","REINS_PREM_TREATY_OUT(3)","REINS_PREM_TREATY_OUT(4)","REINS_PREM_TREATY_OUT(5)","REINS_PREM_TREATY_OUT(6)","REINS_PREM_TREATY_OUT(1)...8","RPR_PREM_OUT_TREATY_OUT(1)","RPR_PREM_OUT_TREATY_OUT(2)","RPR_PREM_OUT_TREATY_OUT(3)","RPR_PREM_OUT_TREATY_OUT(4)","RPR_PREM_OUT_TREATY_OUT(5)","RPR_PREM_OUT_TREATY_OUT(6)","FR_REPAYMENT","FR_CLAWBACK","REINS_REC_TREATY_OUT(1)","REINS_REC_TREATY_OUT(2)","REINS_REC_TREATY_OUT(3)","REINS_REC_TREATY_OUT(4)","REINS_REC_TREATY_OUT(5)","REINS_REC_TREATY_OUT(6)","RPR_DTH_REC_TREATY_OUT(1)","RPR_DTH_REC_TREATY_OUT(2)","RPR_DTH_REC_TREATY_OUT(3)","RPR_DTH_REC_TREATY_OUT(4)","RPR_DTH_REC_TREATY_OUT(5)","RPR_DTH_REC_TREATY_OUT(6)","RPR_PHIBEN_REC_TREATY_OUT(1)","RPR_PHIBEN_REC_TREATY_OUT(2)","RPR_PHIBEN_REC_TREATY_OUT(3)","RPR_PHIBEN_REC_TREATY_OUT(4)","RPR_PHIBEN_REC_TREATY_OUT(5)","RPR_PHIBEN_REC_TREATY_OUT(6)","FR_NEW_FINAN","RISK_ADJ_RI_TREATY_OUT_FR(1)","RISK_ADJ_RI_TREATY_OUT_FR(2)","RISK_ADJ_RI_TREATY_OUT_FR(3)","RISK_ADJ_RI_TREATY_OUT_FR(4)","RISK_ADJ_RI_TREATY_OUT_FR(5)","RISK_ADJ_RI_TREATY_OUT_FR(6)","COVERAGE_UNITS_RI_TREATY_OUT(1)","COVERAGE_UNITS_RI_TREATY_OUT(2)","COVERAGE_UNITS_RI_TREATY_OUT(3)","COVERAGE_UNITS_RI_TREATY_OUT(4)","COVERAGE_UNITS_RI_TREATY_OUT(5)","COVERAGE_UNITS_RI_TREATY_OUT(6)"
"m0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3477507.858,0,0,0,0
"m1",0,78.8731989810841,0,0,0,0,0,0,421.252776647246,0,0,0,0,238.993149113982,0,0,71.4228320032376,0,0,0,0,0,236.619569632946,0,0,0,0,0,100.872689301996,0,0,0,0,0,0,0,0,0,0,0,0,3435889.94494093,0,0,0,0
"m2",0,77.9194877188075,0,0,0,0,0,0,415.746370630604,0,0,0,0,235.804986443869,0,0,70.5592083624428,0,0,0,0,0,233.800720999984,0,0,0,0,0,159.454041121178,0,0,0,0,0,0,0,0,0,0,0,0,3394770.13558007,0,0,0,0
"m3",0,76.9773084494455,0,0,0,0,0,0,410.505863674368,0,0,0,0,232.791116687256,0,0,69.706027401839,0,0,0,0,0,231.015454113918,0,0,0,0,0,168.620287228955,0,0,0,0,0,0,0,0,0,0,0,0,3354142.46799141,0,0,0,0
"m4",0,76.0465217315696,0,0,0,0,0,0,405.565279377188,0,0,0,0,229.974752249706,0,0,68.8631628516433,0,0,0,0,0,228.263368896178,0,0,0,0,0,171.193418299589,0,0,0,0,0,0,0,0,0,0,0,0,3314001.05161323,0,0,0,0
"m5",0,75.126989809836,0,0,0,0,0,0,400.715123235197,0,0,0,0,227.213512333035,0,0,68.0304899688894,0,0,0,0,0,225.54407003467,0,0,0,0,0,171.447770343401,0,0,0,0,0,0,0,0,0,0,0,0,3274340.06639375,0,0,0,0
"m6",0,74.2185765945972,0,0,0,0,0,0,395.933860553555,0,0,0,0,224.49282792562,0,0,67.2078855189662,0,0,0,0,0,222.857166926995,0,0,0,0,0,171.019169595318,0,0,0,0,0,0,0,0,0,0,0,0,3235153.76194716,0,0,0,0
"m7",0,73.3211476417614,0,0,0,0,0,0,391.212829797175,0,0,0,0,221.80688289124,0,0,66.3952277573784,0,0,0,0,0,220.202273624333,0,0,0,0,0,170.293750412514,0,0,0,0,0,0,0,0,0,0,0,0,3196436.45671958,0,0,0,0
"m8",0,72.4345701328948,0,0,0,0,0,0,386.549470865432,0,0,0,0,219.154009206091,0,0,65.5923964117294,0,0,0,0,0,217.579008776,0,0,0,0,0,169.397336755516,0,0,0,0,0,0,0,0,0,0,0,0,3158182.53716516,0,0,0,0
"m9",0,71.5587128555645,0,0,0,0,0,0,381.942500948362,0,0,0,0,216.533406551103,0,0,64.7992726639203,0,0,0,0,0,214.986995574667,0,0,0,0,0,168.381691305202,0,0,0,0,0,0,0,0,0,0,0,0,3120386.45693194,0,0,0,0
"m10",0,70.6934461839194,0,0,0,0,0,0,377.391006313374,0,0,0,0,213.944524736888,0,0,64.0157391325653,0,0,0,0,0,212.425861702227,0,0,0,0,0,167.279129692405,0,0,0,0,0,0,0,0,0,0,0,0,3083042.73605748,0,0,0,0
"m11",0,69.8386420595056,0,0,0,0,0,0,372.894175921212,0,0,0,0,211.386882572452,0,0,63.2416798556197,0,0,0,0,0,209.895239276314,0,0,0,0,0,166.110887133774,0,0,0,0,0,0,0,0,0,0,0,0,3046145.96017418,0,0,0,0
"m12",0,78.8814450957845,0,0,0,0,0,0,398.004947841923,0,0,0,0,228.794181387838,0,0,71.4326600374799,0,0,0,0,0,221.099493693468,0,0,0,0,0,169.856857065961,0,0,0,0,0,0,0,0,0,0,0,0,3160167.88230064,0,0,0,0
"m13",0,77.9272869453166,0,0,0,0,0,0,393.259897871678,0,0,0,0,226.056835875896,0,0,70.5686031645157,0,0,0,0,0,218.464935221837,0,0,0,0,0,171.961386497798,0,0,0,0,0,0,0,0,0,0,0,0,3122340.81100575,0,0,0,0
"m14",0,76.9846703909109,0,0,0,0,0,0,388.570678902531,0,0,0,0,223.351734228804,0,0,69.7149980132054,0,0,0,0,0,215.861770203772,0,0,0,0,0,171.639664732669,0,0,0,0,0,0,0,0,0,0,0,0,3084966.55769017,0,0,0,0
