"Time","REINS_PREM_TREATY_OUT(1)...2","REINS_PREM_TREATY_OUT(2)","REINS_PREM_TREATY_OUT(3)","REINS_PREM_TREATY_OUT(4)","REINS_PREM_TREATY_OUT(5)","REINS_PREM_TREATY_OUT(6)","REINS_PREM_TREATY_OUT(1)...8","RPR_PREM_OUT_TREATY_OUT(1)","RPR_PREM_OUT_TREATY_OUT(2)","RPR_PREM_OUT_TREATY_OUT(3)","RPR_PREM_OUT_TREATY_OUT(4)","RPR_PREM_OUT_TREATY_OUT(5)","RPR_PREM_OUT_TREATY_OUT(6)","FR_REPAYMENT","FR_CLAWBACK","REINS_REC_TREATY_OUT(1)","REINS_REC_TREATY_OUT(2)","REINS_REC_TREATY_OUT(3)","REINS_REC_TREATY_OUT(4)","REINS_REC_TREATY_OUT(5)","REINS_REC_TREATY_OUT(6)","RPR_DTH_REC_TREATY_OUT(1)","RPR_DTH_REC_TREATY_OUT(2)","RPR_DTH_REC_TREATY_OUT(3)","RPR_DTH_REC_TREATY_OUT(4)","RPR_DTH_REC_TREATY_OUT(5)","RPR_DTH_REC_TREATY_OUT(6)","RPR_PHIBEN_REC_TREATY_OUT(1)","RPR_PHIBEN_REC_TREATY_OUT(2)","RPR_PHIBEN_REC_TREATY_OUT(3)","RPR_PHIBEN_REC_TREATY_OUT(4)","RPR_PHIBEN_REC_TREATY_OUT(5)","RPR_PHIBEN_REC_TREATY_OUT(6)","FR_NEW_FINAN","RISK_ADJ_RI_TREATY_OUT_FR(1)","RISK_ADJ_RI_TREATY_OUT_FR(2)","RISK_ADJ_RI_TREATY_OUT_FR(3)","RISK_ADJ_RI_TREATY_OUT_FR(4)","RISK_ADJ_RI_TREATY_OUT_FR(5)","RISK_ADJ_RI_TREATY_OUT_FR(6)","COVERAGE_UNITS_RI_TREATY_OUT(1)","COVERAGE_UNITS_RI_TREATY_OUT(2)","COVERAGE_UNITS_RI_TREATY_OUT(3)","COVERAGE_UNITS_RI_TREATY_OUT(4)","COVERAGE_UNITS_RI_TREATY_OUT(5)","COVERAGE_UNITS_RI_TREATY_OUT(6)"
"m0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27520.2061535435,0,0,0,0,0,0,0,531920798.09,0,0,0,0
"m1",0,3887.62469564383,0,0,0,0,0,0,105378.697843965,0,0,0,0,21335.7268091369,7192.23010508437,0,3518.1218456393,0,0,0,0,0,53671.6729744323,0,0,0,0,0,12498.6620262811,0,0,0,0,0,0,0,0,0,0,0,0,527616877.285808,0,0,0,0
"m2",0,3863.29778381007,0,0,0,0,0,0,105098.349705218,0,0,0,0,23052.5038764476,5848.9130986363,0,3496.2827384797,0,0,0,0,0,53956.9913763052,0,0,0,0,0,19446.2149590462,0,0,0,0,0,0,0,0,0,0,0,0,522858014.182294,0,0,0,0
"m3",0,3834.00004334868,0,0,0,0,0,0,105628.537352504,0,0,0,0,27483.4341379514,4605.76597264192,0,3469.64801466714,0,0,0,0,0,54492.0803534448,0,0,0,0,0,21530.5148390068,0,0,0,0,0,0,0,0,0,0,0,0,519233743.101575,0,0,0,0
"m4",0,3868.1075903546,0,0,0,0,0,0,105189.358256992,0,0,0,0,30647.7607233992,3535.70283092487,0,3501.11093680954,0,0,0,0,0,54279.3906909282,0,0,0,0,0,22599.1052988644,0,0,0,0,0,0,0,0,0,0,0,0,514425507.781259,0,0,0,0
"m5",0,3907.06945920322,0,0,0,0,0,0,105295.942175279,0,0,0,0,34962.9843591471,2578.84977447196,0,3536.83864856289,0,0,0,0,0,54432.2331617613,0,0,0,0,0,23264.1361911324,0,0,0,0,0,0,0,0,0,0,0,0,510664252.241027,0,0,0,0
"m6",0,3922.35957944539,0,0,0,0,0,0,106193.952686195,0,0,0,0,41080.1584384192,1769.5847441517,0,3550.65016234442,0,0,0,0,0,55094.0657176065,0,0,0,0,0,23911.5395371379,0,0,0,0,0,0,0,0,0,0,0,0,508701818.578498,0,0,0,0
"m7",0,3886.39892926974,0,0,0,0,0,0,106317.82864197,0,0,0,0,43713.4313294277,1236.65865568381,0,3518.27632052673,0,0,0,0,0,55454.384072472,0,0,0,0,0,24342.830041102,0,0,0,0,0,0,0,0,0,0,0,0,504891422.086214,0,0,0,0
"m8",0,3843.22227050646,0,0,0,0,0,0,105416.383080915,0,0,0,0,44102.3970218154,807.009404660263,0,3479.23902650954,0,0,0,0,0,55090.1707284578,0,0,0,0,0,24603.851065878,0,0,0,0,0,0,0,0,0,0,0,0,499399885.748663,0,0,0,0
"m9",0,3843.49042936942,0,0,0,0,0,0,105295.41638273,0,0,0,0,48165.1104179077,424.091970620731,0,3480.24502584123,0,0,0,0,0,55014.2610438311,0,0,0,0,0,24896.751497045,0,0,0,0,0,0,0,0,0,0,0,0,494992458.287453,0,0,0,0
