"Time","REINS_PREM_TREATY_OUT(1)...2","REINS_PREM_TREATY_OUT(2)","REINS_PREM_TREATY_OUT(3)","REINS_PREM_TREATY_OUT(4)","REINS_PREM_TREATY_OUT(5)","REINS_PREM_TREATY_OUT(6)","REINS_PREM_TREATY_OUT(1)...8","RPR_PREM_OUT_TREATY_OUT(1)","RPR_PREM_OUT_TREATY_OUT(2)","RPR_PREM_OUT_TREATY_OUT(3)","RPR_PREM_OUT_TREATY_OUT(4)","RPR_PREM_OUT_TREATY_OUT(5)","RPR_PREM_OUT_TREATY_OUT(6)","FR_REPAYMENT","FR_CLAWBACK","REINS_REC_TREATY_OUT(1)","REINS_REC_TREATY_OUT(2)","REINS_REC_TREATY_OUT(3)","REINS_REC_TREATY_OUT(4)","REINS_REC_TREATY_OUT(5)","REINS_REC_TREATY_OUT(6)","RPR_DTH_REC_TREATY_OUT(1)","RPR_DTH_REC_TREATY_OUT(2)","RPR_DTH_REC_TREATY_OUT(3)","RPR_DTH_REC_TREATY_OUT(4)","RPR_DTH_REC_TREATY_OUT(5)","RPR_DTH_REC_TREATY_OUT(6)","RPR_PHIBEN_REC_TREATY_OUT(1)","RPR_PHIBEN_REC_TREATY_OUT(2)","RPR_PHIBEN_REC_TREATY_OUT(3)","RPR_PHIBEN_REC_TREATY_OUT(4)","RPR_PHIBEN_REC_TREATY_OUT(5)","RPR_PHIBEN_REC_TREATY_OUT(6)","FR_NEW_FINAN","RISK_ADJ_RI_TREATY_OUT_FR(1)","RISK_ADJ_RI_TREATY_OUT_FR(2)","RISK_ADJ_RI_TREATY_OUT_FR(3)","RISK_ADJ_RI_TREATY_OUT_FR(4)","RISK_ADJ_RI_TREATY_OUT_FR(5)","RISK_ADJ_RI_TREATY_OUT_FR(6)","COVERAGE_UNITS_RI_TREATY_OUT(1)","COVERAGE_UNITS_RI_TREATY_OUT(2)","COVERAGE_UNITS_RI_TREATY_OUT(3)","COVERAGE_UNITS_RI_TREATY_OUT(4)","COVERAGE_UNITS_RI_TREATY_OUT(5)","COVERAGE_UNITS_RI_TREATY_OUT(6)"
"m0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205667064.803,91659858.8795,0,2063802.48,0
"m1",0,1460.36942559055,1714.43793373234,0,0,0,0,0,69556.9033429016,55009.334592995,0,1174.78388161088,0,77623.1785672645,89.2721087856053,0,1454.4209291701,1949.0682498726,0,0,0,0,10814.2588304697,659.096871514506,0,0,0,0,17944.7540284171,11878.4506606684,0,82.8035223739238,0,0,0,0,0,0,0,0,0,204863388.984751,91563681.3088324,0,2047128.08201159,0
"m2",0,1455.53101067627,1696.47879121219,0,0,0,0,0,69234.6175097049,54900.9165000691,0,1161.90211932838,0,77328.9197392702,78.4193673584377,0,1445.59450157341,1924.03509884964,0,0,0,0,10779.2505603423,653.933151203514,0,0,0,0,29336.6990526287,22103.0243083232,0,208.089135568469,0,0,0,0,0,0,0,0,0,203845866.021335,91136186.4112771,0,2030588.85978708,0
"m3",0,1444.08158488767,1678.97445576929,0,0,0,0,0,68950.4521108321,54479.3621261202,0,1185.67792759712,0,76878.1516125594,67.8096418170943,0,1430.92906986641,1899.65599800471,0,0,0,0,10772.0730505944,648.809888428139,0,0,0,0,32972.463285809,25699.155854234,0,260.733787440832,0,0,0,0,0,0,0,0,0,202928503.772877,90535976.5327335,0,2020449.48968031,0
"m4",0,1432.82213466187,1678.34395204734,0,0,0,0,0,69163.9219713223,54305.1267659008,0,1227.10450182988,0,76962.262940917,57.4387160941974,0,1416.56666339885,1890.71844890696,0,0,0,0,10748.0834045433,643.726766188397,0,0,0,0,35093.126311973,27887.4067466805,0,305.017505997872,0,0,0,0,0,0,0,0,0,201966086.167526,90233852.6871628,0,2085929.93810069,0
"m5",0,1423.51476009977,1682.07878355225,0,0,0,0,0,69322.7742193298,54141.7718843118,0,1216.04661731911,0,76879.8431205699,47.3024396903743,0,1404.09429212958,1886.9334912824,0,0,0,0,10907.9816523532,638.68346996825,0,0,0,0,36369.961763997,29296.4223762474,0,339.611042726005,0,0,0,0,0,0,0,0,0,201420024.433141,89964339.1947403,0,2069069.81388703,0
"m6",0,1420.42154755207,1821.55323775287,0,0,0,0,0,69424.5383788453,54621.0846478142,0,925.488668593016,0,77153.2647977325,37.3967267149977,0,1407.51623038999,2022.7405443298,0,0,0,0,10953.1481289766,648.205451633357,0,0,0,0,37367.9542296762,30500.9231831457,0,362.569348258645,0,0,0,0,0,0,0,0,0,200937467.618524,90079082.4359853,0,1879940.92769612,0
"m7",0,1411.82414579828,1802.88152887488,0,0,0,0,0,69050.9063174625,54273.1536005091,0,946.938386364317,0,76618.3383441468,27.7175549404222,0,1395.25484901644,1997.92746084289,0,0,0,0,10985.1152824745,643.127724201399,0,0,0,0,37900.2109577017,31457.2052662177,0,380.719038405161,0,0,0,0,0,0,0,0,0,200250946.543792,89417832.6350828,0,1909410.22810616,0
"m8",0,1397.82917064681,1784.62918730444,0,0,0,0,0,68570.3350522776,54100.2259001534,0,938.927790775056,0,76177.0761164351,18.2609648695321,0,1378.5339755871,1973.70696762647,0,0,0,0,10918.8321465006,638.089775320586,0,0,0,0,38650.6850472846,32314.5934179088,0,395.814145928585,0,0,0,0,0,0,0,0,0,198808672.570428,89011358.2119079,0,1894218.32665066,0
"m9",0,1401.083485106,1808.04990680618,0,0,0,0,0,68704.4494403559,54092.6027004119,0,931.015171568004,0,76273.7717329625,9.02305881641753,0,1377.11682809958,2007.37185758657,0,0,0,0,10899.1734676712,639.058434511925,0,0,0,0,39392.6437406947,33068.3499665351,0,408.974566449329,0,0,0,0,0,0,0,0,0,198381979.701731,88981557.4858732,0,1879147.34734981,0
