"Time","REINS_PREM_TREATY_OUT(1)...2","REINS_PREM_TREATY_OUT(2)","REINS_PREM_TREATY_OUT(3)","REINS_PREM_TREATY_OUT(4)","REINS_PREM_TREATY_OUT(5)","REINS_PREM_TREATY_OUT(6)","REINS_PREM_TREATY_OUT(1)...8","RPR_PREM_OUT_TREATY_OUT(1)","RPR_PREM_OUT_TREATY_OUT(2)","RPR_PREM_OUT_TREATY_OUT(3)","RPR_PREM_OUT_TREATY_OUT(4)","RPR_PREM_OUT_TREATY_OUT(5)","RPR_PREM_OUT_TREATY_OUT(6)","FR_REPAYMENT","FR_CLAWBACK","REINS_REC_TREATY_OUT(1)","REINS_REC_TREATY_OUT(2)","REINS_REC_TREATY_OUT(3)","REINS_REC_TREATY_OUT(4)","REINS_REC_TREATY_OUT(5)","REINS_REC_TREATY_OUT(6)","RPR_DTH_REC_TREATY_OUT(1)","RPR_DTH_REC_TREATY_OUT(2)","RPR_DTH_REC_TREATY_OUT(3)","RPR_DTH_REC_TREATY_OUT(4)","RPR_DTH_REC_TREATY_OUT(5)","RPR_DTH_REC_TREATY_OUT(6)","RPR_PHIBEN_REC_TREATY_OUT(1)","RPR_PHIBEN_REC_TREATY_OUT(2)","RPR_PHIBEN_REC_TREATY_OUT(3)","RPR_PHIBEN_REC_TREATY_OUT(4)","RPR_PHIBEN_REC_TREATY_OUT(5)","RPR_PHIBEN_REC_TREATY_OUT(6)","FR_NEW_FINAN","RISK_ADJ_RI_TREATY_OUT_FR(1)","RISK_ADJ_RI_TREATY_OUT_FR(2)","RISK_ADJ_RI_TREATY_OUT_FR(3)","RISK_ADJ_RI_TREATY_OUT_FR(4)","RISK_ADJ_RI_TREATY_OUT_FR(5)","RISK_ADJ_RI_TREATY_OUT_FR(6)","COVERAGE_UNITS_RI_TREATY_OUT(1)","COVERAGE_UNITS_RI_TREATY_OUT(2)","COVERAGE_UNITS_RI_TREATY_OUT(3)","COVERAGE_UNITS_RI_TREATY_OUT(4)","COVERAGE_UNITS_RI_TREATY_OUT(5)","COVERAGE_UNITS_RI_TREATY_OUT(6)"
"m0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482171382.018,0,0,0,0
"m1",0,4703.20609097424,0,0,0,0,0,0,143700.040008253,140.356412872399,0,0,0,25214.238521878,155921.506817106,0,4355.5339702617,0,0,0,0,0,85261.1805807968,0,0,0,0,0,15219.2086503848,104.368311468462,0,0,0,4245183.41279357,0,0,0,0,0,0,0,615216765.980521,204951.708179362,0,0,0
"m2",0,4596.23966556236,0,0,0,0,0,0,140284.892418422,136.711186231848,0,0,0,24629.6873232997,57960.4934994155,0,4184.1775645546,0,0,0,0,0,81851.2409235889,0,0,0,0,0,23463.4068130002,166.49712979312,0,0,0,0,0,0,0,0,0,0,0,603118330.88442,200881.833047486,0,0,0
"m3",0,4504.25194372072,0,0,0,0,0,0,137073.508506502,133.152671383677,0,0,0,24090.3308077884,54573.6385226412,0,4094.71239470825,0,0,0,0,0,80007.3865489691,0,0,0,0,0,25689.1043997677,178.757518301903,0,0,0,0,0,0,0,0,0,0,0,590043359.516935,196430.869628,0,0,0
"m4",0,4428.61260592863,0,0,0,0,0,0,134886.80025588,131.483259907793,0,0,0,23713.3503543956,35816.0881903261,0,4019.2523255277,0,0,0,0,0,78511.1800890774,0,0,0,0,0,26709.6348257836,175.151568563735,0,0,0,0,0,0,0,0,0,0,0,581637049.253619,194140.508686323,0,0,0
"m5",0,4362.00596509547,0,0,0,0,0,0,132926.766987001,129.684946825767,0,0,0,23380.7290861131,30925.1832519652,0,3955.24724859784,0,0,0,0,0,77358.5908414792,0,0,0,0,0,27244.3392097398,172.551693288641,0,0,0,0,0,0,0,0,0,0,0,574140146.161349,191566.309928144,0,0,0
"m6",0,4316.54403822874,0,0,0,0,0,0,131625.425223049,128.038314300895,0,0,0,23155.8140445157,19287.4691493357,0,3904.83352555389,0,0,0,0,0,76462.8087630631,0,0,0,0,0,27646.1597237635,170.292339291449,0,0,0,0,0,0,0,0,0,0,0,569056269.604319,189179.456422203,0,0,0
"m7",0,4269.02087465167,0,0,0,0,0,0,130048.069063507,126.548625814037,0,0,0,22872.3611847316,21509.482218661,0,3863.00451679781,0,0,0,0,0,75652.1470780878,0,0,0,0,0,27989.6856479522,168.193225606238,0,0,0,0,0,0,0,0,0,0,0,562593415.690827,187011.472054503,0,0,0
"m8",0,4217.86867706768,0,0,0,0,0,0,128476.966033129,125.194405996211,0,0,0,22584.0029219153,20245.7137720555,0,3818.60131409458,0,0,0,0,0,74734.8324076076,0,0,0,0,0,28275.2375190929,166.255992361242,0,0,0,0,0,0,0,0,0,0,0,556384614.57931,185036.598727285,0,0,0
"m9",0,4179.72883473873,0,0,0,0,0,0,127216.764768233,124.071274209396,0,0,0,22359.8938833351,15143.3804563061,0,3778.40501188467,0,0,0,0,0,73915.4354222676,0,0,0,0,0,28529.287023485,164.530409524646,0,0,0,0,0,0,0,0,0,0,0,551341639.707337,183397.059928052,0,0,0
"m10",0,4133.11133231641,0,0,0,0,0,0,125544.147837255,122.707324838342,0,0,0,22032.8202453493,18266.2574402067,0,3740.28721890928,0,0,0,0,0,73027.2025253561,0,0,0,0,0,28755.7756187088,162.899714458618,0,0,0,0,0,0,0,0,0,0,0,544650154.618833,181405.350760318,0,0,0
"m11",0,4085.70739543198,0,0,0,0,0,0,124079.263862868,121.396160627238,0,0,0,21771.7768946166,15686.7992830304,0,3697.9738849602,0,0,0,0,0,72080.0544219467,0,0,0,0,0,28944.5709586726,161.218935467299,0,0,0,0,0,0,0,0,0,0,0,538827480.094052,179489.679038709,0,0,0
"m12",0,4041.71422964206,0,0,0,0,0,0,122764.501929402,120.075915768842,0,0,0,21539.1054065161,13212.8754353533,0,3656.88086689674,0,0,0,0,0,71299.6678717888,0,0,0,0,0,29104.6114402642,159.509245628024,0,0,0,0,0,0,0,0,0,0,0,533174630.321279,177558.348641177,0,0,0
"m13",0,4585.8313455326,0,0,0,0,0,0,134188.755160695,129.339195494419,0,0,0,23720.5769678561,19016.5189748807,0,4152.82615292842,0,0,0,0,0,78518.5799202716,0,0,0,0,0,30209.2785513284,165.807460332444,0,0,0,637565.181620989,0,0,0,0,0,0,0,547905588.016554,184247.070969341,0,0,0
"m14",0,4528.82398728092,0,0,0,0,0,0,132548.272358564,127.774944949301,0,0,0,23431.7983501981,17206.5440675838,0,4101.18580886634,0,0,0,0,0,77591.5882802138,0,0,0,0,0,30966.5533186172,169.02604677224,0,0,0,0,0,0,0,0,0,0,0,541678252.093469,182083.582104388,0,0,0
"m15",0,4472.55487792732,0,0,0,0,0,0,130931.178871194,126.24240733451,0,0,0,23146.7875453605,15440.3585126209,0,4050.21443829057,0,0,0,0,0,76676.6562336724,0,0,0,0,0,31282.9920256276,168.37611111069,0,0,0,0,0,0,0,0,0,0,0,535526937.923475,179945.49762738,0,0,0
"m16",0,4417.01402261847,0,0,0,0,0,0,129337.182962929,124.744133126639,0,0,0,22865.4919450108,13717.0750129112,0,3999.90298084017,0,0,0,0,0,75773.6148362992,0,0,0,0,0,31460.9628685266,166.398984203892,0,0,0,0,0,0,0,0,0,0,0,529450642.61793,177832.519231756,0,0,0
"m17",0,4362.19156845071,0,0,0,0,0,0,127764.938029779,123.267223089573,0,0,0,22587.8597233409,12035.8235467685,0,3950.24250488337,0,0,0,0,0,74882.2988115873,0,0,0,0,0,31560.9333701294,164.445073362484,0,0,0,0,0,0,0,0,0,0,0,523448377.557762,175744.352113764,0,0,0
"m18",0,4308.07780235114,0,0,0,0,0,0,126213.772326456,121.809705607476,0,0,0,22313.8398247562,10395.7510186266,0,3901.22420559529,0,0,0,0,0,74002.5356206966,0,0,0,0,0,31617.7656609097,162.514105975896,0,0,0,0,0,0,0,0,0,0,0,517519168.220903,173680.704931336,0,0,0
"m19",0,4254.66314899206,0,0,0,0,0,0,124683.178747682,120.37041082641,0,0,0,22043.3819517675,8796.0209341975,0,3852.83940306584,0,0,0,0,0,73134.1413880753,0,0,0,0,0,31643.9623603767,160.60581263464,0,0,0,0,0,0,0,0,0,0,0,511662052.99839,171641.289763435,0,0,0
"m20",0,4201.93816873798,0,0,0,0,0,0,123172.657228763,118.948809175012,0,0,0,21776.4365530832,7235.81302300048,0,3805.0795404372,0,0,0,0,0,72276.9611736551,0,0,0,0,0,31645.614614119,158.719927092722,0,0,0,0,0,0,0,0,0,0,0,505876086.051979,169625.822069887,0,0,0
"m21",0,4149.89355562483,0,0,0,0,0,0,121681.935924646,117.544561676447,0,0,0,21512.9548118968,5714.32312242233,0,3757.93618207053,0,0,0,0,0,71430.8535806408,0,0,0,0,0,31627.3871422883,156.856186230495,0,0,0,0,0,0,0,0,0,0,0,500160333.918813,167634.020651683,0,0,0
"m22",0,4098.52013537075,0,0,0,0,0,0,120210.691835578,116.157342021628,0,0,0,21252.8886343678,4230.76263041067,0,3711.40101174133,0,0,0,0,0,70595.6638289448,0,0,0,0,0,31592.0877844301,155.014330017946,0,0,0,0,0,0,0,0,0,0,0,494513876.378394,165665.60761174,0,0,0
"m23",0,4047.80886341795,0,0,0,0,0,0,118758.629624512,114.786871592656,0,0,0,20996.1906382916,2784.35829140219,0,3665.46583086306,0,0,0,0,0,69771.2402612903,0,0,0,0,0,31541.947366163,153.194101478423,0,0,0,0,0,0,0,0,0,0,0,488935806.275006,163720.308316136,0,0,0
"m24",0,3997.7508230052,0,0,0,0,0,0,117325.461392899,113.432896068084,0,0,0,20742.8141419562,1374.35189836054,0,3620.12255673843,0,0,0,0,0,68957.4335465337,0,0,0,0,0,31478.7265495308,151.395246652772,0,0,0,0,0,0,0,0,0,0,0,483425229.31518,161797.851355789,0,0,0
"m25",0,4540.10543132858,0,0,0,0,0,0,133136.136631541,122.180041639137,0,0,0,66214.527912187,0,0,4115.67850045839,0,0,0,0,0,80487.66221759,0,0,0,0,0,32215.0129961335,156.372306711797,0,0,0,0,0,0,0,0,0,0,0,496246526.503613,167680.270531849,0,0,0
"m26",0,4474.812799493,0,0,0,0,0,0,131296.885748342,120.56529101396,0,0,0,65291.1799745877,0,0,4056.46627755775,0,0,0,0,0,79394.2211341649,0,0,0,0,0,32603.4175038587,158.673841656581,0,0,0,0,0,0,0,0,0,0,0,489929894.044381,165501.480426287,0,0,0
"m27",0,4410.50319540599,0,0,0,0,0,0,129487.967297593,118.982267435293,0,0,0,64384.9360619495,0,0,3998.14593237266,0,0,0,0,0,78317.0764595552,0,0,0,0,0,32604.4658837151,157.666633892789,0,0,0,0,0,0,0,0,0,0,0,483696850.104565,163351.000904368,0,0,0
"m28",0,4347.16106795132,0,0,0,0,0,0,127707.30157635,117.431883786821,0,0,0,63493.842620333,0,0,3940.70334915445,0,0,0,0,0,77255.9636219457,0,0,0,0,0,32505.8228528684,155.617958155249,0,0,0,0,0,0,0,0,0,0,0,477546232.571203,161228.464106358,0,0,0
"m29",0,4284.77112472647,0,0,0,0,0,0,125953.150958233,115.903640529903,0,0,0,62616.4138993156,0,0,3884.12464709666,0,0,0,0,0,76210.6249331475,0,0,0,0,0,32360.1887893871,153.595902331979,0,0,0,0,0,0,0,0,0,0,0,471476894.780927,159133.506952391,0,0,0
"m30",0,4223.31832752779,0,0,0,0,0,0,124224.800362602,114.396130266128,0,0,0,61752.1018657712,0,0,3828.39617623331,0,0,0,0,0,75180.80625903,0,0,0,0,0,32194.79676196,151.600120531327,0,0,0,0,0,0,0,0,0,0,0,465487709.269128,157065.771080356,0,0,0
"m31",0,4162.78788791786,0,0,0,0,0,0,122521.740401574,112.908516927445,0,0,0,60900.5368479296,0,0,3773.50451341191,0,0,0,0,0,74166.2542991623,0,0,0,0,0,32017.724589556,149.630271356061,0,0,0,0,0,0,0,0,0,0,0,459577565.417947,155024.902784599,0,0,0
"m32",0,4103.16526287351,0,0,0,0,0,0,120843.420091924,111.440399135345,0,0,0,60061.3854769157,0,0,3719.43645833968,0,0,0,0,0,73166.7246730096,0,0,0,0,0,31832.6872318691,147.686017844964,0,0,0,0,0,0,0,0,0,0,0,453745374.737465,153010.552955419,0,0,0
"m33",0,4044.43615051291,0,0,0,0,0,0,119189.495162062,109.991495861937,0,0,0,59234.4735923093,0,0,3666.17902970184,0,0,0,0,0,72181.985761969,0,0,0,0,0,31642.1626239401,145.767027415203,0,0,0,0,0,0,0,0,0,0,0,447990061.139935,151022.377019345,0,0,0
