"Time","REINS_PREM_TREATY_OUT(1)...2","REINS_PREM_TREATY_OUT(2)","REINS_PREM_TREATY_OUT(3)","REINS_PREM_TREATY_OUT(4)","REINS_PREM_TREATY_OUT(5)","REINS_PREM_TREATY_OUT(6)","REINS_PREM_TREATY_OUT(1)...8","RPR_PREM_OUT_TREATY_OUT(1)","RPR_PREM_OUT_TREATY_OUT(2)","RPR_PREM_OUT_TREATY_OUT(3)","RPR_PREM_OUT_TREATY_OUT(4)","RPR_PREM_OUT_TREATY_OUT(5)","RPR_PREM_OUT_TREATY_OUT(6)","FR_REPAYMENT","FR_CLAWBACK","REINS_REC_TREATY_OUT(1)","REINS_REC_TREATY_OUT(2)","REINS_REC_TREATY_OUT(3)","REINS_REC_TREATY_OUT(4)","REINS_REC_TREATY_OUT(5)","REINS_REC_TREATY_OUT(6)","RPR_DTH_REC_TREATY_OUT(1)","RPR_DTH_REC_TREATY_OUT(2)","RPR_DTH_REC_TREATY_OUT(3)","RPR_DTH_REC_TREATY_OUT(4)","RPR_DTH_REC_TREATY_OUT(5)","RPR_DTH_REC_TREATY_OUT(6)","RPR_PHIBEN_REC_TREATY_OUT(1)","RPR_PHIBEN_REC_TREATY_OUT(2)","RPR_PHIBEN_REC_TREATY_OUT(3)","RPR_PHIBEN_REC_TREATY_OUT(4)","RPR_PHIBEN_REC_TREATY_OUT(5)","RPR_PHIBEN_REC_TREATY_OUT(6)","FR_NEW_FINAN","RISK_ADJ_RI_TREATY_OUT_FR(1)","RISK_ADJ_RI_TREATY_OUT_FR(2)","RISK_ADJ_RI_TREATY_OUT_FR(3)","RISK_ADJ_RI_TREATY_OUT_FR(4)","RISK_ADJ_RI_TREATY_OUT_FR(5)","RISK_ADJ_RI_TREATY_OUT_FR(6)","COVERAGE_UNITS_RI_TREATY_OUT(1)","COVERAGE_UNITS_RI_TREATY_OUT(2)","COVERAGE_UNITS_RI_TREATY_OUT(3)","COVERAGE_UNITS_RI_TREATY_OUT(4)","COVERAGE_UNITS_RI_TREATY_OUT(5)","COVERAGE_UNITS_RI_TREATY_OUT(6)"
2024-06-30,0,9437.07138840362,7428.11501827828,0,9610.40752942048,0,0,0,523382.866114709,317667.36484915,0,13361.3502365281,0,520564.531028785,10394.0865723394,0,13784.5402503117,9904.87567481192,0,9786.96937168269,0,0,68684.0548875354,1803.34823636203,0,0,0,0,359499.799476982,209883.155013044,0,8282.26543886539,0,100507.033390188,0,0,0,0,0,0,0,1370889410.93402,578406769.496106,0,20856772.3262281,0
2024-07-31,0,9317.1389810968,7384.81172867842,0,10223.8023054179,0,0,0,522131.759551923,317612.894538306,0,13300.8342631223,0,518975.290437,5892.28513497945,0,13535.3465145451,9803.97031392517,0,10421.149313735,0,0,68623.4843053061,1824.10229359623,0,0,0,0,364720.966231109,212977.148664502,0,8343.06796793027,0,11070.0212566059,0,0,0,0,0,0,0,1363517766.21621,576448958.939922,0,20813972.3593287,0
2024-08-31,0,9232.86052697333,7361.98326716642,0,10158.2783021579,0,0,0,521913.399218082,318444.485731089,0,13238.2652140838,0,519631.578519513,5055.94209139217,0,13328.0307304097,9729.83144238204,0,10353.8940389209,0,0,68522.3291328972,1844.24756215491,0,0,0,0,369834.492237666,216167.973589199,0,8395.56426100133,0,11386.4605399132,0,0,0,0,0,0,0,1356981427.59801,574919398.17325,0,20681545.885387,0
2024-09-30,0,9164.56933640049,7338.06281890674,0,10052.3180024373,0,0,0,522095.002469123,318492.768664529,0,13278.5172285929,0,517984.819750542,4672.73755910751,0,13152.9978807591,9654.68239188831,0,10245.8190322186,0,0,68372.5694858459,1842.84566282631,0,0,0,0,374549.232160053,219008.903968154,0,8466.50511610135,0,11711.6544804789,0,0,0,0,0,0,0,1350723126.97153,572583841.297101,0,20577899.0296434,0
2024-10-31,0,9148.95836166901,7339.30307154162,0,9947.47618837008,0,0,0,523962.482842842,318255.85101427,0,13173.4277126355,0,520976.688803432,4077.02866927665,0,13033.7244973317,9591.42439245558,0,10138.8855336322,0,0,68964.5118074281,1854.38831679616,0,0,0,0,379398.748898207,221540.630637828,0,8548.58001678846,0,12046.2692596348,0,0,0,0,0,0,0,1346556631.64678,570136809.414297,0,20186711.7702592,0
2024-11-30,0,9073.21977657118,7354.05673042494,0,9843.74092889543,0,0,0,524444.870428024,318652.190746013,0,13178.9958110665,0,520984.128739249,3825.84153048198,0,12841.6140327696,9553.51527246488,0,10033.0813599262,0,0,69603.9899368785,1861.89724690478,0,0,0,0,382833.047009228,223947.474657464,0,8615.80138022342,0,12390.5153678112,0,0,0,0,0,0,0,1342052463.70977,568233658.845962,0,20117108.4877014,0
2024-12-31,0,9057.11475978565,7344.82627961564,0,8169.01018303637,0,0,0,525184.304890158,318981.409820144,0,13105.3858929212,0,520298.76113706,3675.98794075648,0,12714.7670056945,9497.39475914666,0,8313.68848985981,0,0,70047.3101579262,1855.48958014101,0,0,0,0,386651.628098796,226338.198864145,0,8677.3446264211,0,10195.8249149345,0,0,0,0,0,0,0,1337106390.29533,565756910.285674,0,19608170.5895261,0
2025-01-31,0,9029.07582016014,7340.03552637606,0,8424.80749885483,0,0,0,525831.556704762,318470.730679212,0,13116.5791223098,0,519093.128438972,3380.7978697968,0,12566.6443730925,9439.57063434555,0,8572.72253169277,0,0,70621.4456024497,1853.10407983389,0,0,0,0,390459.222967276,228358.898238248,0,8739.3337249363,0,9175.92762451929,0,0,0,0,0,0,0,1332309222.05925,563002048.022317,0,19717216.5620603,0
2025-02-28,0,8943.39070825528,7262.70451748037,0,8339.47118823569,0,0,0,524525.497387682,317343.889463432,0,13024.2563137694,0,515442.355925709,3157.83277401046,0,12379.632080412,9311.74790196025,0,8485.83741693127,0,0,70584.7571992746,1847.92995625451,0,0,0,0,393580.512154656,230169.704804665,0,8806.69246810027,0,12134.7536362565,0,0,0,0,0,0,0,1325358015.25104,559822465.844178,0,19563433.7581325,0
2025-03-31,0,8892.01033864058,7242.54317563312,0,8257.16127005688,0,0,0,524003.029641993,316868.047808811,0,12971.306385948,0,514033.598652687,2999.48750544659,0,12243.2554895248,9236.03062607568,0,8402.01071094397,0,0,70627.1967593185,1848.18806539294,0,0,0,0,396532.271420771,231469.811478699,0,8859.93955245603,0,12481.6165486019,0,0,0,0,0,0,0,1319172098.23637,557480519.908567,0,19445005.8974639,0
2025-04-30,0,8836.3039712478,7185.02587534497,0,8173.54486442863,0,0,0,524366.034738606,316503.316791435,0,12970.7148432495,0,513332.11116319,2767.2543722372,0,12084.5893813985,9126.07262394066,0,8316.87783805529,0,0,70898.538586011,1836.30563167681,0,0,0,0,399502.917581963,233045.304345221,0,8907.569505971,0,14264.9038620727,0,0,0,0,0,0,0,1313891060.43355,555125857.940253,0,19335952.4300274,0
2025-05-31,0,8735.63929376307,7133.78287499382,0,8090.78405197238,0,0,0,523295.252098506,316829.180125012,0,12871.6260675259,0,510925.897166803,2555.90811176813,0,11889.2939353959,9050.08223930102,0,8232.61653502202,0,0,70907.8175754766,1834.4154515788,0,0,0,0,402155.576429368,234279.856597639,0,8924.54030861369,0,14672.3324753968,0,0,0,0,0,0,0,1306398136.57977,553035912.809621,0,19170542.2646673,0
2025-06-30,0,8633.56323436657,7067.23758033276,0,8038.3711604234,0,0,0,522192.894904651,316924.963645082,0,12801.7410029745,0,509046.458319337,2346.20902898886,0,11707.0201213952,8948.82511082345,0,8178.94647845095,0,0,70692.4294181655,1836.46402379905,0,0,0,0,404542.442830201,236021.559453254,0,8943.67240891756,0,15091.476390276,0,0,0,0,0,0,0,1299477382.78618,550786636.517814,0,19060730.5401751,0
2025-07-31,0,8534.71816377378,7035.21718197148,0,8674.91967876807,0,0,0,521675.931913667,317360.644287792,0,12733.3054802042,0,506911.594834543,1985.72082221046,0,11514.8940108221,8873.17737819991,0,8838.67708324718,0,0,70641.9028587809,1858.00218734311,0,0,0,0,405274.306756157,236771.103132095,0,8927.6267620926,0,0,0,0,0,0,0,0,0,1292997435.37087,549023622.482032,0,19023854.6981081,0
2025-08-31,0,8471.06399986648,7023.50056091374,0,8625.18784383235,0,0,0,521558.149491923,318264.383382364,0,12676.6232943016,0,506907.974961174,1656.51684163386,0,11361.0121584393,8823.22189991934,0,8787.59710957161,0,0,70564.6956827172,1882.76892935902,0,0,0,0,405953.11847426,237819.154026348,0,8910.00358605768,0,0,0,0,0,0,0,0,0,1286921466.1986,547580014.592244,0,18905469.9944262,0
2025-09-30,0,8424.91928947233,7008.41392362877,0,8535.87426368007,0,0,0,521885.252014297,318340.849475322,0,12729.7189263918,0,507085.112826646,1358.58029679268,0,11238.6140501414,8769.40037536965,0,8696.53791482609,0,0,70408.3753358359,1881.89659222529,0,0,0,0,406787.478418538,238667.887761311,0,8917.71935661272,0,0,0,0,0,0,0,0,0,1281146671.15631,545362710.642963,0,18814209.5321953,0
2025-10-31,0,8436.62499773473,7031.86138716222,0,8447.49690041836,0,0,0,523882.932763022,318161.830717545,0,12263.1020257386,0,507742.586858577,1091.90890112977,0,11173.1363546596,8743.6380863844,0,8606.43382999487,0,0,71023.2545164285,1893.39597742898,0,0,0,0,408206.241295685,239436.635714143,0,8559.30593634326,0,0,0,0,0,0,0,0,0,1277527889.25947,543033487.398639,0,18563157.4296938,0
2025-11-30,0,8382.1163194664,7051.84419096467,0,8360.04583433008,0,0,0,525070.685514155,318587.225893899,0,12405.5698353914,0,509560.648924412,856.515930049662,0,11030.7768398344,8724.54527517101,0,8517.27472969123,0,0,71594.6031895714,1898.8194978359,0,0,0,0,409454.254065611,240229.653991211,0,8558.52046885204,0,0,0,0,0,0,0,0,0,1273286461.10824,541294769.693304,0,18506194.5364406,0
2025-12-31,0,8453.37244770153,6799.75464727195,0,8273.51125178025,0,0,0,525930.565317631,318427.778089445,0,12414.993595197,0,507581.682158943,652.430297988242,0,11012.8437647939,8432.74373087597,0,8429.05059686028,0,0,72042.1659810764,1891.79307850336,0,0,0,0,410246.533160395,240962.95958476,0,8572.02763141898,0,0,0,0,0,0,0,0,0,1268608041.79379,539076893.955782,0,18417260.5159455,0
2026-01-31,0,8464.02010422012,6807.94356260269,0,8567.24518646781,0,0,0,526564.80293796,317891.854726146,0,12384.1242738011,0,507741.547296419,474.354347460799,0,10931.6886201408,8400.7697625739,0,8726.83744645812,0,0,72606.2852650875,1888.31731576208,0,0,0,0,411193.932026573,241756.361518961,0,8546.65309405805,0,0,0,0,0,0,0,0,0,1264167879.70662,536323925.739061,0,18531544.9218706,0
2026-02-28,0,8396.79895890088,6741.05109519445,0,8478.83750939983,0,0,0,525514.191866609,316433.595214913,0,12298.5775922374,0,506488.471126728,319.571998501765,0,10791.3478832494,8295.63203104566,0,8636.72191146455,0,0,72559.8288101311,1883.16974100504,0,0,0,0,411874.262369297,242416.408014634,0,8549.47786161801,0,0,0,0,0,0,0,0,0,1257773944.00409,532955797.127827,0,18385886.3200759,0
2026-03-31,0,8360.4258111428,6560.80080442328,0,8393.45447473735,0,0,0,524890.655634994,316016.70087814,0,12245.1522132178,0,505140.14669,193.766416258096,0,10692.8973413272,8069.05757463597,0,8549.66493356694,0,0,72610.9911413852,1883.85642294763,0,0,0,0,412254.113341476,242956.57622577,0,8546.39355974145,0,0,0,0,0,0,0,0,0,1251909038.45019,530449426.679646,0,18274868.2189584,0
2026-04-30,0,8330.42784240444,6516.48703082438,0,8306.86591258054,0,0,0,525137.491427108,315152.473685311,0,12219.80647945,0,504272.165832287,97.0104598549731,0,10586.7670587807,7984.56217035672,0,8461.40500159795,0,0,72895.6466713142,1871.91914292372,0,0,0,0,412725.87371105,243482.368947584,0,8545.93360603635,0,0,0,0,0,0,0,0,0,1246845682.81205,527733547.90254,0,18007291.9130278,0
2026-05-31,0,8246.91082805288,6472.58115712015,0,8221.18127878987,0,0,0,524111.236717712,315776.849305113,0,12128.5930988966,0,504306.982263607,32.3821440719547,0,10435.0605006084,7924.00863328548,0,8374.06700984945,0,0,72886.420169604,1867.78058927035,0,0,0,0,413172.595523543,244040.32651183,0,8538.66896675709,0,0,0,0,0,0,0,0,0,1240073623.73647,526076065.801696,0,17851922.7446032,0
