"Time","REINS_PREM_TREATY_OUT(1)...2","REINS_PREM_TREATY_OUT(2)","REINS_PREM_TREATY_OUT(3)","REINS_PREM_TREATY_OUT(4)","REINS_PREM_TREATY_OUT(5)","REINS_PREM_TREATY_OUT(6)","REINS_PREM_TREATY_OUT(1)...8","RPR_PREM_OUT_TREATY_OUT(1)","RPR_PREM_OUT_TREATY_OUT(2)","RPR_PREM_OUT_TREATY_OUT(3)","RPR_PREM_OUT_TREATY_OUT(4)","RPR_PREM_OUT_TREATY_OUT(5)","RPR_PREM_OUT_TREATY_OUT(6)","FR_REPAYMENT","FR_CLAWBACK","REINS_REC_TREATY_OUT(1)","REINS_REC_TREATY_OUT(2)","REINS_REC_TREATY_OUT(3)","REINS_REC_TREATY_OUT(4)","REINS_REC_TREATY_OUT(5)","REINS_REC_TREATY_OUT(6)","RPR_DTH_REC_TREATY_OUT(1)","RPR_DTH_REC_TREATY_OUT(2)","RPR_DTH_REC_TREATY_OUT(3)","RPR_DTH_REC_TREATY_OUT(4)","RPR_DTH_REC_TREATY_OUT(5)","RPR_DTH_REC_TREATY_OUT(6)","RPR_PHIBEN_REC_TREATY_OUT(1)","RPR_PHIBEN_REC_TREATY_OUT(2)","RPR_PHIBEN_REC_TREATY_OUT(3)","RPR_PHIBEN_REC_TREATY_OUT(4)","RPR_PHIBEN_REC_TREATY_OUT(5)","RPR_PHIBEN_REC_TREATY_OUT(6)","FR_NEW_FINAN","RISK_ADJ_RI_TREATY_OUT_FR(1)","RISK_ADJ_RI_TREATY_OUT_FR(2)","RISK_ADJ_RI_TREATY_OUT_FR(3)","RISK_ADJ_RI_TREATY_OUT_FR(4)","RISK_ADJ_RI_TREATY_OUT_FR(5)","RISK_ADJ_RI_TREATY_OUT_FR(6)","COVERAGE_UNITS_RI_TREATY_OUT(1)","COVERAGE_UNITS_RI_TREATY_OUT(2)","COVERAGE_UNITS_RI_TREATY_OUT(3)","COVERAGE_UNITS_RI_TREATY_OUT(4)","COVERAGE_UNITS_RI_TREATY_OUT(5)","COVERAGE_UNITS_RI_TREATY_OUT(6)"
45473,0,76434.3087687204,0,0,0,0,0,0,1440740.87392014,0,0,0,0,246308.673505441,531101.786881004,0,69429.7242457313,0,0,0,0,0,822146.564488331,0,0,0,0,0,297455.465303754,0,0,0,0,4925389.16160746,0,0,0,0,0,0,0,9991577256.15116,0,0,0,0
45504,0,75924.8065121747,0,0,0,0,0,0,1432188.18072449,0,0,0,0,244848.331078065,303489.174074569,0,68716.9506067537,0,0,0,0,0,814926.867029162,0,0,0,0,0,312493.877606772,0,0,0,0,577537.691395566,0,0,0,0,0,0,0,9892771052.6077,0,0,0,0
45535,0,75500.225119954,0,0,0,0,0,0,1425161.3598887,0,0,0,0,243636.275716155,267538.353900564,0,68299.4813020697,0,0,0,0,0,811107.832676742,0,0,0,0,0,318544.428026629,0,0,0,0,584069.124352401,0,0,0,0,0,0,0,9803812271.90705,0,0,0,0
45565,0,75073.0900424185,0,0,0,0,0,0,1418167.86495123,0,0,0,0,242415.563634056,248321.915453319,0,67908.0551203224,0,0,0,0,0,807530.505825044,0,0,0,0,0,322544.420227037,0,0,0,0,564780.753501599,0,0,0,0,0,0,0,9715819385.43161,0,0,0,0
45596,0,74719.9181412923,0,0,0,0,0,0,1412541.11584386,0,0,0,0,241424.991781181,216873.156695665,0,67563.2246617598,0,0,0,0,0,804496.161387689,0,0,0,0,0,325635.704986198,0,0,0,0,579373.021307877,0,0,0,0,0,0,0,9636410285.7459,0,0,0,0
45626,0,74386.6190143826,0,0,0,0,0,0,1407338.63002225,0,0,0,0,240503.226246792,202836.979524539,0,67261.6607592023,0,0,0,0,0,801958.707145266,0,0,0,0,0,328342.126647717,0,0,0,0,596038.180750942,0,0,0,0,0,0,0,9558629147.0872,0,0,0,0
45657,0,74053.6965821532,0,0,0,0,0,0,1402200.97235442,0,0,0,0,239589.557578229,194656.710092484,0,66969.9095771645,0,0,0,0,0,799555.231584302,0,0,0,0,0,330760.820233963,0,0,0,0,614027.820519435,0,0,0,0,0,0,0,9479711229.31508,0,0,0,0
45688,0,73669.1834395897,0,0,0,0,0,0,1396038.87838407,0,0,0,0,238500.651758152,179419.776697402,0,66621.4776980941,0,0,0,0,0,796453.636616986,0,0,0,0,0,332816.478630825,0,0,0,0,554744.210404974,0,0,0,0,0,0,0,9398910880.43983,0,0,0,0
45716,0,73214.492868945,0,0,0,0,0,0,1388337.72125005,0,0,0,0,237161.194404916,167588.424694549,0,66212.2325786686,0,0,0,0,0,792566.60835529,0,0,0,0,0,334445.107730288,0,0,0,0,480997.371117987,0,0,0,0,0,0,0,9314478892.8474,0,0,0,0
45747,0,72823.7124614254,0,0,0,0,0,0,1381970.9749842,0,0,0,0,236039.868640277,156255.526297824,0,65863.9715802297,0,0,0,0,0,789427.196091766,0,0,0,0,0,335856.140413739,0,0,0,0,554363.867277211,0,0,0,0,0,0,0,9233023072.06995,0,0,0,0
