"Time","REINS_PREM_TREATY_OUT(1)...2","REINS_PREM_TREATY_OUT(2)","REINS_PREM_TREATY_OUT(3)","REINS_PREM_TREATY_OUT(4)","REINS_PREM_TREATY_OUT(5)","REINS_PREM_TREATY_OUT(6)","REINS_PREM_TREATY_OUT(1)...8","RPR_PREM_OUT_TREATY_OUT(1)","RPR_PREM_OUT_TREATY_OUT(2)","RPR_PREM_OUT_TREATY_OUT(3)","RPR_PREM_OUT_TREATY_OUT(4)","RPR_PREM_OUT_TREATY_OUT(5)","RPR_PREM_OUT_TREATY_OUT(6)","FR_REPAYMENT","FR_CLAWBACK","REINS_REC_TREATY_OUT(1)","REINS_REC_TREATY_OUT(2)","REINS_REC_TREATY_OUT(3)","REINS_REC_TREATY_OUT(4)","REINS_REC_TREATY_OUT(5)","REINS_REC_TREATY_OUT(6)","RPR_DTH_REC_TREATY_OUT(1)","RPR_DTH_REC_TREATY_OUT(2)","RPR_DTH_REC_TREATY_OUT(3)","RPR_DTH_REC_TREATY_OUT(4)","RPR_DTH_REC_TREATY_OUT(5)","RPR_DTH_REC_TREATY_OUT(6)","RPR_PHIBEN_REC_TREATY_OUT(1)","RPR_PHIBEN_REC_TREATY_OUT(2)","RPR_PHIBEN_REC_TREATY_OUT(3)","RPR_PHIBEN_REC_TREATY_OUT(4)","RPR_PHIBEN_REC_TREATY_OUT(5)","RPR_PHIBEN_REC_TREATY_OUT(6)","FR_NEW_FINAN","RISK_ADJ_RI_TREATY_OUT_FR(1)","RISK_ADJ_RI_TREATY_OUT_FR(2)","RISK_ADJ_RI_TREATY_OUT_FR(3)","RISK_ADJ_RI_TREATY_OUT_FR(4)","RISK_ADJ_RI_TREATY_OUT_FR(5)","RISK_ADJ_RI_TREATY_OUT_FR(6)","COVERAGE_UNITS_RI_TREATY_OUT(1)","COVERAGE_UNITS_RI_TREATY_OUT(2)","COVERAGE_UNITS_RI_TREATY_OUT(3)","COVERAGE_UNITS_RI_TREATY_OUT(4)","COVERAGE_UNITS_RI_TREATY_OUT(5)","COVERAGE_UNITS_RI_TREATY_OUT(6)"
2025-06-30,0,34505.640734156,0,0,0,0,0,0,635072.796683261,0,0,0,0,329911.889439412,0,0,43905.7132498561,0,0,0,0,0,312555.372946929,0,0,0,0,0,198165.178409137,0,0,0,0,0,0,0,0,0,0,0,0,2889903710.72309,0,0,0,0
2025-07-31,0,34238.6167045508,0,0,0,0,0,0,634419.16983336,0,0,0,0,329505.666195129,0,0,43206.316669211,0,0,0,0,0,312431.312204617,0,0,0,0,0,198622.143198338,0,0,0,0,0,0,0,0,0,0,0,0,2875908621.40805,0,0,0,0
2025-08-31,0,34156.5386220645,0,0,0,0,0,0,636224.154041682,0,0,0,0,330456.043848801,0,0,42731.7415434083,0,0,0,0,0,313297.144799242,0,0,0,0,0,199343.359119614,0,0,0,0,0,0,0,0,0,0,0,0,2865286009.716,0,0,0,0
2025-09-30,0,34041.4549212097,0,0,0,0,0,0,637951.671481313,0,0,0,0,331304.833507027,0,0,42211.1582956437,0,0,0,0,0,314080.15461247,0,0,0,0,0,200272.474594981,0,0,0,0,0,0,0,0,0,0,0,0,2854531130.61263,0,0,0,0
2025-10-31,0,34003.6176087677,0,0,0,0,0,0,640598.668417233,0,0,0,0,332648.713273946,0,0,41774.8396265106,0,0,0,0,0,315285.16420201,0,0,0,0,0,201260.125763927,0,0,0,0,0,0,0,0,0,0,0,0,2845140818.62896,0,0,0,0
2025-11-30,0,33929.9986395018,0,0,0,0,0,0,641563.805921685,0,0,0,0,332834.827799867,0,0,41330.156635126,0,0,0,0,0,316479.382248202,0,0,0,0,0,201903.373659052,0,0,0,0,0,0,0,0,0,0,0,0,2832178368.70512,0,0,0,0
2025-12-31,0,33823.7963669481,0,0,0,0,0,0,643278.843222768,0,0,0,0,333468.277620939,0,0,40863.3430115052,0,0,0,0,0,317860.646147258,0,0,0,0,0,202638.583093949,0,0,0,0,0,0,0,0,0,0,0,0,2822183574.45019,0,0,0,0
2026-01-31,0,33643.9117021096,0,0,0,0,0,0,643047.065640017,0,0,0,0,333228.93574142,0,0,40339.6132323023,0,0,0,0,0,318039.043921474,0,0,0,0,0,203325.184503637,0,0,0,0,0,0,0,0,0,0,0,0,2808607803.00317,0,0,0,0
2026-02-28,0,33344.9182023196,0,0,0,0,0,0,641136.234556259,0,0,0,0,332116.407846529,0,0,39713.5666718715,0,0,0,0,0,317559.418143517,0,0,0,0,0,203823.493283351,0,0,0,0,0,0,0,0,0,0,0,0,2794062249.51616,0,0,0,0
2026-03-31,0,33160.2065822208,0,0,0,0,0,0,640963.445039778,0,0,0,0,331895.545253346,0,0,39232.5543148616,0,0,0,0,0,317880.998737094,0,0,0,0,0,204298.449796015,0,0,0,0,0,0,0,0,0,0,0,0,2781173467.08379,0,0,0,0
2026-04-30,0,33013.4801905921,0,0,0,0,0,0,641871.1003419,0,0,0,0,332222.625038469,0,0,38802.8246638838,0,0,0,0,0,318601.379929882,0,0,0,0,0,204978.442681588,0,0,0,0,0,0,0,0,0,0,0,0,2770325480.35911,0,0,0,0
2026-05-31,0,32780.8647805939,0,0,0,0,0,0,640419.311257558,0,0,0,0,331360.154046486,0,0,38309.6643028351,0,0,0,0,0,318182.289715776,0,0,0,0,0,205455.776565896,0,0,0,0,0,0,0,0,0,0,0,0,2756275897.21235,0,0,0,0
