"Time","REINS_PREM_TREATY_OUT(1)...2","REINS_PREM_TREATY_OUT(2)","REINS_PREM_TREATY_OUT(3)","REINS_PREM_TREATY_OUT(4)","REINS_PREM_TREATY_OUT(5)","REINS_PREM_TREATY_OUT(6)","REINS_PREM_TREATY_OUT(1)...8","RPR_PREM_OUT_TREATY_OUT(1)","RPR_PREM_OUT_TREATY_OUT(2)","RPR_PREM_OUT_TREATY_OUT(3)","RPR_PREM_OUT_TREATY_OUT(4)","RPR_PREM_OUT_TREATY_OUT(5)","RPR_PREM_OUT_TREATY_OUT(6)","FR_REPAYMENT","FR_CLAWBACK","REINS_REC_TREATY_OUT(1)","REINS_REC_TREATY_OUT(2)","REINS_REC_TREATY_OUT(3)","REINS_REC_TREATY_OUT(4)","REINS_REC_TREATY_OUT(5)","REINS_REC_TREATY_OUT(6)","RPR_DTH_REC_TREATY_OUT(1)","RPR_DTH_REC_TREATY_OUT(2)","RPR_DTH_REC_TREATY_OUT(3)","RPR_DTH_REC_TREATY_OUT(4)","RPR_DTH_REC_TREATY_OUT(5)","RPR_DTH_REC_TREATY_OUT(6)","RPR_PHIBEN_REC_TREATY_OUT(1)","RPR_PHIBEN_REC_TREATY_OUT(2)","RPR_PHIBEN_REC_TREATY_OUT(3)","RPR_PHIBEN_REC_TREATY_OUT(4)","RPR_PHIBEN_REC_TREATY_OUT(5)","RPR_PHIBEN_REC_TREATY_OUT(6)","FR_NEW_FINAN","RISK_ADJ_RI_TREATY_OUT_FR(1)","RISK_ADJ_RI_TREATY_OUT_FR(2)","RISK_ADJ_RI_TREATY_OUT_FR(3)","RISK_ADJ_RI_TREATY_OUT_FR(4)","RISK_ADJ_RI_TREATY_OUT_FR(5)","RISK_ADJ_RI_TREATY_OUT_FR(6)","COVERAGE_UNITS_RI_TREATY_OUT(1)","COVERAGE_UNITS_RI_TREATY_OUT(2)","COVERAGE_UNITS_RI_TREATY_OUT(3)","COVERAGE_UNITS_RI_TREATY_OUT(4)","COVERAGE_UNITS_RI_TREATY_OUT(5)","COVERAGE_UNITS_RI_TREATY_OUT(6)"
45838,0,0,0,0,0,0,0,0,114.314763800031,848.534245824425,0,0,0,0,30.3646177160284,0,0,0,0,0,0,0,0,0,0,0,0,0,9.68742251494602,0,0,0,0,286.820524068581,0,0,0,0,0,0,0,261407.359932103,1403245.23402729,0,0,0
45869,0,0,0,0,0,0,0,0,114.021135544376,844.724103437675,0,0,0,23.6420762153962,18.4790164513711,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3182634844863,0.112537619212961,0,0,0,29.0589019344641,0,0,0,0,0,0,0,259214.072109277,1392013.43240457,0,0,0
45900,0,0,0,0,0,0,0,0,113.821863110092,841.586815085287,0,0,0,47.7117188454808,15.9182084353146,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7270763271446,0.334661195221319,0,0,0,29.889156279257,0,0,0,0,0,0,0,257211.636212719,1381816.91132155,0,0,0
45930,0,0,0,0,0,0,0,0,113.671007894143,838.77618122405,0,0,0,72.2238178466488,14.5041382657612,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0651337789308,0.666801670600094,0,0,0,30.7431321806946,0,0,0,0,0,0,0,255290.4936458,1372069.09749616,0,0,0
45961,0,0,0,0,0,0,0,0,113.598050594014,836.515588138098,0,0,0,97.1936144378037,12.5639631282408,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3721351704359,1.1096195042568,0,0,0,31.6215073869218,0,0,0,0,0,0,0,253520.414128497,1363144.03408796,0,0,0
45991,0,0,0,0,0,0,0,0,113.564615837577,834.516742447306,0,0,0,122.636748225901,11.4773205392233,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6700034802061,1.66389914351193,0,0,0,32.5249790360663,0,0,0,0,0,0,0,251809.81684637,1354551.54192719,0,0,0
46022,0,0,0,0,0,0,0,0,113.305526678313,831.163279647805,0,0,0,143.125655026415,10.6974600280299,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9646253254704,2.30498517086315,0,0,0,26.7634113066158,0,0,0,0,0,0,0,249903.731704705,1344786.88177407,0,0,0
46053,0,0,0,0,0,0,0,0,112.956370291412,827.2970698092,0,0,0,161.222413397941,9.59982248468733,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2512444207865,3.02153861757701,0,0,0,24.0870701848708,0,0,0,0,0,0,0,247947.230045215,1334692.60433905,0,0,0
46081,0,0,0,0,0,0,0,0,112.902149972761,825.221635326748,0,0,0,185.448596404783,8.72070073356054,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5352439741684,3.842496188159,0,0,0,31.853921375882,0,0,0,0,0,0,0,246266.76144472,1326235.48540382,0,0,0
46112,0,0,0,0,0,0,0,0,112.873441749804,823.302769499812,0,0,0,210.161341457251,8.06447227623365,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8287995931362,4.76840032013271,0,0,0,32.7640334225792,0,0,0,0,0,0,0,244612.033582635,1317930.42776251,0,0,0
46142,0,0,0,0,0,0,0,0,113.024824696153,822.489887745964,0,0,0,238.423185610096,7.28027269567506,0,0,0,0,0,0,0,0,0,0,0,0,0,13.13213651418,5.81510376494785,0,0,0,37.444609620822,0,0,0,0,0,0,0,243138.778588212,1310689.96195623,0,0,0
46173,0,0,0,0,0,0,0,0,113.215888109301,821.933574576599,0,0,0,267.259265000172,6.61424779418687,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4497975062361,6.98350265749622,0,0,0,38.5144556192945,0,0,0,0,0,0,0,241718.877791928,1303751.67062196,0,0,0
46203,0,0,0,0,0,0,0,0,113.446723361169,821.633187459739,0,0,0,296.688450566596,6.01775492633103,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7808117261372,8.27499803830347,0,0,0,39.6148686374254,0,0,0,0,0,0,0,240351.274849598,1297110.35211328,0,0,0
46234,0,0,0,0,0,0,0,0,113.248560147658,818.574600323897,0,0,0,325.496090971187,5.0934107201899,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1496982428657,9.69611846474518,0,0,0,0,0,0,0,0,0,0,0,238620.572417562,1288259.24962174,0,0,0
46265,0,0,0,0,0,0,0,0,113.098027066994,815.831714341038,0,0,0,354.964442128247,4.24921807819249,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5474326362052,11.2490680457969,0,0,0,0,0,0,0,0,0,0,0,236965.058504162,1279825.4760572,0,0,0
46295,0,0,0,0,0,0,0,0,112.99575433126,813.408083167287,0,0,0,385.113666822485,3.48514668028796,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9805774872156,12.9358734841806,0,0,0,0,0,0,0,0,0,0,0,235385.245417954,1271812.10875895,0,0,0
46326,0,0,0,0,0,0,0,0,112.942395753602,811.307442058463,0,0,0,415.964512580719,2.80120485214178,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4511038811692,14.7586798132993,0,0,0,0,0,0,0,0,0,0,0,233881.680460126,1264222.4236147,0,0,0
46356,0,0,0,0,0,0,0,0,112.938640545625,809.533701429303,0,0,0,447.53830305627,2.19744001326769,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9603506867653,16.7201421688745,0,0,0,0,0,0,0,0,0,0,0,232454.946873532,1257059.9001013,0,0,0
46387,0,0,0,0,0,0,0,0,112.743301991749,806.684158123827,0,0,0,472.50798938287,1.67393919955078,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5002275389834,18.7860364947666,0,0,0,0,0,0,0,0,0,0,0,230896.81283914,1249079.01996368,0,0,0
46418,0,0,0,0,0,0,0,0,112.466869122055,803.397432360096,0,0,0,494.32104229704,1.21711648425319,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0595063146121,20.9403539215973,0,0,0,0,0,0,0,0,0,0,0,229298.771101996,1240830.7218024,0,0,0
