"Time","REINS_PREM_TREATY_OUT(1)...2","REINS_PREM_TREATY_OUT(2)","REINS_PREM_TREATY_OUT(3)","REINS_PREM_TREATY_OUT(4)","REINS_PREM_TREATY_OUT(5)","REINS_PREM_TREATY_OUT(6)","REINS_PREM_TREATY_OUT(1)...8","RPR_PREM_OUT_TREATY_OUT(1)","RPR_PREM_OUT_TREATY_OUT(2)","RPR_PREM_OUT_TREATY_OUT(3)","RPR_PREM_OUT_TREATY_OUT(4)","RPR_PREM_OUT_TREATY_OUT(5)","RPR_PREM_OUT_TREATY_OUT(6)","FR_REPAYMENT","FR_CLAWBACK","REINS_REC_TREATY_OUT(1)","REINS_REC_TREATY_OUT(2)","REINS_REC_TREATY_OUT(3)","REINS_REC_TREATY_OUT(4)","REINS_REC_TREATY_OUT(5)","REINS_REC_TREATY_OUT(6)","RPR_DTH_REC_TREATY_OUT(1)","RPR_DTH_REC_TREATY_OUT(2)","RPR_DTH_REC_TREATY_OUT(3)","RPR_DTH_REC_TREATY_OUT(4)","RPR_DTH_REC_TREATY_OUT(5)","RPR_DTH_REC_TREATY_OUT(6)","RPR_PHIBEN_REC_TREATY_OUT(1)","RPR_PHIBEN_REC_TREATY_OUT(2)","RPR_PHIBEN_REC_TREATY_OUT(3)","RPR_PHIBEN_REC_TREATY_OUT(4)","RPR_PHIBEN_REC_TREATY_OUT(5)","RPR_PHIBEN_REC_TREATY_OUT(6)","FR_NEW_FINAN","RISK_ADJ_RI_TREATY_OUT_FR(1)","RISK_ADJ_RI_TREATY_OUT_FR(2)","RISK_ADJ_RI_TREATY_OUT_FR(3)","RISK_ADJ_RI_TREATY_OUT_FR(4)","RISK_ADJ_RI_TREATY_OUT_FR(5)","RISK_ADJ_RI_TREATY_OUT_FR(6)","COVERAGE_UNITS_RI_TREATY_OUT(1)","COVERAGE_UNITS_RI_TREATY_OUT(2)","COVERAGE_UNITS_RI_TREATY_OUT(3)","COVERAGE_UNITS_RI_TREATY_OUT(4)","COVERAGE_UNITS_RI_TREATY_OUT(5)","COVERAGE_UNITS_RI_TREATY_OUT(6)"
45838,0,71830.5686074647,0,0,0,0,0,0,1309599.34565059,0,0,0,0,240399.237729108,246522.720445105,0,65158.4761794319,0,0,0,0,0,794752.200324692,0,0,0,0,0,228080.01517128,0,0,0,0,2224980.15382142,0,0,0,0,0,0,0,4699423081.12178,0,0,0,0
45869,0,71879.135624714,0,0,0,0,0,0,1307727.39434564,0,0,0,0,257158.345063299,162530.409443049,0,65117.0153278193,0,0,0,0,0,793470.6420557,0,0,0,0,0,234543.593963547,0,0,0,0,320860.186221713,0,0,0,0,0,0,0,4660533919.8199,0,0,0,0
45900,0,71849.3292176408,0,0,0,0,0,0,1305799.76577045,0,0,0,0,273965.107656376,139603.913797634,0,65076.8409223582,0,0,0,0,0,793243.965093195,0,0,0,0,0,238374.068111925,0,0,0,0,265201.30673707,0,0,0,0,0,0,0,4623011407.49526,0,0,0,0
45930,0,71821.1342053683,0,0,0,0,0,0,1303902.34835264,0,0,0,0,290014.677639129,127393.667409716,0,65050.6126969031,0,0,0,0,0,793160.468684929,0,0,0,0,0,241382.740997339,0,0,0,0,272935.056046657,0,0,0,0,0,0,0,4586128778.33284,0,0,0,0
45961,0,71838.2611970334,0,0,0,0,0,0,1302783.30333639,0,0,0,0,306460.661617002,111806.968593977,0,65060.066952393,0,0,0,0,0,793487.269976542,0,0,0,0,0,243967.662091131,0,0,0,0,285323.124648326,0,0,0,0,0,0,0,4551162004.2833,0,0,0,0
45991,0,71885.1681227187,0,0,0,0,0,0,1302162.79959956,0,0,0,0,323311.069363408,101590.202769979,0,65102.6520753678,0,0,0,0,0,794203.653030022,0,0,0,0,0,246321.401922422,0,0,0,0,295832.917336313,0,0,0,0,0,0,0,4517186949.87964,0,0,0,0
46022,0,72002.3399045157,0,0,0,0,0,0,1302547.88901548,0,0,0,0,340705.952680811,94451.3707070846,0,65211.9977350863,0,0,0,0,0,795612.002145796,0,0,0,0,0,248529.641833752,0,0,0,0,335454.229753557,0,0,0,0,0,0,0,4484468529.73696,0,0,0,0
46053,0,71980.9966177538,0,0,0,0,0,0,1300873.92037852,0,0,0,0,355758.294824526,85837.5912773639,0,65193.7516154483,0,0,0,0,0,795610.802624613,0,0,0,0,0,250517.281464323,0,0,0,0,277372.289933092,0,0,0,0,0,0,0,4449852662.85339,0,0,0,0
46081,0,71769.2714075118,0,0,0,0,0,0,1296403.1751489,0,0,0,0,367919.679025117,76642.862321992,0,65002.1057787679,0,0,0,0,0,793729.391978852,0,0,0,0,0,252187.646915861,0,0,0,0,191250.445063139,0,0,0,0,0,0,0,4412414158.13646,0,0,0,0
46112,0,71671.4467046357,0,0,0,0,0,0,1293700.84785765,0,0,0,0,382444.491738892,70080.3851776464,0,64916.8806030302,0,0,0,0,0,793074.534129659,0,0,0,0,0,253679.420075608,0,0,0,0,231606.657305178,0,0,0,0,0,0,0,4376880083.34325,0,0,0,0
46142,0,71766.0235990664,0,0,0,0,0,0,1293865.99580744,0,0,0,0,399326.219961413,63361.8083667995,0,65003.9009956451,0,0,0,0,0,794256.070340805,0,0,0,0,0,255169.484669871,0,0,0,0,322018.414455032,0,0,0,0,0,0,0,4344993179.22255,0,0,0,0
46173,0,71827.0411426397,0,0,0,0,0,0,1293757.76132819,0,0,0,0,417499.881718176,56769.8500473029,0,65059.9583863722,0,0,0,0,0,795291.698650705,0,0,0,0,0,256606.97016537,0,0,0,0,278578.541375248,0,0,0,0,0,0,0,4312769271.46153,0,0,0,0
46203,0,71943.2633022924,0,0,0,0,0,0,1294595.95721825,0,0,0,0,437226.24835837,50774.4945331965,0,65165.9055296387,0,0,0,0,0,796957.526529858,0,0,0,0,0,257979.920531851,0,0,0,0,289607.776664074,0,0,0,0,0,0,0,4281930354.94209,0,0,0,0
46234,0,72054.1744555108,0,0,0,0,0,0,1296667.55988471,0,0,0,0,459198.073742795,42509.0396352797,0,65261.7629334293,0,0,0,0,0,799839.94717263,0,0,0,0,0,259243.517248032,0,0,0,0,0,0,0,0,0,0,0,0,4249765422.9669,0,0,0,0
46265,0,72066.7035880711,0,0,0,0,0,0,1297767.29990793,0,0,0,0,475082.408600872,35114.94463727,0,65268.7604744364,0,0,0,0,0,802167.495173602,0,0,0,0,0,260361.237761761,0,0,0,0,0,0,0,0,0,0,0,0,4217430577.19926,0,0,0,0
46295,0,72087.5700697006,0,0,0,0,0,0,1299053.32173436,0,0,0,0,491283.872719882,28454.4918652389,0,65283.4339720211,0,0,0,0,0,804599.144840825,0,0,0,0,0,261355.8236981,0,0,0,0,0,0,0,0,0,0,0,0,4186019134.43291,0,0,0,0
46326,0,72149.8696340558,0,0,0,0,0,0,1301094.14810509,0,0,0,0,508293.431402832,22526.2383883701,0,65335.5595232366,0,0,0,0,0,807537.326784041,0,0,0,0,0,262294.381943864,0,0,0,0,0,0,0,0,0,0,0,0,4155993779.32645,0,0,0,0
46356,0,72251.8626843365,0,0,0,0,0,0,1303849.96951137,0,0,0,0,525988.103836196,17338.3808538442,0,65423.557107035,0,0,0,0,0,810953.63216122,0,0,0,0,0,263211.561460035,0,0,0,0,0,0,0,0,0,0,0,0,4127323278.08644,0,0,0,0
