"Time","REINS_PREM_TREATY_OUT(1)...2","REINS_PREM_TREATY_OUT(2)","REINS_PREM_TREATY_OUT(3)","REINS_PREM_TREATY_OUT(4)","REINS_PREM_TREATY_OUT(5)","REINS_PREM_TREATY_OUT(6)","REINS_PREM_TREATY_OUT(1)...8","RPR_PREM_OUT_TREATY_OUT(1)","RPR_PREM_OUT_TREATY_OUT(2)","RPR_PREM_OUT_TREATY_OUT(3)","RPR_PREM_OUT_TREATY_OUT(4)","RPR_PREM_OUT_TREATY_OUT(5)","RPR_PREM_OUT_TREATY_OUT(6)","FR_REPAYMENT","FR_CLAWBACK","REINS_REC_TREATY_OUT(1)","REINS_REC_TREATY_OUT(2)","REINS_REC_TREATY_OUT(3)","REINS_REC_TREATY_OUT(4)","REINS_REC_TREATY_OUT(5)","REINS_REC_TREATY_OUT(6)","RPR_DTH_REC_TREATY_OUT(1)","RPR_DTH_REC_TREATY_OUT(2)","RPR_DTH_REC_TREATY_OUT(3)","RPR_DTH_REC_TREATY_OUT(4)","RPR_DTH_REC_TREATY_OUT(5)","RPR_DTH_REC_TREATY_OUT(6)","RPR_PHIBEN_REC_TREATY_OUT(1)","RPR_PHIBEN_REC_TREATY_OUT(2)","RPR_PHIBEN_REC_TREATY_OUT(3)","RPR_PHIBEN_REC_TREATY_OUT(4)","RPR_PHIBEN_REC_TREATY_OUT(5)","RPR_PHIBEN_REC_TREATY_OUT(6)","FR_NEW_FINAN","RISK_ADJ_RI_TREATY_OUT_FR(1)","RISK_ADJ_RI_TREATY_OUT_FR(2)","RISK_ADJ_RI_TREATY_OUT_FR(3)","RISK_ADJ_RI_TREATY_OUT_FR(4)","RISK_ADJ_RI_TREATY_OUT_FR(5)","RISK_ADJ_RI_TREATY_OUT_FR(6)","COVERAGE_UNITS_RI_TREATY_OUT(1)","COVERAGE_UNITS_RI_TREATY_OUT(2)","COVERAGE_UNITS_RI_TREATY_OUT(3)","COVERAGE_UNITS_RI_TREATY_OUT(4)","COVERAGE_UNITS_RI_TREATY_OUT(5)","COVERAGE_UNITS_RI_TREATY_OUT(6)"
45838,0,11554.4000931231,0,0,0,0,0,0,224220.602397546,0,0,0,0,40054.3622611209,45806.245774207,0,10472.8230515816,0,0,0,0,0,133411.533114433,0,0,0,0,0,46758.8614057246,0,0,0,0,389547.122688505,0,0,0,0,0,0,0,1136287101.68848,0,0,0,0
45869,0,11523.5901162262,0,0,0,0,0,0,223555.584055118,0,0,0,0,42679.1276165597,30348.5472218836,0,10431.1733365174,0,0,0,0,0,132923.763765049,0,0,0,0,0,47795.6547176272,0,0,0,0,55480.4036520683,0,0,0,0,0,0,0,1126517540.76564,0,0,0,0
45900,0,11489.2294641211,0,0,0,0,0,0,222897.058636399,0,0,0,0,45316.8098439699,25940.1815955319,0,10395.8002049045,0,0,0,0,0,132630.421216375,0,0,0,0,0,48290.0415512779,0,0,0,0,45921.0646762025,0,0,0,0,0,0,0,1117231492.57241,0,0,0,0
45930,0,11455.7061407787,0,0,0,0,0,0,222266.733860896,0,0,0,0,47836.6660618657,23550.2811165214,0,10365.209460677,0,0,0,0,0,132377.193446174,0,0,0,0,0,48638.1632353198,0,0,0,0,47260.2059031612,0,0,0,0,0,0,0,1108145933.59021,0,0,0,0
45961,0,11430.6800023434,0,0,0,0,0,0,221793.324366115,0,0,0,0,50424.8357147474,20337.8881330648,0,10340.6026599468,0,0,0,0,0,132197.991144419,0,0,0,0,0,48919.5339425733,0,0,0,0,49405.268107418,0,0,0,0,0,0,0,1099645021.82444,0,0,0,0
45991,0,11409.4182195182,0,0,0,0,0,0,221404.91124932,0,0,0,0,53078.0958682411,18479.245329265,0,10321.4492881061,0,0,0,0,0,132086.868313759,0,0,0,0,0,49170.0925268042,0,0,0,0,51225.0965024765,0,0,0,0,0,0,0,1091389065.7969,0,0,0,0
46022,0,11397.2867857569,0,0,0,0,0,0,221179.180287001,0,0,0,0,55816.8340689303,17180.0557197466,0,10310.7736931088,0,0,0,0,0,132079.909833169,0,0,0,0,0,49405.4303733202,0,0,0,0,58085.7446424294,0,0,0,0,0,0,0,1083439641.08361,0,0,0,0
46053,0,11367.7797335883,0,0,0,0,0,0,220644.607249105,0,0,0,0,58187.2336492532,15563.5594798016,0,10284.4153101623,0,0,0,0,0,131872.639604048,0,0,0,0,0,49601.9076640518,0,0,0,0,48028.5373510013,0,0,0,0,0,0,0,1075063610.26976,0,0,0,0
46081,0,11315.8466734598,0,0,0,0,0,0,219675.472123798,0,0,0,0,60102.0052779906,13969.1134519633,0,10237.0369757436,0,0,0,0,0,131396.827513533,0,0,0,0,0,49735.9671264437,0,0,0,0,33116.0663069573,0,0,0,0,0,0,0,1066017093.09254,0,0,0,0
46112,0,11277.9710640791,0,0,0,0,0,0,218992.719309736,0,0,0,0,62393.704254937,12620.141010696,0,10203.3162030355,0,0,0,0,0,131099.131303397,0,0,0,0,0,49845.8770534659,0,0,0,0,40103.966376907,0,0,0,0,0,0,0,1057466127.56718,0,0,0,0
