"Time","PREM_INC","DEATH_OUTGO","DISAB_OUTGO","INIT_EXP","REN_EXP","INIT_COMM","REN_COMM","PHIBEN_OUTGO","PHIBEN_OUTGO_BLL","CR_BEN_OUTGO","RETR_OUTGO","DTH_OUTGO","DREADDIS_OUTGO","TEMPDIS_OUTGO","RIDERC_OUTGO","RISK_ADJ","COVERAGE_UNITS"
"m0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37721406.25
"m1",55407.0689640333,9556.98181764829,617.626122389261,789001.89318,6103.5061725792,496481.318132427,638.199787518278,2934.01222706685,0,32.694173711457,584.127655328329,0,0,0,0,-3.63797880709171e-12,105156135.618604
"m2",76870.2869070984,14237.9584760931,842.141953356459,292222.9234,8666.5537335483,163259.178504232,1445.37309418944,5491.34897890958,0,32.0176875354692,942.366380738324,0,0,0,0,-2.31281660489913e-12,140404777.64189
"m3",106863.49934839,21621.7851449476,1534.27616396974,452945.53127,12039.3692959021,302230.234208076,1463.89019554556,7352.62860974427,0,40.2612688409782,911.590919366206,0,0,0,0,4.9737991503207e-14,211992350.335095
"m4",139451.844846356,28677.3487444214,2394.27509308457,452945.53127,15554.7631916184,287415.41670188,1880.40587098465,9466.22880593405,0,39.6407751454556,1105.38937734383,0,0,0,0,-4.39825953435502e-12,282850102.339904
"m5",155071.366751473,32752.7675242806,2568.63542437982,248389.48489,17548.1252213394,159129.245306668,1847.54733722902,11305.6451899745,0,55.1148386984422,1206.43581969154,0,0,0,0,1.01785246897634e-12,311885274.666763
"m6",165809.440127193,35274.4725278338,2644.58049430473,160722.60787,18703.8224110507,80997.9108229003,2093.11003176683,12876.1985013247,0,54.0529958794859,1444.60108098382,0,0,0,0,-1.20614629395277e-12,327920656.49606
"m7",179264.098335891,37213.0816711792,2936.41369744405,204556.04638,20097.4753286715,134638.191755573,2065.11661385387,14454.7944896251,0,52.9969438376716,1401.60932000799,0,0,0,0,6.94910795573378e-12,350273132.98037
"m8",194602.505090023,40407.1815563591,3158.61714128722,277611.77723,22136.7090187843,147085.597958859,2187.22525517619,16500.2550035566,0,52.3905713560209,1360.99570142116,0,0,0,0,-4.44089209850063e-13,386084873.707761
"m9",229275.516034268,47575.9419262365,3752.41320558385,511390.11595,25748.1022716814,336497.451973814,2623.94327917189,19908.925404319,0,51.5887068010521,1470.03660631223,0,0,0,0,-73.1484368044749,447934252.317181
"m10",244456.376737638,52640.7461562875,3992.40505107859,248389.48489,27758.8704850715,115815.238538178,2889.00354471973,21682.5434951192,0,50.6773958366364,1971.71439875104,0,0,0,0,99.3681467365734,477504594.503024
"m11",247115.513926892,53627.3320658242,4087.16675547244,87666.87702,28211.3492896814,37792.2101571505,2858.25464371711,22329.8159968644,0,50.010944235561,2187.2495709449,0,0,0,0,239.857480631958,493779293.089422
"m12",242649.224083837,52733.7498305734,4012.98761387392,0,27961.96046951,-31260.1288751385,2819.7321199235,22615.7110987522,0,49.3733401827473,2108.38584574771,0,0,0,0,294.891692169349,485619392.433243
"m13",244343.177216412,52913.3779938425,3998.75782714198,0,27708.5775101505,158827.108206048,2855.77111215376,22966.8933099912,0,50.6530718476155,2060.34430512373,0,0,0,0,329.674251837383,483239972.335506
"m14",242492.61442066,52693.4232653938,3965.85114423219,0,27441.2423545883,38742.7403081077,2866.785618339,23268.7310736902,0,49.898438346145,2024.06161901253,0,0,0,0,358.53531944357,477441412.310845
"m15",241806.072951569,52574.7434088111,3962.26621860358,0,27218.9918087658,90906.1458426181,2842.0885503313,23508.6208590705,0,49.7278272903541,1969.34530786085,0,0,0,0,383.265768527427,473898222.584381
"m16",241271.821968797,52599.2614125533,3993.74396661569,0,26997.7316387999,89954.5356723536,2832.14265341219,23751.3930839898,0,49.0926696917893,1927.97416712407,0,0,0,0,404.685252255956,470376971.735606
"m17",239502.475317162,52321.0541897791,3963.91187368164,0,26779.3342670462,49308.0274777338,2798.02123889392,23943.6274613473,0,49.0999285088507,1881.97288410075,0,0,0,0,424.505321476242,465359103.453916
