"Time","PREM_INC","DEATH_OUTGO","DISAB_OUTGO","INIT_EXP","REN_EXP","INIT_COMM","REN_COMM","PHIBEN_OUTGO","PHIBEN_OUTGO_BLL","CR_BEN_OUTGO","RETR_OUTGO","DTH_OUTGO","DREADDIS_OUTGO","TEMPDIS_OUTGO","RIDERC_OUTGO","RISK_ADJ","COVERAGE_UNITS"
"m0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m1",96353.1477610893,19865.9464703461,1867.86077297117,4573645.59699334,18378.3891217474,926610.305609787,658.664498711018,3409.99093768509,0,3.98709435505573,0,0,0,0,0,26588.8415207267,261948323.067559
"m2",220143.06535,47778.081615131,3049.66839381219,5199512.8893702,41018.0864073445,1193407.31363593,2920.26119761509,14823.3650261047,0,31.7216782934085,0,0,0,0,0,31555.9460809274,544948392.554356
"m3",350330.312181879,72957.9616516063,4653.96826065404,5680949.26792125,65151.0155309381,1306365.65885364,2471.27628611863,27000.3673854159,0,53.8427057154781,0,0,0,0,0,35836.3154533395,859070720.323663
"m4",466946.885028904,95768.6155058736,6299.20748770497,5488374.71735533,88125.9655568029,1105017.08333675,3512.01182201826,38646.8843463858,0,95.100034990571,0,0,0,0,0,35044.3764499237,1161576946.24333
"m5",538378.610119979,110596.156422432,7149.80038113539,3273767.37496228,102421.297539129,670681.241844112,4276.28338504662,48140.4073362901,0,100.406041701506,0,0,0,0,0,20624.0999985044,1341035349.65358
"m6",658106.203972271,135797.113762869,9282.85233017018,5536518.35491267,125121.920361305,1149889.41933151,5592.02441459759,58456.5643373178,0,125.01167810082,0,0,0,0,0,32259.397224742,1661508379.34039
"m7",824527.820440472,170545.411672282,11879.1463564912,7534479.32479668,156395.285896097,1608118.14746506,6450.4752270754,71000.5332758275,0,168.551145435503,0,0,0,0,0,42487.3055628432,2092597863.03352
"m8",958064.816628808,196076.375657967,13650.1849672769,6403103.83663616,183785.361416453,1270121.26922681,7501.70362813068,82968.2790646898,0,191.529825077368,0,0,0,0,0,46089.4936230477,2408327313.89118
"m9",1107350.59119839,223507.577663678,16029.3199958858,7486335.68855688,214693.636943525,1425982.80409648,8791.63047260102,96826.8400596691,0,192.010464932204,0,0,0,0,0,53899.5677919388,2769180047.2352
"m10",1212238.40821664,243987.118223505,17791.7606685415,5584661.99295172,237844.865310904,999941.865872435,9759.6649515218,109839.931442857,0,216.854771321075,0,0,0,0,0,39256.1349626917,3033220565.19934
"m11",1319715.78303734,261547.425310705,18812.5141604499,6114242.00924625,263473.70387383,1007374.11861298,10805.3133187372,122408.023279673,0,249.434632178481,0,0,0,0,0,44473.9605138929,3283269561.55603
