"Time","PREM_INC","DEATH_OUTGO","DISAB_OUTGO","INIT_EXP","REN_EXP","INIT_COMM","REN_COMM","PHIBEN_OUTGO","PHIBEN_OUTGO_BLL","CR_BEN_OUTGO","RETR_OUTGO","DTH_OUTGO","DREADDIS_OUTGO","TEMPDIS_OUTGO","RIDERC_OUTGO","RISK_ADJ","COVERAGE_UNITS"
45107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45138,325.469322260253,0,0,0,39.4526602997411,3010.16679016077,0,0,0,0,0,0,0,0,0,269.039573920364,255598.56129851
45169,653.696557744734,0,0,0,79.4359218397353,3036.74693919141,0,0.651219343692964,0,0,0,0,0,0,0,273.987875939764,513387.039427754
45199,984.21902921644,0,0,0,119.910000859377,3059.0880509169,0,1.59284341362088,0,0,0,0,0,0,0,279.295278903482,773001.777671983
45230,1320.50797196488,0,0,0,161.279513052534,3113.47955342527,0,2.72180994425558,0,0,0,0,0,0,0,288.054529532821,1037165.40019307
45260,1662.32246146609,0,0,0,203.511176938352,3165.59441497639,0,3.98429242857375,0,0,0,0,0,0,0,297.042172450849,1305681.32900403
45291,1935.05872540149,0,0,0,237.568031637337,2527.77938370539,0,5.36182056946023,0,0,0,0,0,0,0,244.842018045977,1519967.14072957
45322,2175.2613567367,0,0,0,267.832881025606,2236.93420923554,0,6.69589689890286,0,0,0,0,0,0,0,223.403090565436,1708731.16819703
45351,2500.72868910327,0,0,0,308.568031119263,3035.86896048877,0,7.99274441082565,0,0,0,0,0,0,0,299.338278409417,1964453.63932261
45382,2833.08659167858,0,0,0,350.31918029128,3110.05251700868,0,9.4660617465581,0,0,0,0,0,0,0,311.154006842358,2225624.63700658
45412,3213.28663311146,0,0,0,398.068470929414,3566.19186455498,0,11.0620222139886,0,0,0,0,0,0,0,357.631232633655,2524379.75254823
45443,3600.87249622239,0,0,0,446.933004868455,3649.3755775527,0,12.842758152264,0,0,0,0,0,0,0,371.455876869135,2828945.70175739
45473,3995.79541289148,0,0,0,496.906299601013,3731.7488199802,0,14.7471586906499,0,0,0,0,0,0,0,385.634844615898,3139300.62756899
45504,3964.7613824069,0,0,0,492.712244847984,661.831935542006,0,16.7101940437384,0,0,0,0,0,0,0,1.80507351999581,3109745.51040757
45535,3937.99118893852,0,0,0,488.937459837978,735.886569657197,0,17.8721208793631,0,0,0,0,0,0,0,9.76810553041086,3083437.30217299
45565,3916.67609173341,0,0,0,485.70362681202,823.536812395448,0,18.7058844674679,0,0,0,0,0,0,0,18.2937683937426,3061310.12756081
45596,3896.40816100738,0,0,0,482.506118230239,873.811287744852,0,19.3457880878192,0,0,0,0,0,0,0,23.0988384428484,3039902.71868243
45626,3877.78452212593,0,0,0,479.417269541933,933.153891767658,0,19.8619779971776,0,0,0,0,0,0,0,28.4669547172532,3019681.98208027
45657,3855.39513525286,0,0,0,476.415389322623,748.132293652834,0,20.2910487748479,0,0,0,0,0,0,0,38.6707780441708,2997649.86255826
45688,3831.24745402711,0,0,0,473.44174414043,665.289691873757,0,20.6381287417686,0,0,0,0,0,0,0,45.3491626696575,2974786.73808563
45716,3813.0709703039,0,0,0,470.442357350486,962.383461777599,0,20.8978631219826,0,0,0,0,0,0,0,44.0553841904651,2955207.65000725
45747,3794.74221869843,0,0,0,467.327016435695,1003.08164231981,0,21.0926309834643,0,0,0,0,0,0,0,47.4298238641921,2935399.16427714
45777,3779.9551624671,0,0,0,464.192141670369,1185.99567346053,0,21.2141978811523,0,0,0,0,0,0,0,48.37696633801,2917561.976865
