"Time","PREM_INC","DEATH_OUTGO","DISAB_OUTGO","INIT_EXP","REN_EXP","INIT_COMM","REN_COMM","PHIBEN_OUTGO","PHIBEN_OUTGO_BLL","CR_BEN_OUTGO","RETR_OUTGO","DTH_OUTGO","DREADDIS_OUTGO","TEMPDIS_OUTGO","RIDERC_OUTGO","RISK_ADJ","COVERAGE_UNITS"
2023-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-31,5716.26503271794,0,0,89287.3641717091,845.457992576298,53224.0044511161,0,747.253088542042,0,0,0,0,0,0,0,5857.24929896011,5244940.08179032
2023-08-31,11458.9452016098,0,0,91836.1899021045,1702.39240220393,53701.5140402997,0,2105.71273256902,0,0,0,0,0,0,0,6042.68294161083,10535651.8265469
2023-09-30,17227.8474947259,0,0,94459.7220884294,2569.83555271551,54093.2488105747,0,3668.95807983634,0,0,0,0,0,0,0,6240.89085433076,15863680.5332018
2023-10-31,23093.7700660992,0,0,97159.6997898603,3456.4819352147,55057.9736141151,0,5368.70715500116,0,0,0,0,0,0,0,6504.2934468115,21285492.705061
2023-11-30,29053.4651992878,0,0,99935.031230392,4361.59514651522,55975.7463055131,0,7171.97127432471,0,0,0,0,0,0,0,6774.40945142645,26796425.7096636
2023-12-31,33799.6166983505,0,0,82234.8167055112,5091.77575648252,44715.1988429319,0,8896.19534019616,0,0,0,0,0,0,0,5713.30787659634,31196351.4657327
2024-01-31,37974.3991135883,0,0,74008.9867005708,5740.2920025943,39538.8792016662,0,10479.4245862754,0,0,0,0,0,0,0,5295.42163260453,35069306.8894673
2024-02-29,43652.9839968561,0,0,97873.3511697536,6613.45204351708,53686.8576216227,0,12211.6127141353,0,0,0,0,0,0,0,6990.52746002416,40318645.0065881
2024-03-31,49446.0204941843,0,0,100670.240148754,7508.24970724961,54978.1228255855,0,14123.534695464,0,0,0,0,0,0,0,7306.21000588721,45677764.0994459
2024-04-30,56076.5497032659,0,0,115054.201276081,8531.67463550047,63055.9343071649,0,16228.3595911743,0,0,0,0,0,0,0,8380.85882557705,51809479.2086927
2024-05-31,62832.6299539482,0,0,118341.577236838,9579.09916560754,64535.6583678076,0,18497.7741076863,0,0,0,0,0,0,0,8751.52973748914,58061590.0670573
2024-06-30,69713.6384423047,0,0,121719.832411826,10650.2919688649,65988.4915787281,0,20873.6471445983,0,0,0,0,0,0,0,9131.07458872596,64432163.0965437
2024-07-31,69049.7077384073,0,0,0,10560.7278374964,11177.4702132656,0,22345.7294352174,0,0,0,0,0,0,0,944.739283682515,63791476.8374756
2024-08-31,68488.9200804031,0,0,0,10480.1455510617,12480.6849121373,0,23094.8532473024,0,0,0,0,0,0,0,1085.00353291928,63216833.2029731
2024-09-30,68039.9236639094,0,0,0,10411.152910184,14020.0891463824,0,23658.3721722828,0,0,0,0,0,0,0,1227.66189008334,62727329.5410485
2024-10-31,67612.7448576988,0,0,0,10342.9368147988,14900.5264305259,0,24127.4829055706,0,0,0,0,0,0,0,1300.90435742559,62251944.2108693
2024-11-30,67215.3120354323,0,0,0,10277.0470648833,15938.6829383055,0,24546.4167852102,0,0,0,0,0,0,0,1382.21149962497,61800200.8011271
2024-12-31,66765.8452551839,0,0,0,10213.0193748185,12783.583601506,0,24918.6232677139,0,0,0,0,0,0,0,1544.6909997237,61318870.7938849
2025-01-31,66292.4273438062,0,0,0,10149.5947575598,11358.633470663,0,25246.7692558588,0,0,0,0,0,0,0,1644.44725751395,60823962.4127788
2025-02-28,65909.0153788549,0,0,0,10085.6158831428,16482.1953142041,0,25553.5065759408,0,0,0,0,0,0,0,1605.29182367536,60387305.4692889
2025-03-31,65522.0066319228,0,0,0,10019.1497670739,17181.9243736934,0,25843.3982233592,0,0,0,0,0,0,0,1645.19980373672,59945129.1742339
2025-04-30,65188.6122520745,0,0,0,9952.26310359033,20340.138048268,0,26117.2886160679,0,0,0,0,0,0,0,1641.89458992749,59538123.6211211
2025-05-31,64863.992790321,0,0,0,9884.60779179699,21199.6910172372,0,26376.1744053969,0,0,0,0,0,0,0,1681.77989060336,59136664.5549587
2025-06-30,64549.6568322459,0,0,0,9816.38053559296,22091.6523461713,0,26617.457570419,0,0,0,0,0,0,0,1720.62022843533,58742072.9618272
2025-07-31,64092.9908553392,0,0,0,9747.73187580071,1074.15205415676,0,26801.6496416331,0,0,0,0,0,0,0,2159.23453444302,58248374.7992569
2025-08-31,63645.6311178221,0,0,0,9678.64613591531,1566.51376877838,0,26932.6616697798,0,0,0,0,0,0,0,2221.07543631861,57760659.3518013
2025-09-30,63207.5148622408,0,0,0,9609.10766554819,2020.67431240893,0,27027.9346816823,0,0,0,0,0,0,0,2276.33545507799,57278934.5667694
2025-10-31,62778.5087494287,0,0,0,9539.10025577634,2438.02130689503,0,27091.3770024123,0,0,0,0,0,0,0,2325.54673854639,56803210.1089068
2025-11-30,62358.6140342599,0,0,0,9468.60719847237,2817.4182630782,0,27126.0596026625,0,0,0,0,0,0,0,2368.97678313708,56333490.2388292
2025-12-31,61875.6214779771,0,0,0,9397.81345205249,2315.98743070622,0,27127.9522402691,0,0,0,0,0,0,0,2435.10590386604,55825045.8750855
2026-01-31,61364.9180510462,0,0,0,9326.8114995228,2183.19654891501,0,27096.497975993,0,0,0,0,0,0,0,2481.57543564141,55300086.9154361
2026-02-28,60940.1679471313,0,0,0,9255.37513872025,3344.80777700941,0,27046.3816292106,0,0,0,0,0,0,0,2478.9167742752,54829202.3037957
2026-03-31,60524.5226971439,0,0,0,9183.48336334419,3584.92223350906,0,26981.8267818841,0,0,0,0,0,0,0,2502.15615384563,54364528.4300006
2026-04-30,60158.5122185916,0,0,0,9111.00515070349,4261.50373954761,0,26901.3943197563,0,0,0,0,0,0,0,2505.09876094624,53931113.1895248
2026-05-31,59801.6745066942,0,0,0,9037.91865753786,4430.0259965342,0,26804.7495982116,0,0,0,0,0,0,0,2519.62568285238,53503648.6115574
2026-06-30,59454.13663239,0,0,0,8964.20341561694,4556.9687383903,0,26688.6667811289,0,0,0,0,0,0,0,2529.57313785486,53082149.4944843
2026-07-31,58994.0557861843,0,0,0,8894.31472657343,2859.69101027913,0,26561.7252390465,0,0,0,0,0,0,0,2549.75973271147,52593103.1218379
2026-08-31,58571.644188005,0,0,0,8828.31342671166,2986.6842216157,0,26432.4997393141,0,0,0,0,0,0,0,2558.42701897703,52135346.0764204
