"Time","PREM_INC","DEATH_OUTGO","DISAB_OUTGO","INIT_EXP","REN_EXP","INIT_COMM","REN_COMM","PHIBEN_OUTGO","PHIBEN_OUTGO_BLL","CR_BEN_OUTGO","RETR_OUTGO","DTH_OUTGO","DREADDIS_OUTGO","TEMPDIS_OUTGO","RIDERC_OUTGO","RISK_ADJ","COVERAGE_UNITS"
45107,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
45138,27872.7200998701,8361.5069812504,554.353843860837,2633685.52093031,8836.49104684369,208550.640336282,1297.8743379543,859.766237312129,0,1.07011735754801,0,0,0,0,0,1120.72079356552,41585775.1799914
45169,55301.4059818504,16354.145022561,1095.03255916881,2663511.3509308,18565.0601868103,206840.295757065,1564.15941773636,2277.86125784482,0,2.09710776135483,0,0,0,0,0,1351.32526492646,82403282.9745408
45199,81204.2212276134,23705.5982491565,1606.10094552006,2575431.17704917,28765.673282522,195607.661599863,1818.29989669957,3835.74511658741,0,3.06687391088629,0,0,0,0,0,1523.07460838204,120951768.666268
45230,107354.037520179,30985.9354740896,2122.05259306642,2642132.78017802,38710.7766761796,198031.990894312,2076.38655348878,5480.73982631912,0,4.04100446750779,0,0,0,0,0,1884.14804676652,159800612.415083
45260,133915.828632397,38270.2802560975,2645.86905304401,2718080.15098383,47291.790438597,201493.486749133,2339.69228197738,7206.89774549989,0,5.02743302362836,0,0,0,0,0,2297.43407344442,199224056.793672
45291,160764.637018701,45152.1754767086,3180.19484425045,2800100.18247498,54134.2491025813,206136.264326643,2365.10227234073,9013.7105245328,0,6.02969422240762,0,0,0,0,0,2774.67100653765,238749026.817806
45322,184454.410933497,51082.8189884024,3651.27034236029,2529781.673379,63059.2062041579,182974.618480957,2475.77006322521,10785.9698497239,0,6.90859036202808,0,0,0,0,0,3123.8325146489,273605391.837199
45351,204804.167800139,56746.764550638,4047.23207900363,2193532.79832511,73502.6388987014,155161.112173715,2934.63818610856,12426.1823209311,0,7.64191043781325,0,0,0,0,0,3478.26126913073,303983012.27196
45382,228404.21411304,63181.7665443778,4511.57526877963,2527965.83664179,83909.8692558197,181425.241673763,3172.84000432801,14116.3966085718,0,8.5073039496127,0,0,0,0,0,4160.4322679168,339010994.873564
45412,254956.682015687,70488.4980790893,5034.12073474963,2830988.2060863,95825.8947257118,204374.471937334,3573.57390983848,15969.6951283357,0,9.48302036509059,0,0,0,0,0,4822.65976741752,378498690.208132
45443,283559.051890175,78224.0943202142,5599.22860453751,3068531.11868505,108348.325737569,221666.772933626,3861.21844099884,17989.2464330973,0,10.5392322539177,0,0,0,0,0,5482.85767078925,420931228.323873
45473,314234.467859756,86385.1138005535,6207.02260255913,3310957.38424814,117999.33561683,239116.404244947,4168.59894639769,20174.8869205849,0,11.6751759499292,0,0,0,0,0,6169.50363375371,466349238.41363
45504,311468.867447176,84255.3063924914,6181.77762047891,0,115467.925462698,51297.764908518,3142.54599002229,21421.7613977429,0,11.4837821826688,0,0,0,0,0,3814.35655582404,459768532.534511
45535,309294.77737402,82604.8849105095,6173.05491370485,0,114233.947857112,54779.8583467129,3138.86805434688,22062.2130468589,0,11.3433666085453,0,0,0,0,0,4160.03790463441,454242302.193586
