"Time","REINS_PREM_TREATY_OUT(1)...2","REINS_PREM_TREATY_OUT(2)","REINS_PREM_TREATY_OUT(3)","REINS_PREM_TREATY_OUT(4)","REINS_PREM_TREATY_OUT(5)","REINS_PREM_TREATY_OUT(6)","REINS_PREM_TREATY_OUT(1)...8","RPR_PREM_OUT_TREATY_OUT(1)","RPR_PREM_OUT_TREATY_OUT(2)","RPR_PREM_OUT_TREATY_OUT(3)","RPR_PREM_OUT_TREATY_OUT(4)","RPR_PREM_OUT_TREATY_OUT(5)","RPR_PREM_OUT_TREATY_OUT(6)","FR_REPAYMENT","FR_CLAWBACK","REINS_REC_TREATY_OUT(1)","REINS_REC_TREATY_OUT(2)","REINS_REC_TREATY_OUT(3)","REINS_REC_TREATY_OUT(4)","REINS_REC_TREATY_OUT(5)","REINS_REC_TREATY_OUT(6)","RPR_DTH_REC_TREATY_OUT(1)","RPR_DTH_REC_TREATY_OUT(2)","RPR_DTH_REC_TREATY_OUT(3)","RPR_DTH_REC_TREATY_OUT(4)","RPR_DTH_REC_TREATY_OUT(5)","RPR_DTH_REC_TREATY_OUT(6)","RPR_PHIBEN_REC_TREATY_OUT(1)","RPR_PHIBEN_REC_TREATY_OUT(2)","RPR_PHIBEN_REC_TREATY_OUT(3)","RPR_PHIBEN_REC_TREATY_OUT(4)","RPR_PHIBEN_REC_TREATY_OUT(5)","RPR_PHIBEN_REC_TREATY_OUT(6)","FR_NEW_FINAN","RISK_ADJ_RI_TREATY_OUT_FR(1)","RISK_ADJ_RI_TREATY_OUT_FR(2)","RISK_ADJ_RI_TREATY_OUT_FR(3)","RISK_ADJ_RI_TREATY_OUT_FR(4)","RISK_ADJ_RI_TREATY_OUT_FR(5)","RISK_ADJ_RI_TREATY_OUT_FR(6)","COVERAGE_UNITS_RI_TREATY_OUT(1)","COVERAGE_UNITS_RI_TREATY_OUT(2)","COVERAGE_UNITS_RI_TREATY_OUT(3)","COVERAGE_UNITS_RI_TREATY_OUT(4)","COVERAGE_UNITS_RI_TREATY_OUT(5)","COVERAGE_UNITS_RI_TREATY_OUT(6)"
"m0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m1",0,4834.2139285815,0,0,0,0,0,0,119614.337262273,0,0,0,0,18627.3640142992,118578.327748966,0,4456.8838353386,0,0,0,0,0,62793.5826675631,0,0,0,0,0,12339.7597164391,0,0,0,0,3640479.14176229,0,0,0,0,0,0,0,364092301.035209,0,0,0,0
"m2",0,11431.8017670281,0,0,0,0,0,0,216259.727012006,0,0,0,0,35738.9293664334,128615.660998062,0,10497.3752222175,0,0,0,0,0,119131.843442657,0,0,0,0,0,26656.5452039814,0,0,0,0,2935950.34726355,0,0,0,0,0,0,0,717893890.742435,0,0,0,0
"m3",0,19799.9573523607,0,0,0,0,0,0,328559.489639261,0,0,0,0,56809.8167654601,160419.093915582,0,18080.2893502769,0,0,0,0,0,190164.597014614,0,0,0,0,0,39653.3563956026,0,0,0,0,3314941.54858712,0,0,0,0,0,0,0,1189973980.51033,0,0,0,0
"m4",0,25505.5119015431,0,0,0,0,0,0,415149.623134679,0,0,0,0,73329.216763619,152069.649967876,0,23244.8421371365,0,0,0,0,0,243375.911079553,0,0,0,0,0,53097.0971294913,0,0,0,0,2649503.64715542,0,0,0,0,0,0,0,1546548356.76786,0,0,0,0
"m5",0,29798.9491268921,0,0,0,0,0,0,503780.178252849,0,0,0,0,91253.3515488576,166811.406602516,0,27094.2831846368,0,0,0,0,0,305792.612123699,0,0,0,0,0,63883.4236038463,0,0,0,0,2510958.20786002,0,0,0,0,0,0,0,1843806758.56749,0,0,0,0
"m6",0,35334.31014144,0,0,0,0,0,0,637649.724203944,0,0,0,0,114561.803183385,190564.672919784,0,32062.7464225612,0,0,0,0,0,385452.451569512,0,0,0,0,0,80504.3298214144,0,0,0,0,3937427.9833044,0,0,0,0,0,0,0,2311961786.01315,0,0,0,0
"m7",0,41584.3474378985,0,0,0,0,0,0,750091.225884294,0,0,0,0,135805.849849458,223130.303340317,0,37761.6066509419,0,0,0,0,0,453566.511325023,0,0,0,0,0,98538.0190784092,0,0,0,0,3499194.10847732,0,0,0,0,0,0,0,2734680024.42547,0,0,0,0
"m8",0,47188.8890581291,0,0,0,0,0,0,841076.649528015,0,0,0,0,151311.344292041,224187.795637644,0,42843.2064357116,0,0,0,0,0,503201.329102063,0,0,0,0,0,115290.489588229,0,0,0,0,3000324.11278158,0,0,0,0,0,0,0,3074771765.20746,0,0,0,0
"m9",0,59498.6966450549,0,0,0,0,0,0,935383.671727714,0,0,0,0,166984.860522361,240819.97947163,0,54089.8556589868,0,0,0,0,0,555481.493208932,0,0,0,0,0,131024.264813115,0,0,0,0,3325685.48296732,0,0,0,0,0,0,0,3446800519.72143,0,0,0,0
