"Time","REINS_PREM_TREATY_OUT(1)...2","REINS_PREM_TREATY_OUT(2)","REINS_PREM_TREATY_OUT(3)","REINS_PREM_TREATY_OUT(4)","REINS_PREM_TREATY_OUT(5)","REINS_PREM_TREATY_OUT(6)","REINS_PREM_TREATY_OUT(1)...8","RPR_PREM_OUT_TREATY_OUT(1)","RPR_PREM_OUT_TREATY_OUT(2)","RPR_PREM_OUT_TREATY_OUT(3)","RPR_PREM_OUT_TREATY_OUT(4)","RPR_PREM_OUT_TREATY_OUT(5)","RPR_PREM_OUT_TREATY_OUT(6)","FR_REPAYMENT","FR_CLAWBACK","REINS_REC_TREATY_OUT(1)","REINS_REC_TREATY_OUT(2)","REINS_REC_TREATY_OUT(3)","REINS_REC_TREATY_OUT(4)","REINS_REC_TREATY_OUT(5)","REINS_REC_TREATY_OUT(6)","RPR_DTH_REC_TREATY_OUT(1)","RPR_DTH_REC_TREATY_OUT(2)","RPR_DTH_REC_TREATY_OUT(3)","RPR_DTH_REC_TREATY_OUT(4)","RPR_DTH_REC_TREATY_OUT(5)","RPR_DTH_REC_TREATY_OUT(6)","RPR_PHIBEN_REC_TREATY_OUT(1)","RPR_PHIBEN_REC_TREATY_OUT(2)","RPR_PHIBEN_REC_TREATY_OUT(3)","RPR_PHIBEN_REC_TREATY_OUT(4)","RPR_PHIBEN_REC_TREATY_OUT(5)","RPR_PHIBEN_REC_TREATY_OUT(6)","FR_NEW_FINAN","RISK_ADJ_RI_TREATY_OUT_FR(1)","RISK_ADJ_RI_TREATY_OUT_FR(2)","RISK_ADJ_RI_TREATY_OUT_FR(3)","RISK_ADJ_RI_TREATY_OUT_FR(4)","RISK_ADJ_RI_TREATY_OUT_FR(5)","RISK_ADJ_RI_TREATY_OUT_FR(6)","COVERAGE_UNITS_RI_TREATY_OUT(1)","COVERAGE_UNITS_RI_TREATY_OUT(2)","COVERAGE_UNITS_RI_TREATY_OUT(3)","COVERAGE_UNITS_RI_TREATY_OUT(4)","COVERAGE_UNITS_RI_TREATY_OUT(5)","COVERAGE_UNITS_RI_TREATY_OUT(6)"
45107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45138,0,0,0,0,0,0,0,0,1550.31380956484,412.28791034131,0,0,0,0,2626.81222172333,0,0,0,0,0,0,0,0,0,0,0,0,0,671.490263141445,1.03751654639315,0,0,0,73724.7325771353,0,0,0,0,0,0,0,3692937.79833271,1027508.27527858,0,0,0
45169,0,0,0,0,0,0,0,0,3105.46801636267,828.112114543458,0,0,0,0,3621.60704428333,0,0,0,0,0,0,0,0,0,0,0,0,0,1892.47917895818,2.66228035394222,0,0,0,75832.1658885275,0,0,0,0,0,0,0,7418180.17895651,2063906.46493572,0,0,0
45199,0,0,0,0,0,0,0,0,4666.43855324977,1246.85863094955,0,0,0,0,4688.42412170898,0,0,0,0,0,0,0,0,0,0,0,0,0,3297.68549834532,4.37677350738855,0,0,0,77997.9140139721,0,0,0,0,0,0,0,11169659.7725727,3107652.70730899,0,0,0
45230,0,0,0,0,0,0,0,0,6253.28828415115,1672.97116673224,0,0,0,0,5290.42094596742,0,0,0,0,0,0,0,0,0,0,0,0,0,4825.6956025059,6.14083699514157,0,0,0,80226.3994171448,0,0,0,0,0,0,0,14987113.1001786,4169830.33437626,0,0,0
45260,0,0,0,0,0,0,0,0,7865.32118507207,2106.05619081173,0,0,0,0,5943.93669262142,0,0,0,0,0,0,0,0,0,0,0,0,0,6446.82793167585,7.94621521639604,0,0,0,82519.0215785567,0,0,0,0,0,0,0,18867340.8079196,5249442.3307777,0,0,0
45291,0,0,0,0,0,0,0,0,9147.99563107409,2451.81311254036,0,0,0,0,5950.88002996525,0,0,0,0,0,0,0,0,0,0,0,0,0,7997.01969415966,9.55611201688719,0,0,0,67902.7073621302,0,0,0,0,0,0,0,21965233.7955308,6111482.52362864,0,0,0
45322,0,0,0,0,0,0,0,0,10276.0609107616,2756.13612697939,0,0,0,0,5977.53042273978,0,0,0,0,0,0,0,0,0,0,0,0,0,9420.51275236717,10.9693752807036,0,0,0,61110.3405692514,0,0,0,0,0,0,0,24692071.7861815,6870304.41433907,0,0,0
45351,0,0,0,0,0,0,0,0,11812.3656857182,3168.63879707041,0,0,0,0,6783.29377098124,0,0,0,0,0,0,0,0,0,0,0,0,0,10977.8434014328,12.6080412890093,0,0,0,80815.6950950693,0,0,0,0,0,0,0,28388014.7602775,7898765.7456518,0,0,0
45382,0,0,0,0,0,0,0,0,13379.2152946974,3589.73453651949,0,0,0,0,7232.63307770959,0,0,0,0,0,0,0,0,0,0,0,0,0,12696.7490635672,14.4321623503913,0,0,0,83125.7323035062,0,0,0,0,0,0,0,32161275.9576656,8948711.7318358,0,0,0
45412,0,0,0,0,0,0,0,0,15172.7953873695,4071.55552794785,0,0,0,0,8131.5074571586,0,0,0,0,0,0,0,0,0,0,0,0,0,14589.0567749903,16.4668570665952,0,0,0,95002.1678723334,0,0,0,0,0,0,0,36478470.4433834,10150060.84444,0,0,0
