"Time","REINS_PREM_TREATY_OUT(1)...2","REINS_PREM_TREATY_OUT(2)","REINS_PREM_TREATY_OUT(3)","REINS_PREM_TREATY_OUT(4)","REINS_PREM_TREATY_OUT(5)","REINS_PREM_TREATY_OUT(6)","REINS_PREM_TREATY_OUT(1)...8","RPR_PREM_OUT_TREATY_OUT(1)","RPR_PREM_OUT_TREATY_OUT(2)","RPR_PREM_OUT_TREATY_OUT(3)","RPR_PREM_OUT_TREATY_OUT(4)","RPR_PREM_OUT_TREATY_OUT(5)","RPR_PREM_OUT_TREATY_OUT(6)","FR_REPAYMENT","FR_CLAWBACK","REINS_REC_TREATY_OUT(1)","REINS_REC_TREATY_OUT(2)","REINS_REC_TREATY_OUT(3)","REINS_REC_TREATY_OUT(4)","REINS_REC_TREATY_OUT(5)","REINS_REC_TREATY_OUT(6)","RPR_DTH_REC_TREATY_OUT(1)","RPR_DTH_REC_TREATY_OUT(2)","RPR_DTH_REC_TREATY_OUT(3)","RPR_DTH_REC_TREATY_OUT(4)","RPR_DTH_REC_TREATY_OUT(5)","RPR_DTH_REC_TREATY_OUT(6)","RPR_PHIBEN_REC_TREATY_OUT(1)","RPR_PHIBEN_REC_TREATY_OUT(2)","RPR_PHIBEN_REC_TREATY_OUT(3)","RPR_PHIBEN_REC_TREATY_OUT(4)","RPR_PHIBEN_REC_TREATY_OUT(5)","RPR_PHIBEN_REC_TREATY_OUT(6)","FR_NEW_FINAN","RISK_ADJ_RI_TREATY_OUT_FR(1)","RISK_ADJ_RI_TREATY_OUT_FR(2)","RISK_ADJ_RI_TREATY_OUT_FR(3)","RISK_ADJ_RI_TREATY_OUT_FR(4)","RISK_ADJ_RI_TREATY_OUT_FR(5)","RISK_ADJ_RI_TREATY_OUT_FR(6)","COVERAGE_UNITS_RI_TREATY_OUT(1)","COVERAGE_UNITS_RI_TREATY_OUT(2)","COVERAGE_UNITS_RI_TREATY_OUT(3)","COVERAGE_UNITS_RI_TREATY_OUT(4)","COVERAGE_UNITS_RI_TREATY_OUT(5)","COVERAGE_UNITS_RI_TREATY_OUT(6)"
45107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45138,0,6693.79614909023,0,0,0,0,0,0,126230.930706477,0,0,0,0,21530.7367939851,157277.702397396,0,6202.80746552757,0,0,0,0,0,73064.9911317783,0,0,0,0,0,14284.854872144,0,0,0,0,3847236.83694635,0,0,0,0,0,0,0,871031329.522115,0,0,0,0
45169,0,13304.4523995288,0,0,0,0,0,0,250869.819158371,0,0,0,0,42808.1548867963,214217.695935659,0,12217.667411276,0,0,0,0,0,143999.970144552,0,0,0,0,0,36658.5211861078,0,0,0,0,3890745.91966967,0,0,0,0,0,0,0,1733416140.59203,0,0,0,0
45199,0,19526.5351171686,0,0,0,0,0,0,368044.539106382,0,0,0,0,62835.2330767548,267996.162100438,0,17878.0231476142,0,0,0,0,0,210824.745519204,0,0,0,0,0,60437.1638223143,0,0,0,0,3762258.20550251,0,0,0,0,0,0,0,2546108368.68696,0,0,0,0
45230,0,25809.5197831263,0,0,0,0,0,0,486314.439255274,0,0,0,0,83054.8187291902,308363.715664801,0,23578.1917275497,0,0,0,0,0,278155.349191846,0,0,0,0,0,85019.7148371795,0,0,0,0,3859462.15839473,0,0,0,0,0,0,0,3367587842.92305,0,0,0,0
45260,0,32182.4086081444,0,0,0,0,0,0,606241.660011143,0,0,0,0,103563.203857835,346031.073402257,0,29357.5828251443,0,0,0,0,0,346455.19627801,0,0,0,0,0,110439.346286687,0,0,0,0,3970476.35632325,0,0,0,0,0,0,0,4201713376.49422,0,0,0,0
45291,0,38697.0810242023,0,0,0,0,0,0,728903.09732741,0,0,0,0,124535.878817087,369981.133650537,0,35248.2706223401,0,0,0,0,0,416123.147694451,0,0,0,0,0,136758.72829871,0,0,0,0,4090314.8981135,0,0,0,0,0,0,0,5054816815.68039,0,0,0,0
45322,0,44436.7410592438,0,0,0,0,0,0,836926.930695213,0,0,0,0,143017.028577035,379393.323444841,0,40427.0722748822,0,0,0,0,0,477461.194839651,0,0,0,0,0,162094.780135706,0,0,0,0,3695398.59458512,0,0,0,0,0,0,0,5807800346.31223,0,0,0,0
45351,0,49257.570974507,0,0,0,0,0,0,927703.571893966,0,0,0,0,158550.921813855,374273.16442158,0,44764.6183452543,0,0,0,0,0,528940.014574341,0,0,0,0,0,185004.469279153,0,0,0,0,3204137.95888557,0,0,0,0,0,0,0,6441829272.66296,0,0,0,0
45382,0,54894.8296312136,0,0,0,0,0,0,1033896.30386933,0,0,0,0,176712.919538613,399233.078590229,0,49869.8596126886,0,0,0,0,0,589508.793175376,0,0,0,0,0,208673.060348446,0,0,0,0,3692866.34345053,0,0,0,0,0,0,0,7182462924.10058,0,0,0,0
45412,0,61233.4145863426,0,0,0,0,0,0,1153402.00067228,0,0,0,0,197142.433731526,431325.067286024,0,55618.9103253159,0,0,0,0,0,657722.288244326,0,0,0,0,0,234786.103799252,0,0,0,0,4135518.67196547,0,0,0,0,0,0,0,8015677487.43255,0,0,0,0
45443,0,68085.6873854544,0,0,0,0,0,0,1282618.32633694,0,0,0,0,219231.655688788,467393.283664718,0,61834.5982970625,0,0,0,0,0,731506.773032099,0,0,0,0,0,263269.000872823,0,0,0,0,4482468.45528071,0,0,0,0,0,0,0,8916580299.77717,0,0,0,0
45473,0,75464.5162215674,0,0,0,0,0,0,1421763.74943969,0,0,0,0,243017.071342525,504764.310465419,0,68523.9010313443,0,0,0,0,0,810931.63807792,0,0,0,0,0,294070.718448869,0,0,0,0,4836739.02852344,0,0,0,0,0,0,0,9886269517.08876,0,0,0,0
45504,0,74851.6843992644,0,0,0,0,0,0,1411090.2749141,0,0,0,0,241212.981986013,340896.273890827,0,67793.4991230663,0,0,0,0,0,803438.052038196,0,0,0,0,0,308820.80291292,0,0,0,0,568111.873718964,0,0,0,0,0,0,0,9775186347.89398,0,0,0,0
45535,0,74333.5934940351,0,0,0,0,0,0,1402221.09377134,0,0,0,0,239698.046249839,299473.953145489,0,67287.6107108319,0,0,0,0,0,798543.400457471,0,0,0,0,0,314476.062543899,0,0,0,0,574536.756154872,0,0,0,0,0,0,0,9674451731.55631,0,0,0,0
45565,0,73899.8884642157,0,0,0,0,0,0,1395069.40651413,0,0,0,0,238451.869117962,249097.105559322,0,66850.860469516,0,0,0,0,0,794419.331494245,0,0,0,0,0,318119.615100782,0,0,0,0,555563.295138285,0,0,0,0,0,0,0,9586172194.68501,0,0,0,0
45596,0,73522.810845853,0,0,0,0,0,0,1389078.5145855,0,0,0,0,237396.059970218,221490.320797474,0,66492.3441451546,0,0,0,0,0,791230.432881135,0,0,0,0,0,320996.705241419,0,0,0,0,569917.160995819,0,0,0,0,0,0,0,9504079070.74809,0,0,0,0
45626,0,73199.7050020122,0,0,0,0,0,0,1384186.14235687,0,0,0,0,236519.637487836,196085.092625949,0,66184.4008052307,0,0,0,0,0,788657.845594136,0,0,0,0,0,323582.106302496,0,0,0,0,586310.355665217,0,0,0,0,0,0,0,9427647615.51734,0,0,0,0
45657,0,72874.7144354811,0,0,0,0,0,0,1379215.51105107,0,0,0,0,235633.57080263,190452.302630719,0,65900.6285603093,0,0,0,0,0,786369.545919591,0,0,0,0,0,325941.786434481,0,0,0,0,604006.616140453,0,0,0,0,0,0,0,9350307959.92253,0,0,0,0
45688,0,72498.899706094,0,0,0,0,0,0,1373232.58711475,0,0,0,0,234574.623120524,175625.851989103,0,65560.1321886533,0,0,0,0,0,783362.676792945,0,0,0,0,0,327958.118754881,0,0,0,0,545690.302921039,0,0,0,0,0,0,0,9271087558.23012,0,0,0,0
45716,0,72054.6293443084,0,0,0,0,0,0,1365746.05492149,0,0,0,0,233270.904306474,163928.162397749,0,65160.0513366073,0,0,0,0,0,779585.072673527,0,0,0,0,0,329557.641507936,0,0,0,0,473147.07351909,0,0,0,0,0,0,0,9188339374.69786,0,0,0,0
45747,0,71672.9443385107,0,0,0,0,0,0,1359565.27188365,0,0,0,0,232180.737982089,152934.617122935,0,64819.9957059295,0,0,0,0,0,776543.384505466,0,0,0,0,0,330946.518395044,0,0,0,0,545316.381019147,0,0,0,0,0,0,0,9108489047.44061,0,0,0,0
45777,0,71360.9765802721,0,0,0,0,0,0,1354720.77920466,0,0,0,0,231317.417067915,140148.85229425,0,64536.3817472221,0,0,0,0,0,774190.842806697,0,0,0,0,0,332280.319604346,0,0,0,0,610681.74175233,0,0,0,0,0,0,0,9032294137.8903,0,0,0,0
45808,0,71099.8544050382,0,0,0,0,0,0,1350883.4347786,0,0,0,0,230622.758875707,128056.252805993,0,64300.7866475476,0,0,0,0,0,772412.464602464,0,0,0,0,0,333595.647493176,0,0,0,0,661914.944550785,0,0,0,0,0,0,0,8959053232.9075,0,0,0,0
