"Time","REINS_PREM_TREATY_OUT(1)...2","REINS_PREM_TREATY_OUT(2)","REINS_PREM_TREATY_OUT(3)","REINS_PREM_TREATY_OUT(4)","REINS_PREM_TREATY_OUT(5)","REINS_PREM_TREATY_OUT(6)","REINS_PREM_TREATY_OUT(1)...8","RPR_PREM_OUT_TREATY_OUT(1)","RPR_PREM_OUT_TREATY_OUT(2)","RPR_PREM_OUT_TREATY_OUT(3)","RPR_PREM_OUT_TREATY_OUT(4)","RPR_PREM_OUT_TREATY_OUT(5)","RPR_PREM_OUT_TREATY_OUT(6)","FR_REPAYMENT","FR_CLAWBACK","REINS_REC_TREATY_OUT(1)","REINS_REC_TREATY_OUT(2)","REINS_REC_TREATY_OUT(3)","REINS_REC_TREATY_OUT(4)","REINS_REC_TREATY_OUT(5)","REINS_REC_TREATY_OUT(6)","RPR_DTH_REC_TREATY_OUT(1)","RPR_DTH_REC_TREATY_OUT(2)","RPR_DTH_REC_TREATY_OUT(3)","RPR_DTH_REC_TREATY_OUT(4)","RPR_DTH_REC_TREATY_OUT(5)","RPR_DTH_REC_TREATY_OUT(6)","RPR_PHIBEN_REC_TREATY_OUT(1)","RPR_PHIBEN_REC_TREATY_OUT(2)","RPR_PHIBEN_REC_TREATY_OUT(3)","RPR_PHIBEN_REC_TREATY_OUT(4)","RPR_PHIBEN_REC_TREATY_OUT(5)","RPR_PHIBEN_REC_TREATY_OUT(6)","FR_NEW_FINAN","RISK_ADJ_RI_TREATY_OUT_FR(1)","RISK_ADJ_RI_TREATY_OUT_FR(2)","RISK_ADJ_RI_TREATY_OUT_FR(3)","RISK_ADJ_RI_TREATY_OUT_FR(4)","RISK_ADJ_RI_TREATY_OUT_FR(5)","RISK_ADJ_RI_TREATY_OUT_FR(6)","COVERAGE_UNITS_RI_TREATY_OUT(1)","COVERAGE_UNITS_RI_TREATY_OUT(2)","COVERAGE_UNITS_RI_TREATY_OUT(3)","COVERAGE_UNITS_RI_TREATY_OUT(4)","COVERAGE_UNITS_RI_TREATY_OUT(5)","COVERAGE_UNITS_RI_TREATY_OUT(6)"
45107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45138,0,2989.11024916043,0,0,0,0,0,0,56246.5604199903,0,0,0,0,9667.03148817704,64031.9298836917,0,2767.74547946152,0,0,0,0,0,32949.5365618199,0,0,0,0,0,6181.58589026389,0,0,0,0,1696168.3904354,0,0,0,0,0,0,0,289398884.137958,0,0,0,0
45169,0,5938.46192819718,0,0,0,0,0,0,111856.784379526,0,0,0,0,19238.052592796,87979.2056202624,0,5454.13510208329,0,0,0,0,0,65058.8309073028,0,0,0,0,0,15668.6184398537,0,0,0,0,1715350.59493565,0,0,0,0,0,0,0,576465599.970483,0,0,0,0
45199,0,8729.95631530821,0,0,0,0,0,0,164273.384882063,0,0,0,0,28273.2244776003,109338.997409193,0,7988.06815441952,0,0,0,0,0,95376.2189169579,0,0,0,0,0,25781.712390691,0,0,0,0,1658703.33495475,0,0,0,0,0,0,0,847639350.977469,0,0,0,0
45230,0,11552.3795699074,0,0,0,0,0,0,217237.896862883,0,0,0,0,37406.8218723745,125999.253592959,0,10548.3615290093,0,0,0,0,0,125971.170579059,0,0,0,0,0,36296.8457976435,0,0,0,0,1701559.15329672,0,0,0,0,0,0,0,1122066548.79577,0,0,0,0
45260,0,14417.7840599999,0,0,0,0,0,0,270999.381460953,0,0,0,0,46683.157588425,141574.197916051,0,13146.9940172515,0,0,0,0,0,157038.437253637,0,0,0,0,0,47205.5438451134,0,0,0,0,1750502.10985605,0,0,0,0,0,0,0,1401033129.20157,0,0,0,0
45291,0,17342.1496268474,0,0,0,0,0,0,325957.469309114,0,0,0,0,56165.5459240231,152366.802841488,0,15794.7211875397,0,0,0,0,0,188733.713902634,0,0,0,0,0,58523.8026129835,0,0,0,0,1803336.97929355,0,0,0,0,0,0,0,1686270379.18706,0,0,0,0
45322,0,19926.8075327319,0,0,0,0,0,0,374464.923154681,0,0,0,0,64541.6253438047,155908.710530133,0,18125.7012728816,0,0,0,0,0,216683.087881021,0,0,0,0,0,69435.2631886819,0,0,0,0,1629227.28432456,0,0,0,0,0,0,0,1938549993.42012,0,0,0,0
45351,0,22099.2068436185,0,0,0,0,0,0,415288.764084698,0,0,0,0,71594.5705227129,154303.946302403,0,20082.9117696079,0,0,0,0,0,240188.863686327,0,0,0,0,0,79344.1389741708,0,0,0,0,1412638.81987508,0,0,0,0,0,0,0,2151352179.02977,0,0,0,0
45382,0,24640.7487422201,0,0,0,0,0,0,463010.171653134,0,0,0,0,79832.2254265454,164282.344614752,0,22383.3644186478,0,0,0,0,0,267782.144196704,0,0,0,0,0,89631.7549660734,0,0,0,0,1628109.9107679,0,0,0,0,0,0,0,2399750611.24859,0,0,0,0
45412,0,27497.4673550844,0,0,0,0,0,0,516731.661742615,0,0,0,0,89098.8358187929,177025.849829072,0,24974.4568816844,0,0,0,0,0,298854.092075548,0,0,0,0,0,100977.28295448,0,0,0,0,1823266.30088344,0,0,0,0,0,0,0,2679253940.47382,0,0,0,0
45443,0,30585.438529027,0,0,0,0,0,0,574816.653942768,0,0,0,0,99118.0575665769,191929.0749603,0,27775.8863747698,0,0,0,0,0,332471.561943253,0,0,0,0,0,113351.211000862,0,0,0,0,1976230.76100779,0,0,0,0,0,0,0,2981474364.27591,0,0,0,0
45473,0,33908.1692177729,0,0,0,0,0,0,637331.116582478,0,0,0,0,109898.9526029,207638.026494372,0,30789.5626837152,0,0,0,0,0,368645.063094355,0,0,0,0,0,126734.850357769,0,0,0,0,2132419.1761829,0,0,0,0,0,0,0,3306521547.59377,0,0,0,0
