"Month","Total_Premiums","Total_Claims","Total_Commission","Total_Ren","Total_Adm"
1,808317.745752933,137194.438478498,6881884.15815303,6874536.06568796,5840589.01910727
2,1156766.52189347,200748.686738985,2888600.51255028,2876618.19290774,5840589.01910727
3,1541920.16253494,272896.212371121,3151398.08074706,3133927.85887949,5840589.01910727
4,1940247.96316133,350663.884608474,3541305.23992753,3520657.01174834,5840589.01910727
5,2296938.33506997,423787.546631134,2898074.39160728,2872747.95832087,5840589.01910727
6,2611717.42486667,477928.473978996,2894121.76395431,2867116.26454865,5840589.01910727
7,2818428.17311923,514006.002453475,1855915.28936503,1827171.27164336,5840589.01910727
8,3083350.97931846,563831.100422919,2497718.42257973,2467361.34273359,5840589.01910727
9,3496805.79821232,646026.886115742,3590101.76340824,3555115.81664481,5840589.01910727
10,3700958.72779561,688804.827318953,1810266.38559897,1774237.62974585,5840589.01910727
11,3868770.62963965,728004.197099736,1725283.97870719,1688347.26972313,5840589.01910727
12,3797028.29409555,714399.579265534,-441333.034853927,-477624.856900047,5840589.01910727
13,3801464.75412133,715710.316258678,2050232.67076179,2013835.11951678,5840589.01910727
14,3776496.88771006,712256.421969951,787805.970996396,751584.096241329,5840589.01910727
15,3760290.244318,709945.291470827,956177.088638334,919967.165361012,5840589.01910727
16,3746328.1979284,709477.208492865,1141202.3992828,1105173.90244575,5840589.01910727
17,3729946.04114311,708429.581568394,946944.793687104,910878.606220815,5840589.01910727
18,3714705.06247107,706176.497799765,977687.894644388,941825.667006679,5840589.01910727
19,3689071.42206234,702305.91165285,600013.748300868,564370.411098605,5840589.01910727
20,3666784.76342105,699618.473708806,824095.272644117,788697.472886562,5840589.01910727
21,3656326.47255588,700183.129289123,1246377.11870845,1211048.82930961,5840589.01910727
22,3632929.70015942,697135.071883112,678008.187316952,642990.693860097,5840589.01910727
23,3608294.74346877,693955.739624055,659141.043276397,624396.128726791,5840589.01910727
24,3564382.18307252,686313.475454452,-90059.9705202216,-124410.84077438,5840589.01910727
25,3581831.98070683,698242.550818873,607127.392653661,572554.009196084,5840589.01910727
26,3565210.48787246,699750.845815555,241763.093472967,207297.548898071,5840589.01910727
27,3552750.77326244,702485.605592199,297781.55402895,263325.629556108,5840589.01910727
28,3543447.68471331,706287.119529054,368772.331930392,334471.688208476,5840589.01910727
29,3530551.97331851,711131.443844467,310469.90039669,276130.155256935,5840589.01910727
30,3516700.01987839,712608.016219965,333215.264725816,299090.614364152,5840589.01910727
31,3492720.21281938,709966.153585781,215180.33116965,181290.6808575,5840589.01910727
32,3470828.27739837,709981.276446264,264561.776298581,230946.196954566,5840589.01910727
33,3459883.75732766,714840.065837314,383477.772020393,349960.487781664,5840589.01910727
34,3435351.1225403,713478.444052704,231967.104189815,198779.808344686,5840589.01910727
35,3408313.20291225,711724.480383282,212380.201520817,179499.161787535,5840589.01910727
36,3362886.38266446,702928.973539611,-2664.1164492203,-35121.5374590824,5840589.01910727
37,3377472.85464718,713177.691064718,626923.337544346,594284.622543535,5840589.01910727
38,3360757.33138923,713705.680025842,276067.246970345,243553.091742521,5840589.01910727
39,3348962.48080737,716002.220246704,315866.341523628,283371.437452276,5840589.01910727
40,3341327.43939045,719634.408601968,373237.844129226,340877.121499598,5840589.01910727
41,3331117.2296264,724148.249640021,310350.631275454,277927.305381467,5840589.01910727
42,3320886.71836824,726107.767367062,325654.713583219,293407.071970455,5840589.01910727
43,3301600.24111466,724132.734790512,210915.711173371,178858.155910835,5840589.01910727
44,3284841.24813023,725069.465550803,253602.138600844,221771.652880278,5840589.01910727
45,3279191.39202943,730594.611379783,360858.285511601,329081.587447476,5840589.01910727
46,3261676.17885898,732903.951975683,219875.001573503,188366.519800688,5840589.01910727
47,3241742.68323806,732385.649535004,202616.784764504,171351.545448772,5840589.01910727
48,3204369.344497,724825.589074872,3268.53084408299,-27641.4834267414,5840589.01910727
49,3224116.6884289,730919.745338346,597020.190082726,565885.456804933,5840589.01910727
50,3212940.56020942,729892.038378733,264703.641137709,233646.17549216,5840589.01910727
51,3205823.40143342,729507.417824961,301638.36132702,270575.567564133,5840589.01910727
52,3202016.61338488,730525.913775255,355039.363844944,324085.509530027,5840589.01910727
53,3195054.49059601,731292.620920776,295199.218583479,264165.565133796,5840589.01910727
54,3187557.07959745,730483.153645018,309304.697386575,278424.573163948,5840589.01910727
55,3170781.78034128,727488.893189193,199868.147292687,169159.062172919,5840589.01910727
56,3156019.44114858,725948.287510886,240012.41686807,209513.331082119,5840589.01910727
57,3151403.49793486,727824.017222521,340708.859687201,310257.431539021,5840589.01910727
58,3134946.04422196,725786.825909432,207941.443841459,177743.253032183,5840589.01910727
59,3116021.10894732,723188.80288856,192037.643605302,162071.707567218,5840589.01910727
60,3080043.87355511,715757.981126407,3549.60803177633,-26075.214563629,5840589.01910727
61,3099153.4096385,721860.513520643,562955.770360082,533112.412435271,5840589.01910727
62,3088668.27731154,720937.587362606,249984.49519091,220211.026959676,5840589.01910727
63,3082070.75640038,720599.539048973,284561.490244047,254779.93337877,5840589.01910727
64,3078700.05331288,721768.8568842,335270.590595658,305592.940565437,5840589.01910727
65,3071667.13781799,722649.492770726,278698.945846699,248938.356755417,5840589.01910727
66,3062294.86336329,722062.90425472,292268.762668261,262652.985963851,5840589.01910727
67,3046212.59116532,719243.199734943,188640.385574484,159187.01402166,5840589.01910727
68,3032126.60169509,717800.425891619,226365.551755288,197114.393336367,5840589.01910727
69,3027743.4843277,719434.829584639,321288.747751672,292084.384297704,5840589.01910727
70,3011597.96918069,717126.220907497,196772.141513283,167808.193722707,5840589.01910727
71,2993582.76011702,714670.644572838,182123.854238968,153381.591357067,5840589.01910727
72,2958940.11045431,707372.919994917,3845.5923370422,-24568.619709077,5840589.01910727
73,2973794.79666723,712893.926677144,529880.557279378,501276.376179128,5840589.01910727
74,2962475.93965362,711854.726281394,235022.012365684,206482.048871722,5840589.01910727
75,2956416.85515626,711612.091823849,268137.034041628,239588.721751948,5840589.01910727
76,2953030.15988563,712784.184826682,315579.1737128,287131.284454742,5840589.01910727
77,2946454.56240573,713705.574617563,262697.683340533,234168.463195903,5840589.01910727
78,2939840.03742411,713259.288547107,275496.236405078,247103.104737224,5840589.01910727
79,2924637.76381189,710615.822493779,177573.083067922,149334.189232984,5840589.01910727
80,2910717.8894962,709360.11670547,212978.961959373,184941.301148264,5840589.01910727
81,2902502.30319916,711184.105300967,294343.4917801,266351.3708099,5840589.01910727
82,2885745.15148588,709262.194982978,185952.000259746,158247.872093834,5840589.01910727
83,2868546.61621275,706834.151466257,172858.857632836,145365.148447746,5840589.01910727
84,2835270.94586015,699655.038237412,4156.40798466829,-23022.7492163648,5840589.01910727
85,2853189.6867208,705881.283536208,497259.752246979,469868.013930084,5840589.01910727
86,2843538.94023312,704571.815615893,220403.416061747,193068.611935961,5840589.01910727
87,2835523.66867409,704097.443307973,252215.387971466,224872.286076548,5840589.01910727
88,2832831.35761007,705374.15998705,296466.533488196,269218.563635184,5840589.01910727
89,2825944.60067457,706419.883721251,246738.706230844,219487.316653805,5840589.01910727
90,2819471.88836459,706092.166151667,258545.739370887,231420.755933252,5840589.01910727
91,2799252.13594222,703236.619095743,166518.016754632,139538.66042757,5840589.01910727
92,2784487.03273616,702089.517400432,200477.338755394,173684.955934145,5840589.01910727
93,2781109.63014093,703930.926913858,283519.321550157,256770.728977978,5840589.01910727
94,2766644.30219002,701881.819395851,175354.827786557,148827.610514057,5840589.01910727
95,2747781.13616596,698195.826454777,163714.046759303,137386.192897641,5840589.01910727
96,2715812.30985822,691140.98934532,4377.02713132386,-21648.4777028957,5840589.01910727
97,2733152.87856107,697279.270559477,466555.432804203,440307.189492925,5840589.01910727
98,2724173.67428906,696505.191120254,206123.069451347,179933.502373069,5840589.01910727
99,2717806.68459889,696482.368361404,236830.966790467,210634.140396115,5840589.01910727
100,2714750.96978587,697520.058822239,278046.904173225,251942.78946297,5840589.01910727
101,2708480.8286124,698391.904399651,231516.262338209,205336.027625077,5840589.01910727
102,2702622.40197115,698096.24424537,242215.049801374,216153.745846771,5840589.01910727
103,2688288.82560261,695574.358859407,156651.911887309,130729.95264163,5840589.01910727
104,2675758.47019535,694422.189294541,188566.198045144,162831.95691373,5840589.01910727
105,2672476.66398201,696317.981380089,267822.00216589,242132.637690773,5840589.01910727
106,2657048.7225472,694456.243650717,164996.605044367,139519.204087239,5840589.01910727
107,2640979.61999229,692080.062206441,154840.939756469,129554.57010434,5840589.01910727
108,2610130.99530695,685132.580176854,4681.45037138726,-20313.3130412691,5840589.01910727
109,2627202.72761772,691541.383743821,437353.321085816,412137.507425031,5840589.01910727
110,2618576.25956286,690933.598271624,192702.038100601,167532.198837383,5840589.01910727
111,2612921.93393789,690244.76829933,221622.28502991,196446.898148733,5840589.01910727
112,2610233.47843552,691381.398422796,260483.29086756,235402.18026974,5840589.01910727
113,2603061.34264169,691855.116537661,216866.455073305,191704.432068985,5840589.01910727
114,2595801.41751567,691747.848761749,226522.023259522,201471.679954586,5840589.01910727
115,2579729.97026087,686971.610075082,146941.586361749,122024.918622614,5840589.01910727
116,2567166.14047243,685880.232039078,175263.698437903,150523.224470766,5840589.01910727
117,2563629.74240101,686907.202842061,250326.363382286,225633.427947007,5840589.01910727
118,2549333.59869806,684833.49873219,155318.872597457,130828.8339965,5840589.01910727
119,2533198.2062881,682431.45930967,146454.591753856,122148.225070652,5840589.01910727
120,2503494.52256777,675558.089009368,5062.01974884007,-18962.7687547826,5840589.01910727
121,2518817.61394896,680667.7530878,408989.342053589,384749.978868986,5840589.01910727
122,2510668.77874862,679825.885353881,179649.155329652,155452.02592128,5840589.01910727
123,2501777.51666839,679652.021065934,205423.178088238,181222.794839061,5840589.01910727
124,2496529.90023113,678477.749774823,243001.914792333,218891.799946095,5840589.01910727
125,2488917.60416123,679127.6998318,201321.551583479,177162.513857717,5840589.01910727
126,2475463.50400228,679152.881808869,185770.293135384,161716.027073661,5840589.01910727
127,2462184.44821938,676488.166847454,138083.534933129,114157.270443687,5840589.01910727
128,2450577.26170376,675535.925622957,165785.024628314,142029.373264142,5840589.01910727
129,2447058.6935451,677089.808792042,233428.204653179,209754.731969605,5840589.01910727
130,2432938.7583507,674757.043760435,146544.199100559,123064.254742649,5840589.01910727
131,2418605.86981727,672422.059691749,138585.305962129,115280.59278239,5840589.01910727
132,2390122.27469823,665650.17568446,5533.49772770329,-17499.9868646553,5840589.01910727
133,2398732.85827734,671673.794694866,367095.627997317,343885.657493885,5840589.01910727
134,2389692.82778339,670245.244678092,167239.298272711,144071.626169579,5840589.01910727
135,2381266.29811292,669943.245146859,193396.227275328,170230.966134246,5840589.01910727
136,2377831.54891872,670629.812041603,226281.343269925,203196.699391302,5840589.01910727
137,2372574.74982461,671593.685631577,188430.885934011,165270.210941577,5840589.01910727
138,2366892.30003123,671721.005022172,189685.288162087,166622.964077963,5840589.01910727
139,2354088.98867748,669495.761824184,129308.460248579,106368.142663,5840589.01910727
140,2340979.64569019,667008.871465418,151955.056307301,129179.37618647,5840589.01910727
141,2333847.97686311,668945.368580541,217421.351399899,194690.331789066,5840589.01910727
142,2320891.56743593,666729.361596946,137759.1614471,115213.145123258,5840589.01910727
143,2307635.4190904,664536.992789791,130595.095357171,108217.224551453,5840589.01910727
144,2280344.82782047,657823.223752737,5825.00525484446,-16291.1212682272,5840589.01910727
145,2291907.85750456,663917.76443509,351939.77794826,329656.007781609,5840589.01910727
146,2280265.69896682,662233.294637048,154687.510281433,132547.442855026,5840589.01910727
147,2273345.27117817,661436.079545083,180456.649354505,158319.800684856,5840589.01910727
148,2267183.00336577,661801.757699693,205764.822345343,183725.905559367,5840589.01910727
149,2260015.75445775,662675.218537088,174833.514281177,152718.108050466,5840589.01910727
150,2254927.49085581,662583.701726735,181509.277534975,159484.848158371,5840589.01910727
151,2241852.30253435,660051.848522817,120281.144013058,98374.5753364074,5840589.01910727
152,2231198.47829466,658854.812391275,143413.100428631,121675.831326348,5840589.01910727
153,2225493.50528145,659969.478713808,201978.464933688,180284.585342852,5840589.01910727
154,2211234.7460391,656765.225690612,128771.718592506,107253.538971573,5840589.01910727
155,2198462.40684256,654616.497906504,122467.086087664,101109.30388735,5840589.01910727
156,2172338.93914058,647970.394892509,5883.17826186791,-15223.2873950409,5840589.01910727
157,2181853.84972095,651295.675793399,323372.438960659,302077.769923118,5840589.01910727
158,2173274.66284494,650391.867889684,143173.351435537,121922.230291637,5840589.01910727
159,2161987.64419994,649586.884645811,167867.089144491,146619.111154656,5840589.01910727
160,2158149.65747721,648873.756409623,193958.709596717,172786.15031125,5840589.01910727
161,2150527.11371152,649870.489647932,156302.62657884,135054.928022919,5840589.01910727
162,2145582.61480898,649166.217018811,167617.186158884,146455.157342245,5840589.01910727
163,2132207.52883297,646926.968967834,111657.103647334,90607.035790551,5840589.01910727
164,2120565.95820595,645696.162324345,134123.638715516,113232.962582486,5840589.01910727
165,2116079.4934124,643804.849767385,187217.774430903,166371.170326592,5840589.01910727
166,2104494.31978317,641606.020012337,120310.766925499,99632.4606528724,5840589.01910727
167,2092687.46045727,639239.370323448,114745.057274049,94221.1270792956,5840589.01910727
168,2067693.26550626,632646.939989896,6251.71981408769,-14029.2012037343,5840589.01910727
169,2080501.49587819,638621.135424088,300104.989695415,279624.025500411,5840589.01910727
