"IFRS17_group_NB_Ins","CSM_LCpergroup","CurrPremCFS","CurrAcqCFS","CurrRA","CurrInitComm","CurrInitExp","PVRenExpenses","CurrExpPremiumsPV","FutExpPremiumsPV","CoverageUnits","CSM_LC_released_reversal","Interest_Accreted_NB","InterestAccBEL","Interest_accRA","PVFPrems","RA","BEL","LossCRecov","ReversalofLCRecov","ExpFutAcq","ExpCurrAcq","CurrClaimsandExps","FutExpClaimsExp","TotRenExp","TotPVClaims","TotPVComm","TotPVAcq","TotPVPrem","TotPVInitExp","TotBELinf","TotBELout","TotBELAcq","TotPVRenComm"
"2017_NB_Non-onerous_202",0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017_NB_Onerous_202",0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017_NB_Remaining_202",0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018_NB_Non-onerous_202",0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018_NB_Onerous_202",0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018_NB_Remaining_202",0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019_NB_Non-onerous_202",0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019_NB_Onerous_202",0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019_NB_Remaining_202",0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020_NB_Non-onerous_202",109408431.753252,18858231.9838735,34583215.8215845,1299113.74003398,18218732.1111845,16364483.7104,8610667.07774337,17966253.1386495,177575797.62117,0.0702024411339273,7680738.98971298,6358554.38938693,6641905.9948215,283351.605434528,195542050.75982,4875487.86829627,114283919.621549,0,0,14628475.1398408,34583215.8215845,21651895.6672329,60349327.1762828,8610667.07774337,48990483.1285536,32267648.0097176,0,195542050.75982,15818686.3693167,195542050.75982,-81258131.1382712,0,1909055.2380303
"2020_NB_Onerous_202",59400413.6882209,10226182.0304335,60923513.9643546,863412.406878485,12531397.8493146,48392116.11504,25945379.2956204,9742335.23979528,100297896.75821,0.0656269112639341,3898265.67815785,3452208.89410482,3618797.43389317,166588.53978835,110040231.998005,2866404.80998778,62266818.4982087,0,0,10852089.1434009,60923513.9643546,14390206.7813081,33881927.2797207,25945379.2956204,24800122.9897589,22973290.5100374,0,110040231.998005,46747554.6373245,110040231.998005,-47773413.4997962,0,1035974.54340511
"2020_NB_Remaining_202",10977213.7016278,2036836.74115309,5955924.13853462,159384.072757578,2230081.86518462,3725842.27335,2025248.82243076,1941257.61259691,19735016.4351635,0.0699044220661928,767355.779709384,637969.206277825,673165.636669148,35196.4303913251,21676274.0477604,605607.189403732,11582820.8910315,0,0,1949372.78928611,5955924.13853462,2656401.2126263,7526515.82681152,2025248.82243076,5983219.28381261,4110233.87291626,0,21676274.0477604,3605510.34175797,21676274.0477604,-10093453.1567289,0,240108.204076385
"Total",179786059.143101,31121250.7554601,101462653.924474,2321910.21967004,32980211.8256837,68482442.09879,36581295.1957945,29649845.9910417,297608710.814544,NA,NA,10448732.4897696,10933869.0653838,485136.575614203,327258556.805585,8347499.86768778,188133559.010789,0,NA,27429937.0725278,101462653.924474,38698503.6611673,101757770.282815,36581295.1957945,79773825.4021251,59351172.3926713,0,327258556.805585,66171751.3483992,327258556.805585,-139124997.794796,0,3185137.9855118
