"Month","Total_Premiums","Total_Acq","Total_Ren","Total_Claims","Total_Commission"
1,38675866.40622,0,4251976.15344425,10127795.2206127,4251976.15344425
2,38518959.4638995,0,4328027.46242257,10014974.0501908,4328027.46242257
3,38395343.3100307,0,4549343.20751294,9946061.52047856,4549343.20751294
4,38280878.8714215,0,4712918.02591871,9893295.64474675,4712918.02591871
5,38175869.586976,0,4992799.67724034,9856158.95687374,4992799.67724034
6,38105671.0351409,0,5351625.63938229,9837421.26495062,5351625.63938229
7,38027347.7158615,0,4973216.07838113,9823117.99049994,4973216.07838113
8,37839731.4569133,0,3516012.86927353,9768343.80185637,3516012.86927353
9,37691403.3492088,0,4393921.45673023,9723775.44138923,4393921.45673023
10,37605056.2632453,0,5356578.22283448,9701121.04992143,5356578.22283448
11,37530096.0972477,0,5716094.00373328,9677360.31653757,5716094.00373328
12,37462016.0955675,0,6005427.50413536,9660506.45380869,6005427.50413536
13,37361743.3547113,0,2379862.77017975,9635722.93925501,2379862.77017975
14,37242751.4486861,0,2340666.75333244,9613265.67909032,2340666.75333244
15,37159373.7226613,0,2617952.87660708,9600112.42454796,2617952.87660708
16,37080565.4733974,0,2620853.32605477,9588571.71461912,2620853.32605477
17,37012182.8898063,0,2792096.36137327,9585617.78781531,2792096.36137327
18,36979605.3260207,0,3041312.6748465,9596930.78339159,3041312.6748465
19,36931923.0810205,0,2922300.72235847,9608175.65831343,2922300.72235847
20,36781370.9024979,0,1821735.32956384,9578382.20432314,1821735.32956384
21,36666445.5190211,0,2331156.23906699,9558686.69749813,2331156.23906699
22,36610436.5231595,0,2920894.44742612,9560771.40138539,2920894.44742612
23,36563134.0800177,0,3021263.08823647,9560621.83905767,3021263.08823647
24,36529272.1805774,0,3042501.12105211,9566180.22558582,3042501.12105211
25,36468940.6236467,0,2689247.70066294,9555951.81855527,2689247.70066294
26,36396744.8609439,0,2581878.45801557,9550639.39060747,2581878.45801557
27,36348423.9632805,0,2774176.93912209,9553398.32404892,2774176.93912209
28,36301211.7664019,0,2736770.96022474,9556852.47259369,2736770.96022474
29,36272345.0774148,0,2858662.23297164,9568416.89094853,2858662.23297164
30,36269399.3328936,0,3049417.77976473,9593092.44103467,3049417.77976473
31,36252875.5125457,0,2906404.07388145,9615667.75057054,2906404.07388145
32,36125877.3414403,0,1812563.33044098,9597313.48999828,1812563.33044098
33,36037412.5294591,0,2290507.76332595,9588472.16081635,2290507.76332595
34,36001067.1289254,0,2822853.39730952,9601138.94731911,2822853.39730952
35,35981395.9770408,0,2937241.64100016,9613485.23110515,2937241.64100016
36,35970325.6060432,0,2950187.35319137,9631919.54031275,2950187.35319137
37,35941275.7470712,0,2636396.65560671,9623865.68345237,2636396.65560671
38,35899170.2370992,0,2533338.35714341,9619873.12238524,2533338.35714341
39,35870439.1760179,0,2719327.92333561,9623609.6535914,2719327.92333561
40,35849000.18307,0,2667575.06953663,9628176.28484101,2667575.06953663
41,35835143.287226,0,2789564.9967037,9638420.51249257,2789564.9967037
42,35846302.832502,0,2961484.20938408,9660873.61412952,2961484.20938408
43,35835186.5524574,0,2820958.58149145,9679744.31970999,2820958.58149145
44,35724916.9265255,0,1761358.17995455,9659553.00247451,1761358.17995455
45,35656569.8273772,0,2230283.80469213,9648214.72524923,2230283.80469213
46,35634601.5695708,0,2773235.02548739,9656741.88657476,2773235.02548739
47,35625191.9981301,0,2857344.94942676,9662695.53552524,2857344.94942676
48,35616728.3512891,0,2864168.40931108,9673573.98220119,2864168.40931108
49,35586460.2033155,0,2558226.38882912,9671265.60344599,2558226.38882912
50,35547695.4431268,0,2461042.5591725,9672227.46110415,2461042.5591725
51,35522369.0743976,0,2644198.39773858,9678322.73632757,2644198.39773858
52,35502677.0300034,0,2589999.00973261,9686832.76210012,2589999.00973261
53,35496242.6871663,0,2706966.72362951,9703181.84024752,2706966.72362951
54,35512394.2667766,0,2855062.77571409,9731873.24334513,2855062.77571409
55,35514143.3472079,0,2705741.49406782,9759140.42767573,2705741.49406782
56,35385358.9001313,0,1703745.56661159,9739839.93411047,1703745.56661159
57,35301549.2592796,0,2050450.06737233,9733725.16282629,2050450.06737233
58,35287573.9799488,0,2704547.73112113,9747782.85557668,2704547.73112113
59,35278378.0529769,0,2752667.81867912,9759625.52359851,2752667.81867912
60,35272413.2433574,0,2778790.93002651,9775521.13272234,2778790.93002651
61,35230550.6142565,0,2486111.39262247,9775506.4607805,2486111.39262247
62,35172929.5148597,0,2384524.60227533,9781623.20648069,2384524.60227533
63,35152643.0536032,0,2557147.98651273,9795591.45492024,2557147.98651273
64,35117207.951982,0,2505772.81551681,9809734.64644237,2505772.81551681
65,35085760.5002803,0,2596899.04877052,9828691.51057082,2596899.04877052
66,35092808.4796207,0,2757602.38398576,9862208.50454692,2757602.38398576
67,35086701.0150734,0,2591569.85793229,9893603.1321264,2591569.85793229
68,34982217.1943769,0,1646056.23307713,9882413.40553423,1646056.23307713
69,34910206.7831763,0,2059197.32332581,9878921.20906651,2059197.32332581
70,34892383.5831123,0,2620507.56885354,9895127.10268413,2620507.56885354
71,34890647.8518412,0,2685263.80146415,9909894.21959475,2685263.80146415
72,34883597.5729128,0,2689369.15225842,9928596.12943161,2689369.15225842
73,34844359.3763413,0,2366927.64679388,9930605.71815344,2366927.64679388
74,34809268.1390265,0,2311105.72967017,9940481.41709742,2311105.72967017
75,34798337.7036891,0,2468348.3747513,9956862.26457635,2468348.3747513
76,34763059.2946482,0,2417013.73371853,9974822.20865512,2417013.73371853
77,34763687.3790576,0,2521766.67086387,9999346.21563411,2521766.67086387
78,34774888.0946319,0,2649670.7504231,10036479.8311443,2649670.7504231
79,34780307.6046103,0,2522890.36478274,10070376.3121348,2522890.36478274
80,34683596.9077578,0,1586198.24119705,10059112.846129,1586198.24119705
81,34620144.0419138,0,2013376.55728466,10055406.3417673,2013376.55728466
82,34600489.4996811,0,2520532.04772939,10074154.5045796,2520532.04772939
83,34594624.4821556,0,2599758.4022363,10087311.7938315,2599758.4022363
84,34593386.3831061,0,2594079.11080463,10107579.7210331,2594079.11080463
85,34554240.9632658,0,2320559.74081877,10112611.2484565,2320559.74081877
86,34509025.3980723,0,2230865.92274718,10123789.8807789,2230865.92274718
87,34495583.140506,0,2377380.49822418,10140569.3964464,2377380.49822418
88,34472006.8198063,0,2326937.34882658,10160391.8869659,2326937.34882658
89,34465832.9728637,0,2424471.45434904,10181264.0099654,2424471.45434904
90,34473233.0554892,0,2542466.62872146,10219451.287617,2542466.62872146
91,34486355.1592662,0,2430903.54146707,10253612.3947055,2430903.54146707
92,34384882.4473223,0,1524027.54998678,10243817.3016127,1524027.54998678
93,34324937.0058996,0,1941173.62039294,10244451.2782582,1941173.62039294
94,34314552.733476,0,2440961.85494049,10265088.0117097,2440961.85494049
95,34286521.6069584,0,2504745.97123495,10281200.3512248,2504745.97123495
96,34274743.4589932,0,2499479.92473075,10297635.8155213,2499479.92473075
97,34228818.8573764,0,2207979.79234943,10303150.7530691,2207979.79234943
98,34177818.6861752,0,2132553.69209799,10312410.9550686,2132553.69209799
99,34160678.0918076,0,2249414.68022034,10330257.5888365,2249414.68022034
100,34124490.4098144,0,2233937.33989547,10350500.4145365,2233937.33989547
101,34114389.2680946,0,2322671.38907004,10376677.1769263,2322671.38907004
102,34129171.7259282,0,2432846.81451245,10415493.326767,2432846.81451245
103,34137464.674617,0,2324651.4017493,10450820.2400306,2324651.4017493
104,34036002.3607165,0,1459758.57931567,10440429.5056805,1459758.57931567
105,33976640.0694405,0,1865471.04558878,10440934.1437476,1865471.04558878
106,33957709.636603,0,2350619.96196825,10456144.4135071,2350619.96196825
107,33939293.8442038,0,2408622.56992799,10472627.45154,2408622.56992799
108,33941064.6184083,0,2401510.32877778,10494216.0761941,2401510.32877778
109,33902315.9055747,0,2105654.01064934,10496905.1654031,2105654.01064934
110,33871321.6658818,0,2060102.51985604,10507054.9472078,2060102.51985604
111,33846039.7517526,0,2177087.99219731,10524646.5817816,2177087.99219731
112,33822424.3684422,0,2138659.29646021,10543645.7552257,2138659.29646021
113,33805964.1859112,0,2230605.30399266,10568265.8699964,2230605.30399266
114,33819104.046283,0,2318397.70664408,10604783.1011537,2318397.70664408
115,33829230.3728897,0,2214917.86166083,10643348.76071,2214917.86166083
116,33724852.8712695,0,1393420.40880368,10632121.948223,1393420.40880368
117,33652380.7385646,0,1784713.71031547,10632871.4086875,1784713.71031547
118,33633563.588571,0,2254029.90725573,10655809.9263521,2254029.90725573
119,33612861.131937,0,2309106.61062547,10672754.4243121,2309106.61062547
120,33591584.1260694,0,2299814.75416377,10691498.484382,2299814.75416377
121,33558586.1516041,0,2044237.96840216,10696343.9051511,2044237.96840216
122,33513953.1871584,0,1970266.91935302,10708225.1348393,1970266.91935302
123,33483091.5929752,0,2083846.92095563,10726725.9050686,2083846.92095563
124,33459356.7540243,0,2040075.19542315,10745768.6861124,2040075.19542315
125,33439999.2855965,0,2127529.51509033,10771822.8837959,2127529.51509033
126,33440541.9964965,0,2200975.4330531,10812948.867711,2200975.4330531
127,33426308.7185047,0,2101264.74356788,10851120.806758,2101264.74356788
128,33321118.4777617,0,1325766.92785867,10835690.0316478,1325766.92785867
129,33251139.9515238,0,1701621.03727629,10834803.570248,1701621.03727629
130,33226385.4795407,0,2102819.76172519,10855507.9553368,2102819.76172519
131,33215673.0266798,0,2208615.25051705,10870550.7247039,2208615.25051705
132,33211780.5297717,0,2196818.41408467,10890364.8028473,2196818.41408467
133,33179918.5563911,0,1956438.85883943,10893539.2925731,1956438.85883943
134,33132477.6171147,0,1881863.92739379,10899091.507047,1881863.92739379
135,33100547.4249932,0,1982442.51173914,10915474.6402794,1982442.51173914
136,33059217.2490126,0,1941281.76447399,10921891.2552425,1941281.76447399
137,33036483.3360038,0,2019975.18432142,10944605.1237794,2019975.18432142
138,33033111.5565893,0,2079698.91881418,10981800.7617141,2079698.91881418
139,33029418.6013003,0,1965524.54535789,11013724.7695589,1965524.54535789
140,32912395.7708586,0,1257669.14196457,10997925.6390563,1257669.14196457
141,32831867.6664828,0,1616021.28029409,10990551.8819446,1616021.28029409
142,32824669.0799287,0,2027816.65064835,11014053.5606425,2027816.65064835
143,32813734.7364574,0,2105141.14692122,11031433.5000628,2105141.14692122
