"Month","Total_Premiums","Total_Recoveries","Total_FinReIncomeCF","Total_FinReRepayment","Total_RiskReinsuranceRecoveries","Total_RiskReinsurancePremiums"
1,0,736462.719879231,0,8239225.65615286,736462.719879231,-8239225.65615286
2,0,734800.884478471,0,8134721.71466646,734800.884478471,-8134721.71466646
3,0,733894.129679282,0,8049770.85083568,733894.129679282,-8049770.85083568
4,0,733344.25374093,0,7961900.61763701,733344.25374093,-7961900.61763701
5,0,733929.432618132,0,7920165.05598629,733929.432618132,-7920165.05598629
6,0,733858.377177297,0,7904241.37641829,733858.377177297,-7904241.37641829
7,0,728919.649502954,0,7863989.69035587,728919.649502954,-7863989.69035587
8,0,724983.861966775,0,7801696.65727241,724983.861966775,-7801696.65727241
9,0,723541.748343157,0,7741263.42541297,723541.748343157,-7741263.42541297
10,0,720606.570344158,0,7685466.49853662,720606.570344158,-7685466.49853662
11,0,719673.978253706,0,7635819.1386353,719673.978253706,-7635819.1386353
12,0,720491.234562491,0,7601082.13025811,720491.234562491,-7601082.13025811
13,0,719312.028199145,0,7644695.06290368,719312.028199145,-7644695.06290368
14,0,717018.230658934,0,7680403.50439388,717018.230658934,-7680403.50439388
15,0,715755.849900101,0,7723963.28532115,715755.849900101,-7723963.28532115
16,0,716255.300363004,0,7775147.90983097,716255.300363004,-7775147.90983097
17,0,717743.322413663,0,7842140.00051102,717743.322413663,-7842140.00051102
18,0,717255.530868181,0,7914315.57189269,717255.530868181,-7914315.57189269
19,0,715258.284542398,0,7975117.94200895,715258.284542398,-7975117.94200895
20,0,712323.926132618,0,8000899.72911466,712323.926132618,-8000899.72911466
21,0,712139.502181059,0,8056904.17616853,712139.502181059,-8056904.17616853
22,0,711650.542206572,0,8133646.27834206,711650.542206572,-8133646.27834206
23,0,708185.006076266,0,8227036.98443842,708185.006076266,-8227036.98443842
24,0,710292.304708057,0,8330433.95541771,710292.304708057,-8330433.95541771
25,0,711171.88023243,0,8320848.2487067,711171.88023243,-8320848.2487067
26,0,710855.026967829,0,8310486.11892177,710855.026967829,-8310486.11892177
27,0,709868.618549878,0,8300501.60427205,709868.618549878,-8300501.60427205
28,0,708954.195396115,0,8291068.00964447,708954.195396115,-8291068.00964447
29,0,711884.113228871,0,8291726.65374124,711884.113228871,-8291726.65374124
30,0,711782.629316742,0,8296491.19998434,711782.629316742,-8296491.19998434
31,0,713071.26427874,0,8297080.96974778,713071.26427874,-8297080.96974778
32,0,711059.651806331,0,8270876.62567293,711059.651806331,-8270876.62567293
33,0,712032.9546081,0,8252933.29656876,712032.9546081,-8252933.29656876
34,0,712332.725174675,0,8246257.8991426,712332.725174675,-8246257.8991426
35,0,713500.686814916,0,8242179.271021,713500.686814916,-8242179.271021
36,0,710973.651573487,0,8234287.21115226,710973.651573487,-8234287.21115226
37,0,712779.293938649,0,8230142.88681142,712779.293938649,-8230142.88681142
38,0,712665.65170831,0,8220193.66919787,712665.65170831,-8220193.66919787
39,0,713644.130266184,0,8209791.80316582,713644.130266184,-8209791.80316582
40,0,714769.181443351,0,8208772.83415976,714769.181443351,-8208772.83415976
41,0,717243.731070537,0,8212970.29779667,717243.731070537,-8212970.29779667
42,0,719325.327755701,0,8220186.39219545,719325.327755701,-8220186.39219545
43,0,721577.930983267,0,8218795.35445763,721577.930983267,-8218795.35445763
44,0,720131.906948205,0,8193162.57891553,720131.906948205,-8193162.57891553
45,0,721916.788382702,0,8178220.82186455,721916.788382702,-8178220.82186455
46,0,723416.89782173,0,8174080.58544105,723416.89782173,-8174080.58544105
47,0,725024.712858509,0,8169710.70451462,725024.712858509,-8169710.70451462
48,0,720562.711786083,0,8159309.67251223,720562.711786083,-8159309.67251223
49,0,722374.951970715,0,8158903.06494367,722374.951970715,-8158903.06494367
50,0,722937.212951514,0,8152762.95821305,722937.212951514,-8152762.95821305
51,0,724079.916792807,0,8148387.59659452,724079.916792807,-8148387.59659452
52,0,725372.932727779,0,8150906.32210502,725372.932727779,-8150906.32210502
53,0,728864.110950167,0,8152172.01735811,728864.110950167,-8152172.01735811
54,0,729130.396279045,0,8158642.71208409,729130.396279045,-8158642.71208409
55,0,729316.671575977,0,8160896.52269708,729316.671575977,-8160896.52269708
56,0,727023.367647411,0,8123867.79043961,727023.367647411,-8123867.79043961
57,0,729300.563664531,0,8108001.25574164,729300.563664531,-8108001.25574164
58,0,731596.56509387,0,8105133.44375032,731596.56509387,-8105133.44375032
59,0,727342.018163527,0,8098795.77780967,727342.018163527,-8098795.77780967
60,0,728540.88268052,0,8094575.44444398,728540.88268052,-8094575.44444398
61,0,730974.756702367,0,8088966.61166589,730974.756702367,-8088966.61166589
62,0,731327.699256705,0,8075920.03823209,731327.699256705,-8075920.03823209
63,0,729750.842108832,0,8071786.81683836,729750.842108832,-8071786.81683836
64,0,729617.640010633,0,8065491.33927381,729617.640010633,-8065491.33927381
65,0,730081.441642119,0,8058951.73598506,730081.441642119,-8058951.73598506
66,0,731678.580004337,0,8065002.4162459,731678.580004337,-8065002.4162459
67,0,732436.522828189,0,8064006.37133006,732436.522828189,-8064006.37133006
68,0,731184.954398239,0,8039514.41132522,731184.954398239,-8039514.41132522
69,0,732333.449050156,0,8023927.45595595,732333.449050156,-8023927.45595595
70,0,733062.824904164,0,8021908.29378536,733062.824904164,-8021908.29378536
71,0,732449.211363876,0,8017711.02779061,732449.211363876,-8017711.02779061
72,0,728214.591985844,0,8008773.26649902,728214.591985844,-8008773.26649902
73,0,731227.056706106,0,8006207.36226719,731227.056706106,-8006207.36226719
74,0,728705.616254066,0,7999088.03012616,728705.616254066,-7999088.03012616
75,0,731344.700176098,0,7997379.15387416,731344.700176098,-7997379.15387416
76,0,733273.997842312,0,7992048.08571666,733273.997842312,-7992048.08571666
77,0,738469.834815211,0,7997065.58041022,738469.834815211,-7997065.58041022
78,0,740173.825871241,0,8003952.62712549,740173.825871241,-8003952.62712549
79,0,742145.915086488,0,8009262.12018719,742145.915086488,-8009262.12018719
80,0,741415.875125576,0,7988332.69487766,741415.875125576,-7988332.69487766
81,0,743741.871384916,0,7975459.57861724,743741.871384916,-7975459.57861724
82,0,746907.489054804,0,7970647.65919534,746907.489054804,-7970647.65919534
83,0,748082.326035427,0,7966650.31177394,748082.326035427,-7966650.31177394
84,0,747305.023355107,0,7960494.95871441,747305.023355107,-7960494.95871441
85,0,748526.317891034,0,7957602.19044085,748526.317891034,-7957602.19044085
86,0,748993.134863059,0,7948996.44449625,748993.134863059,-7948996.44449625
87,0,752337.592650065,0,7947696.86562514,752337.592650065,-7947696.86562514
88,0,754790.130677668,0,7944112.23042348,754790.130677668,-7944112.23042348
89,0,759080.169575115,0,7945015.08502456,759080.169575115,-7945015.08502456
90,0,761557.388579509,0,7946596.44754658,761557.388579509,-7946596.44754658
91,0,763392.821104001,0,7951000.50347797,763392.821104001,-7951000.50347797
92,0,762871.048168768,0,7926856.60448848,762871.048168768,-7926856.60448848
93,0,765164.822620844,0,7914205.36143498,765164.822620844,-7914205.36143498
94,0,768544.326483525,0,7910563.68593463,768544.326483525,-7910563.68593463
95,0,768414.830657483,0,7900900.76443864,768414.830657483,-7900900.76443864
96,0,767519.856721327,0,7894152.49114912,767519.856721327,-7894152.49114912
97,0,767346.84690759,0,7890573.06677427,767346.84690759,-7890573.06677427
98,0,766213.727847443,0,7880811.09190089,766213.727847443,-7880811.09190089
99,0,767449.041498112,0,7874931.54080069,767449.041498112,-7874931.54080069
100,0,770665.845487157,0,7867355.20238006,770665.845487157,-7867355.20238006
101,0,776595.329215705,0,7871559.22951066,776595.329215705,-7871559.22951066
102,0,778110.388506002,0,7876947.95438151,778110.388506002,-7876947.95438151
103,0,781468.046994637,0,7879900.19126276,781468.046994637,-7879900.19126276
104,0,778513.801350224,0,7856358.64408263,778513.801350224,-7856358.64408263
105,0,780921.050194171,0,7843886.44945689,780921.050194171,-7843886.44945689
106,0,782432.367221507,0,7840127.88230611,782432.367221507,-7840127.88230611
107,0,784464.530407946,0,7832122.97942391,784464.530407946,-7832122.97942391
108,0,785599.77238528,0,7828068.42233989,785599.77238528,-7828068.42233989
109,0,781946.461956385,0,7821413.55512528,781946.461956385,-7821413.55512528
110,0,783198.356531361,0,7817473.3451025,783198.356531361,-7817473.3451025
111,0,780989.027927597,0,7809268.47750749,780989.027927597,-7809268.47750749
112,0,783580.105293267,0,7807396.27310758,783580.105293267,-7807396.27310758
113,0,789538.58904395,0,7808160.00702313,789538.58904395,-7808160.00702313
114,0,789813.340810931,0,7817060.29284079,789813.340810931,-7817060.29284079
115,0,788438.938246249,0,7819146.1880936,788438.938246249,-7819146.1880936
116,0,784692.710407687,0,7792725.28100981,784692.710407687,-7792725.28100981
117,0,785077.745033551,0,7774571.64645636,785077.745033551,-7774571.64645636
118,0,786002.584005363,0,7771675.93679152,786002.584005363,-7771675.93679152
119,0,786522.875728738,0,7763932.90233482,786522.875728738,-7763932.90233482
120,0,786009.028598434,0,7754900.21840981,786009.028598434,-7754900.21840981
121,0,785570.668405212,0,7750567.43916004,785570.668405212,-7750567.43916004
122,0,783304.10296077,0,7742173.33105669,783304.10296077,-7742173.33105669
123,0,783496.322645707,0,7736999.08839785,783496.322645707,-7736999.08839785
124,0,785575.80693261,0,7733763.26218937,785575.80693261,-7733763.26218937
125,0,790968.061966299,0,7733079.37922855,790968.061966299,-7733079.37922855
126,0,791445.697439552,0,7738309.56197976,791445.697439552,-7738309.56197976
127,0,791174.574747566,0,7736287.35794716,791174.574747566,-7736287.35794716
128,0,790429.290635279,0,7711393.84326334,790429.290635279,-7711393.84326334
129,0,781143.21814876,0,7690530.83700958,781143.21814876,-7690530.83700958
130,0,783298.247587212,0,7688278.17871644,783298.247587212,-7688278.17871644
131,0,785271.210278025,0,7683312.11879137,785271.210278025,-7683312.11879137
132,0,787511.763661369,0,7677032.55451964,787511.763661369,-7677032.55451964
133,0,790845.838936332,0,7676878.69175788,790845.838936332,-7676878.69175788
134,0,792094.983709348,0,7666039.04689507,792094.983709348,-7666039.04689507
135,0,793547.86571812,0,7660348.74525929,793547.86571812,-7660348.74525929
136,0,794620.237561811,0,7654187.49243465,794620.237561811,-7654187.49243465
137,0,798754.929851844,0,7654753.04088597,798754.929851844,-7654753.04088597
138,0,801553.256271964,0,7661423.51791066,801553.256271964,-7661423.51791066
139,0,803666.451872688,0,7661255.9299413,803666.451872688,-7661255.9299413
140,0,800988.986370117,0,7632685.1270078,800988.986370117,-7632685.1270078
141,0,801906.371335289,0,7616052.49545133,801906.371335289,-7616052.49545133
142,0,804701.950185615,0,7616903.66185185,804701.950185615,-7616903.66185185
143,0,807244.523383864,0,7608995.99971688,807244.523383864,-7608995.99971688
144,0,807292.057581643,0,7602131.07892793,807292.057581643,-7602131.07892793
