"Month","Total_Premiums","Total_Recoveries","Total_FinReIncome","Total_FinReRepayment","Total_RiskReinsuranceRecoveries","Total_RiskReinsurancePremiums"
1,0,10226.5814828693,0,264205.550644411,-5822319.43258271,0
2,0,20325.4038051173,0,381313.544277928,-5878181.26523742,0
3,0,29848.6173001267,0,490269.354018351,-5673865.94627194,0
4,0,39469.0715510618,0,580884.523007833,-5811611.18938887,0
5,0,49230.7626938526,0,667862.238349105,-5970152.9727409,0
6,0,59204.7115717823,0,736475.991646298,-6141855.18780704,0
7,0,68001.6749377632,0,778380.668636258,-5534352.22372412,0
8,0,75392.8731834953,0,795380.407357937,-4782192.16603532,0
9,0,84036.145797559,0,859750.35193177,-5514477.20850715,0
10,0,93753.5023696703,0,938075.456278602,-6175837.38633363,0
11,0,104258.212638512,0,1025285.80094705,-6691322.79475509,0
12,0,115566.678751405,0,1117436.28035087,-7217099.76003492,0
13,0,114761.176563397,0,874361.241640811,-751499.546035741,0
14,0,114104.077083094,0,810810.375971189,-761953.247923492,0
15,0,113550.723271751,0,736492.904275843,-733575.713083785,0
16,0,113079.885486328,0,694717.318755387,-755933.579797591,0
17,0,112688.012067693,0,656576.458212823,-781322.219139062,0
18,0,112303.602130303,0,645675.698115701,-808689.498299949,0
19,0,111824.755847553,0,622926.41557104,-720247.397375875,0
20,0,111233.804930463,0,602993.05876528,-610223.885365864,0
21,0,110741.737145063,0,585804.750950307,-720760.020251025,0
22,0,110359.905829866,0,566539.830701553,-820811.545885092,0
23,0,110061.411879886,0,547684.141784134,-899231.084149892,0
24,0,109826.698801115,0,534023.600693107,-979234.754478317,0
25,0,109347.804589707,0,557563.205070433,109347.804589707,0
26,0,108873.24236438,0,583685.637176149,108873.24236438,0
27,0,108362.495189987,0,609828.203756868,108362.495189987,0
28,0,107869.716424118,0,639204.105838766,107869.716424118,0
29,0,107397.749858531,0,671991.055780332,107397.749858531,0
30,0,106948.18053432,0,708297.684101807,106948.18053432,0
31,0,106399.348596152,0,740564.617129815,106399.348596152,0
32,0,105731.335043412,0,767208.335285665,105731.335043412,0
33,0,105178.037331422,0,802391.735535021,105178.037331422,0
34,0,104725.616270708,0,845543.132584254,104725.616270708,0
35,0,104348.906153786,0,895346.14471774,104348.906153786,0
36,0,104047.647502343,0,951961.93763406,104047.647502343,0
37,0,103540.298077672,0,948589.754186808,103540.298077672,0
38,0,103092.840706576,0,945725.709115945,103092.840706576,0
39,0,102662.367154859,0,942951.231205117,102662.367154859,0
40,0,102302.0897632,0,940789.253976154,102302.0897632,0
41,0,102015.045270751,0,939270.192797197,102015.045270751,0
42,0,101803.145233402,0,938413.434795883,101803.145233402,0
43,0,101540.179281253,0,936986.714546926,101540.179281253,0
44,0,101198.618410239,0,934728.271605474,101198.618410239,0
45,0,101013.841509667,0,933945.260458874,101013.841509667,0
46,0,100977.289611058,0,934549.506918904,100977.289611058,0
47,0,101067.830998476,0,936330.904425478,101067.830998476,0
48,0,101288.788319151,0,939319.785132651,101288.788319151,0
49,0,101339.312798204,0,938484.273800832,101339.312798204,0
50,0,101400.218602813,0,937741.338273885,101400.218602813,0
51,0,101428.107487275,0,936760.967767113,101428.107487275,0
52,0,101480.115477973,0,935977.593665985,101480.115477973,0
53,0,101559.489360051,0,935415.732983974,101559.489360051,0
54,0,101668.183595929,0,935090.135167621,101668.183595929,0
55,0,101676.329635817,0,934012.446149136,101676.329635817,0
56,0,101560.653926447,0,932005.485741547,101560.653926447,0
57,0,101569.060138478,0,930955.259864217,101569.060138478,0
58,0,101688.743789861,0,930764.07670344,101688.743789861,0
59,0,101894.529606133,0,931240.312131717,101894.529606133,0
60,0,102187.425617928,0,932391.808103925,102187.425617928,0
61,0,102158.767759169,0,931671.646565527,102158.767759169,0
62,0,102140.482388739,0,931044.125318913,102140.482388739,0
63,0,102092.28037143,0,930177.356467485,102092.28037143,0
64,0,102067.188580617,0,929507.509128781,102067.188580617,0
65,0,102068.213764597,0,929059.089928436,102068.213764597,0
66,0,102097.163451903,0,928846.868249727,102097.163451903,0
67,0,102033.487629373,0,927878.011289436,102033.487629373,0
68,0,101855.577927037,0,925974.499429835,101855.577927037,0
69,0,101793.531151354,0,925030.834212427,101793.531151354,0
70,0,101835.455277254,0,924948.9365592,101835.455277254,0
71,0,101957.975475939,0,925536.376492388,101957.975475939,0
72,0,102162.020659376,0,926801.060756463,102162.020659376,0
73,0,102231.614467311,0,925921.443621777,102231.614467311,0
74,0,102311.62860304,0,925132.371261381,102311.62860304,0
75,0,102357.356785586,0,924112.338992602,102357.356785586,0
76,0,102427.670238232,0,923284.175960017,102427.670238232,0
77,0,102525.913885949,0,922671.667299206,102525.913885949,0
78,0,102654.102577162,0,922289.12797501,102654.102577162,0
79,0,102678.444900625,0,921174.502653132,102678.444900625,0
80,0,102574.982383454,0,919155.36217713,102574.982383454,0
81,0,102599.129048134,0,918067.501282664,102599.129048134,0
82,0,102737.679724449,0,917815.764817942,102737.679724449,0
83,0,102964.687389092,0,918213.617647335,102964.687389092,0
84,0,103281.18152519,0,919268.685115995,103281.18152519,0
85,0,103343.889095746,0,918670.886514719,103343.889095746,0
86,0,103417.103197574,0,918163.516924539,103417.103197574,0
87,0,103455.843873653,0,917415.828364443,103455.843873653,0
88,0,103519.345797788,0,916862.552592726,103519.345797788,0
89,0,103610.972733695,0,916528.194064294,103610.972733695,0
90,0,103732.750195992,0,916427.514848216,103732.750195992,0
91,0,103750.066966559,0,915571.477473505,103750.066966559,0
92,0,103638.827477309,0,913782.803387132,103638.827477309,0
93,0,103656.018238676,0,912948.867448589,103656.018238676,0
94,0,103788.342909415,0,912971.913044843,103788.342909415,0
95,0,104009.68645312,0,913660.203792132,104009.68645312,0
96,0,104321.077640783,0,915021.615934577,104321.077640783,0
97,0,104500.779489482,0,914522.105558045,104500.779489482,0
98,0,104691.419155579,0,914112.1723183,104691.419155579,0
99,0,104842.209297508,0,913459.250211005,104842.209297508,0
100,0,105020.046141591,0,913000.928918906,105020.046141591,0
101,0,105228.737017023,0,912761.836737044,105228.737017023,0
102,0,105470.578222018,0,912756.812360846,105470.578222018,0
103,0,105593.565094631,0,911990.382741614,105593.565094631,0
104,0,105570.484717955,0,910284.131084998,105570.484717955,0
105,0,105691.542668373,0,909537.735371039,105691.542668373,0
106,0,105941.741172392,0,909652.726850509,105941.741172392,0
107,0,106291.605314365,0,910436.100789772,106291.605314365,0
108,0,106742.310506479,0,911895.792937586,106742.310506479,0
109,0,106913.794782584,0,911398.680122489,106913.794782584,0
110,0,107096.267614916,0,910991.014290312,107096.267614916,0
111,0,107238.187263065,0,910341.2769716,107238.187263065,0
112,0,107407.459095993,0,909884.80303184,107407.459095993,0
113,0,107607.946242288,0,909646.167501967,107607.946242288,0
114,0,107841.976222495,0,909640.183733051,107841.976222495,0
115,0,107955.277749746,0,908875.989295854,107955.277749746,0
116,0,107920.262404656,0,907176.025150083,107920.262404656,0
117,0,108031.491897852,0,906431.253238252,108031.491897852,0
118,0,108273.717806862,0,906543.761480696,108273.717806862,0
119,0,108617.001406437,0,907321.462263269,108617.001406437,0
120,0,109062.519046721,0,908772.246706651,109062.519046721,0
121,0,108916.927841464,0,908108.33549669,108916.927841464,0
122,0,108782.783265094,0,907532.905699454,108782.783265094,0
123,0,108621.524467804,0,906723.996739427,108621.524467804,0
124,0,108483.855952371,0,906105.207863332,108483.855952371,0
125,0,108372.640951486,0,905700.324548275,108372.640951486,0
126,0,108289.593376294,0,905523.696143359,108289.593376294,0
127,0,108119.369736714,0,904611.3717165,108119.369736714,0
128,0,107841.259481999,0,902790.56922885,107841.259481999,0
129,0,107675.355263545,0,901900.751714388,107675.355263545,0
130,0,107610.28517498,0,901846.605239583,107610.28517498,0
131,0,107623.691671206,0,902441.287412754,107623.691671206,0
132,0,107716.463761465,0,903692.497112918,107716.463761465,0
133,0,107874.345028175,0,902822.543976596,107874.345028175,0
134,0,108043.533616265,0,902039.286731957,108043.533616265,0
135,0,108172.643429255,0,901031.955549587,108172.643429255,0
136,0,108329.355224304,0,900208.715249242,108329.355224304,0
137,0,108517.518288219,0,899592.552281007,108517.518288219,0
138,0,108739.452309381,0,899197.315673412,108739.452309381,0
139,0,108841.365190855,0,898093.722845465,108841.365190855,0
140,0,108795.727047041,0,896115.703633665,108795.727047041,0
141,0,108896.15257513,0,895036.034467401,108896.15257513,0
142,0,109127.460593527,0,894762.753278373,109127.460593527,0
143,0,109459.822900011,0,895115.68753705,109459.822900011,0
144,0,109894.423574037,0,896102.152965409,109894.423574037,0
