"IFRS17_group_IF_InsCLS_CYC","CurrRA","CurrInitComm","CurrInitExp","PVRenExp","CurrPremCFS","FutExpPremiums","CurrClaimsandExps","FutExpClaimsExp","CoverageUnits","CSM_LC_released_reversal","Interest_Accreted_IF","RA","BEL","ClaimsandExp","TotPVClaims","TotPVComm","TotPVAcq","TotPVPrem","TotPVInitExp","TotBELinf","TotBELout","TotPVRenExpenses","TotCurrClaimsonly","TotCurrRenExp","TotPVExpenses","TotPVRenComm"
"2017_Non-onerous_202",60958.5011222545,227385.78660332,0,766103.362049435,3502202.60861177,23338877.7367058,1015975.01870424,10358584.9290537,0.0618631077509875,1096133.91328398,606511.885393707,513946.355812488,17718701.0664928,8931857.29388373,7731447.44678738,1200409.84709636,0,26650558.3603766,0,26650558.3603766,8931857.29388373,753184.49468509,788589.232100922,227385.78660332,834325.150087429,81140.655402339
"2017_ODD_202",0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017_Onerous_202",9705.80943712463,64844.4134446201,0,772114.033906459,711080.54067673,5306129.69461661,161763.490618744,1698408.27856769,0.0519882592119701,237549.566905278,226489.608938999,103863.768569391,4569292.57693982,1409254.98207956,955324.505870115,453930.476209444,0,5978547.55901938,0,5978547.55901938,1409254.98207956,726951.540414232,96919.0771741237,64844.4134446201,775738.303619727,48786.7632054954
"2017_Remaining_202",6941.06230956004,35687.5485084069,0,248625.575498517,387906.189623672,3033166.40439794,115684.371826001,1358213.6405923,0.0470782228019531,109533.926662696,91876.269230193,67117.4574951653,2326636.82151893,1073317.66279653,830519.637475483,242798.025321044,0,3399954.48431545,0,3399954.48431545,1073317.66279653,236341.370537172,79996.8233175938,35687.5485084069,288104.654110606,51763.2835734341
"2018_Non-onerous_202",530996.213465265,2004018.48013843,0,6316275.73704069,28548199.5456167,189560145.705992,8849936.89108776,87561055.0187107,0.0626576019972804,8766105.21514683,4561911.1430171,4358990.82644575,139904894.788781,76645859.1762044,64678784.1344822,11967075.0417222,0,216550753.964986,0,216550753.964986,76645859.1762044,6291891.92295256,6845918.41094933,2004018.48013843,7971062.97294694,1679171.04999438
"2018_ODD_202",269.321001307029,1592.63548266934,0,4409.68168112129,14251.4405452827,80259.0877122381,4488.68335511715,30521.4574433222,0.0943857951864592,6113.96401565296,2845.5680029307,1401.30104385296,64776.3151602931,28965.8497676668,18983.3734266179,9982.47634104888,0,93742.1649279598,0,93742.1649279598,28965.8497676668,4371.64397093144,2896.04787244781,1592.63548266934,4371.64397093144,0
"2018_Onerous_202",92101.0702028417,554375.079569225,0,5712619.08346676,5985737.11941416,43182112.6248398,1535017.83671403,15013851.2440193,0.055926115995093,1998482.62354512,1668447.24632626,920700.731752416,35734336.0608211,13107010.172568,9117069.75495569,3989940.4176123,0,48841346.2333891,0,48841346.2333891,13107010.172568,5692382.23097776,980642.757144804,554375.079569225,6227942.4409179,535560.209940146
"2018_Remaining_202",33441.0262191515,197158.575326877,0,1137055.08795657,2170941.96668978,15675826.1256439,557350.436985858,5509605.63037076,0.0557118270436936,720749.34957559,595662.406108312,287793.344516291,12937097.7011815,4791258.22988087,3427596.31913828,1363661.9107426,0,17728355.9310624,0,17728355.9310624,4791258.22988087,1133548.96540496,360191.861658981,197158.575326877,1368959.42279991,235410.457394953
"2019_Non-onerous_202",442348.601022313,1491358.9186115,0,3202388.24434439,23826556.4032919,149699504.694837,7372476.68370522,73325950.3940091,0.0661686577743,7150553.1158492,2801803.17886394,3619560.92549237,108065560.89198,64161742.7523764,56006645.0645372,8155097.68783915,0,172227303.644356,0,172227303.644356,64161742.7523764,3189305.45724011,5881117.76509372,1491358.9186115,4319370.36033565,1130064.90309553
"2019_ODD_202",0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019_Onerous_202",331668.289897693,1658922.48327462,0,12563487.3338962,18933452.617849,133710455.05666,5527804.83162821,55186464.7970537,0.0561461300448093,5807543.57554731,3721694.68061015,3053459.80670419,103436222.06753,48175344.9508294,36508381.9524678,11666962.9983616,0,151611567.018359,0,151611567.018359,48175344.9508294,12517531.2236755,3868882.34835359,1658922.48327462,14382614.8259354,1865083.60225984
"2019_Remaining_202",60621.8852502865,285387.526035866,0,793172.976756677,3093233.93069131,21955910.2675278,1010364.75417144,10144743.7883448,0.0571669054466093,917310.932656099,496328.272978404,476777.527463395,16046188.3582769,8834278.88268701,6976061.87738628,1858217.00530074,0,24880467.2409639,0,24880467.2409639,8834278.88268701,790649.453545878,724977.228135576,285387.526035866,970230.247003631,179580.793457753
"2020_Non-onerous_202",577773.748490132,2043414.08474056,0,4315560.66232754,30009110.371871,198808853.782714,9629562.47483553,81612834.8816802,0.0602540003862928,8700195.23672879,2206107.89401087,4656185.91146571,144391993.57638,82789129.8689758,70637579.431357,12151550.4376188,0,227181123.445356,0,227181123.445356,82789129.8689758,4299034.89320064,7586148.39009497,2043414.08474056,6965519.09307158,2666484.19987095
"2020_ODD_202",103.184482020116,813.967251754907,0,6282.66736729906,6390.90494911394,51176.7938199116,1719.74136700193,15506.5192087237,0.057466277226878,2382.94220474761,982.702161801093,969.005006165436,41466.7926954743,15752.0522306076,9880.7389922638,5871.31323834378,0,57218.8449260818,0,57218.8449260818,15752.0522306076,6269.3444438268,905.774115247024,813.967251754907,6269.3444438268,0
"2020_Onerous_202",345301.109547043,1613127.15474871,0,13784967.6737458,18177213.7334892,127686701.242089,5755018.49245072,48903083.7573937,0.0562284443757426,5342404.87838472,1720773.66815433,3219419.97263574,95012496.5699651,49860704.3522204,38366646.0033494,11494058.3488709,0,144873200.922185,0,144873200.922185,49860704.3522204,13730668.1209763,4141891.33770201,1613127.15474871,15290353.5405795,1559685.41960315
"2020_Remaining_202",74128.7756658723,278949.975562399,0,1051653.16269592,3413165.69662543,23900878.1559091,1235479.59443121,10923051.3444977,0.0599840605190575,964773.132316667,199821.257712623,637862.639559949,16083825.0023129,11044166.5036815,9190691.83839496,1853474.66528653,0,27127991.5059944,0,27127991.5059944,11044166.5036815,1048198.36062715,956529.618868807,278949.975562399,1440352.15427086,392153.793643704
"2021_Non-onerous_202",697811.271078711,2245752.17730949,0,4519090.22569431,33141089.1997623,225249086.686833,11630187.8513118,111647849.779542,0.0614986542307924,9361080.17296028,2399564.95350034,5844420.25783905,152216016.594932,104365197.290496,91245215.8494781,13119981.4410181,0,256581213.885428,0,256581213.885428,104365197.290496,4502639.22967254,9384435.67400235,2245752.17730949,6161788.44783945,1659149.21816691
"2021_ODD_202",0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021_Onerous_202",374641.764986063,1606433.92886502,0,13628782.6159856,18433250.7083392,130532684.734246,6244029.41643439,59015970.5692847,0.0562096493619002,5229108.20499825,2021601.9708354,3514552.19904601,93028657.2565354,54932619.3296462,43641179.432838,11291439.8968082,0,147961276.586182,0,147961276.586182,54932619.3296462,13571960.943767,4637595.48756937,1606433.92886502,14934690.5512621,1362729.60749515
"2021_Remaining_202",71520.3978020337,287835.923996826,0,948200.629409473,3309574.3943271,23370192.75174,1192006.63003389,11011768.526242,0.0585250868751062,947905.178673696,317538.907546501,567931.015485476,16196561.6675896,10302493.5092675,8338682.70876349,1963810.80050398,0,26499055.1768571,0,26499055.1768571,10302493.5092675,944749.815910652,904170.706037069,287835.923996826,1126834.21599444,182084.400083793
"2022_Non-onerous_202",725754.077271716,2378956.43509952,0,3730068.2506579,33690577.7804235,229135905.79998,12095901.2878619,104166419.425255,0.0622810494346253,9498776.73009531,3142976.12232561,5956551.72076961,152514718.623454,108476728.48729,94156041.5721136,14320686.9151759,0,260991447.110743,0,260991447.110743,108476728.48729,3716578.69308686,9716944.85276242,2378956.43509952,5119820.44071321,1403241.74762635
"2022_ODD_202",39.2463372905786,268.55815285188,0,6675.33527518115,2451.72644210773,21004.693734539,654.105621509643,6064.8692500965,0.0464323216807908,796.191093184428,819.022733342584,590.323364974839,17147.3461667073,6176.74455817705,3265.22020261276,2911.52435556429,0,23324.0907248844,0,23324.0907248844,6176.74455817705,6573.50254696788,385.547468657763,268.55815285188,6573.50254696788,0
"2022_Onerous_202",361697.867492199,1602671.56849091,0,10784335.4342241,18050839.2818989,127053787.789104,6028297.79153665,51426256.777099,0.0554468916900814,5031834.64154027,2780647.8028264,3214524.97506516,90750527.0027678,53371044.5673442,41675566.9541054,11695477.6132388,0,144121571.570112,0,144121571.570112,53371044.5673442,10739121.6647544,4425626.22304574,1602671.56849091,11899849.2969805,1160727.63222608
"2022_Remaining_202",63120.4892916214,271777.096314682,0,798517.484800901,3204782.33439446,22857246.344189,1052008.15486036,9481794.36856654,0.0553146265429462,893033.804525927,464664.178856531,536756.963832773,16144623.227865,9742646.7367447,7894440.88232339,1848205.85442132,0,25887269.9646097,0,25887269.9646097,9742646.7367447,795609.343713495,780231.058545674,271777.096314682,1051508.51488949,255899.171175993
"2023_Non-onerous_202",673934.618038354,2033905.93087362,0,5833856.6972121,37597030.6695744,224171783.617628,11232243.6339726,84968582.408802,0.0708049880454777,11624129.052447,5893596.47547818,5420777.26239888,164171047.454748,95567704.1816878,81720115.5953309,13847588.5863569,0,259738751.636436,0,259738751.636436,95567704.1816878,5784664.1395724,9198337.70309895,2033905.93087362,8626172.11131712,2841507.97174472
