"IFRS17_group_IF_RICLS_CYC","CoverageUnits","CurrRA","CurrInitExp","PVFCurrPrems","FutRIPrems","CurrRecoveries","FutRIClaims","CSM_LRecC_released","RA","BEL","PVFinRe","TotFinReIncome","TotFinReRepayment","PVRiskRI","TotPVClaims","CurrFinReIncome","CurrFinReRepayment","PVPremiums","CurrRiskRIPrems"
"2017_Non-onerous_202",54101859106.6457,2485.10196437888,0,0,0,41418.3660729813,378254.727644632,NA,25044.9696290293,NA,NA,NA,6969746.38000611,-7387162.54048993,417416.160483821,NA,908500.400477581,0,-908500.400477581
"2017_ODD_202",0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,NA,0,0,0
"2017_Onerous_202",28041516974.6064,924.317688643188,0,0,0,15405.2948107198,111561.554958334,NA,7568.05358854424,NA,NA,NA,1565312.19635493,-1691446.42283067,126134.226475737,NA,181277.243044104,0,-181277.243044104
"2017_Remaining_202",13599263983.1612,149.624684508496,0,0,0,2493.74474180827,13783.2990135239,NA,968.944443680752,NA,NA,NA,886239.874623499,-902388.948684845,16149.0740613459,NA,97743.0051220243,0,-97743.0051220243
"2018_Non-onerous_202",489366152870.342,32075.2891775966,0,0,0,534588.152959944,4887177.67625051,NA,323548.272229307,NA,NA,NA,56028730.5416328,-61421201.7454546,5392471.20382179,NA,7443266.16769678,0,-7443266.16769678
"2018_ODD_202",373200173.377452,52.9186568027606,0,0,0,881.977613379343,4785.55658999513,NA,337.201409608591,NA,NA,NA,17305.2938540289,-22925.3173475054,5620.02349347651,NA,2608.37011497937,0,-2608.37011497937
"2018_Onerous_202",214251030466.616,7146.56917272517,0,0,0,119109.486212086,731922.229896947,NA,50677.1149642662,NA,NA,NA,12344638.2022508,-13189256.7849886,844618.58273777,NA,1469224.25100428,0,-1469224.25100428
"2018_Remaining_202",64116015294.2764,1393.48866527859,0,0,0,23224.8110879766,166670.522127822,NA,11318.1378381403,NA,NA,NA,4536189.49005598,-4724825.12069165,188635.630635671,NA,542162.23102312,0,-542162.23102312
"2019_Non-onerous_202",341916615119.996,30921.0300019877,0,0,0,515350.500033129,4377849.27512902,NA,291895.81263448,NA,NA,NA,44425282.7394475,-49290212.9500221,4864930.21057466,NA,6201986.28215943,0,-6201986.28215943
"2019_ODD_202",0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,NA,0,0,0
