"IFRS17_group_IF_InsCLS_LIYC","CoverageUnits","CurrRA","CurrInitComm","CurrInitExp","CurrPrems","FutPrems","PvPrems","CurrClaimsandExp","FutExpClaimsExp","CSM_LC_released_reversal","Interest_Accreted_IF","Interest_accBEL","Interest_accRA","RA","BEL","ClaimsandExp","TotPVClaims","TotPVComm","TotPVAcq","TotPVPrem","TotPVInitExp","TotBELinf","TotBELout","TotPVRenExpenses","TotPVRenComm"
"2017_Non-onerous_202",0.0629436508383536,62076.2970276312,217113.094643745,0,3519500.39176981,28102729.5034958,26301068.8937362,1034604.95046052,10409219.8824322,556109.574288262,566962.418085246,34730.6359230281,34730.6359230281,541211.363230643,17280879.5065588,1034604.95046052,7904629.710041,1115559.67713638,0,26301068.8937362,0,26301068.8937362,-9020189.38717738,781186.861626425,80308.16715461
"2017_ODD_202",NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017_Onerous_202",0.0523766873660005,9821.11291378405,64372.771685593,0,713404.033679483,6828216.03983922,5992800.78352522,163685.215229734,1712087.00065773,183665.660946121,225027.589245647,5480.49339165222,5480.49339165222,85403.1382047327,4569415.14677968,163685.215229734,977382.051955268,446003.584790278,0,5992800.78352522,0,5992800.78352522,-1423385.63674555,767413.771758462,49722.6462807662
"2017_Remaining_202",0.0474283500705133,7078.10932573578,35467.3466609844,0,392505.324127556,3933395.202965,3427150.73349055,117968.488762263,1379977.77941627,67121.148854114,90817.0087758755,4204.11598152873,4204.11598152873,65513.2070309789,2335263.9496409,117968.488762263,854539.191832322,237347.592017327,0,3427150.73349055,0,3427150.73349055,-1091886.78384965,249622.272437645,52169.4038065897
"2018_Non-onerous_202",0.063490270304077,537058.722499524,1931388.21827281,0,28482557.7922024,229821603.950652,213683586.689627,8950978.7083254,87888253.2813511,4196511.56668863,4269284.56096058,298915.31403518,298915.31403518,4627797.11487395,136553634.775062,8950978.7083254,65828913.7285352,11301038.1860306,0,213683586.689627,0,213683586.689627,-77129951.9145658,6520575.67221318,1661817.17798554
"2018_ODD_202",0.0947656932619954,255.028171398457,1531.26770499047,0,13681.6271793139,94071.7281520816,90281.1955806257,4250.46952330761,29541.9991280898,4017.97535253411,2738.60866966178,108.222503343891,108.222503343891,1675.49725699351,62356.2412974005,4250.46952330761,18281.6941920008,9643.26009122435,0,90281.1955806257,0,90281.1955806257,-27924.9542832252,4382.99458963521,0
"2018_Onerous_202",0.0562978153309939,92704.7285481028,547532.689879725,0,5970791.64830938,54550250.2265157,48748063.8495918,1545078.80913505,15067357.2418968,1437450.57870126,1649207.24620223,51024.2067666916,51024.2067666916,789955.100245673,35582145.5121639,1545078.80913505,9259217.76901899,3906700.5684089,0,48748063.8495918,0,48748063.8495918,-13165918.3374279,5982158.04102371,533695.322048518
"2018_Remaining_202",0.0560225531772703,33563.7257988097,194615.587517799,0,2172327.92781499,19682814.8124298,17694935.3558947,559395.429980162,5536732.72364589,509541.34765757,587476.350460505,18673.4243755105,18673.4243755105,289101.345405253,12876579.5991405,559395.429980162,3492188.611272,1326167.14548222,0,17694935.3558947,0,17694935.3558947,-4818355.75675422,1190821.37421362,236946.784228957
"2019_Non-onerous_202",0.0671877095569196,447715.673322862,1420379.75328046,0,23726572.9142516,179615443.642387,168557997.428704,7461927.88871436,73694164.7207974,2889427.03585548,2499363.90422867,225316.959613744,225316.959613744,3876915.04847337,103942746.620815,7461927.88871436,57060540.0553321,7554710.75255748,0,168557997.428704,0,168557997.428704,-64615250.8078895,3284442.76338846,1112016.52616628
"2019_ODD_202",NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019_Onerous_202",0.0564734933243644,334645.70587952,1632593.27094034,0,18879163.1847374,167965602.651796,150890824.896879,5577428.43132534,55534879.111777,3518797.18682971,3621238.92975853,169194.040937169,169194.040937169,2911236.35143049,102370219.039705,5577428.43132534,37150154.6046466,11370451.2525283,0,150890824.896879,0,150890824.896879,-48520605.8571748,13138061.1858168,1862629.71736621
"2019_Remaining_202",0.0575960376969678,61161.615838292,278762.663694891,0,3097270.24277682,27485431.4300115,24777640.5593865,1019360.26397153,10215776.2535856,473673.343020755,477962.621884585,31046.8253785724,31046.8253785724,534207.0331672,15874190.0065999,1019360.26397153,7115921.70184122,1787528.85094544,0,24777640.5593865,0,24777640.5593865,-8903450.55278666,824958.937989818,181850.406650725
"2020_Non-onerous_202",0.0606699208017167,582437.510890905,1961680.4972059,0,29749684.0634032,220049215.326819,224102530.577546,9707291.84818174,82075101.1862221,3890080.83874197,2056388.46480922,160146.655686087,160146.655686087,4993417.89255985,140878899.034882,9707291.84818174,71766708.8192851,11456922.7233791,0,224102530.577546,0,224102530.577546,-83223631.5426642,4451638.04592262,2641602.16304569
"2020_ODD_202",0.0585312751454738,104.537379447295,810.444173877331,0,6519.75058558418,57671.8503623525,57840.4770578872,1742.28965745492,15797.0249908328,1793.30384577604,982.620578061014,30.8208788963408,30.8208788963408,961.003696805761,41823.7487777911,1742.28965745492,10224.3583156372,5792.36996445882,0,57840.4770578872,0,57840.4770578872,-16016.728280096,6628.9970351766,0
"2020_Onerous_202",0.0564449855103735,347613.976685379,1584517.89523468,0,18017192.0192418,141439418.825021,144095134.577428,5793566.27808965,49228373.4636343,2933048.1791858,1666532.51610548,96544.4799622236,96544.4799622236,3010284.11493164,93923732.6619006,5793566.27808965,38950494.6607151,11220907.2548122,0,144095134.577428,0,144095134.577428,-50171401.9155273,14401130.520159,1555345.27312136
"2020_Remaining_202",0.0604606807091061,75053.0296322871,272856.597419853,0,3403869.04660651,26554360.5912806,26965150.5827188,1250883.82720478,11049235.3777039,348319.978770732,184767.385486024,21473.8121276321,21473.8121276321,669559.518681244,15805825.2713647,1250883.82720478,9375166.56085335,1784158.75050073,0,26965150.5827188,0,26965150.5827188,-11159325.3113541,1095361.8780644,386772.448371823
"2021_Non-onerous_202",0.0621099485752087,707979.738409246,2160229.12523662,0,32945745.8942139,262164007.691851,254030170.973858,11799662.3068208,112721716.608714,3040212.47097134,2146927.51561277,277762.314742593,277762.314742593,6332842.79215737,148482791.104569,11799662.3068208,93201067.4855345,12346312.3837549,0,254030170.973858,0,254030170.973858,-105547379.869289,4676616.10149483,1660564.20000011
"2021_ODD_202",NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021_Onerous_202",0.0563490959897373,376653.604171405,1578320.85603686,0,18251268.0507765,154418029.504439,147321460.305331,6277560.06952341,59521621.6375581,2489736.2049877,1937942.99157427,145827.904529001,145827.904529001,3324803.78033906,91908063.9663466,6277560.06952341,44399122.6899748,11014273.6490094,0,147321460.305331,0,147321460.305331,-55413396.3389843,14252804.5065902,1353423.73769078
"2021_Remaining_202",0.0587959089356286,71932.9460483166,282792.253383795,0,3293597.82155712,27532194.3787092,26373277.6524735,1198882.43413861,11074107.4907379,407091.895460833,303682.638007883,27279.9409693061,27279.9409693061,621969.102245019,16007125.9483898,1198882.43413861,8461343.55997677,1904808.14410688,0,26373277.6524735,0,26373277.6524735,-10366151.7040836,987039.43983389,177483.959667932
"2022_Non-onerous_202",0.0627397627969963,747180.674742604,2315503.27025201,0,33475851.0318159,240635710.673647,258413134.103977,12453011.2457101,104968101.214986,2891726.62418604,2793869.18566589,398740.530808745,398740.530808745,6578072.80813964,148778587.30165,12453011.2457101,96109702.2992939,13524844.5030334,0,258413134.103977,0,258413134.103977,-109634546.802327,3866683.42851985,1388093.01011321
"2022_ODD_202",0.0468157296314322,39.0972612971799,272.71518219946,0,2471.37565530108,23512.3252285957,23745.3080373951,651.621021619666,6166.21974857969,647.457832683784,838.323034573925,22.7855777262688,22.7855777262688,375.896548451989,17480.3655631952,651.621021619666,3274.5482214319,2990.39425276791,0,23745.3080373951,0,23745.3080373951,-6264.94247419982,6999.05224162816,0
"2022_Onerous_202",0.0554033794995238,367271.371255939,1592148.02108051,0,17881494.9740897,135141205.274428,143374634.674118,6121189.52093232,51837311.1171163,2432055.73670319,2660902.5737954,195853.242283265,195853.242283265,3231015.63023068,89524374.1702737,6121189.52093232,42396113.305678,11454147.1981666,0,143374634.674118,0,143374634.674118,-53850260.5038447,11290182.662373,1155927.17581267
