"IFRS17_group_IF_RICLS_LIYC","CoverageUnits","CurrRA","CurrInitExp","CurrRIPrems","FutRIPrems","CurrClaims","FutRIClaims","CSM_LRecC_released","Interest_Accreted_IF","Interest_accBEL","FinRe","RiskRI","Interest_accRA","RA","UndiscRec","UndiscPremi","BEL","TotPVClaims","PVPremiums"
"2017_Non-onerous_202",50747029649.8352,2561.31737118466,0,0,0,42688.6228530777,501020.212744588,-27496005184031392,-41624.449015685,-41624.449015685,NA,NA,2497.4669409411,32509.495086226,1899178.57135055,0,-541824.918103767,541824.918103767,0
"2017_ODD_202",0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
"2017_Onerous_202",26576318673.5474,883.894837004652,0,0,0,14731.5806167442,152142.515867678,-4417755140479039,-12770.1600964516,-12770.1600964516,NA,NA,766.209605787093,9973.74059532831,789493.991523468,0,-166229.009922139,166229.009922139,0
"2017_Remaining_202",12957435955.9346,84.4815558951371,0,0,0,1408.02593158562,19605.3094636471,-271477264146244,-1609.54794041007,-1609.54794041007,NA,NA,96.5728764246043,1257.0878917842,94829.6295616275,0,-20951.46486307,20951.46486307,0
"2018_Non-onerous_202",458969714929.17,33296.3762689855,0,0,0,554939.604483092,6362011.64305151,-3163681614091126784,-529539.382601804,-529539.382601804,NA,NA,31772.3629561082,413580.440432244,20172388.9596503,0,-6893007.3405374,6893007.3405374,0
"2018_ODD_202",337680045.629939,50.136393327572,0,0,0,835.606555459533,5785.16979060668,-2223765133984.71,-505.909742250777,-505.909742250777,NA,NA,30.3545845350466,395.125236938943,22710.3083123086,0,-6585.42061564905,6585.42061564905,0
"2018_Onerous_202",202392351287.705,6502.63099410136,0,0,0,108377.183235023,959032.884755414,-215106180219259296,-81648.5198685076,-81648.5198685076,NA,NA,4898.91119211043,63769.0640532597,4511544.85247892,0,-1062817.734221,1062817.734221,0
"2018_Remaining_202",60575787873.0006,1250.17633897548,0,0,0,20836.2723162579,231331.649684053,-15222476160164014,-19305.2644399999,-19305.2644399999,NA,NA,1158.31586639999,15077.782752487,1171653.44058507,0,-251296.379208117,251296.379208117,0
"2019_Non-onerous_202",319459114286.699,32416.1534391012,0,0,0,540269.223985019,5596516.31395257,-1953456363641607936,-469762.077901861,-469762.077901861,NA,NA,28185.7246741116,366893.215991667,18805410.2977581,0,-6114886.93319445,6114886.93319445,0
"2019_ODD_202",0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
