id,year,type,group,portfolio,time,PREM_INC,DEATH_OUTGO,DISAB_OUTGO,INIT_EXP,REN_EXP,INIT_COMM,REN_COMM,PHIBEN_OUTGO,PHIBEN_OUTGO_BLL,CR_BEN_OUTGO,RETR_OUTGO,DTH_OUTGO,DREADDIS_OUTGO,TEMPDIS_OUTGO,RIDERC_OUTGO,RISK_ADJ,COVERAGE_UNITS
,2024,in-force,onerous,1,30/06/2024,4184098.34,1342462.15,74784.87,16818396.06,473917.1,3939162.23,53540.15,325960.98,    ,921.49,    ,    ,    ,    ,    ,146476.93,11015994172
,2024,in-force,onerous,1,31/07/2024,4145067.84,1288102.72,74024.34,    ,475306.22,826574.21,39436.39,342427.43,    ,904.81,    ,    ,    ,    ,    ,38968.69,10891684256
,2024,in-force,onerous,1,31/08/2024,4114197.23,1245564.15,73579.45,    ,471471.33,886440.34,39449.53,349042.05,    ,894.49,    ,    ,    ,    ,    ,42366.28,10783293067
,2024,in-force,onerous,1,30/09/2024,4085157.48,1215515.62,73162.18,    ,467787.64,868987.03,39466.84,353410.82,    ,884.95,    ,    ,    ,    ,    ,46371.04,10678171014
,2024,in-force,onerous,1,31/10/2024,4060863.62,1191247.23,72795.36,    ,464431.31,946538.47,39518.33,356787.42,    ,875.76,    ,    ,    ,    ,    ,50772.05,10583906141
,2024,in-force,onerous,1,30/11/2024,4038301.78,1171108.85,72474.97,    ,461146.57,1005733.16,39584.47,359744.24,    ,867.33,    ,    ,    ,    ,    ,53283.7,10492215102
,2024,in-force,onerous,1,31/12/2024,4016288.62,1152584.28,72164.98,    ,457779.5,1060623.33,38302.97,362387.08,    ,859.2,    ,    ,    ,    ,    ,55410.48,10400006075
,2024,in-force,onerous,1,31/01/2025,3992104.32,1134762.25,71793.65,    ,454461.33,947588.33,37621.81,364632.67,    ,850.59,    ,    ,    ,    ,    ,61512.18,10306200606
,2024,in-force,onerous,1,28/02/2025,3964423.08,1117562.46,71356.14,    ,451163.72,799922.3,39016.86,366410.51,    ,841.86,    ,    ,    ,    ,    ,67852.41,10208907343
,2024,in-force,onerous,1,31/03/2025,3940380.47,1102227.28,70984.74,    ,447829.8,974296.45,39056.55,367950.82,    ,833.51,    ,    ,    ,    ,    ,66831.16,10115273583
,2024,in-force,onerous,1,30/04/2025,3920382.67,1088869.31,70675.55,    ,444596.7,1136702.89,39889.27,369428.08,    ,825.42,    ,    ,    ,    ,    ,66329.97,10026035174
,2024,in-force,onerous,1,31/05/2025,3903306.18,1077110.4,70419.11,    ,441384.42,1265194.85,40016.48,370883.04,    ,817.58,    ,    ,    ,    ,    ,66540.93,9940453095
,2024,in-force,onerous,1,30/06/2025,3888237.69,1066785.11,70204.71,    ,438138.18,1390591.5,40168.76,372309.43,    ,810.05,    ,    ,    ,    ,    ,66467.71,9856871717
,2024,in-force,onerous,1,31/07/2025,3865186.96,1055340.13,69847.35,    ,434962.09,164228.31,35906.18,373265.16,    ,801.49,    ,    ,    ,    ,    ,94195.46,9764737540
,2024,in-force,onerous,1,31/08/2025,3843401.97,1044609.41,69510.49,    ,431840.64,193282.06,35889.73,373872.98,    ,793.27,    ,    ,    ,    ,    ,98103.02,9675597225
,2024,in-force,onerous,1,30/09/2025,3821631.01,1034207.77,69169.62,    ,428788.82,204587.52,35875.13,374277.92,    ,785.25,    ,    ,    ,    ,    ,102284.14,9588074418
,2024,in-force,onerous,1,31/10/2025,3801458.3,1024588.6,68856.13,    ,425806.43,233355.71,35876.08,374563.61,    ,777.58,    ,    ,    ,    ,    ,105413.89,9503830608
,2024,in-force,onerous,1,30/11/2025,3782965.24,1015760.48,68571.71,    ,422893.54,260716.09,35893.43,374796.3,    ,770.26,    ,    ,    ,    ,    ,108246.9,9422943958
,2024,in-force,onerous,1,31/12/2025,3766194.06,1007482.21,68317.37,    ,420049.9,286235.04,35037.72,375009.66,    ,763.31,    ,    ,    ,    ,    ,110972.33,9345453409
