id,year,projected_month,nominal_forward_rate,real_forward_rate
,2024,1,0.096457869,0.033162981
,2024,2,0.10310265,0.033079884
,2024,3,0.100349666,0.043043809
,2024,4,0.10024315,0.050359813
,2024,5,0.101379325,0.043274417
,2024,6,0.088597094,0.040117391
,2024,7,0.082266955,0.040345519
,2024,8,0.078847487,0.04055526
,2024,9,0.086893497,0.040779731
,2024,10,0.089003568,0.041015255
,2024,11,0.088344005,0.04123239
,2024,12,0.091953223,0.041456897
,2024,13,0.092957902,0.041688779
,2024,14,0.093082255,0.041913311
,2024,15,0.09320865,0.042141537
,2024,16,0.093330972,0.042362412
,2024,17,0.093455335,0.04258698
,2024,18,0.09358378,0.042818924
,2024,19,0.093704073,0.041517462
,2024,20,0.093824369,0.041587562
,2024,21,0.093948746,0.041660039
,2024,22,0.094071088,0.041731329
,2024,23,0.094195472,0.041803809
,2024,24,0.0943219,0.041877478
,2024,25,0.094444252,0.041948772
,2024,26,0.094568647,0.042021255
,2024,27,0.094697124,0.042096116
,2024,28,0.094817448,0.042166226
,2024,29,0.094941853,0.042238713
,2024,30,0.095070342,0.042313578
,2024,31,0.095188636,0.042382503
,2024,32,0.095311012,0.042453805
,2024,33,0.095437471,0.042527486
,2024,34,0.095557815,0.042597602
,2024,35,0.095682242,0.042670097
,2024,36,0.095810752,0.04274497
,2024,37,0.095937225,0.042818656
,2024,38,0.096061663,0.042891154
,2024,39,0.096184064,0.042962465
,2024,40,0.096308508,0.043034966
,2024,41,0.101590447,0.043108657
,2024,42,0.11310836,0.043179972
,2024,43,0.113940061,0.043247723
,2024,44,0.114830288,0.043320229
,2024,45,0.115749898,0.043395113
,2024,46,0.116640485,0.043467622
,2024,47,0.117531249,0.043540131
,2024,48,0.118407579,0.043611454
,2024,49,0.119313294,0.043685155
,2024,50,0.120219195,0.043758857
,2024,51,0.121081427,0.043828994
,2024,52,0.121973052,0.04390151
,2024,53,0.122894099,0.043976405
,2024,54,0.123800704,0.044050113
,2024,55,0.124678238,0.044121444
,2024,56,0.125555933,0.044192776
,2024,57,0.126419171,0.057548595
,2024,58,0.127311828,0.058080585
,2024,59,0.128233947,0.058630091
,2024,60,0.129126961,0.059162217
,2024,61,0.130034793,0.059703135
,2024,62,0.130913512,0.060226669
,2024,63,0.13180704,0.060758991
,2024,64,0.132715399,0.06130011
,2024,65,0.133579969,0.061815109
,2024,66,0.134488666,0.062356357
,2024,67,0.135382892,0.062888946
,2024,68,0.136218627,0.063386668
,2024,69,0.137113173,0.054128642
,2024,70,0.138037234,0.052559637
,2024,71,0.138917463,0.052757219
,2024,72,0.139812524,0.052958104
,2024,73,0.140737117,0.053165585
,2024,74,0.141603173,0.053359902
,2024,75,0.142498743,0.053560815
,2024,76,0.143423867,0.053768326
,2024,77,0.144319789,0.053969259
,2024,78,0.145230574,0.054173495
,2024,79,0.142566712,0.054367859
,2024,80,0.143321713,0.054555642
,2024,81,0.144129828,0.054756611
,2024,82,0.14496459,0.05496418
,2024,83,0.145746486,0.05515858
,2024,84,0.146555015,0.055359578
,2024,85,0.147390207,0.055567177
,2024,86,0.148199021,0.055768194
,2024,87,0.149021237,0.055972517
,2024,88,0.149817067,0.056170259
,2024,89,0.150626293,0.056371305
,2024,90,0.151462199,0.056578952
,2024,91,0.152245168,0.056773426
,2024,92,0.143784223,0.056967907
,2024,93,0.14439484,0.057168991
,2024,94,0.144995523,0.057366788
,2024,95,0.145606295,0.05756789
,2024,96,0.146227162,0.057772299
,2024,97,0.146828081,0.057970124
,2024,98,0.14743909,0.058171255
,2024,99,0.148070218,0.05837899
,2024,100,0.148661352,0.058573546
,2024,101,0.149272597,0.058774705
,2024,102,0.149903971,0.05898247
,2024,103,0.15048531,0.059173754
,2024,104,0.151096791,0.059374941
,2024,105,0.151570647,0.059582736
,2024,106,0.152179309,0.059783942
,2024,107,0.152788051,0.059985159
,2024,108,0.153386888,0.060183086
,2024,109,0.154005765,0.06038762
,2024,110,0.154624725,0.060592164
,2024,111,0.15521381,0.060786819
