Reporting Date,GIC Code,Premium CFs (Unlinked)(Current Service),Premium CFs (Unlinked)(Future Service),Acquisition Expense CFs (Unlinked)(Current Service),Acquisition Expense CFs (Unlinked)(Future Service),Investment Component CFs (Unlinked),Claim and Other Expense CFs (Unlinked)(Incurred in Current Reporting Period),Claim and Other Expense CFs (Unlinked)(Incurred in Future Reporting Periods),Premium CFs (Linked)(Current Service),Premium CFs (Linked)(Future Service),Acquisition Expense CFs (Linked)(Current Service),Acquisition Expense CFs (Linked)(Future Service),Investment Component CFs (Linked),Claim and Other Expense CFs (Linked)(Incurred in Current Reporting Period),Claim and Other Expense CFs (Linked)(Incurred in Future Reporting Periods),Delay (in Years)
6/30/2017,BLL_1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333
6/30/2017,BLL_1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667
6/30/2017,BLL_1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
6/30/2017,BLL_1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333
6/30/2017,BLL_1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666667
6/30/2017,BLL_1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
6/30/2017,BLL_1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333333
6/30/2017,BLL_1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667
6/30/2017,BLL_1711,9436.23068,0,-287102.1143,0,0,-3462.163526,0,0,0,0,0,0,0,0,0.75
6/30/2017,BLL_1711,27721.73851,0,-603028.6598,0,0,-11434.97038,0,0,0,0,0,0,0,0,0.833333333
6/30/2017,BLL_1711,50455.06256,0,-717460.4637,0,0,-21114.2716,0,0,0,0,0,0,0,0,0.916666667
6/30/2017,BLL_1711,49011.21424,0,14884.10311,0,0,-23083.16757,0,0,0,0,0,0,0,0,1
6/30/2017,BLL_1711,0,47677.82019,0,13985.91332,0,0,-23171.08759,0,0,0,0,0,0,0,1.083333333
6/30/2017,BLL_1711,0,46475.74813,0,12754.05432,0,0,-22966.42711,0,0,0,0,0,0,0,1.166666667
6/30/2017,BLL_1711,0,45578.46472,0,9354.295114,0,0,-22716.60175,0,0,0,0,0,0,0,1.25
6/30/2017,BLL_1711,0,44892.42989,0,6265.868565,0,0,-22509.99759,0,0,0,0,0,0,0,1.333333333
6/30/2017,BLL_1711,0,44298.29968,0,4180.395673,0,0,-22339.54623,0,0,0,0,0,0,0,1.416666667
6/30/2017,BLL_1711,0,43604.95345,0,4697.755311,0,0,-22154.86596,0,0,0,0,0,0,0,1.5
6/30/2017,BLL_1711,0,43034.58045,0,3610.399615,0,0,-21983.26253,0,0,0,0,0,0,0,1.583333333
6/30/2017,BLL_1711,0,42465.1595,0,3265.839355,0,0,-21812.43072,0,0,0,0,0,0,0,1.666666667
6/30/2017,BLL_1711,0,42589.26617,0,-32583.06056,0,0,-21805.01423,0,0,0,0,0,0,0,1.75
6/30/2017,BLL_1711,0,43602.04919,0,-70151.41731,0,0,-22024.65224,0,0,0,0,0,0,0,1.833333333
6/30/2017,BLL_1711,0,45096.29663,0,-88554.31275,0,0,-22398.48082,0,0,0,0,0,0,0,1.916666667
6/30/2017,BLL_1711,0,44553.27895,0,3868.219334,0,0,-22434.73584,0,0,0,0,0,0,0,2
6/30/2017,BLL_1711,0,44018.17206,0,3466.971017,0,0,-22330.80044,0,0,0,0,0,0,0,2.083333333
6/30/2017,BLL_1711,0,43490.80689,0,3075.448006,0,0,-22190.46661,0,0,0,0,0,0,0,2.166666667
6/30/2017,BLL_1711,0,42970.69013,0,2667.186608,0,0,-22034.75764,0,0,0,0,0,0,0,2.25
6/30/2017,BLL_1711,0,42457.60973,0,2232.409156,0,0,-21872.21998,0,0,0,0,0,0,0,2.333333333
6/30/2017,BLL_1711,0,41951.41309,0,1787.886223,0,0,-21705.58268,0,0,0,0,0,0,0,2.416666667
6/30/2017,BLL_1711,0,41451.97661,0,1413.776178,0,0,-21536.46888,0,0,0,0,0,0,0,2.5
6/30/2017,BLL_1711,0,40959.18998,0,1048.940365,0,0,-21365.75566,0,0,0,0,0,0,0,2.583333333
6/30/2017,BLL_1711,0,40472.94607,0,693.1835235,0,0,-21194.04521,0,0,0,0,0,0,0,2.666666667
6/30/2017,BLL_1711,0,40726.0521,0,-10275.31135,0,0,-21184.87108,0,0,0,0,0,0,0,2.75
6/30/2017,BLL_1711,0,41796.09042,0,-22312.36939,0,0,-21360.16395,0,0,0,0,0,0,0,2.833333333
6/30/2017,BLL_1711,0,43198.32043,0,-26914.34641,0,0,-21672.65904,0,0,0,0,0,0,0,2.916666667
6/30/2017,BLL_1711,0,42637.47255,0,920.5240679,0,0,-21663.23413,0,0,0,0,0,0,0,3
6/30/2017,BLL_1711,0,42085.03759,0,872.1226553,0,0,-21527.15843,0,0,0,0,0,0,0,3.083333333
6/30/2017,BLL_1711,0,41540.7592,0,824.873225,0,0,-21360.78327,0,0,0,0,0,0,0,3.166666667
6/30/2017,BLL_1711,0,41004.15064,0,751.4650532,0,0,-21183.44952,0,0,0,0,0,0,0,3.25
6/30/2017,BLL_1711,0,40475.0018,0,643.8758762,0,0,-21002.89036,0,0,0,0,0,0,0,3.333333333
6/30/2017,BLL_1711,0,39953.15828,0,515.3322333,0,0,-20821.25536,0,0,0,0,0,0,0,3.416666667
6/30/2017,BLL_1711,0,39438.49585,0,452.4549741,0,0,-20639.64297,0,0,0,0,0,0,0,3.5
6/30/2017,BLL_1711,0,38930.90377,0,391.1823433,0,0,-20458.55579,0,0,0,0,0,0,0,3.583333333
6/30/2017,BLL_1711,0,38430.27289,0,331.4803721,0,0,-20278.28282,0,0,0,0,0,0,0,3.666666667
6/30/2017,BLL_1711,0,38649.41544,0,-9846.816712,0,0,-20311.48082,0,0,0,0,0,0,0,3.75
6/30/2017,BLL_1711,0,39682.76011,0,-21162.23581,0,0,-20507.20901,0,0,0,0,0,0,0,3.833333333
6/30/2017,BLL_1711,0,41079.35786,0,-25472.60398,0,0,-20895.35478,0,0,0,0,0,0,0,3.916666667
6/30/2017,BLL_1711,0,40612.5637,0,756.2622021,0,0,-20922.51574,0,0,0,0,0,0,0,4
6/30/2017,BLL_1711,0,40151.80931,0,717.9614913,0,0,-20826.44711,0,0,0,0,0,0,0,4.083333333
6/30/2017,BLL_1711,0,39696.99437,0,680.4384237,0,0,-20700.41008,0,0,0,0,0,0,0,4.166666667
6/30/2017,BLL_1711,0,39247.65024,0,620.3108548,0,0,-20563.05617,0,0,0,0,0,0,0,4.25
6/30/2017,BLL_1711,0,38803.62348,0,531.7017488,0,0,-20421.9807,0,0,0,0,0,0,0,4.333333333
6/30/2017,BLL_1711,0,38364.80809,0,427.3114627,0,0,-20279.22932,0,0,0,0,0,0,0,4.416666667
6/30/2017,BLL_1711,0,37931.12623,0,375.8394701,0,0,-20136.0784,0,0,0,0,0,0,0,4.5
6/30/2017,BLL_1711,0,37502.5109,0,325.4849747,0,0,-19993.2074,0,0,0,0,0,0,0,4.583333333
6/30/2017,BLL_1711,0,37078.8967,0,276.2286735,0,0,-19850.8709,0,0,0,0,0,0,0,4.666666667
6/30/2017,BLL_1711,0,37342.77363,0,-9479.582856,0,0,-19869.35972,0,0,0,0,0,0,0,4.75
6/30/2017,BLL_1711,0,38380.28124,0,-20428.30988,0,0,-20039.08911,0,0,0,0,0,0,0,4.833333333
6/30/2017,BLL_1711,0,39745.82157,0,-24585.78858,0,0,-20361.70829,0,0,0,0,0,0,0,4.916666667
6/30/2017,BLL_1711,0,39295.52634,0,728.8863588,0,0,-20399.45612,0,0,0,0,0,0,0,5
6/30/2017,BLL_1711,0,38850.99348,0,692.0150308,0,0,-20317.46,0,0,0,0,0,0,0,5.083333333
